time,Boston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. C. Zeller (J. Sullinger gains possession),,,,Jump ball: A. Johnson vs. C. Zeller (J. Sullinger gains possession)
11:40.0,I. Thomas misses 2-pt shot from 16 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by N. Batum
11:29.0,,,0-0,,M. Williams misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by J. Crowder,,0-0,,
11:20.0,J. Sullinger misses 2-pt shot from 22 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by P. Hairston
11:10.0,,,0-0,,M. Williams misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by J. Crowder,,0-0,,
10:55.0,A. Bradley misses 2-pt shot from 1 ft (block by M. Williams),,0-0,,
10:53.0,,,0-0,,Defensive rebound by C. Zeller
10:41.0,,,0-0,,C. Zeller misses 2-pt shot from 13 ft
10:40.0,Defensive rebound by A. Johnson,,0-0,,
10:30.0,A. Bradley makes 2-pt shot from 19 ft,2,2-0,,
10:09.0,,,2-0,,K. Walker misses 2-pt shot from 15 ft
10:08.0,Defensive rebound by A. Johnson,,2-0,,
9:57.0,A. Bradley misses 3-pt shot from 23 ft,,2-0,,
9:56.0,,,2-0,,Defensive rebound by N. Batum
9:51.0,,,2-0,,P. Hairston misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by J. Sullinger,,2-0,,
9:42.0,I. Thomas misses 3-pt shot from 24 ft,,2-0,,
9:40.0,,,2-0,,Defensive rebound by N. Batum
9:29.0,,,2-0,,M. Williams misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by I. Thomas,,2-0,,
9:07.0,J. Sullinger makes 2-pt shot from 7 ft,2,4-0,,
8:46.0,,,4-0,,N. Batum misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by Team,,4-0,,
8:23.0,A. Bradley makes 2-pt shot from 22 ft,2,6-0,,
8:06.0,Personal foul by J. Crowder (drawn by N. Batum),,6-0,,
7:59.0,,,6-0,,N. Batum misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by Team,,6-0,,
7:46.0,J. Crowder misses 3-pt shot from 25 ft,,6-0,,
7:45.0,,,6-0,,Defensive rebound by P. Hairston
7:34.0,,,6-2,2,N. Batum makes 2-pt shot from 16 ft (assist by K. Walker)
7:17.0,J. Crowder misses 2-pt shot from 1 ft,,6-2,,
7:15.0,,,6-2,,Defensive rebound by M. Williams
7:07.0,,,6-2,,Turnover by N. Batum (bad pass; steal by A. Johnson)
6:59.0,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas),3,9-2,,
6:41.0,,,9-2,,K. Walker misses 2-pt shot from 19 ft
6:40.0,Defensive rebound by J. Sullinger,,9-2,,
6:36.0,I. Thomas misses 2-pt shot from 2 ft (block by P. Hairston),,9-2,,
6:36.0,Offensive rebound by Team,,9-2,,
6:30.0,A. Bradley makes 2-pt shot from 17 ft (assist by I. Thomas),2,11-2,,
6:14.0,,,11-4,2,K. Walker makes 2-pt shot from 18 ft (assist by C. Zeller)
6:03.0,J. Crowder misses 3-pt shot from 25 ft,,11-4,,
5:58.0,,,11-4,,Defensive rebound by C. Zeller
5:49.0,,,11-7,3,P. Hairston makes 3-pt shot from 25 ft (assist by N. Batum)
5:32.0,J. Sullinger misses 2-pt shot from 20 ft,,11-7,,
5:31.0,,,11-7,,Defensive rebound by P. Hairston
5:21.0,,,11-9,2,N. Batum makes 2-pt shot from 17 ft
5:21.0,Boston full timeout,,11-9,,
5:21.0,E. Turner enters the game for J. Crowder,,11-9,,
5:21.0,J. Jerebko enters the game for J. Sullinger,,11-9,,
5:21.0,K. Olynyk enters the game for I. Thomas,,11-9,,
5:21.0,,,11-9,,F. Kaminsky enters the game for M. Williams
5:07.0,A. Bradley misses 2-pt shot from 18 ft,,11-9,,
5:05.0,,,11-9,,Defensive rebound by K. Walker
5:00.0,,,11-9,,P. Hairston misses 3-pt shot from 25 ft
4:59.0,,,11-9,,Offensive rebound by Team
4:59.0,Loose ball foul by J. Jerebko (drawn by C. Zeller),,11-9,,
4:53.0,,,11-9,,N. Batum misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by E. Turner,,11-9,,
4:36.0,K. Olynyk misses 2-pt shot from 14 ft,,11-9,,
4:36.0,Offensive rebound by Team,,11-9,,
4:36.0,,,11-9,,Loose ball foul by C. Zeller (drawn by A. Johnson)
4:27.0,Offensive foul by J. Jerebko,,11-9,,
4:27.0,Turnover by J. Jerebko (offensive foul),,11-9,,
4:12.0,,,11-9,,P. Hairston misses 2-pt shot from 16 ft
4:11.0,Defensive rebound by A. Johnson,,11-9,,
3:57.0,A. Johnson makes 2-pt shot at rim (assist by A. Bradley),2,13-9,,
3:39.0,,,13-9,,N. Batum misses 2-pt shot from 19 ft
3:37.0,Defensive rebound by K. Olynyk,,13-9,,
3:17.0,K. Olynyk misses 2-pt shot from 1 ft,,13-9,,
3:16.0,Offensive rebound by Team,,13-9,,
3:16.0,,,13-9,,J. Lin enters the game for P. Hairston
3:11.0,J. Jerebko misses 2-pt shot from 8 ft,,13-9,,
3:11.0,,,13-9,,Defensive rebound by Team
2:54.0,,,13-12,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker)
2:41.0,,,13-12,,Def 3 sec tech foul by K. Walker
2:41.0,,,13-12,,Charlotte full timeout
2:41.0,D. Lee enters the game for A. Johnson,,13-12,,
2:41.0,,,13-12,,S. Hawes enters the game for C. Zeller
2:41.0,A. Bradley makes technical free throw,1,14-12,,
2:33.0,D. Lee misses 2-pt shot from 2 ft (block by F. Kaminsky),,14-12,,
2:31.0,Offensive rebound by D. Lee,,14-12,,
2:31.0,D. Lee makes 2-pt shot from 1 ft,2,16-12,,
2:14.0,,,16-15,3,K. Walker makes 3-pt shot from 27 ft (assist by F. Kaminsky)
1:54.0,E. Turner misses 3-pt shot from 24 ft,,16-15,,
1:53.0,,,16-15,,Defensive rebound by N. Batum
1:39.0,,,16-17,2,J. Lin makes 2-pt shot from 1 ft
1:23.0,K. Olynyk misses 3-pt shot from 25 ft,,16-17,,
1:21.0,,,16-17,,Defensive rebound by S. Hawes
1:13.0,,,16-17,,Turnover by N. Batum (bad pass)
1:13.0,,,16-17,,J. Lamb enters the game for N. Batum
0:53.0,D. Lee misses 2-pt shot from 9 ft,,16-17,,
0:52.0,,,16-17,,Defensive rebound by J. Lin
0:29.0,,,16-17,,J. Lamb misses 2-pt shot from 8 ft
0:28.0,Defensive rebound by E. Turner,,16-17,,
0:21.0,E. Turner misses 2-pt shot from 10 ft,,16-17,,
0:19.0,Offensive rebound by J. Jerebko,,16-17,,
0:05.0,,,16-17,,Personal foul by J. Lin (drawn by E. Turner)
0:01.0,K. Olynyk misses 2-pt shot from 20 ft,,16-17,,
0:00.0,,,16-17,,Defensive rebound by J. Lin
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,16-17,,P. Hairston misses 2-pt shot from 1 ft (block by D. Lee)
11:39.0,Defensive rebound by J. Young,,16-17,,
11:35.0,K. Olynyk makes 2-pt shot at rim (assist by E. Turner),2,18-17,,
11:21.0,,,18-19,2,J. Lin makes 2-pt shot from 1 ft
11:02.0,D. Lee makes 2-pt shot from 1 ft (assist by I. Thomas),2,20-19,,
10:50.0,,,20-19,,J. Lin misses 2-pt shot from 1 ft
10:49.0,,,20-19,,Offensive rebound by S. Hawes
10:49.0,,,20-21,2,S. Hawes makes 2-pt shot at rim
10:32.0,K. Olynyk misses 2-pt shot from 19 ft,,20-21,,
10:31.0,,,20-21,,Defensive rebound by S. Hawes
10:23.0,,,20-21,,J. Lamb misses 3-pt shot from 27 ft
10:22.0,Defensive rebound by K. Olynyk,,20-21,,
10:08.0,D. Lee makes 2-pt shot from 1 ft,2,22-21,,
9:53.0,,,22-24,3,S. Hawes makes 3-pt shot from 25 ft (assist by F. Kaminsky)
9:37.0,D. Lee misses 2-pt shot from 18 ft,,22-24,,
9:36.0,,,22-24,,Defensive rebound by J. Lamb
9:25.0,,,22-24,,J. Lamb misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by Team,,22-24,,
9:06.0,K. Olynyk misses 2-pt shot from 10 ft,,22-24,,
9:05.0,,,22-24,,Defensive rebound by S. Hawes
8:53.0,,,22-24,,Turnover by F. Kaminsky (lost ball; steal by E. Turner)
8:49.0,Offensive charge foul by K. Olynyk,,22-24,,
8:49.0,Turnover by K. Olynyk (offensive foul),,22-24,,
8:49.0,Official timeout,,22-24,,
8:49.0,J. Crowder enters the game for K. Olynyk,,22-24,,
8:37.0,,,22-24,,Turnover by S. Hawes (bad pass)
8:25.0,J. Crowder misses 3-pt shot from 25 ft,,22-24,,
8:24.0,,,22-24,,Defensive rebound by S. Hawes
8:02.0,,,22-27,3,P. Hairston makes 3-pt shot from 24 ft (assist by J. Lamb)
7:46.0,I. Thomas misses 3-pt shot from 25 ft,,22-27,,
7:45.0,,,22-27,,Defensive rebound by F. Kaminsky
7:35.0,,,22-30,3,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lamb)
7:18.0,J. Crowder makes 2-pt shot from 16 ft,2,24-30,,
6:50.0,,,24-30,,J. Lamb misses 2-pt shot from 5 ft (block by J. Young)
6:48.0,Defensive rebound by J. Crowder,,24-30,,
6:45.0,D. Lee makes 2-pt shot at rim (assist by E. Turner),2,26-30,,
6:30.0,,,26-30,,M. Williams enters the game for F. Kaminsky
6:30.0,,,26-30,,Charlotte full timeout
6:30.0,,,26-30,,N. Batum enters the game for P. Hairston
6:18.0,,,26-30,,J. Lin misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by D. Lee,,26-30,,
6:00.0,D. Lee misses 2-pt shot from 9 ft,,26-30,,
5:59.0,,,26-30,,Defensive rebound by M. Williams
5:46.0,Violation by E. Turner (kicked ball),,26-30,,
5:46.0,,,26-30,,K. Walker enters the game for J. Lamb
5:46.0,,,26-30,,C. Zeller enters the game for S. Hawes
5:46.0,J. Sullinger enters the game for E. Turner,,26-30,,
5:40.0,,,26-30,,J. Lin misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by J. Sullinger,,26-30,,
5:27.0,I. Thomas makes 2-pt shot from 18 ft,2,28-30,,
5:10.0,,,28-30,,M. Williams misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by J. Sullinger,,28-30,,
5:02.0,I. Thomas makes 2-pt shot from 18 ft (assist by D. Lee),2,30-30,,
4:43.0,,,30-32,2,C. Zeller makes 2-pt shot from 18 ft
4:23.0,I. Thomas misses 2-pt shot from 5 ft (block by J. Lin),,30-32,,
4:22.0,,,30-32,,Defensive rebound by K. Walker
4:22.0,,,30-32,,Shooting foul by J. Sullinger (drawn by K. Walker)
4:22.0,,,30-33,1,K. Walker makes free throw 1 of 2
4:22.0,A. Johnson enters the game for D. Lee,,30-33,,
4:22.0,A. Bradley enters the game for J. Young,,30-33,,
4:22.0,,,30-34,1,K. Walker makes free throw 2 of 2
4:06.0,Turnover by J. Sullinger (3 sec),,30-34,,
3:56.0,,,30-34,,N. Batum misses 2-pt shot from 19 ft
3:55.0,Defensive rebound by J. Sullinger,,30-34,,
3:44.0,I. Thomas makes 2-pt shot from 6 ft,2,32-34,,
3:28.0,,,32-34,,K. Walker misses 2-pt shot from 17 ft
3:27.0,Defensive rebound by J. Sullinger,,32-34,,
3:10.0,J. Crowder misses 2-pt shot from 17 ft,,32-34,,
3:09.0,,,32-34,,Defensive rebound by M. Williams
3:01.0,,,32-34,,Turnover by C. Zeller (traveling)
2:52.0,J. Crowder misses 2-pt shot from 9 ft,,32-34,,
2:51.0,,,32-34,,Defensive rebound by C. Zeller
2:34.0,,,32-34,,M. Williams misses 3-pt shot from 22 ft
2:33.0,Defensive rebound by A. Bradley,,32-34,,
2:27.0,A. Johnson makes 2-pt shot from 6 ft (assist by I. Thomas),2,34-34,,
2:13.0,,,34-36,2,N. Batum makes 2-pt shot from 18 ft
2:12.0,Boston full timeout,,34-36,,
2:12.0,E. Turner enters the game for J. Crowder,,34-36,,
1:56.0,A. Johnson misses 2-pt shot from 6 ft,,34-36,,
1:56.0,Offensive rebound by Team,,34-36,,
1:53.0,E. Turner makes 2-pt shot from 12 ft (assist by I. Thomas),2,36-36,,
1:31.0,,,36-36,,N. Batum misses 3-pt shot from 24 ft
1:30.0,Defensive rebound by J. Sullinger,,36-36,,
1:17.0,E. Turner misses 2-pt shot from 9 ft,,36-36,,
1:15.0,,,36-36,,Defensive rebound by N. Batum
1:04.0,,,36-38,2,K. Walker makes 2-pt shot from 8 ft
0:53.0,A. Bradley misses 2-pt shot from 5 ft,,36-38,,
0:52.0,,,36-38,,Defensive rebound by C. Zeller
0:41.0,,,36-40,2,C. Zeller makes 2-pt shot at rim (assist by J. Lin)
0:33.0,I. Thomas makes 2-pt shot from 7 ft,2,38-40,,
0:13.0,,,38-40,,Shooting foul by I. Thomas (drawn by J. Lin)
0:13.0,,,38-41,1,J. Lin makes free throw 1 of 2
0:13.0,K. Olynyk enters the game for A. Johnson,,38-41,,
0:13.0,J. Crowder enters the game for J. Sullinger,,38-41,,
0:13.0,,,38-42,1,J. Lin makes free throw 2 of 2
0:03.0,A. Bradley misses 3-pt shot from 23 ft,,38-42,,
0:02.0,,,38-42,,Defensive rebound by J. Lin
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,38-42,,C. Zeller misses 2-pt shot from 1 ft (block by A. Johnson)
11:42.0,,,38-42,,Offensive rebound by M. Williams
11:42.0,,,38-44,2,M. Williams makes 2-pt shot at rim
11:30.0,,,38-44,,Personal foul by N. Batum (drawn by A. Johnson)
11:18.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Johnson),3,41-44,,
11:00.0,,,41-44,,Turnover by N. Batum (bad pass; steal by J. Sullinger)
10:52.0,Turnover by I. Thomas (bad pass),,41-44,,
10:29.0,,,41-46,2,C. Zeller makes 2-pt shot from 1 ft
10:20.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,43-46,,
10:20.0,Shooting foul by C. Zeller (drawn by J. Crowder),,43-46,,
10:20.0,,,43-46,,Charlotte full timeout
10:20.0,J. Crowder makes free throw 1 of 1,1,44-46,,
10:08.0,,,44-46,,Offensive foul by M. Williams
10:08.0,,,44-46,,Turnover by M. Williams (offensive foul)
9:53.0,I. Thomas misses 2-pt shot from 16 ft,,44-46,,
9:53.0,,,44-46,,Defensive rebound by Team
9:53.0,Loose ball foul by A. Johnson (drawn by M. Williams),,44-46,,
9:40.0,,,44-49,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
9:23.0,J. Sullinger makes 2-pt shot from 18 ft (assist by I. Thomas),2,46-49,,
9:06.0,,,46-49,,N. Batum misses 2-pt shot from 15 ft
9:05.0,Defensive rebound by J. Crowder,,46-49,,
8:57.0,J. Sullinger misses 2-pt shot from 19 ft,,46-49,,
8:56.0,,,46-49,,Defensive rebound by P. Hairston
8:37.0,,,46-51,2,C. Zeller makes 2-pt shot at rim
8:23.0,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas),3,49-51,,
7:53.0,,,49-51,,M. Williams misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by J. Crowder,,49-51,,
7:44.0,I. Thomas makes 3-pt shot from 25 ft,3,52-51,,
7:30.0,,,52-53,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
7:16.0,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas),3,55-53,,
7:05.0,,,55-53,,Shooting foul by A. Bradley (drawn by K. Walker)
7:05.0,,,55-54,1,K. Walker makes free throw 1 of 2
7:05.0,K. Olynyk enters the game for J. Sullinger,,55-54,,
7:05.0,,,55-55,1,K. Walker makes free throw 2 of 2
6:47.0,A. Johnson misses 2-pt shot from 7 ft,,55-55,,
6:45.0,,,55-55,,Defensive rebound by N. Batum
6:40.0,,,55-55,,C. Zeller misses 2-pt shot at rim
6:39.0,Defensive rebound by A. Johnson,,55-55,,
6:29.0,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas),3,58-55,,
6:15.0,,,58-55,,P. Hairston misses 3-pt shot from 26 ft
6:14.0,Defensive rebound by A. Bradley,,58-55,,
