time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Davis (S. Curry gains possession),,,,Jump ball: A. Bogut vs. A. Davis (S. Curry gains possession)
11:35.0,,,0-2,2,D. Green makes 2-pt shot from 4 ft
11:20.0,A. Gee misses 2-pt shot from 4 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by Team
11:20.0,Loose ball foul by D. Cunningham,,0-2,,
11:10.0,,,0-2,,Turnover by A. Bogut (lost ball; steal by A. Gee)
10:48.0,A. Davis misses 2-pt shot from 11 ft (block by H. Barnes),,0-2,,
10:47.0,,,0-2,,Defensive rebound by D. Green
10:39.0,,,0-2,,S. Curry misses 3-pt shot from 26 ft
10:38.0,,,0-2,,Offensive rebound by Team
10:38.0,Loose ball foul by T. Douglas,,0-2,,
10:31.0,,,0-2,,A. Bogut misses 2-pt shot from 11 ft
10:31.0,Defensive rebound by J. Holiday,,0-2,,
10:22.0,J. Holiday misses 3-pt shot from 25 ft,,0-2,,
10:22.0,,,0-2,,Defensive rebound by A. Bogut
10:15.0,,,0-2,,K. Thompson misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by A. Davis,,0-2,,
10:02.0,A. Davis misses 2-pt shot from 18 ft,,0-2,,
10:01.0,,,0-2,,Defensive rebound by K. Thompson
9:40.0,,,0-2,,K. Thompson misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by J. Holiday,,0-2,,
9:31.0,J. Holiday misses 2-pt shot from 5 ft,,0-2,,
9:30.0,Offensive rebound by A. Davis,,0-2,,
9:28.0,A. Davis makes 2-pt shot at rim,2,2-2,,
9:10.0,,,2-2,,K. Thompson misses 2-pt shot from 16 ft
9:09.0,Defensive rebound by D. Cunningham,,2-2,,
8:59.0,J. Holiday makes 2-pt shot from 2 ft (assist by T. Douglas),2,4-2,,
8:44.0,,,4-2,,Turnover by D. Green (lost ball; steal by J. Holiday)
8:39.0,Turnover by T. Douglas (lost ball; steal by S. Curry),,4-2,,
8:34.0,,,4-4,2,A. Bogut makes 2-pt shot from 3 ft (assist by S. Curry)
8:34.0,,,4-4,,Shooting foul by D. Cunningham (drawn by A. Bogut)
8:34.0,,,4-4,,A. Bogut misses free throw 1 of 1
8:34.0,Defensive rebound by Team,,4-4,,
8:15.0,A. Davis makes 2-pt shot from 14 ft (assist by J. Holiday),2,6-4,,
8:01.0,,,6-4,,Turnover by D. Green (lost ball; steal by T. Douglas)
7:49.0,T. Douglas misses 3-pt shot from 24 ft,,6-4,,
7:48.0,,,6-4,,Defensive rebound by D. Green
7:27.0,,,6-6,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Green)
7:10.0,Shooting foul by A. Bogut (drawn by T. Douglas),,6-6,,
7:10.0,T. Douglas makes free throw 1 of 2,1,7-6,,
7:10.0,L. Babbitt enters the game for D. Cunningham,,7-6,,
7:10.0,,,7-6,,Golden State full timeout
7:10.0,T. Douglas makes free throw 2 of 2,1,8-6,,
7:01.0,,,8-8,2,H. Barnes makes 2-pt shot at rim (assist by D. Green)
6:40.0,J. Holiday makes 2-pt shot from 19 ft,2,10-8,,
6:22.0,,,10-8,,S. Curry misses 3-pt shot from 27 ft
6:21.0,Defensive rebound by A. Gee,,10-8,,
6:17.0,A. Davis misses 2-pt shot from 1 ft (block by D. Green),,10-8,,
6:16.0,Offensive rebound by A. Gee,,10-8,,
6:16.0,A. Gee makes 2-pt shot at rim,2,12-8,,
5:51.0,,,12-10,2,K. Thompson makes 2-pt shot from 12 ft (assist by A. Bogut)
5:32.0,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday),2,14-10,,
5:27.0,,,14-10,,M. Speights enters the game for A. Bogut
5:27.0,,,14-10,,L. Barbosa enters the game for K. Thompson
5:20.0,Personal foul by L. Babbitt,,14-10,,
5:08.0,,,14-12,2,M. Speights makes 2-pt shot from 16 ft (assist by S. Curry)
4:50.0,Turnover by J. Holiday (lost ball; steal by M. Speights),,14-12,,
4:47.0,,,14-12,,Turnover by D. Green (lost ball; steal by A. Gee)
4:38.0,L. Babbitt makes 2-pt shot from 1 ft (assist by T. Douglas),2,16-12,,
