time,Houston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Davis (N. Cole gains possession),,,,Jump ball: C. Capela vs. A. Davis (N. Cole gains possession)
11:27.0,,,0-0,,T. Evans misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by P. Beverley,,0-0,,
11:21.0,C. Brewer misses 3-pt shot from 23 ft,,0-0,,
11:21.0,Offensive rebound by P. Beverley,,0-0,,
11:16.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Brewer),3,3-0,,
11:04.0,,,3-0,,Turnover by A. Davis (bad pass)
10:43.0,C. Capela misses 2-pt shot from 8 ft,,3-0,,
10:41.0,,,3-0,,Defensive rebound by A. Davis
10:34.0,,,3-0,,N. Cole misses 2-pt shot from 9 ft
10:34.0,Defensive rebound by C. Capela,,3-0,,
10:25.0,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden),3,6-0,,
10:06.0,,,6-0,,N. Cole misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by Team,,6-0,,
9:48.0,J. Harden misses 3-pt shot from 26 ft,,6-0,,
9:47.0,,,6-0,,Defensive rebound by O. Asik
9:32.0,,,6-0,,A. Gee misses 2-pt shot from 16 ft
9:31.0,,,6-0,,Offensive rebound by O. Asik
9:31.0,,,6-2,2,O. Asik makes 2-pt shot from 2 ft
9:16.0,T. Ariza makes 3-pt shot from 24 ft,3,9-2,,
8:50.0,,,9-4,2,A. Davis makes 2-pt shot from 18 ft (assist by N. Cole)
8:37.0,Shooting foul by T. Evans (drawn by J. Harden),,9-4,,
8:37.0,J. Harden makes free throw 1 of 2,1,10-4,,
8:37.0,J. Harden makes free throw 2 of 2,1,11-4,,
8:24.0,,,11-6,2,A. Gee makes 2-pt shot at rim (assist by T. Evans)
8:15.0,J. Harden misses 2-pt shot from 13 ft,,11-6,,
8:13.0,,,11-6,,Defensive rebound by A. Davis
7:57.0,,,11-6,,A. Gee misses 3-pt shot from 24 ft (block by C. Brewer)
7:56.0,Defensive rebound by T. Ariza,,11-6,,
7:53.0,Shooting foul by N. Cole (drawn by C. Capela),,11-6,,
7:53.0,C. Capela makes free throw 1 of 2,1,12-6,,
7:53.0,C. Capela misses free throw 2 of 2,,12-6,,
7:49.0,,,12-6,,Defensive rebound by A. Gee
7:46.0,,,12-6,,New Orleans full timeout
7:37.0,Shooting block foul by C. Capela (drawn by O. Asik),,12-6,,
7:37.0,,,12-6,,O. Asik misses free throw 1 of 2
7:37.0,,,12-6,,Offensive rebound by Team
7:37.0,,,12-7,1,O. Asik makes free throw 2 of 2
7:22.0,P. Beverley makes 2-pt shot from 15 ft,2,14-7,,
7:03.0,,,14-7,,Turnover by A. Davis (bad pass; steal by J. Harden)
6:58.0,C. Brewer makes 2-pt shot at rim (assist by J. Harden),2,16-7,,
6:38.0,,,16-7,,Turnover by N. Cole (bad pass)
6:38.0,T. Jones enters the game for C. Capela,,16-7,,
6:27.0,,,16-7,,Personal foul by A. Gee (drawn by T. Jones)
6:19.0,T. Jones misses 2-pt shot at rim,,16-7,,
6:17.0,,,16-7,,Defensive rebound by T. Evans
6:17.0,Personal foul by P. Beverley (drawn by T. Evans),,16-7,,
5:57.0,,,16-7,,A. Davis misses 2-pt shot from 2 ft (block by T. Jones)
5:56.0,,,16-7,,Offensive rebound by A. Gee
5:50.0,,,16-10,3,T. Evans makes 3-pt shot from 25 ft (assist by A. Gee)
5:45.0,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley),3,19-10,,
5:43.0,,,19-10,,New Orleans full timeout
5:43.0,J. Smith enters the game for C. Brewer,,19-10,,
5:43.0,,,19-10,,R. Anderson enters the game for O. Asik
5:43.0,,,19-10,,J. Holiday enters the game for T. Evans
5:26.0,,,19-10,,R. Anderson misses 2-pt shot from 6 ft (block by T. Ariza)
5:24.0,Defensive rebound by J. Harden,,19-10,,
5:19.0,J. Harden makes 2-pt shot from 1 ft,2,21-10,,
5:04.0,,,21-12,2,N. Cole makes 2-pt shot at rim
4:48.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Smith),3,24-12,,
4:39.0,Personal foul by T. Ariza (drawn by J. Holiday),,24-12,,
4:39.0,T. Lawson enters the game for P. Beverley,,24-12,,
4:34.0,,,24-12,,J. Holiday misses 2-pt shot from 14 ft
4:31.0,Defensive rebound by J. Smith,,24-12,,
4:15.0,Turnover by J. Smith (traveling),,24-12,,
3:56.0,,,24-15,3,N. Cole makes 3-pt shot from 25 ft (assist by J. Holiday)
3:41.0,J. Smith misses 2-pt shot from 2 ft,,24-15,,
3:40.0,,,24-15,,Defensive rebound by A. Gee
3:33.0,,,24-15,,R. Anderson misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by J. Harden,,24-15,,
3:27.0,Turnover by J. Harden (lost ball; steal by A. Gee),,24-15,,
3:20.0,,,24-15,,N. Cole misses 2-pt shot from 2 ft
3:17.0,,,24-15,,Offensive rebound by J. Holiday
3:17.0,,,24-15,,J. Holiday misses 2-pt shot from 2 ft
3:16.0,,,24-15,,Offensive rebound by A. Gee
3:10.0,,,24-15,,Turnover by J. Holiday (lost ball; steal by T. Jones)
3:03.0,T. Ariza makes 2-pt shot from 1 ft (assist by T. Lawson),2,26-15,,
2:52.0,,,26-17,2,J. Holiday makes 2-pt shot from 2 ft
2:52.0,Houston full timeout,,26-17,,
2:52.0,,,26-17,,T. Douglas enters the game for N. Cole
2:52.0,M. Thornton enters the game for J. Harden,,26-17,,
2:46.0,Shooting foul by T. Douglas (drawn by T. Lawson),,26-17,,
2:46.0,T. Lawson makes free throw 1 of 2,1,27-17,,
2:46.0,T. Lawson misses free throw 2 of 2,,27-17,,
2:44.0,,,27-17,,Defensive rebound by A. Gee
2:31.0,,,27-17,,Shooting foul by T. Lawson (drawn by T. Douglas)
2:31.0,,,27-17,,T. Douglas misses free throw 1 of 2
2:31.0,,,27-17,,Offensive rebound by Team
2:31.0,,,27-18,1,T. Douglas makes free throw 2 of 2
2:18.0,Turnover by T. Lawson (bad pass; steal by T. Douglas),,27-18,,
2:13.0,,,27-20,2,T. Douglas makes 2-pt shot at rim
2:03.0,T. Ariza makes 2-pt shot at rim (assist by M. Thornton),2,29-20,,
1:47.0,,,29-22,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
1:29.0,M. Thornton makes 3-pt shot from 23 ft,3,32-22,,
1:17.0,,,32-25,3,T. Douglas makes 3-pt shot from 24 ft (assist by J. Holiday)
1:03.0,T. Lawson misses 3-pt shot from 24 ft,,32-25,,
1:02.0,,,32-25,,Defensive rebound by T. Douglas
0:55.0,,,32-27,2,R. Anderson makes 2-pt shot from 16 ft (assist by T. Douglas)
0:44.0,Turnover by T. Lawson (bad pass; steal by A. Davis),,32-27,,
0:36.0,,,32-27,,R. Anderson misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by T. Ariza,,32-27,,
0:27.0,J. Smith misses 3-pt shot from 26 ft,,32-27,,
0:27.0,,,32-27,,Defensive rebound by A. Gee
0:10.0,,,32-27,,A. Davis misses 2-pt shot from 3 ft
0:10.0,,,32-27,,Offensive rebound by R. Anderson
0:10.0,,,32-29,2,R. Anderson makes 2-pt shot from 1 ft
0:01.0,T. Ariza misses 2-pt shot from 18 ft,,32-29,,
0:00.0,,,32-29,,Defensive rebound by J. Holiday
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,M. Thornton makes 3-pt shot from 25 ft (assist by J. Smith),3,35-29,,
11:35.0,,,35-31,2,J. Holiday makes 2-pt shot from 6 ft (assist by T. Douglas)
11:10.0,Turnover by C. Brewer (bad pass; steal by J. Holiday),,35-31,,
11:04.0,,,35-33,2,J. Holiday makes 2-pt shot from 1 ft (assist by T. Douglas)
10:49.0,,,35-33,,Personal foul by A. Ajinca (drawn by T. Jones)
10:49.0,C. Capela enters the game for T. Jones,,35-33,,
10:39.0,C. Brewer misses 2-pt shot from 20 ft,,35-33,,
10:38.0,,,35-33,,Defensive rebound by A. Ajinca
10:23.0,,,35-35,2,J. Holiday makes 2-pt shot from 2 ft
10:13.0,M. Thornton misses 3-pt shot from 25 ft,,35-35,,
10:11.0,,,35-35,,Defensive rebound by D. Cunningham
10:01.0,,,35-38,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Douglas)
10:00.0,Houston full timeout,,35-38,,
10:00.0,P. Beverley enters the game for T. Lawson,,35-38,,
9:45.0,C. Brewer misses 3-pt shot from 23 ft,,35-38,,
9:44.0,,,35-38,,Defensive rebound by R. Anderson
9:41.0,,,35-40,2,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday)
9:17.0,J. Smith misses 2-pt shot from 4 ft,,35-40,,
9:17.0,Offensive rebound by C. Capela,,35-40,,
9:17.0,C. Capela makes 2-pt shot from 1 ft,2,37-40,,
9:17.0,Shooting foul by J. Holiday (drawn by C. Capela),,37-40,,
9:17.0,J. Harden enters the game for C. Brewer,,37-40,,
9:17.0,C. Capela makes free throw 1 of 1,1,38-40,,
9:02.0,,,38-42,2,J. Holiday makes 2-pt shot from 2 ft
8:51.0,Offensive charge foul by M. Thornton,,38-42,,
8:51.0,Turnover by M. Thornton (offensive foul),,38-42,,
8:35.0,,,38-42,,A. Ajinca misses 2-pt shot from 2 ft
