time,Memphis,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Grant (M. Conley gains possession),,,,Jump ball: M. Gasol vs. J. Grant (M. Conley gains possession)
11:34.0,M. Conley misses 2-pt shot from 13 ft,,0-0,,
11:32.0,Offensive rebound by J. Green,,0-0,,
11:26.0,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol),3,3-0,,
11:08.0,,,3-3,3,I. Canaan makes 3-pt shot from 24 ft (assist by T. Wroten)
10:46.0,,,3-3,,Personal foul by J. Grant (drawn by M. Gasol)
10:37.0,C. Lee misses 2-pt shot from 1 ft (block by I. Canaan),,3-3,,
10:35.0,,,3-3,,Defensive rebound by R. Covington
10:31.0,,,3-5,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Covington)
10:25.0,M. Barnes misses 2-pt shot at rim (block by J. Grant),,3-5,,
10:21.0,,,3-5,,Defensive rebound by T. Wroten
10:05.0,,,3-5,,R. Covington misses 2-pt shot from 22 ft (block by M. Barnes)
10:03.0,,,3-5,,Offensive rebound by R. Covington
10:02.0,,,3-7,2,R. Covington makes 2-pt shot from 2 ft
9:43.0,Turnover by M. Barnes (bad pass),,3-7,,
9:27.0,,,3-7,,J. Grant misses 2-pt shot from 11 ft
9:24.0,Defensive rebound by M. Gasol,,3-7,,
9:09.0,M. Gasol misses 2-pt shot from 6 ft,,3-7,,
9:07.0,Offensive rebound by J. Green,,3-7,,
9:07.0,J. Green makes 2-pt shot from 1 ft,2,5-7,,
8:58.0,,,5-7,,T. Wroten misses 2-pt shot from 4 ft (block by M. Barnes)
8:55.0,Defensive rebound by M. Barnes,,5-7,,
8:40.0,M. Gasol misses 2-pt shot from 8 ft,,5-7,,
8:37.0,,,5-7,,Defensive rebound by J. Grant
8:31.0,Personal foul by M. Barnes (drawn by J. Okafor),,5-7,,
8:19.0,Shooting block foul by M. Gasol (drawn by R. Covington),,5-7,,
8:19.0,,,5-8,1,R. Covington makes free throw 1 of 2
8:19.0,,,5-9,1,R. Covington makes free throw 2 of 2
8:03.0,M. Gasol makes 2-pt shot from 6 ft,2,7-9,,
8:03.0,Shooting foul by J. Okafor (drawn by M. Gasol),,7-9,,
8:03.0,M. Gasol makes free throw 1 of 1,1,8-9,,
7:57.0,Personal foul by J. Green (drawn by J. Grant),,8-9,,
7:47.0,,,8-11,2,J. Okafor makes 2-pt shot at rim (assist by R. Covington)
7:35.0,M. Conley misses 2-pt shot at rim,,8-11,,
7:32.0,,,8-11,,Defensive rebound by T. Wroten
7:29.0,,,8-11,,Turnover by T. Wroten (bad pass; steal by J. Green)
7:24.0,C. Lee makes 2-pt shot at rim (assist by M. Conley),2,10-11,,
7:11.0,,,10-11,,R. Covington misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by Team,,10-11,,
6:54.0,M. Barnes misses 3-pt shot from 23 ft,,10-11,,
6:51.0,,,10-11,,Defensive rebound by J. Okafor
6:44.0,,,10-11,,J. Okafor misses 2-pt shot from 13 ft
6:43.0,Jump ball: M. Gasol vs. J. Okafor (M. Conley gains possession),,,,Jump ball: M. Gasol vs. J. Okafor (M. Conley gains possession)
6:43.0,Defensive rebound by Team,,10-11,,
6:26.0,M. Gasol makes 2-pt shot from 15 ft,2,12-11,,
6:12.0,,,12-13,2,J. Okafor makes 2-pt shot at rim
5:47.0,C. Lee makes 2-pt shot from 9 ft (assist by M. Gasol),2,14-13,,
5:47.0,,,14-13,,Philadelphia full timeout
5:47.0,Z. Randolph enters the game for J. Green,,14-13,,
5:47.0,,,14-13,,T. McConnell enters the game for T. Wroten
5:47.0,,,14-13,,N. Noel enters the game for J. Grant
5:35.0,,,14-15,2,N. Noel makes 2-pt shot at rim
5:35.0,,,14-15,,Shooting foul by Z. Randolph (drawn by N. Noel)
5:35.0,,,14-16,1,N. Noel makes free throw 1 of 1
5:21.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,16-16,,
4:57.0,,,16-16,,I. Canaan misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by Z. Randolph,,16-16,,
4:50.0,,,16-16,,R. Holmes enters the game for R. Covington
4:50.0,,,16-16,,H. Thompson enters the game for J. Okafor
4:37.0,M. Conley misses 2-pt shot from 20 ft,,16-16,,
4:36.0,,,16-16,,Defensive rebound by N. Noel
4:30.0,,,16-16,,H. Thompson misses 3-pt shot from 23 ft
4:28.0,Defensive rebound by M. Gasol,,16-16,,
4:25.0,Shooting foul by T. McConnell (drawn by M. Conley),,16-16,,
4:25.0,M. Conley misses free throw 1 of 2,,16-16,,
4:25.0,Offensive rebound by Team,,16-16,,
4:25.0,,,16-16,,J. Sampson enters the game for I. Canaan
4:25.0,T. Allen enters the game for M. Barnes,,16-16,,
4:25.0,M. Conley makes free throw 2 of 2,1,17-16,,
4:03.0,,,17-16,,Turnover by T. McConnell (bad pass)
4:03.0,M. Chalmers enters the game for M. Conley,,17-16,,
3:52.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Chalmers),2,19-16,,
3:51.0,,,19-16,,Philadelphia full timeout
3:34.0,,,19-18,2,R. Holmes makes 2-pt shot from 15 ft (assist by T. McConnell)
3:16.0,Z. Randolph makes 2-pt shot from 22 ft (assist by M. Chalmers),2,21-18,,
2:59.0,,,21-18,,Turnover by H. Thompson (lost ball; steal by M. Gasol)
2:44.0,Z. Randolph makes 2-pt shot from 11 ft (assist by M. Gasol),2,23-18,,
2:26.0,,,23-18,,T. McConnell misses 2-pt shot from 15 ft
2:24.0,Defensive rebound by Z. Randolph,,23-18,,
2:18.0,Turnover by M. Chalmers (bad pass; steal by R. Holmes),,23-18,,
2:09.0,,,23-18,,R. Holmes misses 3-pt shot from 26 ft
