time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (J. Teague gains possession),,,,Jump ball: A. Horford vs. A. Johnson (J. Teague gains possession)
11:42.0,,,0-2,2,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague)
11:27.0,A. Bradley misses 3-pt shot from 24 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by K. Bazemore
11:20.0,,,0-2,,J. Teague misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by J. Sullinger,,0-2,,
11:08.0,J. Sullinger misses 2-pt shot from 21 ft,,0-2,,
11:08.0,Offensive rebound by A. Johnson,,0-2,,
11:07.0,A. Johnson misses 2-pt shot at rim,,0-2,,
11:05.0,,,0-2,,Defensive rebound by K. Korver
10:50.0,,,0-2,,K. Bazemore misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by I. Thomas,,0-2,,
10:44.0,J. Crowder misses 3-pt shot from 25 ft,,0-2,,
10:42.0,Offensive rebound by J. Sullinger,,0-2,,
10:41.0,J. Sullinger misses 2-pt shot from 1 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by K. Korver
10:35.0,,,0-4,2,J. Teague makes 2-pt shot from 13 ft
10:35.0,,,0-4,,Shooting foul by J. Sullinger (drawn by J. Teague)
10:35.0,,,0-5,1,J. Teague makes free throw 1 of 1
10:14.0,J. Sullinger makes 2-pt shot from 20 ft (assist by J. Crowder),2,2-5,,
9:59.0,,,2-5,,A. Horford misses 2-pt shot from 20 ft
9:58.0,Defensive rebound by J. Sullinger,,2-5,,
9:34.0,J. Crowder misses 2-pt shot from 21 ft,,2-5,,
9:34.0,,,2-5,,Defensive rebound by Team
9:29.0,Loose ball foul by A. Johnson,,2-5,,
9:21.0,,,2-5,,A. Horford misses 2-pt shot from 3 ft
9:19.0,,,2-5,,Offensive rebound by P. Millsap
9:19.0,,,2-7,2,P. Millsap makes 2-pt shot at rim
9:11.0,Turnover by I. Thomas (lost ball; steal by P. Millsap),,2-7,,
9:07.0,,,2-9,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
9:07.0,Boston full timeout,,2-9,,
8:48.0,A. Bradley makes 2-pt shot from 18 ft,2,4-9,,
8:38.0,Personal foul by A. Johnson,,4-9,,
8:30.0,,,4-11,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
8:12.0,E. Turner enters the game for A. Johnson,,4-11,,
8:11.0,Jump ball: K. Korver vs. J. Sullinger,,,,Jump ball: K. Korver vs. J. Sullinger
8:06.0,A. Bradley makes 2-pt shot from 19 ft (assist by I. Thomas),2,6-11,,
7:47.0,,,6-11,,A. Horford misses 2-pt shot from 20 ft
7:46.0,Defensive rebound by E. Turner,,6-11,,
7:39.0,E. Turner misses 2-pt shot from 17 ft,,6-11,,
7:38.0,Offensive rebound by J. Sullinger,,6-11,,
7:38.0,J. Sullinger misses 2-pt shot at rim,,6-11,,
7:37.0,,,6-11,,Defensive rebound by A. Horford
7:34.0,,,6-11,,Turnover by A. Horford (bad pass)
7:26.0,Shooting foul by A. Horford (drawn by I. Thomas),,6-11,,
7:26.0,I. Thomas makes free throw 1 of 2,1,7-11,,
7:26.0,I. Thomas makes free throw 2 of 2,1,8-11,,
7:10.0,,,8-13,2,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague)
7:01.0,A. Bradley misses 2-pt shot from 21 ft,,8-13,,
7:00.0,,,8-13,,Defensive rebound by K. Korver
6:54.0,,,8-13,,J. Teague misses 2-pt shot from 14 ft (block by I. Thomas)
6:54.0,,,8-13,,Offensive rebound by Team
6:52.0,,,8-15,2,K. Korver makes 2-pt shot from 1 ft (assist by J. Teague)
6:41.0,Shooting foul by P. Millsap (drawn by J. Crowder),,8-15,,
6:41.0,J. Crowder makes free throw 1 of 2,1,9-15,,
6:41.0,,,9-15,,M. Muscala enters the game for A. Horford
6:41.0,J. Crowder makes free throw 2 of 2,1,10-15,,
6:32.0,,,10-15,,K. Korver misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by E. Turner,,10-15,,
6:23.0,J. Crowder misses 3-pt shot from 25 ft,,10-15,,
6:21.0,,,10-15,,Defensive rebound by P. Millsap
6:09.0,,,10-18,3,P. Millsap makes 3-pt shot from 25 ft (assist by M. Muscala)
5:52.0,A. Bradley misses 2-pt shot from 19 ft,,10-18,,
5:50.0,,,10-18,,Defensive rebound by K. Bazemore
5:39.0,,,10-20,2,J. Teague makes 2-pt shot from 4 ft
5:28.0,J. Sullinger makes 3-pt shot from 25 ft (assist by I. Thomas),3,13-20,,
5:13.0,Shooting block foul by J. Sullinger (drawn by K. Bazemore),,13-20,,
5:13.0,,,13-21,1,K. Bazemore makes free throw 1 of 2
5:13.0,K. Olynyk enters the game for J. Sullinger,,13-21,,
5:13.0,M. Smart enters the game for A. Bradley,,13-21,,
5:13.0,,,13-21,,D. Schroder enters the game for J. Teague
5:13.0,,,13-21,,T. Sefolosha enters the game for K. Korver
5:13.0,,,13-22,1,K. Bazemore makes free throw 2 of 2
4:51.0,E. Turner misses 2-pt shot from 19 ft,,13-22,,
4:50.0,,,13-22,,Defensive rebound by Team
4:50.0,Loose ball foul by J. Crowder,,13-22,,
4:50.0,,,13-22,,T. Sefolosha misses free throw 1 of 2
4:50.0,,,13-22,,Offensive rebound by Team
4:50.0,,,13-22,,T. Hardaway enters the game for K. Bazemore
4:50.0,,,13-23,1,T. Sefolosha makes free throw 2 of 2
4:34.0,Turnover by I. Thomas (lost ball; steal by T. Sefolosha),,13-23,,
4:14.0,,,13-23,,P. Millsap misses 2-pt shot from 6 ft
4:12.0,,,13-23,,Offensive rebound by T. Sefolosha
4:06.0,,,13-23,,D. Schroder misses 2-pt shot from 2 ft (block by M. Smart)
4:03.0,Defensive rebound by J. Crowder,,13-23,,
3:59.0,I. Thomas misses 3-pt shot from 26 ft,,13-23,,
3:57.0,Offensive rebound by K. Olynyk,,13-23,,
3:52.0,J. Crowder misses 3-pt shot from 24 ft,,13-23,,
3:51.0,Offensive rebound by Team,,13-23,,
3:51.0,,,13-23,,Loose ball foul by T. Hardaway
3:46.0,K. Olynyk makes 2-pt shot from 19 ft (assist by E. Turner),2,15-23,,
3:38.0,,,15-23,,Atlanta full timeout
3:23.0,,,15-23,,T. Sefolosha misses 2-pt shot from 2 ft
3:23.0,Defensive rebound by Team,,15-23,,
3:23.0,,,15-23,,Loose ball foul by M. Muscala
3:05.0,I. Thomas makes 2-pt shot from 2 ft (assist by K. Olynyk),2,17-23,,
2:51.0,,,17-23,,Turnover by T. Sefolosha (lost ball; steal by E. Turner)
2:45.0,I. Thomas misses 3-pt shot from 26 ft,,17-23,,
2:44.0,,,17-23,,Defensive rebound by M. Muscala
2:31.0,,,17-23,,Offensive charge foul by D. Schroder
2:31.0,,,17-23,,Turnover by D. Schroder (offensive foul)
2:31.0,,,17-23,,M. Scott enters the game for P. Millsap
2:31.0,,,17-23,,A. Horford enters the game for M. Muscala
2:21.0,J. Crowder misses 3-pt shot from 25 ft,,17-23,,
2:20.0,,,17-23,,Defensive rebound by T. Sefolosha
2:00.0,,,17-23,,D. Schroder misses 2-pt shot from 5 ft
1:59.0,Defensive rebound by M. Smart,,17-23,,
1:55.0,Offensive charge foul by J. Crowder,,17-23,,
1:55.0,Turnover by J. Crowder (offensive foul),,17-23,,
1:55.0,J. Jerebko enters the game for J. Crowder,,17-23,,
1:34.0,,,17-23,,T. Hardaway misses 2-pt shot from 17 ft
1:29.0,,,17-23,,Offensive rebound by M. Scott
1:24.0,,,17-23,,T. Hardaway misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by J. Jerebko,,17-23,,
1:08.0,K. Olynyk misses 2-pt shot from 1 ft (block by T. Sefolosha),,17-23,,
1:06.0,,,17-23,,Defensive rebound by T. Sefolosha
1:02.0,,,17-25,2,M. Scott makes 2-pt shot at rim (assist by T. Sefolosha)
0:41.0,J. Jerebko misses 3-pt shot from 25 ft,,17-25,,
0:40.0,,,17-25,,Defensive rebound by T. Sefolosha
0:30.0,,,17-28,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
0:09.0,I. Thomas makes 2-pt shot from 1 ft,2,19-28,,
0:02.0,Personal foul by M. Smart,,19-28,,
0:02.0,,,19-29,1,A. Horford makes free throw 1 of 2
0:02.0,,,19-29,,K. Hinrich enters the game for D. Schroder
0:02.0,J. Sullinger enters the game for K. Olynyk,,19-29,,
0:02.0,,,19-30,1,A. Horford makes free throw 2 of 2
0:00.0,J. Sullinger misses 2-pt shot from 18 ft,,19-30,,
0:00.0,Offensive rebound by Team,,19-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,E. Turner makes 2-pt shot from 16 ft,2,21-30,,
11:20.0,,,21-30,,D. Schroder misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by J. Jerebko,,21-30,,
11:03.0,M. Smart misses 2-pt shot from 18 ft (block by T. Hardaway),,21-30,,
11:02.0,Offensive rebound by M. Smart,,21-30,,
11:00.0,Offensive charge foul by M. Smart,,21-30,,
11:00.0,Turnover by M. Smart (offensive foul),,21-30,,
11:00.0,,,21-30,,K. Korver enters the game for T. Sefolosha
10:49.0,,,21-30,,Turnover by K. Korver (bad pass)
10:49.0,,,21-30,,T. Sefolosha enters the game for T. Hardaway
10:35.0,M. Smart misses 3-pt shot from 25 ft,,21-30,,
10:33.0,,,21-30,,Defensive rebound by K. Korver
10:25.0,,,21-33,3,M. Scott makes 3-pt shot from 26 ft (assist by D. Schroder)
10:07.0,A. Bradley makes 2-pt shot from 18 ft (assist by J. Jerebko),2,23-33,,
10:07.0,Shooting foul by D. Schroder (drawn by A. Bradley),,23-33,,
10:07.0,A. Bradley makes free throw 1 of 1,1,24-33,,
9:56.0,,,24-33,,Turnover by T. Sefolosha (lost ball)
9:43.0,K. Olynyk misses 2-pt shot from 4 ft,,24-33,,
9:43.0,,,24-33,,Defensive rebound by M. Scott
9:43.0,Personal foul by K. Olynyk,,24-33,,
9:22.0,,,24-33,,D. Schroder misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by E. Turner,,24-33,,
9:17.0,,,24-33,,Violation by K. Korver (kicked ball)
9:17.0,,,24-33,,J. Teague enters the game for D. Schroder
9:17.0,,,24-33,,Flagrant foul type 1 by M. Scott
9:17.0,M. Smart misses flagrant free throw 1 of 2,,24-33,,
9:17.0,Offensive rebound by Team,,24-33,,
9:17.0,M. Smart makes flagrant free throw 2 of 2,1,25-33,,
9:08.0,A. Bradley misses 2-pt shot from 2 ft,,25-33,,
9:05.0,Offensive rebound by E. Turner,,25-33,,
9:00.0,Offensive foul by K. Olynyk,,25-33,,
9:00.0,Turnover by K. Olynyk (offensive foul),,25-33,,
9:00.0,Violation by Team (jump ball),,25-33,,
8:49.0,,,25-35,2,J. Teague makes 2-pt shot from 1 ft
8:33.0,M. Smart misses 2-pt shot from 5 ft,,25-35,,
8:31.0,,,25-35,,Defensive rebound by A. Horford
8:18.0,,,25-37,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
8:18.0,Boston full timeout,,25-37,,
8:18.0,A. Johnson enters the game for K. Olynyk,,25-37,,
8:18.0,,,25-37,,K. Bazemore enters the game for T. Sefolosha
8:18.0,,,25-37,,P. Millsap enters the game for M. Scott
7:52.0,E. Turner misses 2-pt shot from 8 ft,,25-37,,
7:51.0,,,25-37,,Defensive rebound by P. Millsap
7:42.0,,,25-37,,K. Bazemore misses 2-pt shot from 1 ft
7:40.0,Defensive rebound by A. Bradley,,25-37,,
7:35.0,Turnover by A. Bradley (bad pass),,25-37,,
7:23.0,,,25-39,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
7:03.0,J. Jerebko misses 2-pt shot from 5 ft (block by A. Horford),,25-39,,
7:01.0,Offensive rebound by E. Turner,,25-39,,
6:58.0,M. Smart makes 3-pt shot from 23 ft (assist by E. Turner),3,28-39,,
6:36.0,,,28-39,,K. Bazemore misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by J. Jerebko,,28-39,,
6:26.0,J. Jerebko misses 3-pt shot from 25 ft,,28-39,,
6:24.0,,,28-39,,Defensive rebound by A. Horford
6:17.0,Personal foul by J. Jerebko,,28-39,,
6:17.0,I. Thomas enters the game for E. Turner,,28-39,,
6:17.0,J. Crowder enters the game for J. Jerebko,,28-39,,
6:15.0,,,28-39,,M. Scott enters the game for A. Horford
6:06.0,,,28-41,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
5:56.0,A. Bradley misses 3-pt shot from 25 ft,,28-41,,
5:54.0,,,28-41,,Defensive rebound by P. Millsap
5:37.0,,,28-41,,K. Bazemore misses 3-pt shot from 24 ft
5:35.0,,,28-41,,Offensive rebound by M. Scott
5:34.0,,,28-43,2,M. Scott makes 2-pt shot at rim
5:17.0,A. Bradley misses 3-pt shot from 24 ft (block by K. Bazemore),,28-43,,
5:15.0,Offensive rebound by M. Smart,,28-43,,
5:12.0,J. Crowder misses 2-pt shot from 22 ft,,28-43,,
5:11.0,Offensive rebound by J. Crowder,,28-43,,
5:08.0,J. Crowder misses 3-pt shot from 26 ft,,28-43,,
5:07.0,,,28-43,,Defensive rebound by J. Teague
4:49.0,,,28-43,,J. Teague misses 2-pt shot from 9 ft (block by A. Bradley)
4:47.0,,,28-43,,Offensive rebound by J. Teague
4:43.0,,,28-43,,K. Bazemore misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by J. Crowder,,28-43,,
4:33.0,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas),2,30-43,,
4:33.0,,,30-43,,Atlanta full timeout
4:33.0,R. Hunter enters the game for M. Smart,,30-43,,
4:12.0,,,30-43,,J. Teague misses 3-pt shot from 24 ft
4:10.0,,,30-43,,Offensive rebound by K. Korver
4:06.0,,,30-43,,K. Korver misses 2-pt shot from 16 ft
