time,Phoenix,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Lopez (A. Goodwin gains possession),,,,Jump ball: T. Chandler vs. R. Lopez (A. Goodwin gains possession)
11:45.0,Turnover by P. Tucker (bad pass; steal by K. Porzingis),,0-0,,
11:26.0,,,0-0,,C. Anthony misses 2-pt shot from 15 ft
11:24.0,Defensive rebound by P. Tucker,,0-0,,
11:10.0,D. Booker misses 3-pt shot from 24 ft,,0-0,,
11:08.0,Offensive rebound by P. Tucker,,0-0,,
10:59.0,P. Tucker misses 2-pt shot from 22 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by L. Galloway
10:47.0,,,0-0,,Shooting foul by A. Len (drawn by R. Lopez)
10:47.0,,,0-0,,R. Lopez misses free throw 1 of 2
10:47.0,,,0-0,,Offensive rebound by Team
10:47.0,,,0-1,1,R. Lopez makes free throw 2 of 2
10:25.0,A. Len makes 2-pt shot from 1 ft,2,2-1,,
10:25.0,Shooting foul by K. Porzingis (drawn by A. Len),,2-1,,
10:25.0,A. Len misses free throw 1 of 1,,2-1,,
10:20.0,,,2-1,,Defensive rebound by R. Lopez
10:09.0,,,2-1,,L. Galloway misses 3-pt shot from 23 ft
10:07.0,Defensive rebound by T. Chandler,,2-1,,
10:00.0,A. Len misses 2-pt shot from 8 ft,,2-1,,
9:59.0,Offensive rebound by T. Chandler,,2-1,,
9:54.0,A. Goodwin misses 3-pt shot from 24 ft,,2-1,,
9:54.0,,,2-1,,Defensive rebound by K. Porzingis
9:44.0,,,2-3,2,L. Galloway makes 2-pt shot from 1 ft
9:30.0,Turnover by D. Booker (bad pass; steal by L. Galloway),,2-3,,
9:27.0,,,2-3,,Shooting foul by D. Booker (drawn by L. Galloway)
9:27.0,,,2-3,,L. Galloway misses free throw 1 of 2
9:27.0,,,2-3,,Offensive rebound by Team
9:27.0,,,2-4,1,L. Galloway makes free throw 2 of 2
9:17.0,A. Goodwin misses 2-pt shot from 2 ft,,2-4,,
9:15.0,Offensive rebound by A. Goodwin,,2-4,,
9:08.0,Turnover by A. Goodwin (bad pass; steal by A. Afflalo),,2-4,,
9:04.0,,,2-4,,A. Afflalo misses 2-pt shot from 2 ft (block by P. Tucker)
9:03.0,,,2-4,,Offensive rebound by Team
9:01.0,,,2-4,,Shooting foul by D. Booker (drawn by A. Afflalo)
9:01.0,,,2-5,1,A. Afflalo makes free throw 1 of 2
9:01.0,S. Weems enters the game for D. Booker,,2-5,,
9:01.0,,,2-6,1,A. Afflalo makes free throw 2 of 2
8:47.0,A. Goodwin misses 2-pt shot from 2 ft (block by R. Lopez),,2-6,,
8:43.0,Offensive rebound by A. Goodwin,,2-6,,
8:42.0,Turnover by A. Goodwin (bad pass; steal by L. Galloway),,2-6,,
8:38.0,,,2-8,2,A. Afflalo makes 2-pt shot from 2 ft (assist by L. Galloway)
8:26.0,Turnover by A. Goodwin (bad pass; steal by K. Porzingis),,2-8,,
8:21.0,,,2-10,2,R. Lopez makes 2-pt shot from 2 ft (assist by C. Anthony)
8:20.0,Phoenix full timeout,,2-10,,
8:10.0,P. Tucker makes 2-pt shot from 18 ft,2,4-10,,
7:57.0,,,4-10,,Turnover by C. Anthony (traveling)
7:44.0,Turnover by A. Len (lost ball; steal by C. Anthony),,4-10,,
7:37.0,,,4-13,3,A. Afflalo makes 3-pt shot from 24 ft (assist by C. Anthony)
7:12.0,Turnover by A. Len (lost ball),,4-13,,
6:57.0,,,4-13,,L. Galloway misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by T. Chandler,,4-13,,
6:46.0,A. Goodwin misses 2-pt shot from 17 ft,,4-13,,
6:45.0,,,4-13,,Defensive rebound by C. Anthony
6:37.0,,,4-16,3,A. Afflalo makes 3-pt shot from 23 ft (assist by L. Galloway)
6:16.0,Turnover by A. Len (lost ball; steal by L. Galloway),,4-16,,
6:10.0,,,4-16,,K. Porzingis misses 2-pt shot from 3 ft
6:08.0,Defensive rebound by A. Len,,4-16,,
6:00.0,Turnover by S. Weems (bad pass; steal by C. Anthony),,4-16,,
5:55.0,,,4-18,2,A. Afflalo makes 2-pt shot from 2 ft (assist by C. Anthony)
5:53.0,Phoenix full timeout,,4-18,,
5:53.0,M. Teletovic enters the game for A. Len,,4-18,,
5:41.0,,,4-18,,Personal foul by L. Galloway (drawn by T. Chandler)
5:38.0,,,4-18,,Personal foul by C. Anthony (drawn by P. Tucker)
