time,Atlanta,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Valanciunas (P. Millsap gains possession),,,,Jump ball: A. Horford vs. J. Valanciunas (P. Millsap gains possession)
11:37.0,K. Bazemore makes 2-pt shot from 17 ft,2,2-0,,
11:17.0,,,2-2,2,D. DeRozan makes 2-pt shot from 14 ft (assist by K. Lowry)
11:00.0,J. Teague misses 2-pt shot from 1 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by L. Scola
10:37.0,,,2-4,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by N. Powell)
10:19.0,J. Teague makes 2-pt shot at rim,2,4-4,,
9:59.0,,,4-4,,L. Scola misses 3-pt shot from 23 ft
9:58.0,Defensive rebound by J. Teague,,4-4,,
9:48.0,P. Millsap makes 2-pt shot from 15 ft (assist by J. Teague),2,6-4,,
9:35.0,,,6-4,,Turnover by D. DeRozan (step out of bounds)
9:22.0,Shooting foul by J. Valanciunas (drawn by P. Millsap),,6-4,,
9:22.0,P. Millsap misses free throw 1 of 2,,6-4,,
9:22.0,Offensive rebound by Team,,6-4,,
9:22.0,P. Millsap makes free throw 2 of 2,1,7-4,,
9:08.0,,,7-4,,Turnover by D. DeRozan (lost ball; steal by P. Millsap)
8:51.0,A. Horford misses 2-pt shot from 15 ft,,7-4,,
8:51.0,,,7-4,,Defensive rebound by L. Scola
8:28.0,,,7-4,,D. DeRozan misses 2-pt shot from 18 ft
8:27.0,,,7-4,,Offensive rebound by Team
8:27.0,,,7-4,,Turnover by Team (shot clock)
8:13.0,K. Korver misses 3-pt shot from 23 ft,,7-4,,
8:13.0,Offensive rebound by J. Teague,,7-4,,
8:00.0,K. Korver makes 2-pt shot from 16 ft (assist by A. Horford),2,9-4,,
7:53.0,,,9-4,,Toronto full timeout
7:47.0,,,9-4,,K. Lowry misses 3-pt shot from 24 ft
7:46.0,,,9-4,,Offensive rebound by L. Scola
7:45.0,,,9-4,,Turnover by L. Scola (lost ball; steal by P. Millsap)
7:30.0,K. Bazemore misses 3-pt shot from 26 ft,,9-4,,
7:30.0,Offensive rebound by P. Millsap,,9-4,,
7:22.0,Turnover by P. Millsap (bad pass),,9-4,,
7:06.0,,,9-6,2,L. Scola makes 2-pt shot from 1 ft (assist by N. Powell)
6:53.0,K. Bazemore misses 2-pt shot from 20 ft,,9-6,,
6:52.0,,,9-6,,Defensive rebound by L. Scola
6:39.0,,,9-6,,L. Scola misses 2-pt shot from 4 ft
6:38.0,Defensive rebound by A. Horford,,9-6,,
6:25.0,A. Horford makes 3-pt shot from 23 ft (assist by J. Teague),3,12-6,,
6:04.0,,,12-9,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
