time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession)
11:31.0,J. Green misses 3-pt shot from 32 ft,,0-0,,
11:31.0,Offensive rebound by Team,,0-0,,
11:31.0,Turnover by Team (shot clock),,0-0,,
11:15.0,,,0-0,,M. Plumlee misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by M. Gasol,,0-0,,
10:56.0,M. Conley misses 2-pt shot from 9 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by M. Plumlee
10:49.0,,,0-0,,Turnover by A. Aminu (bad pass)
10:36.0,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession)
10:30.0,M. Conley misses 3-pt shot from 24 ft,,0-0,,
10:30.0,,,0-0,,Defensive rebound by A. Aminu
10:18.0,,,0-0,,D. Lillard misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by Team,,0-0,,
10:06.0,C. Lee makes 2-pt shot from 4 ft (assist by M. Conley),2,2-0,,
9:50.0,,,2-0,,C. McCollum misses 2-pt shot from 17 ft
9:50.0,Defensive rebound by M. Conley,,2-0,,
9:35.0,J. Green misses 2-pt shot from 2 ft (block by N. Vonleh),,2-0,,
9:34.0,,,2-0,,Defensive rebound by M. Plumlee
9:22.0,,,2-0,,M. Plumlee misses 2-pt shot from 6 ft
9:21.0,Defensive rebound by J. Green,,2-0,,
9:11.0,,,2-0,,Def 3 sec tech foul by M. Plumlee
9:11.0,C. Lee makes technical free throw,1,3-0,,
8:58.0,M. Gasol misses 2-pt shot from 14 ft,,3-0,,
8:57.0,,,3-0,,Defensive rebound by N. Vonleh
8:46.0,,,3-0,,M. Plumlee misses 2-pt shot from 19 ft
8:45.0,,,3-0,,Offensive rebound by N. Vonleh
8:41.0,,,3-0,,N. Vonleh misses 2-pt shot from 2 ft (block by J. Green)
8:41.0,,,3-0,,Offensive rebound by A. Aminu
8:41.0,,,3-0,,Shooting foul by M. Gasol (drawn by A. Aminu)
8:41.0,,,3-1,1,A. Aminu makes free throw 1 of 2
8:41.0,,,3-2,1,A. Aminu makes free throw 2 of 2
8:28.0,C. Lee makes 2-pt shot from 4 ft (assist by M. Conley),2,5-2,,
8:09.0,,,5-2,,A. Aminu misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by M. Conley,,5-2,,
8:03.0,M. Barnes misses 2-pt shot at rim,,5-2,,
8:02.0,Offensive rebound by M. Barnes,,5-2,,
8:02.0,M. Barnes misses 2-pt shot at rim,,5-2,,
8:00.0,Offensive rebound by M. Barnes,,5-2,,
8:00.0,M. Barnes misses 2-pt shot at rim,,5-2,,
7:59.0,,,5-2,,Defensive rebound by N. Vonleh
7:49.0,,,5-2,,Turnover by N. Vonleh (bad pass; steal by M. Barnes)
