time,LA Lakers,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Jordan (J. Clarkson gains possession),,,,Jump ball: R. Hibbert vs. D. Jordan (J. Clarkson gains possession)
11:34.0,A. Brown misses 3-pt shot from 25 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by D. Jordan
11:15.0,,,0-0,,W. Johnson misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by L. Williams,,0-0,,
11:06.0,A. Brown makes 3-pt shot from 24 ft (assist by L. Williams),3,3-0,,
10:53.0,Personal foul by A. Brown (drawn by J. Redick),,3-0,,
10:43.0,,,3-0,,C. Paul misses 2-pt shot from 2 ft
10:40.0,Defensive rebound by L. Williams,,3-0,,
10:34.0,,,3-0,,Personal foul by J. Redick
10:27.0,J. Clarkson misses 3-pt shot from 26 ft,,3-0,,
10:26.0,,,3-0,,Defensive rebound by L. Mbah a Moute
10:17.0,,,3-2,2,C. Paul makes 2-pt shot from 14 ft
10:05.0,Turnover by J. Randle (bad pass; steal by L. Mbah a Moute),,3-2,,
9:59.0,,,3-4,2,W. Johnson makes 2-pt shot from 3 ft (assist by C. Paul)
9:40.0,R. Hibbert misses 2-pt shot from 11 ft,,3-4,,
9:37.0,,,3-4,,Defensive rebound by D. Jordan
9:27.0,,,3-6,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
9:15.0,Shooting foul by D. Jordan (drawn by L. Williams),,3-6,,
9:15.0,L. Williams misses free throw 1 of 3,,3-6,,
9:15.0,Offensive rebound by Team,,3-6,,
9:15.0,L. Williams makes free throw 2 of 3,1,4-6,,
9:15.0,L. Williams makes free throw 3 of 3,1,5-6,,
9:02.0,,,5-8,2,W. Johnson makes 2-pt shot from 2 ft (assist by C. Paul)
8:41.0,J. Clarkson makes 2-pt shot from 19 ft,2,7-8,,
8:27.0,,,7-10,2,W. Johnson makes 2-pt shot from 1 ft (assist by C. Paul)
8:15.0,J. Randle misses 2-pt shot from 13 ft,,7-10,,
8:14.0,,,7-10,,Defensive rebound by J. Redick
7:58.0,Personal foul by J. Randle (drawn by L. Mbah a Moute),,7-10,,
7:52.0,,,7-12,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
7:25.0,J. Randle misses 2-pt shot from 14 ft,,7-12,,
7:24.0,,,7-12,,Defensive rebound by L. Mbah a Moute
7:14.0,,,7-14,2,C. Paul makes 2-pt shot from 9 ft
6:55.0,R. Hibbert makes 2-pt shot from 18 ft (assist by J. Clarkson),2,9-14,,
6:42.0,,,9-14,,Shooting foul by L. Williams (drawn by J. Redick)
6:42.0,,,9-14,,J. Redick misses free throw 1 of 3
6:42.0,,,9-14,,Offensive rebound by Team
6:42.0,,,9-15,1,J. Redick makes free throw 2 of 3
6:42.0,,,9-16,1,J. Redick makes free throw 3 of 3
6:35.0,Shooting foul by D. Jordan (drawn by L. Williams),,9-16,,
6:35.0,L. Williams misses free throw 1 of 2,,9-16,,
6:35.0,Offensive rebound by Team,,9-16,,
6:35.0,,,9-16,,C. Aldrich enters the game for D. Jordan
6:35.0,L. Williams makes free throw 2 of 2,1,10-16,,
6:23.0,Personal block foul by J. Clarkson (drawn by C. Paul),,10-16,,
6:20.0,,,10-16,,J. Redick misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by J. Randle,,10-16,,
6:04.0,R. Hibbert makes 2-pt shot at rim (assist by L. Williams),2,12-16,,
5:59.0,,,12-16,,Shooting foul by R. Hibbert (drawn by C. Aldrich)
5:59.0,,,12-16,,LA Clippers full timeout
5:59.0,D. Russell enters the game for L. Williams,,12-16,,
5:59.0,,,12-17,1,C. Aldrich makes free throw 1 of 2
5:59.0,,,12-17,,C. Aldrich misses free throw 2 of 2
5:58.0,Defensive rebound by J. Randle,,12-17,,
