time,San Antonio,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Davis vs. T. Duncan (T. Parker gains possession)
11:45.0,T. Duncan makes 2-pt shot from 2 ft (assist by K. Leonard),2,2-0,,
11:30.0,,,2-0,,E. Gordon misses 2-pt shot from 7 ft
11:28.0,Defensive rebound by L. Aldridge,,2-0,,
11:15.0,T. Parker misses 2-pt shot from 20 ft,,2-0,,
11:14.0,,,2-0,,Defensive rebound by O. Asik
11:05.0,,,2-0,,A. Davis misses 2-pt shot from 19 ft
11:05.0,Defensive rebound by D. Green,,2-0,,
10:50.0,T. Duncan makes 2-pt shot from 16 ft (assist by T. Parker),2,4-0,,
10:37.0,Personal foul by K. Leonard (drawn by E. Gordon),,4-0,,
10:27.0,,,4-0,,Turnover by E. Gordon (lost ball)
10:13.0,L. Aldridge misses 2-pt shot from 2 ft,,4-0,,
10:12.0,,,4-0,,Defensive rebound by A. Davis
10:01.0,,,4-0,,J. Holiday misses 2-pt shot from 7 ft
9:59.0,Defensive rebound by T. Parker,,4-0,,
9:45.0,Shooting foul by A. Davis (drawn by L. Aldridge),,4-0,,
9:45.0,L. Aldridge makes free throw 1 of 2,1,5-0,,
9:45.0,L. Aldridge makes free throw 2 of 2,1,6-0,,
9:28.0,,,6-0,,Turnover by A. Davis (lost ball; steal by T. Duncan)
9:16.0,L. Aldridge misses 2-pt shot from 6 ft,,6-0,,
9:14.0,,,6-0,,Defensive rebound by A. Davis
9:06.0,,,6-0,,E. Gordon misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by L. Aldridge,,6-0,,
8:56.0,K. Leonard makes 2-pt shot from 5 ft,2,8-0,,
8:56.0,,,8-0,,New Orleans full timeout
8:56.0,B. Diaw enters the game for L. Aldridge,,8-0,,
8:42.0,,,8-0,,Shooting foul by T. Parker (drawn by J. Holiday)
8:42.0,,,8-2,2,J. Holiday makes 2-pt shot from 6 ft
8:42.0,,,8-3,1,J. Holiday makes free throw 1 of 1
8:25.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Duncan),3,11-3,,
8:16.0,,,11-5,2,E. Gordon makes 2-pt shot from 1 ft
7:56.0,Turnover by D. Green (bad pass; steal by E. Gordon),,11-5,,
7:43.0,,,11-5,,J. Holiday misses 2-pt shot from 12 ft
7:42.0,Defensive rebound by K. Leonard,,11-5,,
7:30.0,K. Leonard misses 2-pt shot from 15 ft,,11-5,,
7:28.0,,,11-5,,Defensive rebound by J. Holiday
7:13.0,,,11-7,2,J. Holiday makes 2-pt shot from 2 ft
7:02.0,,,11-7,,Violation by J. Holiday (kicked ball)
6:58.0,T. Parker misses 2-pt shot from 12 ft,,11-7,,
6:57.0,,,11-7,,Defensive rebound by O. Asik
