time,Milwaukee,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: G. Monroe vs. Z. Pachulia (D. Nowitzki gains possession)
11:42.0,,,0-3,3,W. Matthews makes 3-pt shot from 26 ft (assist by Z. Pachulia)
11:29.0,Turnover by M. Carter-Williams (bad pass; steal by Z. Pachulia),,0-3,,
11:17.0,,,0-6,3,C. Parsons makes 3-pt shot from 23 ft (assist by J. Barea)
11:09.0,Milwaukee full timeout,,0-6,,
11:01.0,K. Middleton makes 2-pt shot from 11 ft,2,2-6,,
10:38.0,Shooting block foul by G. Monroe (drawn by Z. Pachulia),,2-6,,
10:38.0,,,2-6,,Z. Pachulia misses free throw 1 of 2
10:38.0,,,2-6,,Offensive rebound by Team
10:38.0,,,2-7,1,Z. Pachulia makes free throw 2 of 2
10:20.0,M. Carter-Williams makes 2-pt shot from 5 ft (assist by G. Monroe),2,4-7,,
10:08.0,,,4-10,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Nowitzki)
9:50.0,J. Parker misses 2-pt shot from 5 ft,,4-10,,
9:48.0,,,4-10,,Defensive rebound by J. Barea
9:44.0,,,4-12,2,C. Parsons makes 2-pt shot at rim (assist by J. Barea)
9:32.0,G. Antetokounmpo makes 2-pt shot from 18 ft,2,6-12,,
9:10.0,,,6-12,,D. Nowitzki misses 2-pt shot from 20 ft
9:08.0,Defensive rebound by M. Carter-Williams,,6-12,,
8:53.0,K. Middleton makes 2-pt shot from 18 ft,2,8-12,,
8:33.0,,,8-14,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Nowitzki)
8:13.0,J. Parker misses 2-pt shot from 18 ft,,8-14,,
8:12.0,Offensive rebound by J. Parker,,8-14,,
8:08.0,Shooting foul by C. Parsons (drawn by G. Antetokounmpo),,8-14,,
8:08.0,G. Antetokounmpo makes free throw 1 of 2,1,9-14,,
8:08.0,G. Antetokounmpo makes free throw 2 of 2,1,10-14,,
7:46.0,,,10-14,,D. Nowitzki misses 2-pt shot from 14 ft
7:45.0,Defensive rebound by K. Middleton,,10-14,,
7:31.0,G. Monroe misses 2-pt shot from 16 ft,,10-14,,
7:30.0,,,10-14,,Defensive rebound by D. Nowitzki
7:20.0,,,10-16,2,Z. Pachulia makes 2-pt shot from 18 ft (assist by J. Barea)
7:01.0,Shooting foul by J. Barea (drawn by K. Middleton),,10-16,,
7:01.0,K. Middleton makes free throw 1 of 2,1,11-16,,
7:01.0,,,11-16,,D. Harris enters the game for C. Parsons
7:01.0,,,11-16,,D. Powell enters the game for D. Nowitzki
7:01.0,K. Middleton makes free throw 2 of 2,1,12-16,,
6:51.0,,,12-16,,W. Matthews misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by K. Middleton,,12-16,,
6:36.0,M. Carter-Williams misses 3-pt shot from 23 ft,,12-16,,
6:35.0,,,12-16,,Defensive rebound by D. Powell
6:22.0,,,12-16,,J. Barea misses 2-pt shot from 3 ft
6:21.0,Defensive rebound by G. Monroe,,12-16,,
6:15.0,M. Carter-Williams misses 2-pt shot from 1 ft,,12-16,,
6:13.0,,,12-16,,Defensive rebound by Z. Pachulia
6:09.0,,,12-18,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
5:46.0,Milwaukee full timeout,,12-18,,
5:46.0,,,12-18,,R. Felton enters the game for J. Barea
5:46.0,O. Mayo enters the game for J. Parker,,12-18,,
5:42.0,K. Middleton misses 2-pt shot from 20 ft,,12-18,,
5:41.0,,,12-18,,Defensive rebound by R. Felton
5:28.0,,,12-20,2,Z. Pachulia makes 2-pt shot from 2 ft
5:15.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,12-20,,
5:14.0,,,12-20,,Defensive rebound by W. Matthews
5:05.0,,,12-22,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by W. Matthews)
4:39.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,12-22,,
4:38.0,,,12-22,,Defensive rebound by D. Harris
4:34.0,Shooting block foul by G. Antetokounmpo (drawn by D. Harris),,12-22,,
4:34.0,,,12-22,,D. Harris misses free throw 1 of 2
4:34.0,,,12-22,,Offensive rebound by Team
4:34.0,J. Bayless enters the game for M. Carter-Williams,,12-22,,
4:34.0,,,12-23,1,D. Harris makes free throw 2 of 2
4:27.0,,,12-23,,Personal foul by W. Matthews (drawn by K. Middleton)
4:15.0,K. Middleton makes 2-pt shot from 12 ft,2,14-23,,
4:06.0,,,14-23,,W. Matthews misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by K. Middleton,,14-23,,
4:04.0,,,14-23,,Loose ball foul by W. Matthews (drawn by K. Middleton)
4:04.0,,,14-23,,C. Parsons enters the game for W. Matthews
3:54.0,,,14-23,,Personal foul by Z. Pachulia (drawn by G. Monroe)
3:54.0,G. Monroe makes free throw 1 of 2,1,15-23,,
3:54.0,G. Monroe makes free throw 2 of 2,1,16-23,,
3:36.0,,,16-23,,C. Parsons misses 2-pt shot from 2 ft (block by G. Monroe)
3:34.0,Defensive rebound by G. Monroe,,16-23,,
3:30.0,O. Mayo misses 3-pt shot from 23 ft,,16-23,,
3:28.0,,,16-23,,Defensive rebound by C. Parsons
3:18.0,,,16-23,,C. Parsons misses 3-pt shot from 28 ft
3:18.0,Defensive rebound by G. Monroe,,16-23,,
3:04.0,J. Bayless makes 2-pt shot from 1 ft,2,18-23,,
3:00.0,,,18-23,,Dallas full timeout
2:43.0,,,18-26,3,R. Felton makes 3-pt shot from 23 ft (assist by D. Harris)
2:29.0,Turnover by J. Bayless (bad pass; steal by D. Harris),,18-26,,
2:26.0,,,18-26,,Shooting foul by J. Bayless (drawn by R. Felton)
2:26.0,,,18-27,1,R. Felton makes free throw 1 of 2
2:26.0,,,18-28,1,R. Felton makes free throw 2 of 2
2:14.0,Offensive foul by G. Antetokounmpo,,18-28,,
2:14.0,Turnover by G. Antetokounmpo (offensive foul),,18-28,,
2:14.0,J. O'Bryant enters the game for G. Antetokounmpo,,18-28,,
1:57.0,,,18-28,,D. Harris misses 2-pt shot from 2 ft
1:55.0,Defensive rebound by J. Bayless,,18-28,,
1:43.0,J. Bayless makes 3-pt shot from 25 ft (assist by G. Monroe),3,21-28,,
1:29.0,,,21-28,,D. Powell misses 2-pt shot from 17 ft
1:28.0,Defensive rebound by K. Middleton,,21-28,,
1:19.0,J. Bayless makes 2-pt shot from 15 ft,2,23-28,,
1:17.0,,,23-28,,Dallas full timeout
1:17.0,,,23-28,,D. Nowitzki enters the game for Z. Pachulia
1:17.0,M. Plumlee enters the game for G. Monroe,,23-28,,
0:55.0,,,23-30,2,R. Felton makes 2-pt shot from 22 ft
0:44.0,K. Middleton misses 3-pt shot from 22 ft,,23-30,,
0:42.0,,,23-30,,Defensive rebound by R. Felton
0:29.0,,,23-32,2,C. Parsons makes 2-pt shot from 1 ft
0:11.0,Shooting foul by D. Powell (drawn by J. O'Bryant),,23-32,,
0:11.0,J. O'Bryant misses free throw 1 of 2,,23-32,,
0:11.0,Offensive rebound by Team,,23-32,,
0:11.0,J. O'Bryant makes free throw 2 of 2,1,24-32,,
0:04.0,,,24-32,,D. Harris misses 2-pt shot from 2 ft
0:03.0,,,24-32,,Offensive rebound by D. Powell
0:03.0,,,24-34,2,D. Powell makes 2-pt shot at rim
0:00.0,K. Middleton misses 2-pt shot from 9 ft,,24-34,,
0:00.0,Offensive rebound by Team,,24-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,O. Mayo makes 2-pt shot from 21 ft (assist by J. Bayless),2,26-34,,
11:33.0,,,26-36,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by D. Powell)
11:20.0,J. O'Bryant makes 2-pt shot from 18 ft (assist by J. Bayless),2,28-36,,
10:55.0,,,28-36,,C. Parsons misses 2-pt shot from 16 ft
10:53.0,Defensive rebound by R. Vaughn,,28-36,,
10:45.0,J. Bayless makes 2-pt shot from 17 ft,2,30-36,,
10:39.0,Personal foul by J. O'Bryant (drawn by D. Nowitzki),,30-36,,
10:39.0,,,30-36,,J. McGee enters the game for D. Powell
10:27.0,,,30-36,,D. Nowitzki misses 3-pt shot from 22 ft
10:26.0,,,30-36,,Offensive rebound by J. McGee
10:16.0,,,30-36,,C. Parsons misses 2-pt shot from 2 ft (block by M. Plumlee)
10:14.0,Defensive rebound by R. Vaughn,,30-36,,
10:09.0,O. Mayo makes 3-pt shot from 23 ft (assist by R. Vaughn),3,33-36,,
9:58.0,,,33-38,2,J. Barea makes 2-pt shot from 10 ft
9:44.0,J. O'Bryant makes 2-pt shot from 20 ft (assist by J. Bayless),2,35-38,,
9:23.0,,,35-40,2,J. Barea makes 2-pt shot from 3 ft (assist by R. Felton)
9:10.0,Turnover by J. Bayless (bad pass; steal by D. Nowitzki),,35-40,,
9:04.0,,,35-42,2,C. Parsons makes 2-pt shot at rim (assist by R. Felton)
9:04.0,Milwaukee full timeout,,35-42,,
8:44.0,J. O'Bryant misses 2-pt shot from 3 ft,,35-42,,
8:43.0,Offensive rebound by M. Plumlee,,35-42,,
8:43.0,M. Plumlee makes 2-pt shot at rim,2,37-42,,
8:18.0,,,37-42,,J. Barea misses 3-pt shot from 25 ft
8:17.0,,,37-42,,Offensive rebound by J. McGee
8:10.0,,,37-44,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by C. Parsons)
7:57.0,J. Bayless misses 2-pt shot from 10 ft,,37-44,,
7:55.0,Offensive rebound by J. O'Bryant,,37-44,,
7:50.0,J. Bayless misses 3-pt shot from 23 ft,,37-44,,
7:49.0,,,37-44,,Defensive rebound by C. Parsons
7:34.0,,,37-44,,J. McGee misses 2-pt shot from 2 ft
