time,New York,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,K. Porzingis misses 2-pt shot from 1 ft,,0-0,,
12:00.0,Jump ball: R. Lopez vs. M. Plumlee (K. Porzingis gains possession),,,,Jump ball: R. Lopez vs. M. Plumlee (K. Porzingis gains possession)
11:41.0,,,0-0,,Defensive rebound by C. McCollum
11:24.0,,,0-2,2,C. McCollum makes 2-pt shot from 15 ft
11:05.0,C. Anthony makes 2-pt shot from 16 ft (assist by J. Calderon),2,2-2,,
10:41.0,,,2-2,,Turnover by M. Plumlee (lost ball; steal by K. Porzingis)
10:28.0,Turnover by K. Porzingis (lost ball; steal by N. Vonleh),,2-2,,
10:20.0,,,2-5,3,C. McCollum makes 3-pt shot from 24 ft
10:03.0,A. Afflalo makes 2-pt shot from 18 ft (assist by R. Lopez),2,4-5,,
9:45.0,,,4-7,2,D. Lillard makes 2-pt shot from 19 ft
9:32.0,Shooting foul by C. McCollum (drawn by A. Afflalo),,4-7,,
9:32.0,A. Afflalo misses free throw 1 of 2,,4-7,,
9:32.0,Offensive rebound by Team,,4-7,,
9:32.0,A. Afflalo makes free throw 2 of 2,1,5-7,,
9:16.0,,,5-7,,C. McCollum misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by Team,,5-7,,
8:59.0,J. Calderon misses 3-pt shot from 23 ft,,5-7,,
8:59.0,,,5-7,,Defensive rebound by N. Vonleh
8:52.0,,,5-7,,Shooting foul by R. Lopez (drawn by M. Plumlee)
8:52.0,,,5-7,,M. Plumlee misses free throw 1 of 2
8:52.0,,,5-7,,Offensive rebound by Team
8:52.0,,,5-8,1,M. Plumlee makes free throw 2 of 2
8:41.0,C. Anthony makes 2-pt shot from 18 ft,2,7-8,,
8:25.0,,,7-8,,Turnover by C. McCollum (bad pass; steal by K. Porzingis)
8:10.0,C. Anthony misses 3-pt shot from 26 ft,,7-8,,
8:10.0,,,7-8,,Defensive rebound by A. Aminu
8:03.0,,,7-8,,A. Aminu misses 2-pt shot from 1 ft
8:01.0,,,7-8,,Offensive rebound by N. Vonleh
8:01.0,,,7-10,2,N. Vonleh makes 2-pt shot at rim
7:51.0,,,7-10,,Personal foul by N. Vonleh (drawn by K. Porzingis)
7:46.0,J. Calderon misses 2-pt shot from 19 ft,,7-10,,
7:45.0,,,7-10,,Defensive rebound by A. Aminu
7:38.0,,,7-10,,A. Aminu misses 2-pt shot at rim (block by C. Anthony)
7:34.0,Defensive rebound by J. Calderon,,7-10,,
7:29.0,A. Afflalo misses 2-pt shot from 12 ft,,7-10,,
7:28.0,,,7-10,,Defensive rebound by D. Lillard
7:19.0,,,7-12,2,M. Plumlee makes 2-pt shot from 6 ft (assist by D. Lillard)
7:05.0,C. Anthony makes 2-pt shot from 14 ft,2,9-12,,
6:49.0,,,9-14,2,M. Plumlee makes 2-pt shot at rim
6:34.0,K. Porzingis misses 2-pt shot from 6 ft,,9-14,,
6:32.0,,,9-14,,Defensive rebound by A. Aminu
6:27.0,,,9-14,,Shooting foul by A. Afflalo (drawn by C. McCollum)
6:27.0,,,9-15,1,C. McCollum makes free throw 1 of 2
6:27.0,,,9-16,1,C. McCollum makes free throw 2 of 2
6:10.0,Turnover by C. Anthony (traveling),,9-16,,
6:10.0,,,9-16,,Portland full timeout
5:58.0,,,9-18,2,D. Lillard makes 2-pt shot from 12 ft
5:44.0,K. Porzingis misses 2-pt shot from 12 ft,,9-18,,
5:44.0,,,9-18,,Defensive rebound by M. Plumlee
5:34.0,,,9-18,,Shooting foul by K. Porzingis (drawn by M. Plumlee)
5:34.0,,,9-18,,M. Plumlee misses free throw 1 of 2
5:34.0,,,9-18,,Offensive rebound by Team
5:34.0,L. Galloway enters the game for J. Calderon,,9-18,,
5:34.0,,,9-18,,A. Crabbe enters the game for C. McCollum
5:34.0,,,9-18,,M. Plumlee misses free throw 2 of 2
5:33.0,,,9-18,,Offensive rebound by N. Vonleh
5:25.0,,,9-18,,D. Lillard misses 2-pt shot from 2 ft
5:23.0,,,9-18,,Offensive rebound by N. Vonleh
5:21.0,,,9-20,2,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Vonleh)
5:06.0,R. Lopez makes 2-pt shot from 6 ft (assist by C. Anthony),2,11-20,,
4:46.0,,,11-20,,A. Crabbe misses 2-pt shot from 18 ft
4:45.0,,,11-20,,Offensive rebound by Team
4:42.0,,,11-20,,Turnover by M. Plumlee (lost ball)
4:33.0,Turnover by A. Afflalo (bad pass; steal by M. Plumlee),,11-20,,
4:26.0,,,11-20,,A. Crabbe misses 3-pt shot from 23 ft
4:24.0,,,11-20,,Offensive rebound by D. Lillard
4:24.0,,,11-22,2,D. Lillard makes 2-pt shot at rim
4:03.0,R. Lopez makes 2-pt shot from 9 ft,2,13-22,,
3:44.0,,,13-24,2,M. Plumlee makes 2-pt shot from 16 ft
3:17.0,C. Anthony misses 2-pt shot from 12 ft,,13-24,,
3:16.0,,,13-24,,Defensive rebound by D. Lillard
3:11.0,Violation by L. Galloway (kicked ball),,13-24,,
3:11.0,,,13-24,,M. Leonard enters the game for M. Plumlee
3:11.0,,,13-24,,E. Davis enters the game for N. Vonleh
3:11.0,L. Thomas enters the game for K. Porzingis,,13-24,,
3:11.0,K. O'Quinn enters the game for R. Lopez,,13-24,,
2:56.0,,,13-24,,D. Lillard misses 2-pt shot from 17 ft
2:54.0,,,13-24,,Offensive rebound by M. Leonard
2:38.0,,,13-24,,D. Lillard misses 2-pt shot from 2 ft
2:36.0,Defensive rebound by L. Galloway,,13-24,,
2:31.0,L. Galloway misses 2-pt shot from 17 ft,,13-24,,
2:29.0,Offensive rebound by K. O'Quinn,,13-24,,
2:28.0,K. O'Quinn makes 2-pt shot at rim,2,15-24,,
