time,Washington,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. M. Gortat (B. Beal gains possession),,,,Jump ball: D. Cousins vs. M. Gortat (B. Beal gains possession)
11:46.0,,,0-0,,Personal foul by S. Curry
11:36.0,B. Beal misses 2-pt shot from 16 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by Q. Acy
11:16.0,,,0-2,2,D. Cousins makes 2-pt shot from 16 ft
11:03.0,M. Morris misses 2-pt shot from 10 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by R. Gay
10:46.0,,,0-2,,R. Gay misses 2-pt shot from 6 ft
10:45.0,Defensive rebound by J. Wall,,0-2,,
10:42.0,Turnover by M. Gortat (lost ball; steal by R. Rondo),,0-2,,
10:38.0,,,0-2,,Turnover by R. Gay (lost ball)
10:20.0,M. Gortat misses 2-pt shot from 17 ft,,0-2,,
10:19.0,,,0-2,,Defensive rebound by Q. Acy
10:12.0,,,0-4,2,D. Cousins makes 2-pt shot from 6 ft (assist by R. Rondo)
9:56.0,O. Porter misses 3-pt shot from 25 ft,,0-4,,
9:56.0,,,0-4,,Defensive rebound by D. Cousins
9:50.0,,,0-4,,D. Cousins misses 2-pt shot from 7 ft (block by J. Wall)
9:49.0,Defensive rebound by J. Wall,,0-4,,
9:47.0,Shooting foul by Q. Acy (drawn by B. Beal),,0-4,,
9:47.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,2-4,,
9:47.0,B. Beal makes free throw 1 of 1,1,3-4,,
9:32.0,,,3-4,,R. Rondo misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by M. Morris,,3-4,,
9:24.0,B. Beal misses 3-pt shot from 25 ft,,3-4,,
9:24.0,,,3-4,,Defensive rebound by Q. Acy
9:19.0,,,3-4,,Turnover by D. Cousins (lost ball; steal by B. Beal)
9:14.0,M. Morris misses 2-pt shot from 5 ft (block by D. Cousins),,3-4,,
9:12.0,Offensive rebound by M. Gortat,,3-4,,
9:09.0,B. Beal makes 2-pt shot from 3 ft (assist by O. Porter),2,5-4,,
9:06.0,Personal foul by O. Porter,,5-4,,
8:55.0,,,5-6,2,D. Cousins makes 2-pt shot from 5 ft (assist by R. Rondo)
8:37.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,7-6,,
8:08.0,,,7-9,3,Q. Acy makes 3-pt shot from 26 ft (assist by R. Rondo)
7:52.0,B. Beal misses 2-pt shot from 4 ft,,7-9,,
7:51.0,Offensive rebound by B. Beal,,7-9,,
7:36.0,M. Morris misses 2-pt shot from 3 ft,,7-9,,
7:35.0,,,7-9,,Defensive rebound by D. Cousins
7:24.0,,,7-11,2,R. Gay makes 2-pt shot from 6 ft
7:12.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,9-11,,
6:44.0,,,9-13,2,D. Cousins makes 2-pt shot from 4 ft
6:32.0,M. Gortat misses 2-pt shot from 8 ft,,9-13,,
6:31.0,,,9-13,,Defensive rebound by Q. Acy
6:23.0,,,9-13,,S. Curry misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by B. Beal,,9-13,,
6:18.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,11-13,,
6:03.0,,,11-16,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
5:36.0,Turnover by B. Beal (lost ball; steal by D. Cousins),,11-16,,
5:32.0,,,11-18,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Cousins)
5:23.0,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal),3,14-18,,
5:06.0,,,14-18,,D. Cousins misses 2-pt shot from 21 ft
5:04.0,Defensive rebound by J. Wall,,14-18,,
4:58.0,,,14-18,,Shooting block foul by D. Cousins (drawn by J. Wall)
4:58.0,,,14-18,,Sacramento full timeout
4:58.0,,,14-18,,D. Collison enters the game for D. Cousins
4:58.0,,,14-18,,K. Koufos enters the game for S. Curry
4:58.0,,,14-18,,W. Cauley-Stein enters the game for Q. Acy
