time,LA Lakers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. R. Hibbert (K. Leonard gains possession),,,,Jump ball: L. Aldridge vs. R. Hibbert (K. Leonard gains possession)
11:46.0,,,0-0,,Shooting foul by R. Hibbert (drawn by L. Aldridge)
11:46.0,,,0-1,1,L. Aldridge makes free throw 1 of 2
11:46.0,,,0-2,1,L. Aldridge makes free throw 2 of 2
11:28.0,K. Bryant makes 2-pt shot from 19 ft,2,2-2,,
11:11.0,,,2-4,2,L. Aldridge makes 2-pt shot from 13 ft (assist by D. West)
10:49.0,J. Randle misses 2-pt shot from 16 ft,,2-4,,
10:48.0,,,2-4,,Defensive rebound by L. Aldridge
10:37.0,,,2-6,2,D. Green makes 2-pt shot at rim (assist by D. West)
10:23.0,K. Bryant misses 2-pt shot from 16 ft,,2-6,,
10:22.0,Offensive rebound by R. Hibbert,,2-6,,
10:17.0,J. Clarkson misses 2-pt shot from 20 ft,,2-6,,
10:16.0,,,2-6,,Defensive rebound by K. Leonard
9:56.0,,,2-6,,T. Parker misses 2-pt shot at rim
9:55.0,Defensive rebound by J. Randle,,2-6,,
9:40.0,J. Randle makes 2-pt shot from 13 ft (assist by L. Williams),2,4-6,,
9:22.0,,,4-6,,L. Aldridge misses 2-pt shot from 13 ft
9:21.0,Defensive rebound by R. Hibbert,,4-6,,
9:10.0,K. Bryant misses 2-pt shot from 12 ft,,4-6,,
9:09.0,Offensive rebound by J. Randle,,4-6,,
9:00.0,Turnover by K. Bryant (traveling),,4-6,,
8:42.0,,,4-6,,D. West misses 2-pt shot from 13 ft
8:42.0,Defensive rebound by J. Randle,,4-6,,
8:25.0,Turnover by J. Randle (lost ball; steal by K. Leonard),,4-6,,
8:17.0,,,4-6,,K. Leonard misses 2-pt shot from 19 ft
8:16.0,Defensive rebound by L. Williams,,4-6,,
8:09.0,J. Randle misses 2-pt shot from 1 ft,,4-6,,
8:08.0,,,4-6,,Defensive rebound by D. West
8:06.0,,,4-6,,Turnover by D. Green (step out of bounds)
7:57.0,Shooting foul by D. West (drawn by L. Williams),,4-6,,
7:57.0,L. Williams makes free throw 1 of 2,1,5-6,,
7:57.0,,,5-6,,B. Diaw enters the game for D. West
7:57.0,L. Williams makes free throw 2 of 2,1,6-6,,
7:46.0,,,6-6,,K. Leonard misses 2-pt shot at rim
7:45.0,,,6-6,,Offensive rebound by K. Leonard
7:40.0,,,6-6,,Shooting foul by J. Clarkson (drawn by K. Leonard)
7:40.0,,,6-7,1,K. Leonard makes free throw 1 of 2
7:40.0,,,6-8,1,K. Leonard makes free throw 2 of 2
7:28.0,L. Williams makes 2-pt shot from 21 ft (assist by K. Bryant),2,8-8,,
7:16.0,,,8-8,,Turnover by L. Aldridge (3 sec)
7:05.0,K. Bryant misses 3-pt shot from 24 ft,,8-8,,
7:04.0,,,8-8,,Defensive rebound by D. Green
6:56.0,,,8-8,,K. Leonard misses 2-pt shot from 17 ft
6:56.0,,,8-8,,Offensive rebound by K. Leonard
6:56.0,,,8-8,,Shooting foul by J. Randle (drawn by K. Leonard)
6:56.0,,,8-9,1,K. Leonard makes free throw 1 of 2
6:56.0,,,8-9,,J. Simmons enters the game for D. Green
6:56.0,,,8-10,1,K. Leonard makes free throw 2 of 2
6:39.0,L. Williams misses 3-pt shot from 24 ft,,8-10,,
6:38.0,Offensive rebound by K. Bryant,,8-10,,
6:34.0,K. Bryant misses 2-pt shot from 19 ft,,8-10,,
6:33.0,,,8-10,,Defensive rebound by K. Leonard
6:14.0,,,8-12,2,L. Aldridge makes 2-pt shot from 10 ft (assist by T. Parker)
5:59.0,,,8-12,,Personal foul by T. Parker (drawn by J. Clarkson)
5:59.0,,,8-12,,San Antonio full timeout
5:59.0,,,8-12,,P. Mills enters the game for T. Parker
5:59.0,D. Russell enters the game for L. Williams,,8-12,,
5:53.0,D. Russell misses 2-pt shot from 14 ft,,8-12,,
5:52.0,,,8-12,,Defensive rebound by P. Mills
5:40.0,,,8-14,2,P. Mills makes 2-pt shot from 17 ft
5:12.0,J. Clarkson makes 2-pt shot from 18 ft,2,10-14,,
4:56.0,,,10-16,2,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills)
4:40.0,J. Randle misses 2-pt shot from 13 ft,,10-16,,
4:39.0,,,10-16,,Defensive rebound by L. Aldridge
4:25.0,,,10-19,3,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons)
4:03.0,R. Hibbert makes 2-pt shot from 17 ft (assist by K. Bryant),2,12-19,,
3:54.0,,,12-19,,Turnover by K. Leonard (traveling)
3:54.0,,,12-19,,D. West enters the game for L. Aldridge
3:54.0,N. Young enters the game for K. Bryant,,12-19,,
3:54.0,B. Bass enters the game for R. Hibbert,,12-19,,
3:43.0,,,12-19,,Personal foul by J. Simmons (drawn by J. Clarkson)
3:43.0,,,12-19,,K. Anderson enters the game for K. Leonard
3:38.0,J. Clarkson misses 2-pt shot from 1 ft,,12-19,,
3:37.0,,,12-19,,Defensive rebound by K. Anderson
3:32.0,,,12-19,,P. Mills misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by N. Young,,12-19,,
3:15.0,J. Clarkson makes 2-pt shot from 19 ft (assist by D. Russell),2,14-19,,
2:59.0,,,14-19,,J. Simmons misses 3-pt shot from 24 ft
2:58.0,Defensive rebound by J. Randle,,14-19,,
2:47.0,B. Bass misses 2-pt shot from 2 ft,,14-19,,
2:46.0,,,14-19,,Defensive rebound by D. West
2:35.0,,,14-21,2,D. West makes 2-pt shot from 18 ft (assist by P. Mills)
2:28.0,LA Lakers full timeout,,14-21,,
2:28.0,T. Black enters the game for J. Randle,,14-21,,
2:28.0,Offensive foul by D. Russell,,14-21,,
2:28.0,Turnover by D. Russell (offensive foul),,14-21,,
2:14.0,,,14-21,,Turnover by K. Anderson (lost ball)
1:55.0,J. Clarkson makes 2-pt shot from 2 ft,2,16-21,,
1:44.0,,,16-21,,P. Mills misses 2-pt shot from 19 ft
1:42.0,Defensive rebound by T. Black,,16-21,,
1:33.0,J. Clarkson misses 2-pt shot from 15 ft,,16-21,,
1:32.0,Offensive rebound by J. Clarkson,,16-21,,
1:29.0,J. Clarkson makes 2-pt shot at rim,2,18-21,,
1:17.0,,,18-24,3,B. Diaw makes 3-pt shot from 24 ft (assist by P. Mills)
1:00.0,N. Young misses 3-pt shot from 24 ft,,18-24,,
1:00.0,,,18-24,,Defensive rebound by P. Mills
0:45.0,,,18-24,,Turnover by P. Mills (bad pass; steal by J. Clarkson)
0:39.0,J. Clarkson misses 2-pt shot from 1 ft (block by B. Diaw),,18-24,,
0:37.0,,,18-24,,Defensive rebound by J. Simmons
