time,Sacramento,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Jefferson (K. Walker gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Jefferson (K. Walker gains possession)
11:42.0,,,0-3,3,P. Hairston makes 3-pt shot from 27 ft (assist by K. Walker)
11:28.0,Turnover by B. McLemore (bad pass; steal by A. Jefferson),,0-3,,
11:21.0,,,0-3,,P. Hairston misses 3-pt shot from 28 ft
11:20.0,Defensive rebound by R. Rondo,,0-3,,
11:12.0,D. Cousins misses 3-pt shot from 25 ft,,0-3,,
11:12.0,Offensive rebound by R. Rondo,,0-3,,
11:09.0,Shooting foul by A. Jefferson (drawn by B. McLemore),,0-3,,
11:09.0,B. McLemore makes free throw 1 of 2,1,1-3,,
11:09.0,B. McLemore makes free throw 2 of 2,1,2-3,,
10:55.0,,,2-3,,A. Jefferson misses 2-pt shot from 10 ft
10:54.0,Defensive rebound by R. Gay,,2-3,,
10:49.0,Shooting foul by P. Hairston (drawn by R. Rondo),,2-3,,
10:49.0,R. Rondo makes free throw 1 of 2,1,3-3,,
10:49.0,R. Rondo misses free throw 2 of 2,,3-3,,
10:46.0,,,3-3,,Defensive rebound by N. Batum
10:30.0,,,3-3,,Turnover by A. Jefferson (bad pass; steal by B. McLemore)
10:28.0,Turnover by B. McLemore (offensive foul),,3-3,,
10:28.0,Offensive charge foul by B. McLemore,,3-3,,
10:14.0,,,3-6,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
9:58.0,B. McLemore makes 2-pt shot from 1 ft (assist by R. Rondo),2,5-6,,
9:35.0,,,5-6,,N. Batum misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by R. Rondo,,5-6,,
9:29.0,B. McLemore misses 3-pt shot from 24 ft,,5-6,,
9:27.0,,,5-6,,Defensive rebound by K. Walker
9:21.0,,,5-8,2,A. Jefferson makes 2-pt shot from 8 ft (assist by N. Batum)
9:06.0,R. Gay makes 2-pt shot from 1 ft,2,7-8,,
8:47.0,,,7-8,,M. Williams misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by D. Cousins,,7-8,,
8:39.0,D. Cousins misses 3-pt shot from 25 ft,,7-8,,
8:38.0,,,7-8,,Defensive rebound by P. Hairston
8:27.0,,,7-10,2,K. Walker makes 2-pt shot from 20 ft
