time,Milwaukee,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. G. Monroe (M. Carter-Williams gains possession),,,,Jump ball: M. Gasol vs. G. Monroe (M. Carter-Williams gains possession)
11:38.0,G. Monroe misses 2-pt shot from 11 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by Z. Randolph
11:23.0,,,0-2,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
11:07.0,M. Carter-Williams makes 2-pt shot at rim,2,2-2,,
10:48.0,,,2-2,,T. Allen misses 2-pt shot from 4 ft
10:47.0,Defensive rebound by J. Parker,,2-2,,
10:39.0,Turnover by G. Monroe (bad pass; steal by M. Conley),,2-2,,
10:28.0,,,2-4,2,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley)
10:10.0,Turnover by G. Monroe (lost ball; steal by M. Gasol),,2-4,,
10:00.0,,,2-6,2,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley)
9:41.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Monroe),3,5-6,,
9:18.0,,,5-6,,Turnover by Z. Randolph (bad pass; steal by K. Middleton)
9:14.0,Shooting foul by M. Gasol (drawn by G. Monroe),,5-6,,
9:14.0,G. Monroe makes free throw 1 of 2,1,6-6,,
9:14.0,G. Monroe makes free throw 2 of 2,1,7-6,,
8:56.0,,,7-6,,C. Lee misses 2-pt shot from 7 ft
8:54.0,Defensive rebound by G. Antetokounmpo,,7-6,,
8:43.0,K. Middleton misses 2-pt shot from 19 ft,,7-6,,
8:41.0,,,7-6,,Defensive rebound by M. Gasol
8:27.0,,,7-8,2,T. Allen makes 2-pt shot from 1 ft
8:06.0,G. Monroe makes 2-pt shot from 5 ft,2,9-8,,
7:56.0,,,9-10,2,M. Gasol makes 2-pt shot from 8 ft (assist by M. Conley)
7:39.0,G. Monroe misses 2-pt shot from 10 ft,,9-10,,
7:36.0,,,9-10,,Defensive rebound by M. Conley
7:15.0,,,9-12,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley)
7:00.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,11-12,,
6:43.0,,,11-12,,Turnover by M. Conley (bad pass)
6:28.0,Shooting foul by T. Allen (drawn by G. Monroe),,11-12,,
6:28.0,G. Monroe makes free throw 1 of 2,1,12-12,,
6:28.0,G. Monroe misses free throw 2 of 2,,12-12,,
6:27.0,,,12-12,,Defensive rebound by T. Allen
6:07.0,,,12-12,,M. Conley misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by G. Monroe,,12-12,,
6:03.0,Turnover by M. Carter-Williams (lost ball),,12-12,,
6:03.0,M. Plumlee enters the game for G. Monroe,,12-12,,
5:44.0,,,12-12,,C. Lee misses 2-pt shot from 9 ft
5:43.0,,,12-12,,Offensive rebound by T. Allen
5:43.0,,,12-12,,T. Allen misses 2-pt shot at rim
5:42.0,,,12-12,,Offensive rebound by Team
5:42.0,,,12-12,,Memphis full timeout
5:42.0,,,12-12,,J. Green enters the game for Z. Randolph
5:42.0,,,12-12,,M. Chalmers enters the game for M. Conley
5:28.0,Def 3 sec tech foul by J. Parker,,12-12,,
5:28.0,,,12-13,1,C. Lee makes technical free throw
5:18.0,,,12-15,2,C. Lee makes 2-pt shot from 21 ft (assist by M. Gasol)
4:59.0,K. Middleton makes 2-pt shot from 9 ft,2,14-15,,
4:34.0,,,14-15,,M. Gasol misses 2-pt shot from 9 ft
4:32.0,Defensive rebound by J. Parker,,14-15,,
4:26.0,,,14-15,,Personal foul by C. Lee (drawn by K. Middleton)
4:18.0,J. Parker misses 2-pt shot from 21 ft,,14-15,,
4:16.0,Offensive rebound by K. Middleton,,14-15,,
4:16.0,K. Middleton misses 2-pt shot from 1 ft,,14-15,,
4:16.0,,,14-15,,Defensive rebound by Team
4:16.0,,,14-15,,M. Barnes enters the game for T. Allen
4:01.0,,,14-15,,Shooting foul by M. Plumlee (drawn by M. Gasol)
4:01.0,,,14-15,,M. Gasol misses free throw 1 of 2
4:01.0,,,14-15,,Offensive rebound by Team
4:01.0,,,14-16,1,M. Gasol makes free throw 2 of 2
3:48.0,,,14-16,,R. Hollins enters the game for M. Gasol
3:48.0,J. Bayless enters the game for G. Antetokounmpo,,14-16,,
3:39.0,K. Middleton misses 2-pt shot from 9 ft,,14-16,,
3:36.0,Offensive rebound by M. Carter-Williams,,14-16,,
3:36.0,M. Carter-Williams misses 2-pt shot from 5 ft,,14-16,,
3:33.0,Offensive rebound by K. Middleton,,14-16,,
3:33.0,K. Middleton misses 2-pt shot at rim,,14-16,,
3:32.0,Offensive rebound by M. Plumlee,,14-16,,
3:30.0,K. Middleton makes 2-pt shot from 14 ft (assist by M. Carter-Williams),2,16-16,,
3:15.0,,,16-16,,Shooting foul by M. Carter-Williams (drawn by M. Chalmers)
3:15.0,,,16-17,1,M. Chalmers makes free throw 1 of 2
3:15.0,,,16-18,1,M. Chalmers makes free throw 2 of 2
2:55.0,M. Carter-Williams misses 3-pt shot from 24 ft,,16-18,,
2:54.0,Offensive rebound by K. Middleton,,16-18,,
2:52.0,K. Middleton misses 3-pt shot from 24 ft,,16-18,,
2:51.0,,,16-18,,Defensive rebound by J. Green
2:43.0,,,16-18,,J. Green misses 2-pt shot from 3 ft
2:40.0,Defensive rebound by M. Carter-Williams,,16-18,,
2:40.0,,,16-18,,Personal foul by J. Green (drawn by M. Carter-Williams)
2:40.0,Milwaukee full timeout,,16-18,,
2:38.0,,,16-18,,Personal foul by C. Lee (drawn by M. Carter-Williams)
2:38.0,M. Carter-Williams makes free throw 1 of 2,1,17-18,,
2:38.0,M. Carter-Williams makes free throw 2 of 2,1,18-18,,
2:20.0,,,18-20,2,J. Green makes 2-pt shot from 2 ft
1:58.0,M. Plumlee misses 2-pt shot from 4 ft,,18-20,,
1:55.0,,,18-20,,Defensive rebound by M. Barnes
1:39.0,,,18-20,,R. Hollins misses 2-pt shot from 1 ft (block by J. Bayless)
1:39.0,Defensive rebound by Team,,18-20,,
1:39.0,R. Vaughn enters the game for M. Carter-Williams,,18-20,,
1:39.0,,,18-20,,V. Carter enters the game for C. Lee
1:20.0,K. Middleton makes 2-pt shot from 7 ft,2,20-20,,
1:10.0,,,20-20,,Turnover by M. Barnes (bad pass; steal by K. Middleton)
1:06.0,K. Middleton makes 2-pt shot at rim,2,22-20,,
1:06.0,Shooting foul by M. Barnes (drawn by K. Middleton),,22-20,,
1:06.0,G. Antetokounmpo enters the game for M. Plumlee,,22-20,,
1:06.0,G. Monroe enters the game for J. Parker,,22-20,,
1:06.0,K. Middleton makes free throw 1 of 1,1,23-20,,
0:59.0,Personal foul by G. Antetokounmpo (drawn by M. Chalmers),,23-20,,
0:50.0,,,23-22,2,J. Green makes 2-pt shot at rim (assist by R. Hollins)
0:41.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,25-22,,
0:35.0,,,25-22,,Shooting foul by K. Middleton (drawn by R. Hollins)
0:35.0,,,25-22,,R. Hollins misses free throw 1 of 2
0:35.0,,,25-22,,Offensive rebound by Team
0:35.0,,,25-23,1,R. Hollins makes free throw 2 of 2
0:27.0,Shooting foul by R. Hollins (drawn by J. Bayless),,25-23,,
0:27.0,J. Bayless makes free throw 1 of 2,1,26-23,,
0:27.0,J. Bayless makes free throw 2 of 2,1,27-23,,
0:07.0,,,27-23,,Turnover by M. Chalmers (bad pass; steal by J. Bayless)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by J. O'Bryant (drawn by M. Chalmers),,27-23,,
11:40.0,,,27-26,3,J. Green makes 3-pt shot from 25 ft (assist by M. Chalmers)
11:22.0,G. Monroe misses 2-pt shot from 5 ft,,27-26,,
11:21.0,,,27-26,,Defensive rebound by J. Green
11:09.0,,,27-28,2,J. Green makes 2-pt shot at rim (assist by M. Chalmers)
10:59.0,,,27-28,,Personal foul by M. Chalmers (drawn by J. Bayless)
10:54.0,Flagrant foul type 1 by J. Bayless (drawn by M. Chalmers),,27-28,,
10:54.0,Turnover by J. Bayless (offensive foul),,27-28,,
10:54.0,,,27-29,1,M. Chalmers makes flagrant free throw 1 of 2
10:54.0,,,27-30,1,M. Chalmers makes flagrant free throw 2 of 2
10:37.0,,,27-30,,M. Barnes misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by G. Monroe,,27-30,,
10:22.0,R. Vaughn misses 2-pt shot from 2 ft (block by M. Barnes),,27-30,,
10:22.0,,,27-30,,Defensive rebound by Team
10:17.0,,,27-32,2,J. Green makes 2-pt shot at rim (assist by M. Chalmers)
9:56.0,Shooting foul by R. Hollins (drawn by G. Monroe),,27-32,,
9:56.0,G. Monroe makes free throw 1 of 2,1,28-32,,
9:56.0,,,28-32,,M. Conley enters the game for M. Chalmers
9:56.0,,,28-32,,M. Gasol enters the game for R. Hollins
9:56.0,G. Monroe makes free throw 2 of 2,1,29-32,,
9:45.0,,,29-34,2,V. Carter makes 2-pt shot from 5 ft
9:45.0,,,29-34,,Shooting foul by G. Monroe (drawn by V. Carter)
9:45.0,,,29-35,1,V. Carter makes free throw 1 of 1
