time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Thompson (K. Love gains possession),,,,Jump ball: P. Gasol vs. T. Thompson (K. Love gains possession)
11:41.0,K. Love misses 3-pt shot from 23 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by M. Dunleavy
11:22.0,,,0-0,,N. Mirotic misses 2-pt shot from 1 ft
11:21.0,Defensive rebound by K. Love,,0-0,,
11:14.0,Turnover by K. Irving (lost ball; steal by N. Mirotic),,0-0,,
11:10.0,,,0-0,,D. Rose misses 2-pt shot from 1 ft
11:09.0,Defensive rebound by J. Smith,,0-0,,
10:55.0,L. James makes 2-pt shot from 17 ft,2,2-0,,
10:38.0,,,2-0,,N. Mirotic misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by K. Love,,2-0,,
10:23.0,L. James makes 2-pt shot from 10 ft,2,4-0,,
10:02.0,,,4-2,2,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler)
9:43.0,L. James misses 2-pt shot from 20 ft,,4-2,,
9:42.0,Offensive rebound by K. Irving,,4-2,,
9:37.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,7-2,,
9:14.0,,,7-2,,P. Gasol misses 2-pt shot from 2 ft
9:13.0,Defensive rebound by T. Thompson,,7-2,,
9:05.0,K. Irving misses 2-pt shot from 3 ft,,7-2,,
9:04.0,,,7-2,,Defensive rebound by P. Gasol
8:55.0,,,7-2,,Offensive foul by N. Mirotic
8:55.0,,,7-2,,Turnover by N. Mirotic (offensive foul)
8:41.0,,,7-2,,Personal foul by N. Mirotic
8:41.0,,,7-2,,B. Portis enters the game for N. Mirotic
8:38.0,Turnover by K. Love (bad pass),,7-2,,
8:21.0,,,7-4,2,D. Rose makes 2-pt shot from 4 ft
8:11.0,K. Love makes 2-pt shot from 17 ft (assist by K. Irving),2,9-4,,
7:56.0,,,9-4,,M. Dunleavy misses 2-pt shot from 2 ft (block by T. Thompson)
7:54.0,Defensive rebound by K. Irving,,9-4,,
7:43.0,K. Love makes 3-pt shot from 24 ft (assist by T. Thompson),3,12-4,,
7:43.0,,,12-4,,Chicago full timeout
7:25.0,,,12-4,,P. Gasol misses 2-pt shot from 12 ft (block by T. Thompson)
7:25.0,,,12-4,,Offensive rebound by B. Portis
7:25.0,,,12-6,2,B. Portis makes 2-pt shot from 1 ft
7:25.0,,,12-6,,Shooting foul by K. Love (drawn by B. Portis)
7:25.0,,,12-6,,B. Portis misses free throw 1 of 1
7:25.0,Defensive rebound by L. James,,12-6,,
7:09.0,J. Smith misses 3-pt shot from 25 ft,,12-6,,
7:08.0,,,12-6,,Defensive rebound by J. Butler
6:53.0,,,12-6,,D. Rose misses 2-pt shot from 11 ft
6:51.0,Defensive rebound by K. Love,,12-6,,
6:46.0,Shooting foul by B. Portis (drawn by K. Love),,12-6,,
6:46.0,K. Love makes free throw 1 of 2,1,13-6,,
6:46.0,K. Love makes free throw 2 of 2,1,14-6,,
6:25.0,,,14-6,,M. Dunleavy misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by K. Irving,,14-6,,
6:20.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,17-6,,
6:04.0,,,17-8,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by D. Rose)
6:04.0,,,17-8,,Shooting foul by K. Irving (drawn by M. Dunleavy)
6:04.0,,,17-9,1,M. Dunleavy makes free throw 1 of 1
5:50.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,19-9,,
5:33.0,,,19-11,2,J. Butler makes 2-pt shot from 20 ft
5:16.0,K. Love misses 3-pt shot from 25 ft,,19-11,,
5:15.0,Offensive rebound by K. Irving,,19-11,,
5:14.0,Turnover by L. James (bad pass),,19-11,,
5:01.0,,,19-11,,J. Butler misses 2-pt shot from 2 ft (block by T. Thompson)
4:59.0,,,19-11,,Offensive rebound by J. Butler
4:57.0,,,19-11,,M. Dunleavy misses 3-pt shot from 25 ft
4:57.0,,,19-11,,Offensive rebound by Team
4:49.0,,,19-14,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by D. Rose)
4:34.0,K. Irving makes 2-pt shot from 20 ft,2,21-14,,
4:22.0,,,21-16,2,D. Rose makes 2-pt shot from 11 ft
4:10.0,K. Irving misses 2-pt shot from 1 ft,,21-16,,
4:09.0,Offensive rebound by K. Love,,21-16,,
4:09.0,K. Love misses 2-pt shot from 1 ft,,21-16,,
4:07.0,Offensive rebound by T. Thompson,,21-16,,
3:59.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,23-16,,
3:43.0,,,23-16,,B. Portis misses 2-pt shot from 17 ft
3:42.0,,,23-16,,Offensive rebound by P. Gasol
3:36.0,,,23-16,,D. Rose misses 3-pt shot from 23 ft
3:35.0,,,23-16,,Offensive rebound by B. Portis
3:35.0,,,23-16,,B. Portis misses 2-pt shot from 2 ft
3:34.0,Defensive rebound by T. Thompson,,23-16,,
3:28.0,,,23-16,,C. Felicio enters the game for P. Gasol
3:24.0,K. Irving misses 2-pt shot from 20 ft,,23-16,,
3:22.0,Offensive rebound by L. James,,23-16,,
3:19.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,26-16,,
3:04.0,,,26-18,2,B. Portis makes 2-pt shot from 18 ft (assist by J. Butler)
2:54.0,Turnover by K. Love (traveling),,26-18,,
2:54.0,Cleveland full timeout,,26-18,,
2:54.0,M. Dellavedova enters the game for K. Irving,,26-18,,
2:54.0,C. Frye enters the game for T. Thompson,,26-18,,
