time,LA Lakers,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. C. Zeller (J. Clarkson gains possession),,,,Jump ball: R. Hibbert vs. C. Zeller (J. Clarkson gains possession)
11:35.0,R. Hibbert makes 2-pt shot from 9 ft,2,2-0,,
11:22.0,,,2-2,2,C. Zeller makes 2-pt shot from 7 ft (assist by N. Batum)
10:57.0,R. Hibbert misses 2-pt shot from 7 ft,,2-2,,
10:56.0,,,2-2,,Defensive rebound by K. Walker
10:47.0,,,2-2,,P. Hairston misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by L. Nance,,2-2,,
10:32.0,K. Bryant misses 2-pt shot from 14 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by M. Williams
10:18.0,,,2-2,,N. Batum misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by L. Williams,,2-2,,
10:12.0,L. Williams misses 2-pt shot from 10 ft,,2-2,,
10:10.0,,,2-2,,Defensive rebound by C. Zeller
10:06.0,,,2-2,,K. Walker misses 2-pt shot at rim (block by J. Clarkson)
10:03.0,Defensive rebound by R. Hibbert,,2-2,,
9:56.0,J. Clarkson misses 2-pt shot from 20 ft,,2-2,,
9:54.0,,,2-2,,Defensive rebound by C. Zeller
9:43.0,,,2-2,,K. Walker misses 2-pt shot from 6 ft
9:42.0,Defensive rebound by R. Hibbert,,2-2,,
9:37.0,Turnover by K. Bryant (bad pass; steal by K. Walker),,2-2,,
9:30.0,,,2-4,2,M. Williams makes 2-pt shot at rim (assist by K. Walker)
9:06.0,L. Nance makes 2-pt shot from 18 ft (assist by J. Clarkson),2,4-4,,
8:46.0,,,4-4,,M. Williams misses 2-pt shot from 20 ft
8:45.0,Defensive rebound by J. Clarkson,,4-4,,
8:33.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Clarkson),3,7-4,,
8:12.0,,,7-6,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
7:59.0,Turnover by Team (back court),,7-6,,
7:45.0,,,7-8,2,N. Batum makes 2-pt shot from 8 ft
7:34.0,R. Hibbert makes 2-pt shot at rim (assist by L. Williams),2,9-8,,
7:18.0,,,9-8,,N. Batum misses 2-pt shot from 16 ft
7:16.0,,,9-8,,Offensive rebound by Team
7:13.0,,,9-8,,P. Hairston misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by L. Nance,,9-8,,
7:06.0,K. Bryant misses 3-pt shot from 25 ft,,9-8,,
7:03.0,,,9-8,,Defensive rebound by N. Batum
6:58.0,,,9-10,2,P. Hairston makes 2-pt shot from 1 ft (assist by N. Batum)
