time,Atlanta,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Bazemore vs. M. Plumlee (P. Millsap gains possession),,,,Jump ball: K. Bazemore vs. M. Plumlee (P. Millsap gains possession)
11:42.0,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver),2,2-0,,
11:24.0,,,2-3,3,N. Vonleh makes 3-pt shot from 24 ft (assist by A. Aminu)
11:09.0,Turnover by J. Teague (bad pass),,2-3,,
10:52.0,,,2-5,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
10:41.0,K. Korver makes 2-pt shot from 21 ft (assist by K. Bazemore),2,4-5,,
10:31.0,,,4-5,,Turnover by C. McCollum (bad pass; steal by P. Millsap)
10:20.0,A. Horford misses 2-pt shot from 9 ft,,4-5,,
10:19.0,,,4-5,,Defensive rebound by A. Aminu
10:09.0,,,4-5,,M. Plumlee misses 2-pt shot from 9 ft
10:07.0,,,4-5,,Offensive rebound by M. Plumlee
10:01.0,,,4-5,,C. McCollum misses 2-pt shot from 19 ft
10:00.0,Defensive rebound by P. Millsap,,4-5,,
9:47.0,Turnover by K. Bazemore (bad pass),,4-5,,
9:29.0,Personal foul by P. Millsap (drawn by N. Vonleh),,4-5,,
9:24.0,,,4-7,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
9:07.0,A. Horford misses 2-pt shot from 9 ft,,4-7,,
9:07.0,,,4-7,,Defensive rebound by N. Vonleh
9:01.0,,,4-9,2,A. Aminu makes 2-pt shot from 1 ft (assist by M. Plumlee)
8:43.0,J. Teague misses 2-pt shot from 2 ft,,4-9,,
8:43.0,,,4-9,,Defensive rebound by D. Lillard
8:39.0,,,4-11,2,C. McCollum makes 2-pt shot from 20 ft (assist by D. Lillard)
8:39.0,Atlanta full timeout,,4-11,,
8:27.0,Shooting foul by M. Plumlee (drawn by P. Millsap),,4-11,,
8:27.0,P. Millsap makes free throw 1 of 2,1,5-11,,
8:27.0,P. Millsap makes free throw 2 of 2,1,6-11,,
8:14.0,,,6-11,,D. Lillard misses 2-pt shot from 20 ft
8:14.0,Defensive rebound by K. Bazemore,,6-11,,
