time,Phoenix,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Chandler (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. T. Chandler (S. Ibaka gains possession)
11:45.0,,,0-0,,Turnover by S. Ibaka (traveling)
11:30.0,T. Chandler misses 2-pt shot from 17 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by A. Roberson
11:10.0,,,0-0,,K. Durant misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by T. Chandler,,0-0,,
10:54.0,M. Morris misses 2-pt shot from 6 ft (block by S. Adams),,0-0,,
10:54.0,Offensive rebound by Team,,0-0,,
10:50.0,B. Knight makes 3-pt shot from 24 ft (assist by P. Tucker),3,3-0,,
10:33.0,,,3-2,2,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Durant)
10:16.0,T. Chandler misses 2-pt shot at rim,,3-2,,
10:16.0,Offensive rebound by T. Chandler,,3-2,,
10:16.0,M. Morris misses 2-pt shot from 8 ft,,3-2,,
10:15.0,,,3-2,,Defensive rebound by S. Adams
10:08.0,,,3-2,,R. Westbrook misses 2-pt shot from 2 ft
10:08.0,Defensive rebound by T. Chandler,,3-2,,
10:02.0,E. Bledsoe makes 2-pt shot from 16 ft,2,5-2,,
9:44.0,,,5-2,,S. Ibaka misses 2-pt shot from 12 ft
9:44.0,,,5-2,,Offensive rebound by S. Adams
9:43.0,,,5-4,2,S. Adams makes 2-pt shot from 1 ft
9:43.0,,,5-4,,Shooting foul by M. Morris (drawn by S. Adams)
9:43.0,,,5-5,1,S. Adams makes free throw 1 of 1
9:33.0,Turnover by B. Knight (bad pass; steal by R. Westbrook),,5-5,,
9:29.0,,,5-5,,R. Westbrook misses 2-pt shot at rim
9:28.0,Defensive rebound by Team,,5-5,,
9:19.0,B. Knight misses 3-pt shot from 24 ft,,5-5,,
9:18.0,,,5-5,,Defensive rebound by S. Ibaka
8:58.0,,,5-5,,A. Roberson misses 3-pt shot from 23 ft
8:57.0,Defensive rebound by B. Knight,,5-5,,
8:51.0,,,5-5,,Loose ball foul by S. Ibaka (drawn by B. Knight)
8:45.0,Turnover by B. Knight (bad pass; steal by R. Westbrook),,5-5,,
8:40.0,,,5-7,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
8:27.0,M. Morris misses 2-pt shot from 2 ft,,5-7,,
8:26.0,Offensive rebound by E. Bledsoe,,5-7,,
8:26.0,E. Bledsoe makes 2-pt shot at rim,2,7-7,,
8:13.0,,,7-9,2,K. Durant makes 2-pt shot from 10 ft (assist by R. Westbrook)
7:50.0,T. Chandler misses 2-pt shot from 10 ft,,7-9,,
7:49.0,,,7-9,,Defensive rebound by K. Durant
7:38.0,,,7-9,,S. Ibaka misses 2-pt shot from 14 ft
7:38.0,Defensive rebound by T. Chandler,,7-9,,
7:28.0,B. Knight misses 2-pt shot from 18 ft,,7-9,,
7:28.0,,,7-9,,Defensive rebound by K. Durant
7:20.0,,,7-9,,R. Westbrook misses 3-pt shot from 24 ft
7:19.0,,,7-9,,Offensive rebound by S. Ibaka
7:12.0,Def 3 sec tech foul by T. Chandler,,7-9,,
7:12.0,,,7-9,,K. Durant misses technical free throw
7:12.0,,,7-9,,Offensive rebound by Team
7:06.0,,,7-11,2,R. Westbrook makes 2-pt shot from 18 ft (assist by S. Adams)
6:58.0,Shooting foul by A. Roberson (drawn by T. Chandler),,7-11,,
6:58.0,T. Chandler makes free throw 1 of 2,1,8-11,,
6:58.0,T. Chandler misses free throw 2 of 2,,8-11,,
6:57.0,,,8-11,,Defensive rebound by S. Adams
6:35.0,,,8-13,2,R. Westbrook makes 2-pt shot from 9 ft
6:15.0,M. Morris misses 2-pt shot from 1 ft,,8-13,,
6:15.0,Offensive rebound by Team,,8-13,,
6:15.0,,,8-13,,E. Kanter enters the game for S. Adams
6:10.0,B. Knight misses 2-pt shot from 2 ft,,8-13,,
6:10.0,,,8-13,,Defensive rebound by S. Ibaka
5:55.0,,,8-13,,Shooting foul by B. Knight (drawn by K. Durant)
5:55.0,,,8-13,,Oklahoma City full timeout
5:55.0,A. Goodwin enters the game for B. Knight,,8-13,,
5:55.0,,,8-14,1,K. Durant makes free throw 1 of 2
5:55.0,,,8-15,1,K. Durant makes free throw 2 of 2
5:44.0,Turnover by M. Morris (lost ball; steal by R. Westbrook),,8-15,,
5:40.0,,,8-17,2,R. Westbrook makes 2-pt shot at rim
5:24.0,,,8-17,,D. Waiters enters the game for A. Roberson
5:24.0,A. Len enters the game for T. Chandler,,8-17,,
5:16.0,P. Tucker misses 2-pt shot from 1 ft,,8-17,,
5:14.0,Offensive rebound by P. Tucker,,8-17,,
5:13.0,P. Tucker misses 2-pt shot at rim,,8-17,,
5:11.0,,,8-17,,Defensive rebound by K. Durant
4:56.0,,,8-19,2,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook)
4:47.0,E. Bledsoe makes 2-pt shot from 2 ft,2,10-19,,
4:30.0,,,10-22,3,D. Waiters makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:21.0,M. Morris misses 3-pt shot from 24 ft,,10-22,,
4:20.0,,,10-22,,Defensive rebound by K. Durant
4:07.0,,,10-24,2,K. Durant makes 2-pt shot from 13 ft
3:53.0,E. Bledsoe makes 2-pt shot at rim,2,12-24,,
3:40.0,,,12-26,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
3:40.0,,,12-26,,Shooting foul by A. Goodwin (drawn by E. Kanter)
3:40.0,T. Warren enters the game for P. Tucker,,12-26,,
3:40.0,,,12-26,,K. Singler enters the game for K. Durant
3:40.0,,,12-27,1,E. Kanter makes free throw 1 of 1
3:30.0,,,12-27,,Personal foul by R. Westbrook (drawn by E. Bledsoe)
3:22.0,M. Morris misses 2-pt shot from 1 ft,,12-27,,
3:22.0,Offensive rebound by Team,,12-27,,
3:19.0,Shooting foul by E. Kanter (drawn by M. Morris),,12-27,,
3:19.0,M. Morris makes free throw 1 of 2,1,13-27,,
3:19.0,M. Morris makes free throw 2 of 2,1,14-27,,
3:04.0,,,14-27,,D. Waiters misses 2-pt shot from 16 ft
3:03.0,,,14-27,,Offensive rebound by R. Westbrook
2:51.0,,,14-29,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
2:34.0,Shooting foul by S. Ibaka (drawn by M. Morris),,14-29,,
2:34.0,M. Morris makes 2-pt shot from 2 ft,2,16-29,,
2:34.0,Phoenix full timeout,,16-29,,
2:34.0,,,16-29,,M. McGary enters the game for S. Ibaka
2:34.0,M. Morris misses free throw 1 of 1,,16-29,,
2:34.0,,,16-29,,Defensive rebound by E. Kanter
2:15.0,,,16-29,,Turnover by M. McGary (lost ball; steal by M. Morris)
2:15.0,,,16-29,,Personal foul by M. McGary (drawn by E. Bledsoe)
2:15.0,E. Bledsoe makes free throw 1 of 2,1,17-29,,
2:15.0,E. Bledsoe makes free throw 2 of 2,1,18-29,,
2:10.0,,,18-29,,Offensive foul by K. Singler
2:10.0,,,18-29,,Turnover by K. Singler (offensive foul)
2:01.0,Shooting foul by M. McGary (drawn by A. Goodwin),,18-29,,
2:01.0,A. Goodwin misses free throw 1 of 2,,18-29,,
2:01.0,Offensive rebound by Team,,18-29,,
2:01.0,,,18-29,,D. Augustin enters the game for R. Westbrook
2:01.0,A. Goodwin misses free throw 2 of 2,,18-29,,
2:00.0,Offensive rebound by M. Morris,,18-29,,
1:45.0,T. Warren makes 2-pt shot from 11 ft (assist by E. Bledsoe),2,20-29,,
1:28.0,,,20-29,,M. McGary misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by A. Len,,20-29,,
1:26.0,,,20-29,,Loose ball foul by M. McGary (drawn by T. Warren)
1:26.0,T. Warren makes free throw 1 of 2,1,21-29,,
1:26.0,J. Leuer enters the game for M. Morris,,21-29,,
1:26.0,T. Warren makes free throw 2 of 2,1,22-29,,
1:05.0,,,22-29,,D. Augustin misses 3-pt shot from 24 ft
1:04.0,Defensive rebound by A. Len,,22-29,,
0:59.0,E. Bledsoe makes 2-pt shot from 2 ft,2,24-29,,
0:44.0,,,24-29,,D. Waiters misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by T. Warren,,24-29,,
0:29.0,E. Bledsoe misses 2-pt shot at rim,,24-29,,
0:29.0,Offensive rebound by A. Len,,24-29,,
0:29.0,A. Len makes 2-pt shot at rim,2,26-29,,
0:28.0,Personal foul by E. Bledsoe (drawn by D. Augustin),,26-29,,
0:07.0,,,26-29,,K. Singler misses 3-pt shot from 23 ft
