time,Golden State,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Drummond,,,,Jump ball: A. Bogut vs. A. Drummond
11:43.0,S. Curry misses 3-pt shot from 26 ft,,0-0,,
11:43.0,Offensive rebound by D. Green,,0-0,,
11:39.0,K. Thompson misses 3-pt shot from 26 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by A. Drummond
11:30.0,,,0-0,,Shooting foul by K. Thompson (drawn by R. Jackson)
11:30.0,,,0-0,,R. Jackson misses free throw 1 of 2
11:30.0,,,0-0,,Offensive rebound by Team
11:30.0,,,0-1,1,R. Jackson makes free throw 2 of 2
11:18.0,Turnover by K. Thompson (bad pass; steal by K. Caldwell-Pope),,0-1,,
11:14.0,,,0-3,2,K. Caldwell-Pope makes 2-pt shot at rim
10:56.0,A. Bogut makes 2-pt shot from 4 ft,2,2-3,,
10:33.0,,,2-3,,A. Drummond misses 2-pt shot from 4 ft
10:32.0,,,2-3,,Offensive rebound by E. Ilyasova
10:31.0,,,2-5,2,E. Ilyasova makes 2-pt shot from 1 ft
10:16.0,S. Curry misses 3-pt shot from 26 ft,,2-5,,
10:15.0,,,2-5,,Defensive rebound by A. Drummond
10:06.0,,,2-5,,R. Jackson misses 3-pt shot from 25 ft
10:05.0,,,2-5,,Offensive rebound by E. Ilyasova
10:03.0,,,2-7,2,E. Ilyasova makes 2-pt shot at rim
9:59.0,H. Barnes misses 2-pt shot from 20 ft,,2-7,,
9:57.0,,,2-7,,Defensive rebound by A. Drummond
9:49.0,,,2-9,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:25.0,A. Bogut misses 2-pt shot from 4 ft,,2-9,,
9:24.0,Offensive rebound by K. Thompson,,2-9,,
9:15.0,K. Thompson misses 2-pt shot from 3 ft,,2-9,,
9:14.0,,,2-9,,Defensive rebound by A. Drummond
9:08.0,,,2-9,,R. Jackson misses 2-pt shot from 7 ft
9:07.0,Defensive rebound by S. Curry,,2-9,,
9:02.0,Turnover by S. Curry (lost ball; steal by K. Caldwell-Pope),,2-9,,
8:58.0,Personal foul by A. Bogut (drawn by K. Caldwell-Pope),,2-9,,
8:44.0,,,2-9,,M. Morris misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by D. Green,,2-9,,
8:42.0,,,2-9,,Personal foul by A. Drummond (drawn by D. Green)
8:30.0,S. Curry makes 2-pt shot from 15 ft,2,4-9,,
8:11.0,,,4-9,,A. Drummond misses 2-pt shot at rim (block by A. Bogut)
8:10.0,Defensive rebound by D. Green,,4-9,,
7:51.0,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry),2,6-9,,
