time,LA Lakers,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: R. Hibbert vs. R. Lopez (K. Porzingis gains possession)
11:39.0,,,0-2,2,J. Calderon makes 2-pt shot from 18 ft
11:12.0,J. Randle misses 2-pt shot from 15 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by S. Vujacic
10:55.0,,,0-2,,K. Porzingis misses 2-pt shot from 16 ft
10:54.0,Defensive rebound by K. Bryant,,0-2,,
10:46.0,K. Bryant misses 2-pt shot from 20 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by S. Vujacic
10:29.0,,,0-2,,J. Calderon misses 3-pt shot from 22 ft
10:28.0,Defensive rebound by Team,,0-2,,
10:28.0,,,0-2,,Loose ball foul by K. Porzingis (drawn by J. Randle)
10:05.0,R. Hibbert makes 2-pt shot from 9 ft,2,2-2,,
9:54.0,,,2-5,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Lopez)
9:40.0,R. Hibbert misses 2-pt shot from 18 ft,,2-5,,
9:39.0,,,2-5,,Defensive rebound by C. Anthony
9:23.0,,,2-5,,C. Anthony misses 2-pt shot from 19 ft
9:22.0,,,2-5,,Offensive rebound by K. Porzingis
9:21.0,,,2-5,,Shooting foul by R. Hibbert (drawn by K. Porzingis)
9:21.0,,,2-6,1,K. Porzingis makes free throw 1 of 2
9:21.0,,,2-7,1,K. Porzingis makes free throw 2 of 2
9:12.0,K. Bryant misses 3-pt shot from 24 ft,,2-7,,
9:11.0,,,2-7,,Defensive rebound by C. Anthony
8:57.0,,,2-10,3,S. Vujacic makes 3-pt shot from 23 ft (assist by K. Porzingis)
8:41.0,D. Russell makes 2-pt shot from 11 ft,2,4-10,,
8:41.0,Shooting foul by J. Calderon (drawn by D. Russell),,4-10,,
8:41.0,D. Russell misses free throw 1 of 1,,4-10,,
8:41.0,,,4-10,,Defensive rebound by K. Porzingis
8:33.0,Personal foul by D. Russell (drawn by J. Calderon),,4-10,,
8:27.0,,,4-10,,C. Anthony misses 2-pt shot from 11 ft
8:26.0,Defensive rebound by J. Randle,,4-10,,
8:18.0,J. Randle makes 2-pt shot from 15 ft,2,6-10,,
8:00.0,,,6-10,,K. Porzingis misses 2-pt shot from 9 ft
7:58.0,,,6-10,,Offensive rebound by Team
7:56.0,,,6-10,,S. Vujacic misses 2-pt shot from 19 ft
7:55.0,,,6-10,,Offensive rebound by J. Calderon
7:46.0,,,6-10,,Turnover by C. Anthony (lost ball; steal by K. Bryant)
7:40.0,J. Clarkson makes 2-pt shot from 1 ft,2,8-10,,
7:30.0,,,8-12,2,C. Anthony makes 2-pt shot from 18 ft
7:18.0,D. Russell misses 2-pt shot from 15 ft,,8-12,,
7:17.0,,,8-12,,Defensive rebound by J. Calderon
7:05.0,,,8-12,,J. Calderon misses 2-pt shot from 19 ft
7:04.0,Defensive rebound by Team,,8-12,,
6:52.0,,,8-12,,Personal foul by C. Anthony (drawn by K. Bryant)
6:41.0,J. Randle misses 2-pt shot from 11 ft,,8-12,,
6:40.0,,,8-12,,Defensive rebound by C. Anthony
6:35.0,,,8-12,,Shooting foul by J. Randle (drawn by K. Porzingis)
6:35.0,,,8-12,,K. Porzingis misses free throw 1 of 2
6:35.0,,,8-12,,Offensive rebound by Team
6:35.0,,,8-13,1,K. Porzingis makes free throw 2 of 2
6:26.0,Turnover by J. Clarkson (bad pass; steal by S. Vujacic),,8-13,,
6:19.0,,,8-13,,K. Porzingis misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by R. Hibbert,,8-13,,
6:07.0,Shooting foul by K. Porzingis (drawn by R. Hibbert),,8-13,,
6:07.0,R. Hibbert makes free throw 1 of 2,1,9-13,,
6:07.0,,,9-13,,K. O'Quinn enters the game for K. Porzingis
6:07.0,R. Hibbert misses free throw 2 of 2,,9-13,,
6:05.0,Offensive rebound by Team,,9-13,,
6:02.0,J. Clarkson makes 2-pt shot from 20 ft (assist by K. Bryant),2,11-13,,
5:43.0,,,11-16,3,J. Calderon makes 3-pt shot from 23 ft (assist by R. Lopez)
5:28.0,K. Bryant makes 2-pt shot from 22 ft (assist by D. Russell),2,13-16,,
5:22.0,,,13-16,,New York full timeout
5:22.0,L. Williams enters the game for D. Russell,,13-16,,
5:11.0,,,13-16,,S. Vujacic misses 2-pt shot from 15 ft
5:10.0,Defensive rebound by J. Randle,,13-16,,
4:58.0,K. Bryant makes 2-pt shot from 17 ft,2,15-16,,
4:42.0,,,15-16,,S. Vujacic misses 3-pt shot from 23 ft
4:41.0,,,15-16,,Offensive rebound by Team
4:41.0,,,15-16,,D. Williams enters the game for K. O'Quinn
4:41.0,,,15-16,,J. Grant enters the game for S. Vujacic
4:41.0,,,15-16,,L. Galloway enters the game for J. Calderon
4:32.0,,,15-16,,C. Anthony misses 2-pt shot from 2 ft
4:31.0,,,15-16,,Offensive rebound by R. Lopez
4:31.0,,,15-18,2,R. Lopez makes 2-pt shot from 2 ft
4:16.0,K. Bryant makes 3-pt shot from 24 ft,3,18-18,,
4:06.0,,,18-18,,R. Lopez misses 2-pt shot from 11 ft
4:05.0,Defensive rebound by R. Hibbert,,18-18,,
4:04.0,,,18-18,,Personal foul by R. Lopez (drawn by R. Hibbert)
4:04.0,M. World Peace enters the game for K. Bryant,,18-18,,
4:04.0,R. Hibbert makes free throw 1 of 2,1,19-18,,
4:04.0,R. Hibbert makes free throw 2 of 2,1,20-18,,
3:50.0,Personal foul by M. World Peace (drawn by C. Anthony),,20-18,,
3:44.0,,,20-20,2,R. Lopez makes 2-pt shot at rim (assist by J. Grant)
3:27.0,J. Randle misses 2-pt shot from 6 ft,,20-20,,
3:26.0,,,20-20,,Defensive rebound by C. Anthony
3:14.0,,,20-22,2,C. Anthony makes 2-pt shot at rim (assist by D. Williams)
3:03.0,L. Williams misses 2-pt shot from 7 ft,,20-22,,
3:02.0,Offensive rebound by Team,,20-22,,
3:02.0,,,20-22,,Loose ball foul by J. Grant (drawn by R. Hibbert)
3:02.0,N. Young enters the game for J. Clarkson,,20-22,,
3:02.0,L. Nance enters the game for J. Randle,,20-22,,
3:02.0,R. Hibbert makes free throw 1 of 2,1,21-22,,
3:02.0,R. Hibbert makes free throw 2 of 2,1,22-22,,
2:44.0,,,22-22,,L. Galloway misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by R. Hibbert,,22-22,,
2:36.0,Shooting foul by L. Galloway (drawn by L. Williams),,22-22,,
2:36.0,LA Lakers full timeout,,22-22,,
2:36.0,,,22-22,,K. Seraphin enters the game for R. Lopez
2:36.0,,,22-22,,L. Thomas enters the game for C. Anthony
2:36.0,,,22-22,,Violation by Team (delay of game)
2:36.0,L. Williams misses free throw 1 of 2,,22-22,,
2:36.0,Offensive rebound by Team,,22-22,,
2:36.0,L. Williams makes free throw 2 of 2,1,23-22,,
2:18.0,,,23-24,2,L. Galloway makes 2-pt shot from 1 ft (assist by J. Grant)
2:18.0,,,23-24,,Shooting foul by R. Hibbert (drawn by L. Galloway)
2:18.0,,,23-25,1,L. Galloway makes free throw 1 of 1
2:05.0,L. Williams makes 2-pt shot from 20 ft,2,25-25,,
1:47.0,,,25-25,,K. Seraphin misses 2-pt shot from 17 ft
1:46.0,Defensive rebound by M. World Peace,,25-25,,
1:38.0,N. Young misses 2-pt shot from 15 ft,,25-25,,
1:37.0,,,25-25,,Defensive rebound by L. Galloway
1:34.0,T. Black enters the game for R. Hibbert,,25-25,,
1:28.0,,,25-25,,D. Williams misses 2-pt shot from 4 ft
1:27.0,Defensive rebound by L. Nance,,25-25,,
1:18.0,L. Nance misses 2-pt shot from 5 ft,,25-25,,
1:17.0,,,25-25,,Defensive rebound by D. Williams
1:04.0,,,25-25,,Turnover by K. Seraphin (bad pass)
0:45.0,T. Black misses 2-pt shot from 5 ft,,25-25,,
0:44.0,,,25-25,,Defensive rebound by L. Thomas
0:22.0,,,25-25,,K. Seraphin misses 2-pt shot from 17 ft
0:21.0,Defensive rebound by M. World Peace,,25-25,,
0:01.0,L. Williams misses 2-pt shot from 1 ft (block by K. Seraphin),,25-25,,
0:00.0,,,25-25,,Defensive rebound by L. Galloway
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,N. Young misses 2-pt shot from 18 ft,,25-25,,
11:47.0,,,25-25,,Defensive rebound by L. Thomas
11:35.0,,,25-25,,J. Grant misses 3-pt shot from 23 ft
11:34.0,Defensive rebound by L. Nance,,25-25,,
11:22.0,T. Black makes 2-pt shot at rim (assist by L. Williams),2,27-25,,
11:01.0,,,27-27,2,L. Thomas makes 2-pt shot from 1 ft (assist by J. Grant)
10:48.0,T. Black misses 2-pt shot from 1 ft (block by K. Seraphin),,27-27,,
10:47.0,,,27-27,,Defensive rebound by K. Seraphin
10:43.0,,,27-27,,K. Seraphin misses 2-pt shot at rim
10:42.0,Defensive rebound by T. Black,,27-27,,
10:30.0,K. Bryant misses 3-pt shot from 22 ft,,27-27,,
10:29.0,Offensive rebound by Team,,27-27,,
10:12.0,L. Williams misses 3-pt shot from 25 ft,,27-27,,
10:11.0,,,27-27,,Defensive rebound by J. Grant
10:06.0,,,27-29,2,D. Williams makes 2-pt shot at rim (assist by J. Grant)
9:54.0,T. Black makes 2-pt shot at rim (assist by K. Bryant),2,29-29,,
9:37.0,,,29-29,,J. Grant misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by T. Black,,29-29,,
9:18.0,Turnover by L. Nance (traveling),,29-29,,
9:04.0,,,29-29,,J. Grant misses 2-pt shot from 18 ft
9:03.0,,,29-29,,Offensive rebound by K. Seraphin
8:57.0,,,29-29,,Shooting foul by T. Black (drawn by D. Williams)
8:57.0,Official timeout,,29-29,,
8:57.0,,,29-30,1,D. Williams makes free throw 1 of 2
8:57.0,,,29-31,1,D. Williams makes free throw 2 of 2
8:38.0,K. Bryant makes 3-pt shot from 24 ft (assist by L. Williams),3,32-31,,
8:18.0,,,32-31,,D. Williams misses 2-pt shot from 18 ft
8:17.0,Defensive rebound by K. Bryant,,32-31,,
8:05.0,K. Bryant misses 3-pt shot from 23 ft,,32-31,,
8:04.0,,,32-31,,Defensive rebound by K. Seraphin
7:56.0,,,32-31,,Turnover by J. Grant (bad pass; steal by L. Williams)
7:50.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,34-31,,
7:37.0,,,34-31,,L. Thomas misses 2-pt shot from 5 ft
7:36.0,Defensive rebound by Team,,34-31,,
7:36.0,D. Russell enters the game for L. Williams,,34-31,,
7:36.0,J. Randle enters the game for L. Nance,,34-31,,
7:36.0,,,34-31,,J. Calderon enters the game for J. Grant
7:25.0,Turnover by K. Bryant (bad pass; steal by K. Seraphin),,34-31,,
7:17.0,,,34-34,3,L. Galloway makes 3-pt shot from 22 ft (assist by J. Calderon)
6:51.0,K. Bryant misses 3-pt shot from 27 ft,,34-34,,
6:50.0,Offensive rebound by Team,,34-34,,
6:50.0,Turnover by Team (shot clock),,34-34,,
6:50.0,M. World Peace enters the game for K. Bryant,,34-34,,
6:50.0,,,34-34,,K. Porzingis enters the game for K. Seraphin
6:50.0,,,34-34,,C. Anthony enters the game for D. Williams
6:31.0,,,34-36,2,K. Porzingis makes 2-pt shot from 16 ft
6:18.0,N. Young makes 3-pt shot from 25 ft (assist by J. Randle),3,37-36,,
5:57.0,,,37-36,,C. Anthony misses 2-pt shot from 8 ft (block by M. World Peace)
5:56.0,Defensive rebound by J. Randle,,37-36,,
5:49.0,N. Young misses 3-pt shot from 24 ft,,37-36,,
5:48.0,Offensive rebound by T. Black,,37-36,,
5:47.0,Turnover by T. Black (lost ball; steal by L. Galloway),,37-36,,
5:41.0,,,37-38,2,L. Galloway makes 2-pt shot from 1 ft
5:30.0,LA Lakers full timeout,,37-38,,
5:30.0,R. Hibbert enters the game for T. Black,,37-38,,
5:30.0,,,37-38,,S. Vujacic enters the game for L. Galloway
5:30.0,,,37-38,,R. Lopez enters the game for L. Thomas
5:20.0,N. Young makes 2-pt shot from 14 ft,2,39-38,,
5:01.0,,,39-38,,J. Calderon misses 3-pt shot from 24 ft
5:00.0,,,39-38,,Offensive rebound by K. Porzingis
4:53.0,,,39-38,,K. Porzingis misses 2-pt shot from 1 ft (block by R. Hibbert)
4:52.0,,,39-38,,Offensive rebound by Team
4:48.0,,,39-40,2,J. Calderon makes 2-pt shot from 20 ft (assist by S. Vujacic)
4:29.0,D. Russell misses 2-pt shot from 6 ft,,39-40,,
4:28.0,Offensive rebound by Team,,39-40,,
4:28.0,J. Clarkson enters the game for N. Young,,39-40,,
4:22.0,J. Randle misses 2-pt shot from 2 ft (block by K. Porzingis),,39-40,,
4:21.0,,,39-40,,Defensive rebound by K. Porzingis
4:15.0,,,39-40,,S. Vujacic misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by M. World Peace,,39-40,,
4:00.0,M. World Peace makes 3-pt shot from 24 ft (assist by R. Hibbert),3,42-40,,
3:40.0,,,42-40,,C. Anthony misses 2-pt shot from 1 ft
3:39.0,,,42-40,,Offensive rebound by R. Lopez
3:39.0,,,42-42,2,R. Lopez makes 2-pt shot from 1 ft
3:26.0,J. Clarkson misses 2-pt shot from 12 ft,,42-42,,
3:25.0,,,42-42,,Defensive rebound by J. Calderon
3:12.0,,,42-42,,R. Lopez misses 2-pt shot from 15 ft
3:11.0,Defensive rebound by J. Clarkson,,42-42,,
3:01.0,R. Hibbert makes 2-pt shot from 18 ft (assist by J. Clarkson),2,44-42,,
2:42.0,,,44-42,,K. Porzingis misses 2-pt shot from 17 ft
2:41.0,Defensive rebound by M. World Peace,,44-42,,
2:26.0,J. Clarkson misses 2-pt shot from 18 ft (block by K. Porzingis),,44-42,,
2:25.0,Offensive rebound by J. Randle,,44-42,,
2:23.0,J. Randle misses 2-pt shot from 7 ft,,44-42,,
2:22.0,,,44-42,,Defensive rebound by R. Lopez
2:09.0,,,44-45,3,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Calderon)
1:55.0,LA Lakers full timeout,,44-45,,
1:55.0,,,44-45,,New York full timeout
1:55.0,K. Bryant enters the game for M. World Peace,,44-45,,
1:50.0,,,44-45,,K. O'Quinn enters the game for K. Porzingis
1:41.0,,,44-45,,Personal foul by C. Anthony (drawn by K. Bryant)
1:34.0,D. Russell makes 2-pt shot from 10 ft,2,46-45,,
1:17.0,,,46-45,,R. Lopez misses 2-pt shot from 4 ft
1:16.0,Defensive rebound by D. Russell,,46-45,,
1:07.0,J. Clarkson misses 2-pt shot from 1 ft,,46-45,,
1:06.0,,,46-45,,Defensive rebound by R. Lopez
0:55.0,,,46-45,,C. Anthony misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by J. Randle,,46-45,,
0:47.0,K. Bryant misses 3-pt shot from 23 ft,,46-45,,
0:46.0,Offensive rebound by J. Randle,,46-45,,
0:34.0,J. Clarkson makes 3-pt shot from 23 ft,3,49-45,,
0:25.0,,,49-45,,J. Calderon misses 2-pt shot from 11 ft
0:24.0,Defensive rebound by J. Clarkson,,49-45,,
0:01.0,K. Bryant misses 3-pt shot from 24 ft,,49-45,,
0:00.0,Offensive rebound by J. Randle,,49-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,R. Hibbert misses 2-pt shot from 6 ft (block by R. Lopez),,49-45,,
11:38.0,,,49-45,,Defensive rebound by K. Porzingis
11:26.0,,,49-47,2,S. Vujacic makes 2-pt shot from 21 ft (assist by C. Anthony)
11:05.0,R. Hibbert makes 2-pt shot at rim (assist by J. Randle),2,51-47,,
10:51.0,,,51-47,,C. Anthony misses 2-pt shot from 13 ft
10:50.0,Defensive rebound by R. Hibbert,,51-47,,
10:42.0,D. Russell misses 2-pt shot from 3 ft,,51-47,,
10:41.0,,,51-47,,Defensive rebound by R. Lopez
10:38.0,,,51-47,,Turnover by R. Lopez (lost ball; steal by D. Russell)
10:27.0,J. Randle makes 2-pt shot from 20 ft (assist by D. Russell),2,53-47,,
10:08.0,,,53-47,,S. Vujacic misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by D. Russell,,53-47,,
10:03.0,J. Randle makes 2-pt shot at rim (assist by D. Russell),2,55-47,,
10:02.0,,,55-47,,New York full timeout
10:02.0,,,55-47,,L. Galloway enters the game for S. Vujacic
9:47.0,,,55-49,2,C. Anthony makes 2-pt shot from 8 ft
9:32.0,R. Hibbert misses 2-pt shot from 18 ft,,55-49,,
9:31.0,,,55-49,,Defensive rebound by K. Porzingis
9:23.0,,,55-51,2,C. Anthony makes 2-pt shot from 18 ft
9:10.0,J. Randle misses 2-pt shot from 20 ft,,55-51,,
9:09.0,,,55-51,,Defensive rebound by R. Lopez
9:00.0,,,55-51,,Shooting foul by J. Randle (drawn by R. Lopez)
9:00.0,,,55-52,1,R. Lopez makes free throw 1 of 2
9:00.0,,,55-53,1,R. Lopez makes free throw 2 of 2
8:43.0,J. Randle misses 2-pt shot from 2 ft,,55-53,,
8:42.0,,,55-53,,Defensive rebound by R. Lopez
8:27.0,,,55-55,2,J. Calderon makes 2-pt shot from 9 ft (assist by R. Lopez)
8:06.0,J. Clarkson misses 2-pt shot from 6 ft,,55-55,,
8:05.0,,,55-55,,Defensive rebound by C. Anthony
7:58.0,,,55-55,,Turnover by C. Anthony (bad pass; steal by J. Clarkson)
7:56.0,Turnover by J. Clarkson (lost ball; steal by J. Calderon),,55-55,,
7:50.0,,,55-55,,Turnover by J. Calderon (lost ball; steal by D. Russell)
7:43.0,J. Clarkson misses 2-pt shot from 1 ft,,55-55,,
7:42.0,,,55-55,,Defensive rebound by C. Anthony
7:29.0,,,55-55,,L. Galloway misses 2-pt shot from 2 ft
7:28.0,Defensive rebound by J. Randle,,55-55,,
7:11.0,Shooting foul by K. Porzingis (drawn by K. Bryant),,55-55,,
7:11.0,,,55-55,,Technical foul by Team
7:11.0,,,55-55,,Technical foul by Team
7:11.0,K. Bryant makes technical free throw,1,56-55,,
7:11.0,K. Bryant makes technical free throw,1,57-55,,
7:11.0,K. Bryant misses free throw 1 of 3,,57-55,,
7:11.0,Offensive rebound by Team,,57-55,,
7:11.0,K. Bryant makes free throw 2 of 3,1,58-55,,
7:11.0,K. Bryant misses free throw 3 of 3,,58-55,,
7:10.0,,,58-55,,Defensive rebound by R. Lopez
6:47.0,,,58-57,2,R. Lopez makes 2-pt shot from 3 ft
6:26.0,R. Hibbert misses 2-pt shot from 1 ft,,58-57,,
6:25.0,Offensive rebound by J. Randle,,58-57,,
6:23.0,R. Hibbert makes 2-pt shot from 6 ft (assist by J. Randle),2,60-57,,
6:07.0,,,60-57,,C. Anthony misses 2-pt shot from 10 ft
6:06.0,,,60-57,,Offensive rebound by R. Lopez
6:00.0,,,60-59,2,R. Lopez makes 2-pt shot from 4 ft
5:41.0,K. Bryant misses 3-pt shot from 24 ft,,60-59,,
5:40.0,,,60-59,,Defensive rebound by J. Calderon
5:32.0,,,60-59,,K. O'Quinn enters the game for R. Lopez
5:25.0,,,60-59,,K. Porzingis misses 2-pt shot from 1 ft
5:24.0,Defensive rebound by J. Randle,,60-59,,
5:16.0,J. Randle misses 2-pt shot from 3 ft,,60-59,,
5:15.0,Offensive rebound by D. Russell,,60-59,,
5:11.0,Turnover by D. Russell (bad pass; steal by J. Calderon),,60-59,,
