time,Charlotte,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. C. Zeller (G. Hill gains possession),,,,Jump ball: I. Mahinmi vs. C. Zeller (G. Hill gains possession)
11:44.0,,,0-2,2,M. Turner makes 2-pt shot at rim (assist by P. George)
11:27.0,M. Williams misses 3-pt shot from 25 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by I. Mahinmi
11:18.0,,,0-4,2,M. Turner makes 2-pt shot from 12 ft (assist by P. George)
10:58.0,Shooting foul by G. Hill (drawn by K. Walker),,0-4,,
10:58.0,K. Walker makes free throw 1 of 2,1,1-4,,
10:58.0,K. Walker makes free throw 2 of 2,1,2-4,,
10:42.0,,,2-4,,I. Mahinmi misses 2-pt shot from 19 ft
10:41.0,,,2-4,,Offensive rebound by M. Turner
10:39.0,,,2-4,,Turnover by M. Turner (lost ball; steal by M. Kidd-Gilchrist)
10:29.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,5-4,,
10:22.0,Personal foul by M. Williams (drawn by M. Turner),,5-4,,
10:18.0,,,5-4,,P. George misses 2-pt shot from 22 ft
10:17.0,Defensive rebound by C. Zeller,,5-4,,
10:03.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,8-4,,
9:53.0,,,8-4,,G. Hill misses 2-pt shot from 1 ft
9:52.0,,,8-4,,Offensive rebound by M. Turner
9:49.0,,,8-6,2,M. Turner makes 2-pt shot from 3 ft
9:35.0,Shooting foul by M. Ellis (drawn by C. Zeller),,8-6,,
9:35.0,C. Zeller makes free throw 1 of 2,1,9-6,,
9:35.0,C. Zeller makes free throw 2 of 2,1,10-6,,
9:22.0,,,10-8,2,M. Ellis makes 2-pt shot from 19 ft
9:01.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,10-8,,
9:00.0,,,10-8,,Defensive rebound by I. Mahinmi
8:38.0,,,10-8,,P. George misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by N. Batum,,10-8,,
8:29.0,Offensive foul by C. Zeller,,10-8,,
8:29.0,Turnover by C. Zeller (offensive foul),,10-8,,
8:18.0,,,10-8,,Shooting foul by M. Williams (drawn by M. Turner)
8:18.0,,,10-9,1,M. Turner makes free throw 1 of 2
8:18.0,,,10-10,1,M. Turner makes free throw 2 of 2
7:56.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,12-10,,
7:41.0,,,12-10,,Turnover by P. George (bad pass; steal by K. Walker)
7:35.0,K. Walker makes 2-pt shot from 1 ft,2,14-10,,
7:12.0,,,14-10,,M. Ellis misses 3-pt shot from 23 ft
