time,Detroit,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez (T. Harris gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (T. Harris gains possession)
11:42.0,Shooting foul by D. Williams (drawn by T. Harris),,0-0,,
11:42.0,T. Harris makes free throw 1 of 2,1,1-0,,
11:42.0,T. Harris makes free throw 2 of 2,1,2-0,,
11:24.0,,,2-2,2,A. Afflalo makes 2-pt shot from 12 ft
11:02.0,R. Jackson makes 2-pt shot from 10 ft,2,4-2,,
10:54.0,,,4-4,2,A. Afflalo makes 2-pt shot from 10 ft
10:36.0,A. Drummond misses 2-pt shot from 7 ft,,4-4,,
10:35.0,,,4-4,,Defensive rebound by J. Calderon
10:26.0,,,4-4,,R. Lopez misses 2-pt shot from 9 ft
10:25.0,Defensive rebound by T. Harris,,4-4,,
10:17.0,T. Harris makes 2-pt shot from 1 ft,2,6-4,,
10:05.0,,,6-6,2,R. Lopez makes 2-pt shot from 8 ft (assist by C. Anthony)
9:51.0,A. Drummond misses 2-pt shot from 2 ft,,6-6,,
9:50.0,,,6-6,,Defensive rebound by J. Calderon
9:42.0,,,6-6,,J. Calderon misses 2-pt shot from 18 ft
9:41.0,Defensive rebound by T. Harris,,6-6,,
9:25.0,M. Morris misses 3-pt shot from 25 ft,,6-6,,
9:24.0,Offensive rebound by T. Harris,,6-6,,
9:12.0,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson),3,9-6,,
8:54.0,,,9-6,,Turnover by R. Lopez (bad pass; steal by R. Jackson)
8:35.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,9-6,,
8:34.0,,,9-6,,Defensive rebound by C. Anthony
8:22.0,,,9-8,2,A. Afflalo makes 2-pt shot from 11 ft
8:04.0,R. Jackson makes 2-pt shot from 20 ft,2,11-8,,
7:49.0,,,11-8,,D. Williams misses 2-pt shot from 17 ft
7:48.0,Defensive rebound by R. Jackson,,11-8,,
7:42.0,Turnover by R. Jackson (bad pass; steal by C. Anthony),,11-8,,
7:27.0,,,11-8,,R. Lopez misses 2-pt shot from 5 ft
7:26.0,,,11-8,,Offensive rebound by R. Lopez
7:23.0,,,11-10,2,R. Lopez makes 2-pt shot from 2 ft
7:09.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,13-10,,
6:55.0,Personal foul by M. Morris (drawn by C. Anthony),,13-10,,
6:49.0,,,13-10,,Turnover by C. Anthony (bad pass; steal by K. Caldwell-Pope)
6:46.0,,,13-10,,Personal foul by J. Calderon (drawn by K. Caldwell-Pope)
6:36.0,,,13-10,,Personal foul by C. Anthony (drawn by M. Morris)
6:27.0,Turnover by A. Drummond (3 sec),,13-10,,
6:16.0,,,13-10,,C. Anthony misses 2-pt shot from 7 ft
6:15.0,,,13-10,,Offensive rebound by R. Lopez
6:06.0,,,13-10,,Shooting foul by K. Caldwell-Pope (drawn by A. Afflalo)
6:06.0,,,13-10,,A. Afflalo misses free throw 1 of 2
6:06.0,,,13-10,,Offensive rebound by Team
6:06.0,,,13-11,1,A. Afflalo makes free throw 2 of 2
5:49.0,M. Morris misses 2-pt shot from 15 ft,,13-11,,
5:48.0,,,13-11,,Defensive rebound by C. Anthony
5:42.0,Personal foul by M. Morris (drawn by D. Williams),,13-11,,
5:42.0,,,13-11,,New York full timeout
5:42.0,J. Harper enters the game for M. Morris,,13-11,,
5:25.0,,,13-13,2,A. Afflalo makes 2-pt shot from 1 ft
5:09.0,T. Harris misses 2-pt shot at rim,,13-13,,
5:08.0,,,13-13,,Defensive rebound by D. Williams
5:02.0,,,13-13,,D. Williams misses 2-pt shot at rim
5:01.0,Defensive rebound by T. Harris,,13-13,,
4:56.0,A. Drummond misses 2-pt shot from 1 ft (block by C. Anthony),,13-13,,
4:55.0,Offensive rebound by Team,,13-13,,
4:55.0,,,13-13,,L. Thomas enters the game for D. Williams
4:42.0,R. Jackson misses 3-pt shot from 26 ft,,13-13,,
4:41.0,,,13-13,,Defensive rebound by R. Lopez
4:31.0,,,13-15,2,R. Lopez makes 2-pt shot at rim (assist by C. Anthony)
4:26.0,Detroit full timeout,,13-15,,
4:26.0,,,13-15,,L. Galloway enters the game for J. Calderon
4:13.0,T. Harris misses 2-pt shot from 18 ft,,13-15,,
4:12.0,,,13-15,,Defensive rebound by A. Afflalo
4:03.0,,,13-17,2,A. Afflalo makes 2-pt shot from 21 ft
3:40.0,A. Drummond makes 2-pt shot from 4 ft,2,15-17,,
3:15.0,,,15-17,,L. Thomas misses 2-pt shot from 9 ft
3:14.0,Defensive rebound by T. Harris,,15-17,,
3:05.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,15-17,,
3:04.0,,,15-17,,Defensive rebound by C. Anthony
2:58.0,,,15-17,,L. Galloway misses 2-pt shot from 21 ft
2:57.0,Defensive rebound by A. Drummond,,15-17,,
2:41.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,15-17,,
2:40.0,,,15-17,,Defensive rebound by R. Lopez
2:28.0,,,15-17,,L. Thomas misses 3-pt shot from 22 ft
2:27.0,Defensive rebound by T. Harris,,15-17,,
2:20.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,15-17,,
2:19.0,Offensive rebound by K. Caldwell-Pope,,15-17,,
2:17.0,Shooting foul by L. Thomas (drawn by T. Harris),,15-17,,
2:17.0,T. Harris makes free throw 1 of 2,1,16-17,,
2:17.0,,,16-17,,K. O'Quinn enters the game for R. Lopez
2:17.0,,,16-17,,J. Grant enters the game for A. Afflalo
2:17.0,R. Bullock enters the game for R. Jackson,,16-17,,
2:17.0,S. Blake enters the game for J. Harper,,16-17,,
2:17.0,T. Harris makes free throw 2 of 2,1,17-17,,
2:08.0,,,17-17,,Shooting foul by T. Harris (drawn by L. Galloway)
2:08.0,,,17-17,,L. Galloway misses free throw 1 of 2
2:08.0,,,17-17,,Offensive rebound by Team
2:08.0,,,17-18,1,L. Galloway makes free throw 2 of 2
1:45.0,A. Drummond misses 2-pt shot from 2 ft (block by K. O'Quinn),,17-18,,
1:44.0,Offensive rebound by A. Drummond,,17-18,,
1:43.0,A. Drummond misses 2-pt shot from 2 ft,,17-18,,
1:42.0,Offensive rebound by A. Drummond,,17-18,,
1:41.0,A. Drummond misses 2-pt shot from 2 ft,,17-18,,
1:40.0,Offensive rebound by A. Drummond,,17-18,,
1:40.0,A. Drummond makes 2-pt shot from 2 ft,2,19-18,,
1:27.0,,,19-18,,C. Anthony misses 3-pt shot from 24 ft
1:26.0,,,19-18,,Offensive rebound by L. Thomas
1:12.0,,,19-20,2,K. O'Quinn makes 2-pt shot from 4 ft (assist by L. Thomas)
0:58.0,A. Drummond misses 2-pt shot from 5 ft,,19-20,,
0:56.0,,,19-20,,Defensive rebound by C. Anthony
0:37.0,,,19-22,2,C. Anthony makes 2-pt shot from 12 ft
0:15.0,A. Drummond makes 2-pt shot from 8 ft,2,21-22,,
0:00.0,,,21-22,,L. Thomas misses 2-pt shot from 3 ft
0:00.0,,,21-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,21-25,3,J. Grant makes 3-pt shot from 24 ft
11:17.0,R. Bullock misses 2-pt shot from 19 ft,,21-25,,
11:16.0,,,21-25,,Defensive rebound by K. O'Quinn
11:04.0,,,21-25,,L. Thomas misses 2-pt shot from 6 ft
11:03.0,,,21-25,,Offensive rebound by L. Thomas
11:01.0,,,21-27,2,L. Thomas makes 2-pt shot at rim
10:54.0,Detroit full timeout,,21-27,,
10:42.0,D. Hilliard misses 2-pt shot from 17 ft,,21-27,,
10:41.0,,,21-27,,Defensive rebound by L. Galloway
10:34.0,,,21-29,2,L. Thomas makes 2-pt shot from 5 ft
10:19.0,S. Blake misses 3-pt shot from 25 ft,,21-29,,
10:18.0,,,21-29,,Defensive rebound by K. O'Quinn
10:13.0,,,21-29,,Shooting foul by D. Hilliard (drawn by L. Galloway)
10:13.0,,,21-30,1,L. Galloway makes free throw 1 of 2
10:13.0,,,21-31,1,L. Galloway makes free throw 2 of 2
9:55.0,R. Bullock makes 3-pt shot from 23 ft (assist by S. Blake),3,24-31,,
9:45.0,,,24-31,,K. O'Quinn misses 2-pt shot from 19 ft
9:44.0,Defensive rebound by R. Bullock,,24-31,,
9:42.0,Offensive foul by A. Baynes,,24-31,,
9:42.0,Turnover by A. Baynes (offensive foul),,24-31,,
9:23.0,,,24-33,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by L. Galloway)
9:03.0,M. Morris misses 2-pt shot from 11 ft,,24-33,,
9:02.0,,,24-33,,Defensive rebound by A. Afflalo
8:52.0,,,24-33,,Turnover by J. Grant (bad pass)
8:52.0,,,24-33,,C. Anthony enters the game for L. Thomas
8:37.0,Turnover by S. Blake (bad pass; steal by J. Grant),,24-33,,
8:30.0,,,24-35,2,A. Afflalo makes 2-pt shot from 16 ft
8:15.0,S. Blake makes 2-pt shot from 1 ft (assist by M. Morris),2,26-35,,
7:56.0,,,26-37,2,C. Anthony makes 2-pt shot from 16 ft
7:40.0,S. Blake makes 3-pt shot from 24 ft (assist by R. Bullock),3,29-37,,
7:31.0,Personal foul by R. Bullock (drawn by A. Afflalo),,29-37,,
7:31.0,,,29-37,,J. Calderon enters the game for L. Galloway
7:17.0,,,29-39,2,K. O'Quinn makes 2-pt shot from 14 ft
6:59.0,M. Morris misses 2-pt shot from 15 ft,,29-39,,
6:58.0,,,29-39,,Defensive rebound by C. Anthony
6:54.0,,,29-39,,Offensive foul by K. O'Quinn
6:54.0,,,29-39,,Turnover by K. O'Quinn (offensive foul)
6:54.0,R. Jackson enters the game for S. Blake,,29-39,,
6:54.0,A. Drummond enters the game for A. Baynes,,29-39,,
6:54.0,,,29-39,,R. Lopez enters the game for K. O'Quinn
6:41.0,R. Jackson misses 2-pt shot from 10 ft,,29-39,,
6:40.0,Offensive rebound by A. Drummond,,29-39,,
6:34.0,M. Morris misses 3-pt shot from 25 ft,,29-39,,
6:33.0,,,29-39,,Defensive rebound by C. Anthony
6:13.0,,,29-39,,Turnover by R. Lopez (traveling)
6:13.0,T. Harris enters the game for D. Hilliard,,29-39,,
6:13.0,K. Caldwell-Pope enters the game for R. Bullock,,29-39,,
6:00.0,Shooting foul by A. Afflalo (drawn by T. Harris),,29-39,,
6:00.0,T. Harris misses free throw 1 of 2,,29-39,,
6:00.0,Offensive rebound by Team,,29-39,,
6:00.0,,,29-39,,D. Williams enters the game for J. Grant
6:00.0,T. Harris makes free throw 2 of 2,1,30-39,,
5:43.0,,,30-41,2,D. Williams makes 2-pt shot from 1 ft
5:21.0,M. Morris makes 2-pt shot from 6 ft,2,32-41,,
5:12.0,,,32-41,,C. Anthony misses 3-pt shot from 27 ft
5:11.0,Defensive rebound by A. Drummond,,32-41,,
5:03.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,34-41,,
4:45.0,,,34-41,,Turnover by R. Lopez (bad pass; steal by K. Caldwell-Pope)
4:41.0,K. Caldwell-Pope makes 2-pt shot at rim,2,36-41,,
4:40.0,,,36-41,,New York full timeout
4:24.0,,,36-43,2,C. Anthony makes 2-pt shot from 21 ft
4:09.0,R. Jackson misses 2-pt shot from 18 ft,,36-43,,
4:08.0,Offensive rebound by A. Drummond,,36-43,,
4:02.0,A. Drummond makes 2-pt shot from 4 ft,2,38-43,,
3:42.0,,,38-45,2,C. Anthony makes 2-pt shot from 19 ft
3:25.0,,,38-45,,Personal foul by D. Williams (drawn by R. Jackson)
3:16.0,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson),2,40-45,,
3:02.0,Personal foul by T. Harris (drawn by C. Anthony),,40-45,,
2:52.0,,,40-47,2,A. Afflalo makes 2-pt shot from 1 ft (assist by R. Lopez)
2:39.0,Turnover by R. Jackson (lost ball; steal by D. Williams),,40-47,,
2:32.0,,,40-47,,D. Williams misses 2-pt shot from 1 ft (block by R. Jackson)
2:31.0,Defensive rebound by M. Morris,,40-47,,
2:20.0,M. Morris misses 2-pt shot from 5 ft,,40-47,,
2:19.0,Offensive rebound by A. Drummond,,40-47,,
2:19.0,A. Drummond misses 2-pt shot from 3 ft,,40-47,,
2:18.0,Offensive rebound by A. Drummond,,40-47,,
2:17.0,A. Drummond misses 2-pt shot from 1 ft,,40-47,,
2:16.0,Offensive rebound by K. Caldwell-Pope,,40-47,,
2:16.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,40-47,,
2:15.0,,,40-47,,Defensive rebound by R. Lopez
2:10.0,,,40-47,,Shooting foul by A. Drummond (drawn by R. Lopez)
