time,Utah,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Hayward vs. J. Nurkic (N. Jokic gains possession),,,,Jump ball: G. Hayward vs. J. Nurkic (N. Jokic gains possession)
11:44.0,,,0-0,,J. Nurkic misses 2-pt shot from 4 ft
11:42.0,,,0-0,,Offensive rebound by N. Jokic
11:33.0,,,0-0,,J. Nurkic misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by R. Gobert,,0-0,,
11:15.0,G. Hayward misses 2-pt shot from 18 ft,,0-0,,
11:14.0,Offensive rebound by R. Gobert,,0-0,,
11:13.0,R. Gobert makes 2-pt shot at rim,2,2-0,,
10:51.0,,,2-0,,J. Nurkic misses 2-pt shot from 16 ft
10:50.0,Defensive rebound by G. Hayward,,2-0,,
10:28.0,T. Lyles makes 2-pt shot from 21 ft (assist by G. Hayward),2,4-0,,
10:11.0,,,4-0,,J. Nurkic misses 2-pt shot from 2 ft
10:11.0,,,4-0,,Offensive rebound by N. Jokic
10:07.0,,,4-2,2,N. Jokic makes 2-pt shot from 2 ft
9:51.0,Turnover by T. Lyles (lost ball; steal by E. Mudiay),,4-2,,
9:46.0,,,4-4,2,E. Mudiay makes 2-pt shot from 1 ft
9:32.0,G. Hayward makes 2-pt shot from 8 ft,2,6-4,,
9:32.0,Shooting foul by J. Nurkic (drawn by G. Hayward),,6-4,,
9:32.0,G. Hayward makes free throw 1 of 1,1,7-4,,
9:18.0,,,7-4,,Turnover by J. Nurkic (3 sec)
9:02.0,,,7-4,,Personal foul by E. Mudiay
8:52.0,S. Mack makes 2-pt shot from 6 ft,2,9-4,,
8:45.0,,,9-4,,J. Nurkic misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by R. Hood,,9-4,,
8:26.0,T. Lyles makes 3-pt shot from 24 ft (assist by G. Hayward),3,12-4,,
8:25.0,,,12-4,,Denver full timeout
8:10.0,,,12-4,,J. Nurkic misses 2-pt shot from 5 ft
8:08.0,Defensive rebound by G. Hayward,,12-4,,
7:51.0,R. Hood misses 3-pt shot from 24 ft,,12-4,,
7:50.0,,,12-4,,Defensive rebound by J. Nurkic
7:40.0,,,12-4,,E. Mudiay misses 2-pt shot from 10 ft
7:39.0,Defensive rebound by S. Mack,,12-4,,
7:32.0,Turnover by S. Mack (lost ball; steal by N. Jokic),,12-4,,
7:27.0,,,12-4,,Turnover by N. Jokic (lost ball; steal by R. Hood)
7:17.0,,,12-4,,Personal foul by N. Jokic
7:05.0,T. Lyles makes 2-pt shot from 6 ft,2,14-4,,
6:49.0,,,14-4,,J. Lauvergne enters the game for N. Jokic
6:49.0,,,14-4,,D. Arthur enters the game for J. Nurkic
6:43.0,,,14-7,3,E. Mudiay makes 3-pt shot from 25 ft (assist by J. Lauvergne)
6:25.0,R. Hood makes 2-pt shot from 3 ft (assist by T. Lyles),2,16-7,,
6:14.0,,,16-7,,D. Arthur misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by R. Gobert,,16-7,,
6:08.0,R. Gobert misses 2-pt shot from 1 ft,,16-7,,
6:07.0,Offensive rebound by R. Gobert,,16-7,,
6:06.0,Shooting foul by D. Arthur (drawn by R. Gobert),,16-7,,
6:06.0,R. Gobert makes free throw 1 of 2,1,17-7,,
6:06.0,R. Gobert misses free throw 2 of 2,,17-7,,
6:05.0,,,17-7,,Defensive rebound by D. Arthur
