time,Cleveland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. K. Towns (K. Garnett gains possession),,,,Jump ball: T. Thompson vs. K. Towns (K. Garnett gains possession)
11:48.0,,,0-2,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
11:32.0,K. Love misses 3-pt shot from 25 ft,,0-2,,
11:31.0,,,0-2,,Defensive rebound by K. Towns
11:11.0,,,0-5,3,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio)
10:48.0,K. Irving makes 2-pt shot from 19 ft,2,2-5,,
10:36.0,,,2-7,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
10:08.0,J. Smith makes 2-pt shot from 17 ft,2,4-7,,
9:55.0,,,4-7,,R. Rubio misses 2-pt shot from 20 ft
9:53.0,Defensive rebound by L. James,,4-7,,
9:42.0,K. Love misses 2-pt shot from 1 ft,,4-7,,
9:40.0,,,4-7,,Defensive rebound by A. Wiggins
9:33.0,,,4-7,,R. Rubio misses 2-pt shot at rim
9:31.0,,,4-7,,Offensive rebound by R. Rubio
9:25.0,,,4-7,,T. Prince misses 2-pt shot from 17 ft
9:24.0,,,4-7,,Offensive rebound by K. Towns
9:23.0,,,4-9,2,K. Towns makes 2-pt shot from 2 ft
9:02.0,K. Irving makes 2-pt shot at rim,2,6-9,,
8:49.0,Personal foul by K. Irving (drawn by R. Rubio),,6-9,,
8:40.0,,,6-11,2,A. Wiggins makes 2-pt shot from 17 ft
8:27.0,L. James misses 3-pt shot from 25 ft,,6-11,,
8:27.0,,,6-11,,Defensive rebound by K. Garnett
8:17.0,,,6-11,,A. Wiggins misses 2-pt shot from 11 ft
8:16.0,Defensive rebound by L. James,,6-11,,
8:12.0,Turnover by L. James (bad pass; steal by T. Prince),,6-11,,
8:07.0,,,6-11,,T. Prince misses 2-pt shot from 1 ft (block by L. James)
8:06.0,,,6-11,,Offensive rebound by A. Wiggins
8:05.0,,,6-13,2,A. Wiggins makes 2-pt shot from 2 ft
8:05.0,Cleveland full timeout,,6-13,,
8:05.0,,,6-13,,N. Pekovic enters the game for K. Garnett
7:45.0,K. Love misses 2-pt shot from 23 ft,,6-13,,
7:44.0,Offensive rebound by K. Irving,,6-13,,
7:42.0,K. Irving misses 2-pt shot from 2 ft,,6-13,,
7:41.0,Offensive rebound by K. Irving,,6-13,,
7:40.0,Turnover by K. Irving (bad pass; steal by A. Wiggins),,6-13,,
7:33.0,,,6-13,,Turnover by A. Wiggins (lost ball; steal by J. Smith)
7:27.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,9-13,,
7:09.0,,,9-13,,Offensive foul by A. Wiggins
7:09.0,,,9-13,,Turnover by A. Wiggins (offensive foul)
6:51.0,,,9-13,,Personal foul by R. Rubio (drawn by J. Smith)
6:42.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,12-13,,
6:28.0,,,12-13,,K. Towns misses 2-pt shot from 20 ft
6:28.0,,,12-13,,Offensive rebound by Team
6:28.0,Loose ball foul by K. Love (drawn by N. Pekovic),,12-13,,
6:24.0,Personal foul by J. Smith (drawn by A. Wiggins),,12-13,,
6:10.0,,,12-15,2,N. Pekovic makes 2-pt shot from 2 ft (assist by R. Rubio)
5:56.0,Shooting foul by N. Pekovic (drawn by L. James),,12-15,,
5:56.0,L. James misses free throw 1 of 2,,12-15,,
5:56.0,Offensive rebound by Team,,12-15,,
5:56.0,L. James makes free throw 2 of 2,1,13-15,,
5:46.0,,,13-17,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
5:37.0,Shooting foul by N. Pekovic (drawn by L. James),,13-17,,
5:37.0,L. James makes free throw 1 of 2,1,14-17,,
5:37.0,M. Dellavedova enters the game for K. Irving,,14-17,,
5:37.0,L. James makes free throw 2 of 2,1,15-17,,
5:18.0,,,15-17,,Turnover by N. Pekovic (bad pass; steal by L. James)
5:11.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James),3,18-17,,
5:02.0,,,18-17,,Minnesota full timeout
4:50.0,,,18-17,,A. Wiggins misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by L. James,,18-17,,
4:31.0,M. Dellavedova misses 3-pt shot from 23 ft,,18-17,,
4:30.0,Offensive rebound by T. Thompson,,18-17,,
4:15.0,K. Love makes 3-pt shot from 24 ft (assist by T. Thompson),3,21-17,,
3:58.0,,,21-17,,K. Towns misses 2-pt shot from 19 ft
3:57.0,Defensive rebound by L. James,,21-17,,
3:54.0,Turnover by L. James (bad pass; steal by T. Prince),,21-17,,
3:45.0,,,21-17,,N. Pekovic misses 2-pt shot from 5 ft
3:44.0,Defensive rebound by K. Love,,21-17,,
3:27.0,K. Love makes 2-pt shot from 5 ft,2,23-17,,
3:27.0,Shooting foul by K. Towns (drawn by K. Love),,23-17,,
3:27.0,,,23-17,,G. Dieng enters the game for N. Pekovic
3:27.0,K. Love makes free throw 1 of 1,1,24-17,,
3:10.0,,,24-20,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
3:06.0,J. Smith makes 2-pt shot at rim (assist by K. Love),2,26-20,,
2:47.0,,,26-22,2,A. Wiggins makes 2-pt shot from 17 ft
2:34.0,L. James misses 3-pt shot from 24 ft,,26-22,,
2:33.0,,,26-22,,Defensive rebound by R. Rubio
2:27.0,,,26-22,,T. Prince misses 2-pt shot from 17 ft
2:26.0,Defensive rebound by L. James,,26-22,,
2:22.0,L. James makes 2-pt shot at rim,2,28-22,,
2:06.0,,,28-22,,Shooting foul by M. Dellavedova (drawn by R. Rubio)
2:06.0,,,28-23,1,R. Rubio makes free throw 1 of 2
2:06.0,,,28-23,,S. Muhammad enters the game for T. Prince
2:06.0,,,28-23,,N. Pekovic enters the game for K. Towns
2:06.0,,,28-24,1,R. Rubio makes free throw 2 of 2
1:53.0,,,28-24,,Personal foul by G. Dieng (drawn by K. Love)
1:53.0,K. Love makes free throw 1 of 2,1,29-24,,
1:53.0,,,29-24,,Z. LaVine enters the game for R. Rubio
1:53.0,T. Mozgov enters the game for T. Thompson,,29-24,,
1:53.0,I. Shumpert enters the game for J. Smith,,29-24,,
