time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (S. Curry gains possession),,,,Jump ball: S. Adams vs. A. Bogut (S. Curry gains possession)
11:42.0,,,0-3,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Green)
11:25.0,K. Durant misses 3-pt shot from 25 ft,,0-3,,
11:24.0,,,0-3,,Defensive rebound by A. Bogut
11:17.0,,,0-3,,K. Thompson misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by S. Adams,,0-3,,
11:08.0,R. Westbrook misses 2-pt shot from 2 ft,,0-3,,
11:07.0,,,0-3,,Defensive rebound by A. Bogut
11:05.0,,,0-3,,Turnover by A. Bogut (lost ball; steal by R. Westbrook)
11:03.0,R. Westbrook misses 2-pt shot from 15 ft,,0-3,,
11:02.0,,,0-3,,Defensive rebound by K. Thompson
10:57.0,,,0-3,,K. Thompson misses 3-pt shot from 28 ft
10:56.0,Defensive rebound by R. Westbrook,,0-3,,
10:42.0,K. Durant makes 2-pt shot from 17 ft,2,2-3,,
10:28.0,,,2-3,,Shooting foul by A. Roberson (drawn by S. Curry)
10:28.0,,,2-4,1,S. Curry makes free throw 1 of 2
10:28.0,,,2-5,1,S. Curry makes free throw 2 of 2
10:12.0,K. Durant misses 2-pt shot from 9 ft,,2-5,,
10:11.0,Offensive rebound by A. Roberson,,2-5,,
10:09.0,A. Roberson misses 2-pt shot from 4 ft,,2-5,,
10:08.0,Offensive rebound by A. Roberson,,2-5,,
10:03.0,Offensive foul by S. Adams,,2-5,,
10:03.0,Turnover by S. Adams (offensive foul),,2-5,,
9:53.0,,,2-5,,Turnover by D. Green (lost ball; steal by K. Durant)
9:45.0,K. Durant misses 2-pt shot from 7 ft,,2-5,,
9:43.0,Offensive rebound by S. Adams,,2-5,,
9:41.0,A. Roberson makes 3-pt shot from 26 ft (assist by S. Adams),3,5-5,,
9:34.0,Personal foul by S. Adams,,5-5,,
9:34.0,D. Waiters enters the game for S. Adams,,5-5,,
9:29.0,,,5-7,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
9:15.0,,,5-7,,Violation by D. Green (def goaltending)
9:15.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,7-7,,
9:05.0,,,7-9,2,K. Thompson makes 2-pt shot from 21 ft (assist by A. Bogut)
8:46.0,R. Westbrook misses 2-pt shot from 12 ft,,7-9,,
8:45.0,,,7-9,,Defensive rebound by Team
8:38.0,,,7-9,,Turnover by D. Green (lost ball)
8:21.0,R. Westbrook misses 2-pt shot from 4 ft (block by D. Green),,7-9,,
8:20.0,,,7-9,,Defensive rebound by S. Curry
8:16.0,,,7-11,2,S. Curry makes 2-pt shot from 22 ft
8:14.0,Oklahoma City full timeout,,7-11,,
7:59.0,K. Durant misses 2-pt shot from 18 ft,,7-11,,
7:59.0,Offensive rebound by A. Roberson,,7-11,,
7:51.0,A. Roberson misses 3-pt shot from 24 ft,,7-11,,
7:50.0,,,7-11,,Defensive rebound by A. Bogut
7:30.0,,,7-11,,D. Green misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by S. Ibaka,,7-11,,
7:21.0,D. Waiters misses 2-pt shot from 2 ft,,7-11,,
7:20.0,,,7-11,,Defensive rebound by A. Bogut
7:01.0,,,7-13,2,K. Thompson makes 2-pt shot from 13 ft
6:36.0,R. Westbrook makes 3-pt shot from 25 ft (assist by D. Waiters),3,10-13,,
6:15.0,Personal foul by R. Westbrook,,10-13,,
6:15.0,,,10-13,,A. Iguodala enters the game for H. Barnes
6:09.0,,,10-15,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
5:53.0,S. Ibaka misses 3-pt shot from 26 ft,,10-15,,
5:53.0,,,10-15,,Defensive rebound by K. Thompson
5:38.0,,,10-15,,S. Curry misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by K. Durant,,10-15,,
5:30.0,K. Durant misses 2-pt shot from 10 ft,,10-15,,
5:30.0,,,10-15,,Defensive rebound by Team
5:15.0,,,10-15,,K. Thompson misses 3-pt shot from 30 ft
5:14.0,Defensive rebound by S. Ibaka,,10-15,,
5:02.0,K. Durant misses 2-pt shot from 4 ft,,10-15,,
5:02.0,Offensive rebound by S. Ibaka,,10-15,,
4:56.0,R. Westbrook misses 3-pt shot from 26 ft,,10-15,,
4:56.0,,,10-15,,Defensive rebound by D. Green
4:49.0,,,10-15,,Turnover by S. Curry (lost ball)
4:31.0,R. Westbrook misses 2-pt shot from 20 ft,,10-15,,
4:31.0,,,10-15,,Defensive rebound by S. Curry
4:23.0,,,10-17,2,A. Iguodala makes 2-pt shot from 17 ft (assist by S. Curry)
4:10.0,R. Westbrook misses 2-pt shot from 7 ft,,10-17,,
4:10.0,,,10-17,,Defensive rebound by Team
3:58.0,,,10-17,,S. Curry misses 3-pt shot from 32 ft
3:58.0,,,10-17,,Offensive rebound by A. Bogut
3:45.0,,,10-17,,K. Thompson misses 2-pt shot from 3 ft
3:44.0,,,10-17,,Offensive rebound by D. Green
3:44.0,,,10-19,2,D. Green makes 2-pt shot from 1 ft
3:32.0,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook),2,12-19,,
3:29.0,,,12-19,,Golden State full timeout
3:29.0,R. Foye enters the game for K. Durant,,12-19,,
3:29.0,,,12-19,,S. Livingston enters the game for S. Curry
3:29.0,,,12-19,,A. Varejao enters the game for A. Bogut
3:12.0,,,12-19,,K. Thompson misses 3-pt shot from 27 ft
3:12.0,,,12-19,,Offensive rebound by D. Green
2:51.0,,,12-19,,Shooting foul by D. Waiters (drawn by K. Thompson)
2:51.0,,,12-20,1,K. Thompson makes free throw 1 of 2
2:51.0,E. Kanter enters the game for S. Ibaka,,12-20,,
2:51.0,,,12-21,1,K. Thompson makes free throw 2 of 2
2:40.0,R. Westbrook misses 2-pt shot from 5 ft,,12-21,,
2:39.0,Offensive rebound by E. Kanter,,12-21,,
2:38.0,E. Kanter misses 2-pt shot from 2 ft,,12-21,,
2:36.0,,,12-21,,Defensive rebound by K. Thompson
2:33.0,,,12-21,,Turnover by K. Thompson (lost ball; steal by R. Westbrook)
2:18.0,D. Waiters misses 2-pt shot from 6 ft,,12-21,,
2:17.0,,,12-21,,Defensive rebound by D. Green
2:13.0,Personal foul by R. Foye,,12-21,,
2:13.0,,,12-21,,A. Iguodala misses free throw 1 of 2
2:13.0,,,12-21,,Offensive rebound by Team
2:13.0,,,12-22,1,A. Iguodala makes free throw 2 of 2
1:50.0,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,15-22,,
1:34.0,,,15-22,,Shooting foul by D. Waiters (drawn by K. Thompson)
1:34.0,,,15-23,1,K. Thompson makes free throw 1 of 2
1:34.0,K. Durant enters the game for R. Westbrook,,15-23,,
1:34.0,,,15-23,,K. Thompson misses free throw 2 of 2
1:33.0,Defensive rebound by A. Roberson,,15-23,,
1:17.0,Shooting foul by K. Thompson (drawn by K. Durant),,15-23,,
1:17.0,K. Durant makes free throw 1 of 2,1,16-23,,
1:17.0,A. Morrow enters the game for A. Roberson,,16-23,,
1:17.0,K. Durant makes free throw 2 of 2,1,17-23,,
1:00.0,,,17-25,2,K. Thompson makes 2-pt shot from 1 ft (assist by A. Iguodala)
0:43.0,R. Foye makes 2-pt shot from 17 ft (assist by D. Waiters),2,19-25,,
0:33.0,,,19-25,,S. Livingston misses 2-pt shot from 14 ft
0:33.0,Defensive rebound by K. Durant,,19-25,,
0:27.0,K. Durant makes 2-pt shot from 1 ft,2,21-25,,
0:06.0,,,21-25,,K. Thompson misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by R. Foye,,21-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by R. Foye (lost ball; steal by L. Barbosa),,21-25,,
11:40.0,,,21-25,,A. Iguodala misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by Team,,21-25,,
11:25.0,Turnover by E. Kanter (lost ball; steal by L. Barbosa),,21-25,,
11:20.0,,,21-27,2,M. Speights makes 2-pt shot from 1 ft (assist by A. Iguodala)
11:20.0,,,21-27,,Shooting foul by E. Kanter (drawn by M. Speights)
11:20.0,,,21-28,1,M. Speights makes free throw 1 of 1
11:02.0,K. Durant makes 3-pt shot from 26 ft,3,24-28,,
10:49.0,,,24-30,2,S. Livingston makes 2-pt shot from 15 ft (assist by A. Iguodala)
10:30.0,A. Morrow makes 2-pt shot from 18 ft (assist by K. Durant),2,26-30,,
10:30.0,,,26-30,,Away from play foul by M. Speights
10:30.0,E. Kanter makes free throw 1 of 1,1,27-30,,
10:18.0,,,27-30,,S. Livingston misses 2-pt shot from 16 ft
10:18.0,Defensive rebound by E. Kanter,,27-30,,
10:00.0,A. Morrow makes 2-pt shot from 16 ft,2,29-30,,
9:45.0,,,29-30,,H. Barnes misses 2-pt shot from 11 ft
9:45.0,,,29-30,,Offensive rebound by M. Speights
9:45.0,,,29-30,,Shooting foul by E. Kanter (drawn by M. Speights)
9:45.0,,,29-32,2,M. Speights makes 2-pt shot from 2 ft
9:45.0,R. Westbrook enters the game for R. Foye,,29-32,,
9:45.0,,,29-33,1,M. Speights makes free throw 1 of 1
9:37.0,Turnover by R. Westbrook (bad pass),,29-33,,
9:37.0,S. Adams enters the game for E. Kanter,,29-33,,
9:25.0,,,29-33,,M. Speights misses 2-pt shot from 2 ft
9:24.0,,,29-33,,Offensive rebound by M. Speights
9:24.0,,,29-33,,M. Speights misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by S. Ibaka,,29-33,,
9:09.0,A. Morrow makes 3-pt shot from 26 ft (assist by K. Durant),3,32-33,,
9:04.0,,,32-33,,Golden State full timeout
9:03.0,,,32-33,,S. Curry enters the game for S. Livingston
8:54.0,,,32-36,3,M. Speights makes 3-pt shot from 25 ft (assist by A. Iguodala)
8:28.0,Turnover by A. Morrow (lost ball; steal by S. Curry),,32-36,,
8:19.0,,,32-36,,Offensive foul by M. Speights
8:19.0,,,32-36,,Turnover by M. Speights (offensive foul)
8:09.0,R. Westbrook misses 2-pt shot from 12 ft,,32-36,,
