time,Portland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,,,0-0,,H. Whiteside misses 2-pt shot from 2 ft
12:00.0,Jump ball: M. Plumlee vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: M. Plumlee vs. H. Whiteside (G. Dragic gains possession)
11:36.0,Defensive rebound by N. Vonleh,,0-0,,
11:24.0,A. Aminu misses 3-pt shot from 24 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by C. Bosh
11:09.0,,,0-2,2,C. Bosh makes 2-pt shot from 17 ft (assist by G. Dragic)
10:52.0,N. Vonleh misses 2-pt shot from 5 ft (block by H. Whiteside),,0-2,,
10:50.0,Offensive rebound by D. Lillard,,0-2,,
10:45.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,3-2,,
10:32.0,,,3-2,,D. Wade misses 2-pt shot from 9 ft
10:31.0,Defensive rebound by C. McCollum,,3-2,,
10:18.0,Shooting foul by L. Deng (drawn by M. Plumlee),,3-2,,
10:18.0,M. Plumlee misses free throw 1 of 2,,3-2,,
10:18.0,Offensive rebound by Team,,3-2,,
10:18.0,M. Plumlee misses free throw 2 of 2,,3-2,,
10:17.0,Offensive rebound by N. Vonleh,,3-2,,
10:09.0,Offensive charge foul by N. Vonleh,,3-2,,
10:09.0,Turnover by N. Vonleh (offensive foul),,3-2,,
9:56.0,,,3-2,,Turnover by C. Bosh (bad pass; steal by A. Aminu)
9:51.0,A. Aminu makes 2-pt shot at rim,2,5-2,,
9:40.0,Personal foul by N. Vonleh (drawn by C. Bosh),,5-2,,
9:29.0,,,5-2,,G. Dragic misses 2-pt shot from 2 ft
9:28.0,Defensive rebound by C. McCollum,,5-2,,
9:25.0,C. McCollum misses 2-pt shot from 16 ft (block by G. Dragic),,5-2,,
9:24.0,Offensive rebound by Team,,5-2,,
9:11.0,C. McCollum makes 2-pt shot from 16 ft,2,7-2,,
8:55.0,,,7-2,,G. Dragic misses 2-pt shot from 7 ft
8:54.0,Defensive rebound by N. Vonleh,,7-2,,
8:47.0,A. Aminu misses 3-pt shot from 22 ft,,7-2,,
8:46.0,Offensive rebound by M. Plumlee,,7-2,,
8:41.0,Turnover by A. Aminu (bad pass; steal by G. Dragic),,7-2,,
8:34.0,,,7-5,3,C. Bosh makes 3-pt shot from 24 ft (assist by G. Dragic)
8:16.0,C. McCollum misses 2-pt shot from 22 ft,,7-5,,
8:15.0,,,7-5,,Defensive rebound by C. Bosh
8:07.0,,,7-8,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
7:47.0,Turnover by M. Plumlee (lost ball; steal by D. Wade),,7-8,,
7:38.0,,,7-11,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
7:17.0,N. Vonleh misses 2-pt shot from 18 ft,,7-11,,
7:16.0,Offensive rebound by M. Plumlee,,7-11,,
7:08.0,C. McCollum misses 3-pt shot from 23 ft,,7-11,,
7:07.0,,,7-11,,Defensive rebound by H. Whiteside
6:55.0,,,7-11,,C. Bosh misses 2-pt shot from 11 ft
6:54.0,Defensive rebound by M. Plumlee,,7-11,,
6:48.0,N. Vonleh makes 2-pt shot from 2 ft (assist by D. Lillard),2,9-11,,
6:34.0,,,9-11,,Turnover by H. Whiteside (lost ball; steal by A. Aminu)
6:28.0,C. McCollum makes 3-pt shot from 23 ft (assist by A. Aminu),3,12-11,,
6:28.0,,,12-11,,Miami full timeout
6:18.0,,,12-13,2,C. Bosh makes 2-pt shot from 14 ft (assist by G. Dragic)
6:05.0,,,12-13,,Def 3 sec tech foul by H. Whiteside
6:05.0,D. Lillard makes technical free throw,1,13-13,,
5:57.0,A. Aminu makes 2-pt shot from 21 ft (assist by C. McCollum),2,15-13,,
5:42.0,,,15-15,2,H. Whiteside makes 2-pt shot from 2 ft (assist by C. Bosh)
5:42.0,,,15-15,,Shooting foul by M. Plumlee (drawn by H. Whiteside)
5:42.0,,,15-15,,J. Winslow enters the game for C. Bosh
5:42.0,,,15-15,,H. Whiteside misses free throw 1 of 1
5:41.0,Defensive rebound by A. Aminu,,15-15,,
5:27.0,Turnover by D. Lillard (bad pass; steal by D. Wade),,15-15,,
5:22.0,,,15-17,2,D. Wade makes 2-pt shot from 7 ft
5:22.0,Violation by M. Plumlee (def goaltending),,15-17,,
5:07.0,M. Leonard enters the game for N. Vonleh,,15-17,,
4:59.0,C. McCollum makes 3-pt shot from 24 ft,3,18-17,,
4:43.0,,,18-17,,D. Wade misses 2-pt shot from 4 ft
4:41.0,Defensive rebound by M. Leonard,,18-17,,
4:34.0,D. Lillard makes 2-pt shot from 2 ft,2,20-17,,
4:09.0,,,20-19,2,D. Wade makes 2-pt shot from 19 ft
3:56.0,C. McCollum misses 3-pt shot from 24 ft,,20-19,,
3:55.0,Offensive rebound by M. Plumlee,,20-19,,
3:54.0,Shooting foul by D. Wade (drawn by D. Lillard),,20-19,,
3:54.0,D. Lillard makes free throw 1 of 2,1,21-19,,
3:54.0,,,21-19,,C. Bosh enters the game for H. Whiteside
3:54.0,A. Crabbe enters the game for C. McCollum,,21-19,,
3:54.0,,,21-19,,G. Green enters the game for D. Wade
3:54.0,D. Lillard makes free throw 2 of 2,1,22-19,,
3:45.0,,,22-19,,G. Dragic misses 2-pt shot from 1 ft
3:44.0,,,22-19,,Offensive rebound by G. Dragic
3:42.0,,,22-21,2,G. Dragic makes 2-pt shot at rim
3:34.0,Turnover by D. Lillard (bad pass; steal by J. Winslow),,22-21,,
3:32.0,E. Davis enters the game for M. Plumlee,,22-21,,
3:22.0,,,22-21,,Shooting foul by E. Davis (drawn by G. Green)
3:22.0,,,22-22,1,G. Green makes free throw 1 of 2
3:22.0,,,22-22,,G. Green misses free throw 2 of 2
3:21.0,Defensive rebound by E. Davis,,22-22,,
3:05.0,A. Crabbe misses 2-pt shot from 6 ft,,22-22,,
3:04.0,Offensive rebound by Team,,22-22,,
2:57.0,D. Lillard misses 3-pt shot from 27 ft,,22-22,,
2:56.0,,,22-22,,Defensive rebound by C. Bosh
2:46.0,,,22-22,,C. Bosh misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by E. Davis,,22-22,,
2:36.0,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard),3,25-22,,
2:14.0,,,25-22,,Shooting foul by E. Davis (drawn by C. Bosh)
2:14.0,Portland full timeout,,25-22,,
2:14.0,G. Henderson enters the game for A. Aminu,,25-22,,
2:14.0,,,25-22,,B. Udrih enters the game for L. Deng
2:14.0,,,25-22,,U. Haslem enters the game for G. Dragic
2:14.0,,,25-23,1,C. Bosh makes free throw 1 of 2
2:14.0,,,25-23,,C. Bosh misses free throw 2 of 2
2:13.0,Defensive rebound by M. Leonard,,25-23,,
1:56.0,E. Davis makes 2-pt shot from 4 ft (assist by D. Lillard),2,27-23,,
1:40.0,,,27-23,,C. Bosh misses 2-pt shot from 19 ft
1:39.0,Defensive rebound by M. Leonard,,27-23,,
1:30.0,Jump ball: E. Davis vs. U. Haslem (M. Leonard gains possession),,,,Jump ball: E. Davis vs. U. Haslem (M. Leonard gains possession)
1:21.0,Turnover by D. Lillard (offensive foul),,27-23,,
1:21.0,Offensive charge foul by D. Lillard,,27-23,,
1:06.0,,,27-23,,Turnover by C. Bosh (bad pass)
0:55.0,A. Crabbe misses 2-pt shot from 20 ft,,27-23,,
0:53.0,,,27-23,,Defensive rebound by U. Haslem
0:42.0,,,27-23,,B. Udrih misses 2-pt shot from 17 ft
0:41.0,Defensive rebound by A. Crabbe,,27-23,,
0:34.0,,,27-23,,Personal foul by C. Bosh (drawn by D. Lillard)
0:32.0,D. Lillard makes 3-pt shot from 24 ft (assist by A. Crabbe),3,30-23,,
0:15.0,,,30-23,,G. Green misses 2-pt shot from 18 ft
0:14.0,Defensive rebound by G. Henderson,,30-23,,
0:00.0,D. Lillard makes 2-pt shot from 19 ft,2,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Leonard makes 3-pt shot from 23 ft (assist by C. McCollum),3,35-23,,
11:27.0,,,35-23,,J. Winslow misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by M. Leonard,,35-23,,
11:09.0,G. Henderson misses 3-pt shot from 23 ft,,35-23,,
11:08.0,,,35-23,,Defensive rebound by B. Udrih
10:52.0,,,35-26,3,G. Green makes 3-pt shot from 24 ft (assist by C. Bosh)
10:37.0,G. Henderson makes 2-pt shot at rim,2,37-26,,
10:34.0,,,37-26,,Turnover by B. Udrih (step out of bounds)
10:32.0,Turnover by G. Henderson (bad pass; steal by C. Bosh),,37-26,,
10:28.0,,,37-28,2,J. Winslow makes 2-pt shot from 1 ft
10:28.0,,,37-28,,Shooting foul by M. Leonard (drawn by J. Winslow)
10:28.0,,,37-29,1,J. Winslow makes free throw 1 of 1
10:05.0,E. Davis misses 2-pt shot from 8 ft,,37-29,,
10:04.0,,,37-29,,Defensive rebound by J. Winslow
9:50.0,,,37-32,3,C. Bosh makes 3-pt shot from 24 ft (assist by B. Udrih)
9:28.0,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum),2,39-32,,
9:18.0,Personal foul by M. Leonard (drawn by B. Udrih),,39-32,,
9:10.0,,,39-32,,Turnover by C. Bosh (bad pass; steal by A. Crabbe)
8:53.0,Turnover by G. Henderson (bad pass; steal by J. Winslow),,39-32,,
8:44.0,,,39-32,,C. Bosh misses 2-pt shot from 5 ft
8:42.0,Defensive rebound by C. McCollum,,39-32,,
8:33.0,A. Crabbe misses 3-pt shot from 24 ft,,39-32,,
8:32.0,,,39-32,,Defensive rebound by U. Haslem
8:29.0,,,39-32,,Shooting foul by A. Crabbe (drawn by B. Udrih)
8:29.0,Official timeout,,39-32,,
8:29.0,,,39-33,1,B. Udrih makes free throw 1 of 2
8:29.0,,,39-34,1,B. Udrih makes free throw 2 of 2
8:08.0,C. McCollum misses 2-pt shot from 3 ft (block by J. Winslow),,39-34,,
8:07.0,,,39-34,,Defensive rebound by C. Bosh
7:54.0,,,39-34,,B. Udrih misses 2-pt shot from 9 ft
7:53.0,Defensive rebound by G. Henderson,,39-34,,
7:44.0,Turnover by G. Henderson (bad pass),,39-34,,
7:31.0,,,39-36,2,G. Green makes 2-pt shot from 20 ft (assist by U. Haslem)
7:04.0,G. Henderson makes 2-pt shot from 18 ft,2,41-36,,
6:59.0,,,41-36,,Miami full timeout
6:59.0,,,41-36,,L. Deng enters the game for C. Bosh
