time,Toronto,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,C. Joseph misses 2-pt shot from 16 ft,,0-0,,
12:00.0,Jump ball: T. Duncan vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: T. Duncan vs. J. Valanciunas (C. Joseph gains possession)
11:36.0,,,0-0,,Defensive rebound by D. Green
11:25.0,,,0-2,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
11:05.0,J. Valanciunas makes 2-pt shot from 15 ft (assist by L. Scola),2,2-2,,
10:47.0,,,2-4,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Leonard)
10:28.0,J. Johnson misses 3-pt shot from 25 ft,,2-4,,
10:28.0,,,2-4,,Defensive rebound by T. Duncan
10:18.0,,,2-4,,Turnover by T. Parker (bad pass)
9:56.0,J. Valanciunas misses 2-pt shot from 12 ft,,2-4,,
9:53.0,,,2-4,,Defensive rebound by L. Aldridge
9:40.0,,,2-4,,T. Duncan misses 2-pt shot from 11 ft
9:39.0,Defensive rebound by N. Powell,,2-4,,
9:35.0,N. Powell makes 2-pt shot at rim,2,4-4,,
9:14.0,,,4-4,,Shooting foul by C. Joseph (drawn by T. Parker)
9:14.0,,,4-4,,T. Parker misses free throw 1 of 2
9:14.0,,,4-4,,Offensive rebound by Team
9:14.0,,,4-4,,T. Parker misses free throw 2 of 2
9:13.0,Defensive rebound by J. Valanciunas,,4-4,,
8:50.0,J. Johnson misses 2-pt shot from 1 ft,,4-4,,
8:49.0,,,4-4,,Defensive rebound by T. Duncan
8:39.0,,,4-4,,T. Parker misses 2-pt shot from 21 ft
8:39.0,Defensive rebound by L. Scola,,4-4,,
8:28.0,N. Powell misses 2-pt shot from 17 ft,,4-4,,
8:27.0,,,4-4,,Defensive rebound by L. Aldridge
8:14.0,,,4-4,,L. Aldridge misses 2-pt shot from 15 ft
8:13.0,,,4-4,,Offensive rebound by T. Duncan
8:11.0,,,4-4,,T. Duncan misses 2-pt shot from 1 ft
8:10.0,Defensive rebound by C. Joseph,,4-4,,
8:03.0,J. Valanciunas misses 2-pt shot from 17 ft,,4-4,,
8:02.0,,,4-4,,Defensive rebound by L. Aldridge
7:53.0,,,4-7,3,K. Leonard makes 3-pt shot from 24 ft
7:31.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by C. Joseph),2,6-7,,
7:29.0,,,6-7,,San Antonio full timeout
7:13.0,,,6-7,,Shooting foul by N. Powell (drawn by T. Parker)
7:13.0,,,6-8,1,T. Parker makes free throw 1 of 2
7:13.0,,,6-9,1,T. Parker makes free throw 2 of 2
6:56.0,J. Valanciunas makes 2-pt shot from 9 ft (assist by L. Scola),2,8-9,,
6:43.0,,,8-11,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
6:43.0,,,8-11,,Shooting foul by L. Scola (drawn by T. Duncan)
6:43.0,,,8-12,1,T. Duncan makes free throw 1 of 1
6:22.0,C. Joseph makes 2-pt shot from 5 ft,2,10-12,,
6:04.0,,,10-12,,D. Green misses 3-pt shot from 23 ft
6:04.0,Defensive rebound by J. Valanciunas,,10-12,,
5:57.0,Turnover by N. Powell (lost ball; steal by D. Green),,10-12,,
5:51.0,,,10-12,,Turnover by T. Parker (lost ball)
5:51.0,,,10-12,,M. Ginobili enters the game for D. Green
5:51.0,,,10-12,,B. Diaw enters the game for T. Duncan
5:31.0,N. Powell misses 3-pt shot from 24 ft,,10-12,,
5:31.0,,,10-12,,Defensive rebound by L. Aldridge
5:09.0,,,10-15,3,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Diaw)
5:03.0,Toronto full timeout,,10-15,,
5:03.0,,,10-15,,P. Mills enters the game for T. Parker
5:03.0,T. Ross enters the game for J. Johnson,,10-15,,
5:03.0,P. Patterson enters the game for L. Scola,,10-15,,
4:52.0,J. Valanciunas makes 2-pt shot from 6 ft,2,12-15,,
4:39.0,Personal foul by T. Ross,,12-15,,
4:29.0,,,12-17,2,L. Aldridge makes 2-pt shot from 18 ft (assist by M. Ginobili)
4:08.0,C. Joseph misses 3-pt shot from 25 ft,,12-17,,
4:07.0,,,12-17,,Defensive rebound by B. Diaw
3:58.0,,,12-19,2,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili)
3:42.0,,,12-19,,Personal foul by L. Aldridge
3:42.0,,,12-19,,D. Green enters the game for K. Leonard
3:29.0,C. Joseph makes 2-pt shot from 14 ft,2,14-19,,
3:14.0,,,14-19,,L. Aldridge misses 2-pt shot from 5 ft (block by J. Valanciunas)
3:12.0,Defensive rebound by P. Patterson,,14-19,,
3:05.0,C. Joseph misses 2-pt shot from 7 ft,,14-19,,
3:03.0,Offensive rebound by J. Valanciunas,,14-19,,
3:01.0,J. Valanciunas makes 2-pt shot at rim,2,16-19,,
2:50.0,Personal foul by N. Powell,,16-19,,
2:50.0,,,16-20,1,M. Ginobili makes free throw 1 of 2
2:50.0,B. Biyombo enters the game for J. Valanciunas,,16-20,,
2:50.0,J. Johnson enters the game for N. Powell,,16-20,,
2:50.0,,,16-21,1,M. Ginobili makes free throw 2 of 2
2:40.0,T. Ross misses 3-pt shot from 24 ft,,16-21,,
2:40.0,,,16-21,,Defensive rebound by D. Green
2:28.0,,,16-23,2,B. Diaw makes 2-pt shot at rim (assist by M. Ginobili)
2:04.0,T. Ross misses 2-pt shot from 10 ft,,16-23,,
2:04.0,,,16-23,,Defensive rebound by L. Aldridge
1:56.0,,,16-23,,B. Diaw misses 2-pt shot from 2 ft (block by B. Biyombo)
1:53.0,Defensive rebound by T. Ross,,16-23,,
1:42.0,P. Patterson misses 3-pt shot from 24 ft,,16-23,,
1:41.0,,,16-23,,Defensive rebound by L. Aldridge
1:29.0,,,16-23,,Turnover by B. Diaw (lost ball; steal by P. Patterson)
1:20.0,J. Johnson misses 2-pt shot from 1 ft,,16-23,,
1:19.0,Offensive rebound by B. Biyombo,,16-23,,
1:15.0,B. Biyombo makes 2-pt shot at rim,2,18-23,,
0:58.0,,,18-23,,L. Aldridge misses 2-pt shot from 10 ft
0:58.0,Defensive rebound by P. Patterson,,18-23,,
0:41.0,,,18-23,,Personal foul by D. Green
0:41.0,D. Wright enters the game for C. Joseph,,18-23,,
0:28.0,T. Ross misses 2-pt shot from 15 ft,,18-23,,
0:27.0,,,18-23,,Defensive rebound by L. Aldridge
0:02.0,,,18-26,3,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:00.0,T. Ross misses 3-pt shot from 31 ft,,18-26,,
0:00.0,Offensive rebound by Team,,18-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,18-28,2,K. Leonard makes 2-pt shot at rim
11:21.0,T. Ross makes 3-pt shot from 25 ft (assist by D. Wright),3,21-28,,
11:09.0,,,21-30,2,D. West makes 2-pt shot at rim (assist by K. Leonard)
10:51.0,Shooting foul by D. West (drawn by J. Johnson),,21-30,,
10:51.0,J. Johnson makes free throw 1 of 2,1,22-30,,
10:51.0,J. Johnson makes free throw 2 of 2,1,23-30,,
10:35.0,,,23-32,2,P. Mills makes 2-pt shot from 17 ft (assist by D. West)
10:11.0,P. Patterson makes 3-pt shot from 22 ft (assist by D. Wright),3,26-32,,
9:57.0,,,26-34,2,D. West makes 2-pt shot from 18 ft (assist by K. Leonard)
