time,Oklahoma City,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Lopez (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. R. Lopez (S. Ibaka gains possession)
11:39.0,K. Durant misses 2-pt shot from 13 ft,,0-0,,
11:38.0,Offensive rebound by S. Ibaka,,0-0,,
11:25.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,2-0,,
11:03.0,,,2-2,2,K. Porzingis makes 2-pt shot from 5 ft (assist by A. Afflalo)
10:49.0,Shooting foul by A. Afflalo (drawn by K. Durant),,2-2,,
10:49.0,K. Durant makes free throw 1 of 2,1,3-2,,
10:49.0,K. Durant makes free throw 2 of 2,1,4-2,,
10:27.0,,,4-2,,J. Calderon misses 2-pt shot from 16 ft
10:25.0,Defensive rebound by R. Westbrook,,4-2,,
10:18.0,Turnover by R. Westbrook (bad pass; steal by J. Calderon),,4-2,,
10:11.0,,,4-2,,K. Porzingis misses 2-pt shot from 1 ft
10:09.0,Defensive rebound by K. Durant,,4-2,,
9:58.0,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant),2,6-2,,
9:42.0,,,6-2,,L. Thomas misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by R. Westbrook,,6-2,,
9:35.0,R. Westbrook misses 2-pt shot at rim,,6-2,,
9:33.0,,,6-2,,Defensive rebound by K. Porzingis
9:29.0,,,6-2,,Shooting foul by S. Adams (drawn by R. Lopez)
9:29.0,,,6-3,1,R. Lopez makes free throw 1 of 2
9:29.0,,,6-4,1,R. Lopez makes free throw 2 of 2
9:18.0,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook),2,8-4,,
9:00.0,,,8-6,2,L. Thomas makes 2-pt shot from 6 ft (assist by K. Porzingis)
8:50.0,Shooting foul by K. Porzingis (drawn by S. Adams),,8-6,,
8:50.0,S. Adams misses free throw 1 of 2,,8-6,,
8:50.0,Offensive rebound by Team,,8-6,,
8:50.0,S. Adams makes free throw 2 of 2,1,9-6,,
8:39.0,,,9-6,,A. Afflalo misses 2-pt shot from 7 ft
8:37.0,Defensive rebound by R. Westbrook,,9-6,,
8:32.0,Turnover by K. Durant (lost ball; steal by K. Porzingis),,9-6,,
8:27.0,,,9-8,2,L. Thomas makes 2-pt shot at rim
8:12.0,D. Waiters misses 2-pt shot from 16 ft,,9-8,,
8:10.0,,,9-8,,Defensive rebound by A. Afflalo
8:05.0,,,9-10,2,A. Afflalo makes 2-pt shot from 11 ft
7:52.0,S. Ibaka misses 2-pt shot from 17 ft,,9-10,,
7:51.0,Offensive rebound by R. Westbrook,,9-10,,
7:51.0,R. Westbrook misses 2-pt shot from 1 ft,,9-10,,
7:49.0,Offensive rebound by S. Adams,,9-10,,
7:49.0,S. Adams misses 2-pt shot at rim,,9-10,,
7:47.0,Offensive rebound by S. Adams,,9-10,,
7:46.0,S. Adams misses 2-pt shot at rim,,9-10,,
7:45.0,Offensive rebound by S. Adams,,9-10,,
7:45.0,S. Adams makes 2-pt shot at rim,2,11-10,,
7:35.0,,,11-10,,R. Lopez misses 2-pt shot from 14 ft
7:34.0,Defensive rebound by S. Ibaka,,11-10,,
7:28.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,13-10,,
7:20.0,,,13-10,,New York full timeout
7:04.0,,,13-13,3,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Calderon)
6:47.0,S. Adams misses 2-pt shot at rim,,13-13,,
6:45.0,Offensive rebound by S. Ibaka,,13-13,,
6:43.0,S. Ibaka misses 2-pt shot from 2 ft,,13-13,,
6:42.0,,,13-13,,Defensive rebound by K. Porzingis
6:28.0,,,13-13,,R. Lopez misses 2-pt shot from 3 ft
6:25.0,Defensive rebound by R. Westbrook,,13-13,,
6:20.0,R. Westbrook makes 2-pt shot from 15 ft,2,15-13,,
6:09.0,,,15-15,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Calderon)
5:55.0,K. Durant misses 2-pt shot from 13 ft,,15-15,,
5:53.0,,,15-15,,Defensive rebound by A. Afflalo
5:35.0,,,15-18,3,L. Thomas makes 3-pt shot from 23 ft (assist by J. Calderon)
5:05.0,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook),3,18-18,,
4:55.0,,,18-20,2,J. Calderon makes 2-pt shot from 15 ft
