time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (J. Teague gains possession),,,,Jump ball: M. Gortat vs. A. Horford (J. Teague gains possession)
11:46.0,,,0-0,,A. Horford misses 3-pt shot from 22 ft
11:45.0,Defensive rebound by K. Humphries,,0-0,,
11:27.0,Turnover by J. Wall (bad pass; steal by P. Millsap),,0-0,,
11:19.0,,,0-0,,K. Korver misses 2-pt shot from 15 ft
11:18.0,Defensive rebound by M. Gortat,,0-0,,
11:07.0,B. Beal misses 3-pt shot from 23 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by A. Horford
10:48.0,,,0-0,,K. Bazemore misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by M. Gortat,,0-0,,
10:41.0,J. Wall makes 2-pt shot from 18 ft,2,2-0,,
10:21.0,,,2-0,,J. Teague misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by K. Humphries,,2-0,,
10:10.0,Turnover by J. Wall (lost ball; steal by J. Teague),,2-0,,
10:04.0,,,2-0,,Turnover by J. Teague (lost ball; steal by M. Gortat)
9:59.0,B. Beal misses 2-pt shot from 2 ft,,2-0,,
9:58.0,Offensive rebound by J. Wall,,2-0,,
9:54.0,J. Wall misses 3-pt shot from 23 ft,,2-0,,
9:53.0,,,2-0,,Defensive rebound by P. Millsap
9:39.0,,,2-0,,P. Millsap misses 2-pt shot from 1 ft
9:38.0,,,2-0,,Offensive rebound by A. Horford
9:38.0,,,2-0,,A. Horford misses 2-pt shot at rim
9:37.0,,,2-0,,Offensive rebound by A. Horford
9:35.0,,,2-0,,A. Horford misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by B. Beal,,2-0,,
9:28.0,Turnover by K. Humphries (step out of bounds),,2-0,,
9:16.0,,,2-0,,J. Teague misses 2-pt shot from 17 ft
9:14.0,Defensive rebound by K. Humphries,,2-0,,
9:07.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,4-0,,
8:59.0,Personal foul by B. Beal (drawn by K. Korver),,4-0,,
8:52.0,Personal foul by K. Humphries (drawn by K. Korver),,4-0,,
8:42.0,,,4-2,2,K. Korver makes 2-pt shot from 18 ft (assist by A. Horford)
8:28.0,K. Humphries makes 2-pt shot from 10 ft (assist by B. Beal),2,6-2,,
8:11.0,,,6-2,,J. Teague misses 2-pt shot from 10 ft
8:09.0,Defensive rebound by M. Gortat,,6-2,,
8:07.0,Turnover by M. Gortat (bad pass; steal by J. Teague),,6-2,,
8:03.0,,,6-2,,K. Korver misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by M. Gortat,,6-2,,
7:55.0,Turnover by B. Beal (bad pass),,6-2,,
7:47.0,,,6-2,,K. Korver misses 3-pt shot from 24 ft
7:46.0,,,6-2,,Offensive rebound by Team
7:33.0,,,6-2,,A. Horford misses 2-pt shot from 1 ft
7:30.0,,,6-2,,Offensive rebound by P. Millsap
7:25.0,,,6-4,2,K. Bazemore makes 2-pt shot from 19 ft (assist by K. Korver)
7:13.0,Turnover by B. Beal (bad pass),,6-4,,
7:03.0,,,6-4,,Turnover by J. Teague (bad pass)
6:46.0,K. Humphries misses 3-pt shot from 24 ft,,6-4,,
6:46.0,,,6-4,,Defensive rebound by Team
6:46.0,Loose ball foul by M. Gortat (drawn by A. Horford),,6-4,,
6:46.0,,,6-4,,M. Muscala enters the game for A. Horford
6:32.0,,,6-4,,K. Bazemore misses 3-pt shot from 23 ft
6:31.0,,,6-4,,Offensive rebound by Team
6:31.0,Loose ball foul by K. Humphries (drawn by M. Muscala),,6-4,,
6:31.0,J. Dudley enters the game for K. Humphries,,6-4,,
6:26.0,,,6-4,,P. Millsap misses 2-pt shot from 11 ft
6:25.0,,,6-4,,Offensive rebound by Team
6:08.0,,,6-4,,K. Bazemore misses 3-pt shot from 22 ft
6:05.0,Defensive rebound by O. Porter,,6-4,,
6:01.0,J. Wall misses 2-pt shot at rim,,6-4,,
5:59.0,,,6-4,,Defensive rebound by K. Bazemore
5:51.0,,,6-7,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
5:33.0,J. Wall makes 3-pt shot from 24 ft (assist by O. Porter),3,9-7,,
5:25.0,,,9-9,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
5:11.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,11-9,,
5:11.0,,,11-9,,Atlanta full timeout
5:11.0,,,11-9,,Violation by Team (delay of game)
5:11.0,,,11-9,,T. Sefolosha enters the game for K. Korver
5:11.0,,,11-9,,D. Schroder enters the game for J. Teague
4:56.0,,,11-11,2,M. Muscala makes 2-pt shot from 2 ft (assist by K. Bazemore)
4:38.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,13-11,,
4:16.0,,,13-11,,P. Millsap misses 3-pt shot from 24 ft
4:14.0,,,13-11,,Offensive rebound by T. Sefolosha
3:57.0,Violation by B. Beal (kicked ball),,13-11,,
3:57.0,R. Sessions enters the game for J. Wall,,13-11,,
3:45.0,,,13-13,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
3:32.0,R. Sessions makes 2-pt shot at rim,2,15-13,,
3:17.0,,,15-15,2,P. Millsap makes 2-pt shot from 2 ft (assist by M. Muscala)
2:59.0,M. Gortat misses 2-pt shot from 9 ft,,15-15,,
2:56.0,,,15-15,,Defensive rebound by P. Millsap
2:51.0,,,15-17,2,T. Sefolosha makes 2-pt shot from 19 ft
2:34.0,J. Dudley makes 2-pt shot from 19 ft (assist by B. Beal),2,17-17,,
2:16.0,,,17-17,,Turnover by T. Sefolosha (bad pass; steal by M. Gortat)
2:15.0,,,17-17,,Personal foul by T. Sefolosha (drawn by O. Porter)
2:15.0,Washington full timeout,,17-17,,
2:15.0,,,17-17,,A. Horford enters the game for K. Bazemore
2:15.0,,,17-17,,M. Scott enters the game for P. Millsap
2:15.0,,,17-17,,J. Holiday enters the game for M. Muscala
2:15.0,G. Neal enters the game for O. Porter,,17-17,,
2:15.0,N. Hilario enters the game for M. Gortat,,17-17,,
1:53.0,N. Hilario makes 2-pt shot from 18 ft (assist by G. Neal),2,19-17,,
1:33.0,,,19-17,,J. Holiday misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by N. Hilario,,19-17,,
1:24.0,Turnover by B. Beal (bad pass),,19-17,,
1:09.0,,,19-19,2,D. Schroder makes 2-pt shot from 1 ft
0:50.0,J. Dudley misses 3-pt shot from 24 ft,,19-19,,
0:49.0,,,19-19,,Defensive rebound by T. Sefolosha
0:33.0,,,19-19,,Turnover by M. Scott (bad pass; steal by G. Neal)
0:27.0,G. Neal misses 2-pt shot from 1 ft,,19-19,,
0:25.0,Offensive rebound by B. Beal,,19-19,,
