time,Toronto,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Valanciunas (L. Scola gains possession),,,,Jump ball: S. Adams vs. J. Valanciunas (L. Scola gains possession)
11:44.0,Turnover by K. Lowry (lost ball),,0-0,,
11:25.0,,,0-0,,R. Westbrook misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by L. Scola,,0-0,,
11:25.0,,,0-0,,Personal foul by R. Westbrook (drawn by L. Scola)
11:09.0,L. Scola misses 2-pt shot from 19 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by K. Durant
10:54.0,,,0-2,2,S. Adams makes 2-pt shot from 8 ft (assist by K. Durant)
10:34.0,D. DeRozan misses 2-pt shot from 6 ft,,0-2,,
10:34.0,,,0-2,,Defensive rebound by S. Adams
10:28.0,,,0-4,2,R. Westbrook makes 2-pt shot from 14 ft
10:02.0,L. Scola misses 2-pt shot from 5 ft,,0-4,,
10:01.0,,,0-4,,Defensive rebound by S. Ibaka
9:55.0,,,0-6,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
9:35.0,,,0-6,,Personal foul by S. Adams (drawn by J. Valanciunas)
9:22.0,J. Valanciunas makes 2-pt shot from 3 ft,2,2-6,,
9:09.0,,,2-6,,K. Durant misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by D. Carroll,,2-6,,
8:55.0,K. Lowry misses 3-pt shot from 24 ft,,2-6,,
8:54.0,,,2-6,,Defensive rebound by S. Adams
8:50.0,Personal foul by K. Lowry (drawn by K. Durant),,2-6,,
8:41.0,,,2-6,,S. Adams misses 2-pt shot from 3 ft
8:41.0,Defensive rebound by D. Carroll,,2-6,,
8:24.0,L. Scola makes 2-pt shot from 17 ft (assist by K. Lowry),2,4-6,,
8:14.0,,,4-6,,Turnover by R. Westbrook (bad pass)
7:56.0,L. Scola misses 2-pt shot from 2 ft (block by S. Ibaka),,4-6,,
7:55.0,,,4-6,,Defensive rebound by S. Adams
7:53.0,,,4-6,,Turnover by S. Adams (bad pass; steal by L. Scola)
7:48.0,L. Scola misses 2-pt shot at rim (block by S. Adams),,4-6,,
7:47.0,Offensive rebound by Team,,4-6,,
7:45.0,D. Carroll misses 2-pt shot from 1 ft (block by S. Adams),,4-6,,
7:45.0,Offensive rebound by Team,,4-6,,
7:39.0,D. DeRozan misses 2-pt shot from 2 ft (block by S. Adams),,4-6,,
7:39.0,,,4-6,,Defensive rebound by Team
7:25.0,,,4-8,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
6:57.0,K. Lowry misses 2-pt shot at rim,,4-8,,
6:57.0,,,4-8,,Defensive rebound by S. Ibaka
6:54.0,,,4-8,,Turnover by R. Westbrook (bad pass; steal by D. DeRozan)
6:49.0,K. Lowry misses 3-pt shot from 23 ft,,4-8,,
6:49.0,,,4-8,,Defensive rebound by R. Westbrook
6:43.0,,,4-11,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:34.0,Toronto full timeout,,4-11,,
6:15.0,D. Carroll misses 2-pt shot from 18 ft (block by K. Durant),,4-11,,
6:15.0,Offensive rebound by Team,,4-11,,
6:15.0,Turnover by Team (shot clock),,4-11,,
6:07.0,,,4-11,,Turnover by R. Westbrook (bad pass; steal by K. Lowry)
6:01.0,K. Lowry misses 2-pt shot from 1 ft (block by S. Ibaka),,4-11,,
6:00.0,,,4-11,,Defensive rebound by S. Adams
5:56.0,,,4-13,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:39.0,D. Carroll misses 3-pt shot from 24 ft,,4-13,,
5:38.0,,,4-13,,Defensive rebound by S. Ibaka
5:29.0,,,4-15,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
5:09.0,D. DeRozan misses 2-pt shot from 11 ft,,4-15,,
5:08.0,,,4-15,,Defensive rebound by R. Westbrook
4:58.0,,,4-15,,K. Durant misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by D. DeRozan,,4-15,,
4:42.0,D. Carroll misses 2-pt shot from 4 ft,,4-15,,
4:41.0,Offensive rebound by D. Carroll,,4-15,,
4:40.0,D. Carroll misses 2-pt shot from 1 ft,,4-15,,
4:39.0,Offensive rebound by Team,,4-15,,
4:39.0,B. Biyombo enters the game for J. Valanciunas,,4-15,,
4:39.0,P. Patterson enters the game for L. Scola,,4-15,,
4:32.0,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson),3,7-15,,
4:16.0,,,7-15,,R. Westbrook misses 3-pt shot from 24 ft
4:16.0,Defensive rebound by K. Lowry,,7-15,,
4:05.0,,,7-15,,Violation by S. Adams (kicked ball)
3:57.0,Offensive foul by P. Patterson,,7-15,,
3:57.0,Turnover by P. Patterson (offensive foul),,7-15,,
3:57.0,T. Ross enters the game for D. DeRozan,,7-15,,
3:48.0,,,7-17,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
3:38.0,,,7-17,,Personal foul by A. Roberson (drawn by B. Biyombo)
3:38.0,,,7-17,,E. Kanter enters the game for S. Ibaka
3:38.0,,,7-17,,D. Waiters enters the game for S. Adams
3:38.0,,,7-17,,N. Collison enters the game for A. Roberson
3:27.0,Shooting foul by E. Kanter (drawn by B. Biyombo),,7-17,,
3:27.0,B. Biyombo misses free throw 1 of 2,,7-17,,
3:27.0,Offensive rebound by Team,,7-17,,
3:27.0,B. Biyombo makes free throw 2 of 2,1,8-17,,
3:25.0,,,8-17,,Oklahoma City full timeout
3:06.0,,,8-17,,N. Collison misses 2-pt shot from 2 ft (block by P. Patterson)
3:05.0,Defensive rebound by B. Biyombo,,8-17,,
2:55.0,K. Lowry misses 2-pt shot from 17 ft,,8-17,,
2:55.0,Offensive rebound by B. Biyombo,,8-17,,
2:51.0,,,8-17,,Personal foul by N. Collison (drawn by B. Biyombo)
2:51.0,B. Biyombo makes free throw 1 of 2,1,9-17,,
2:51.0,C. Joseph enters the game for K. Lowry,,9-17,,
2:51.0,B. Biyombo misses free throw 2 of 2,,9-17,,
2:50.0,,,9-17,,Defensive rebound by K. Durant
2:38.0,,,9-19,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
2:15.0,C. Joseph makes 2-pt shot from 2 ft,2,11-19,,
1:54.0,,,11-21,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
1:38.0,D. Carroll makes 2-pt shot from 1 ft,2,13-21,,
1:23.0,,,13-21,,N. Collison misses 2-pt shot from 2 ft
1:22.0,,,13-21,,Offensive rebound by D. Waiters
1:16.0,,,13-21,,D. Waiters misses 2-pt shot from 14 ft
1:15.0,Defensive rebound by D. Carroll,,13-21,,
1:07.0,P. Patterson misses 3-pt shot from 23 ft,,13-21,,
