time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Mozgov (K. Love gains possession),,,,Jump ball: A. Bogut vs. T. Mozgov (K. Love gains possession)
11:44.0,Turnover by T. Mozgov (step out of bounds),,0-0,,
11:25.0,,,0-0,,Turnover by B. Rush (lost ball; steal by L. James)
11:03.0,K. Love misses 2-pt shot from 4 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by K. Thompson
10:58.0,,,0-0,,K. Thompson misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by J. Smith,,0-0,,
10:43.0,K. Love misses 3-pt shot from 26 ft,,0-0,,
10:42.0,,,0-0,,Defensive rebound by D. Green
10:29.0,,,0-2,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
10:04.0,L. James misses 2-pt shot at rim,,0-2,,
10:02.0,,,0-2,,Defensive rebound by A. Bogut
9:49.0,,,0-2,,Turnover by D. Green (traveling)
9:35.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,3-2,,
9:23.0,,,3-4,2,A. Bogut makes 2-pt shot from 2 ft (assist by D. Green)
9:03.0,K. Irving misses 3-pt shot from 24 ft (block by D. Green),,3-4,,
9:01.0,Offensive rebound by K. Irving,,3-4,,
8:53.0,J. Smith misses 3-pt shot from 25 ft,,3-4,,
8:52.0,,,3-4,,Defensive rebound by B. Rush
8:46.0,,,3-4,,Turnover by D. Green (bad pass)
8:26.0,L. James makes 2-pt shot from 7 ft,2,5-4,,
8:17.0,,,5-4,,S. Curry misses 2-pt shot from 1 ft
8:16.0,Defensive rebound by K. Love,,5-4,,
8:10.0,T. Mozgov misses 2-pt shot at rim (block by A. Bogut),,5-4,,
8:09.0,,,5-4,,Defensive rebound by D. Green
8:07.0,,,5-4,,Shooting foul by J. Smith (drawn by D. Green)
8:07.0,,,5-5,1,D. Green makes free throw 1 of 2
8:07.0,,,5-6,1,D. Green makes free throw 2 of 2
