time,Portland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Plumlee (T. Young gains possession),,,,Jump ball: B. Lopez vs. M. Plumlee (T. Young gains possession)
11:40.0,,,0-0,,W. Ellington misses 2-pt shot from 22 ft
11:39.0,,,0-0,,Offensive rebound by T. Young
11:35.0,,,0-0,,D. Sloan misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by D. Lillard,,0-0,,
11:26.0,N. Vonleh misses 2-pt shot from 1 ft,,0-0,,
11:25.0,Offensive rebound by N. Vonleh,,0-0,,
11:24.0,N. Vonleh misses 2-pt shot from 2 ft,,0-0,,
11:23.0,Offensive rebound by N. Vonleh,,0-0,,
11:22.0,N. Vonleh makes 2-pt shot from 2 ft,2,2-0,,
11:00.0,,,2-2,2,B. Lopez makes 2-pt shot from 6 ft (assist by W. Ellington)
10:35.0,M. Plumlee misses 2-pt shot from 6 ft,,2-2,,
10:34.0,,,2-2,,Defensive rebound by T. Young
10:16.0,,,2-4,2,D. Sloan makes 2-pt shot from 2 ft (assist by B. Lopez)
9:53.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,4-4,,
9:33.0,,,4-4,,B. Lopez misses 2-pt shot from 20 ft
9:32.0,,,4-4,,Offensive rebound by D. Sloan
9:32.0,,,4-4,,Shooting foul by M. Plumlee (drawn by B. Lopez)
9:32.0,,,4-5,1,B. Lopez makes free throw 1 of 2
9:32.0,,,4-6,1,B. Lopez makes free throw 2 of 2
9:08.0,Turnover by A. Aminu (lost ball; steal by J. Johnson),,4-6,,
8:44.0,,,4-8,2,B. Lopez makes 2-pt shot from 14 ft
8:30.0,A. Aminu misses 3-pt shot from 23 ft,,4-8,,
8:29.0,,,4-8,,Defensive rebound by D. Sloan
8:26.0,,,4-10,2,J. Johnson makes 2-pt shot from 2 ft (assist by D. Sloan)
8:01.0,N. Vonleh misses 2-pt shot at rim (block by T. Young),,4-10,,
8:00.0,Offensive rebound by Team,,4-10,,
7:56.0,M. Plumlee misses 2-pt shot from 18 ft,,4-10,,
7:56.0,,,4-10,,Defensive rebound by D. Sloan
7:41.0,,,4-10,,B. Lopez misses 2-pt shot from 15 ft
7:40.0,Defensive rebound by N. Vonleh,,4-10,,
7:28.0,D. Lillard misses 2-pt shot from 2 ft,,4-10,,
7:27.0,,,4-10,,Defensive rebound by Team
7:27.0,Loose ball foul by N. Vonleh (drawn by B. Lopez),,4-10,,
7:06.0,,,4-12,2,B. Lopez makes 2-pt shot from 2 ft
6:45.0,C. McCollum misses 2-pt shot from 15 ft,,4-12,,
6:43.0,,,4-12,,Defensive rebound by W. Ellington
6:31.0,,,4-12,,T. Young misses 2-pt shot from 9 ft
6:29.0,Defensive rebound by M. Plumlee,,4-12,,
6:20.0,D. Lillard makes 3-pt shot from 25 ft,3,7-12,,
5:55.0,,,7-12,,B. Lopez misses 2-pt shot from 12 ft
5:54.0,Defensive rebound by A. Aminu,,7-12,,
5:48.0,D. Lillard makes 2-pt shot from 17 ft,2,9-12,,
5:39.0,,,9-12,,Brooklyn full timeout
5:39.0,,,9-12,,T. Robinson enters the game for B. Lopez
5:39.0,A. Crabbe enters the game for C. McCollum,,9-12,,
5:32.0,,,9-14,2,T. Robinson makes 2-pt shot from 2 ft (assist by J. Johnson)
5:15.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,11-14,,
4:52.0,,,11-16,2,W. Ellington makes 2-pt shot from 21 ft (assist by D. Sloan)
4:35.0,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard),3,14-16,,
4:20.0,,,14-16,,W. Ellington misses 3-pt shot from 22 ft
4:18.0,,,14-16,,Offensive rebound by T. Robinson
4:17.0,M. Leonard enters the game for M. Plumlee,,14-16,,
4:17.0,E. Davis enters the game for N. Vonleh,,14-16,,
4:17.0,M. Harkless enters the game for A. Aminu,,14-16,,
4:05.0,,,14-16,,J. Johnson misses 2-pt shot from 10 ft
4:04.0,,,14-16,,Offensive rebound by T. Young
4:03.0,,,14-16,,T. Young misses 2-pt shot from 6 ft
4:02.0,Defensive rebound by M. Leonard,,14-16,,
3:49.0,D. Lillard misses 3-pt shot from 24 ft,,14-16,,
3:48.0,Offensive rebound by E. Davis,,14-16,,
3:45.0,E. Davis makes 2-pt shot from 2 ft,2,16-16,,
3:36.0,,,16-18,2,T. Young makes 2-pt shot from 16 ft (assist by D. Sloan)
3:10.0,M. Leonard misses 3-pt shot from 24 ft,,16-18,,
3:09.0,,,16-18,,Defensive rebound by W. Ellington
3:00.0,,,16-20,2,T. Young makes 2-pt shot from 2 ft
2:58.0,Portland full timeout,,16-20,,
2:58.0,,,16-20,,A. Bargnani enters the game for T. Young
2:58.0,,,16-20,,S. Larkin enters the game for D. Sloan
2:35.0,Shooting foul by T. Robinson (drawn by E. Davis),,16-20,,
2:35.0,E. Davis makes free throw 1 of 2,1,17-20,,
2:35.0,E. Davis misses free throw 2 of 2,,17-20,,
2:34.0,,,17-20,,Defensive rebound by T. Robinson
2:12.0,,,17-20,,J. Johnson misses 2-pt shot from 6 ft
2:11.0,,,17-20,,Offensive rebound by T. Robinson
2:10.0,,,17-20,,T. Robinson misses 2-pt shot from 2 ft
2:09.0,Defensive rebound by M. Leonard,,17-20,,
1:56.0,M. Harkless misses 3-pt shot from 22 ft,,17-20,,
1:55.0,,,17-20,,Defensive rebound by W. Ellington
1:39.0,,,17-23,3,A. Bargnani makes 3-pt shot from 24 ft (assist by J. Johnson)
1:24.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,20-23,,
0:59.0,,,20-23,,B. Bogdanovic enters the game for J. Johnson
0:57.0,,,20-23,,W. Ellington misses 2-pt shot from 22 ft
0:55.0,Defensive rebound by D. Lillard,,20-23,,
0:34.0,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard),2,22-23,,
0:11.0,,,22-23,,T. Robinson misses 2-pt shot from 5 ft
0:09.0,Defensive rebound by E. Davis,,22-23,,
0:02.0,,,22-23,,Personal foul by S. Larkin (drawn by D. Lillard)
0:02.0,,,22-23,,S. Karasev enters the game for A. Bargnani
0:01.0,D. Lillard misses 3-pt shot from 24 ft,,22-23,,
0:00.0,Offensive rebound by Team,,22-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,C. McCollum makes 2-pt shot from 5 ft,2,24-23,,
11:31.0,,,24-23,,A. Bargnani misses 2-pt shot from 19 ft
