time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (B. Beal gains possession),,,,Jump ball: M. Gortat vs. A. Horford (B. Beal gains possession)
11:45.0,M. Gortat makes 2-pt shot from 10 ft (assist by B. Beal),2,2-0,,
11:27.0,,,2-0,,A. Horford misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by J. Wall,,2-0,,
11:14.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,5-0,,
11:01.0,,,5-0,,J. Teague misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by M. Gortat,,5-0,,
10:48.0,B. Beal makes 2-pt shot from 15 ft (assist by J. Wall),2,7-0,,
10:31.0,,,7-0,,K. Bazemore misses 2-pt shot from 1 ft (block by M. Morris)
10:31.0,Defensive rebound by O. Porter,,7-0,,
10:23.0,O. Porter misses 2-pt shot from 20 ft,,7-0,,
10:22.0,,,7-0,,Defensive rebound by A. Horford
10:13.0,,,7-0,,K. Bazemore misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by M. Morris,,7-0,,
10:03.0,B. Beal misses 3-pt shot from 24 ft,,7-0,,
10:01.0,,,7-0,,Defensive rebound by A. Horford
9:55.0,,,7-2,2,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford)
9:43.0,J. Wall makes 2-pt shot from 15 ft,2,9-2,,
9:24.0,,,9-4,2,K. Bazemore makes 2-pt shot from 1 ft
9:09.0,M. Gortat makes 2-pt shot from 11 ft (assist by O. Porter),2,11-4,,
8:52.0,,,11-4,,J. Teague misses 2-pt shot from 11 ft
8:50.0,Defensive rebound by M. Morris,,11-4,,
8:39.0,O. Porter misses 3-pt shot from 23 ft,,11-4,,
8:39.0,,,11-4,,Defensive rebound by Team
8:29.0,,,11-6,2,J. Teague makes 2-pt shot from 1 ft
8:12.0,M. Morris misses 2-pt shot from 11 ft (block by A. Horford),,11-6,,
8:12.0,Offensive rebound by Team,,11-6,,
8:07.0,J. Wall misses 3-pt shot from 27 ft,,11-6,,
8:06.0,,,11-6,,Defensive rebound by K. Korver
7:49.0,,,11-6,,J. Teague misses 2-pt shot from 18 ft
7:47.0,Defensive rebound by O. Porter,,11-6,,
7:33.0,J. Wall misses 2-pt shot from 8 ft,,11-6,,
7:31.0,Offensive rebound by M. Gortat,,11-6,,
7:31.0,M. Gortat makes 2-pt shot at rim,2,13-6,,
7:14.0,,,13-9,3,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford)
6:54.0,Shooting foul by P. Millsap (drawn by M. Morris),,13-9,,
6:54.0,M. Morris misses free throw 1 of 3,,13-9,,
6:54.0,Offensive rebound by Team,,13-9,,
6:54.0,M. Morris misses free throw 2 of 3,,13-9,,
6:54.0,Offensive rebound by Team,,13-9,,
6:54.0,M. Morris makes free throw 3 of 3,1,14-9,,
6:40.0,,,14-11,2,P. Millsap makes 2-pt shot from 14 ft
6:40.0,,,14-11,,Shooting foul by M. Morris (drawn by P. Millsap)
6:40.0,,,14-11,,K. Humphries enters the game for A. Horford
6:40.0,,,14-12,1,P. Millsap makes free throw 1 of 1
6:19.0,M. Gortat makes 2-pt shot from 8 ft,2,16-12,,
6:09.0,,,16-12,,J. Teague misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by B. Beal,,16-12,,
5:45.0,J. Wall misses 2-pt shot from 20 ft,,16-12,,
5:45.0,,,16-12,,Defensive rebound by Team
5:45.0,Loose ball foul by M. Morris,,16-12,,
5:45.0,,,16-12,,Atlanta full timeout
5:45.0,Technical foul by M. Morris,,16-12,,
5:45.0,J. Dudley enters the game for M. Morris,,16-12,,
5:45.0,,,16-12,,T. Sefolosha enters the game for K. Bazemore
5:45.0,,,16-12,,K. Korver misses technical free throw
5:45.0,,,16-12,,Offensive rebound by Team
5:20.0,,,16-12,,J. Teague misses 2-pt shot from 19 ft
5:18.0,Defensive rebound by O. Porter,,16-12,,
5:13.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,18-12,,
4:58.0,,,18-14,2,K. Humphries makes 2-pt shot from 12 ft (assist by T. Sefolosha)
4:45.0,M. Gortat misses 2-pt shot from 7 ft,,18-14,,
4:43.0,,,18-14,,Defensive rebound by K. Humphries
4:23.0,,,18-16,2,P. Millsap makes 2-pt shot from 20 ft
4:12.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,21-16,,
4:06.0,,,21-16,,Shooting foul by B. Beal (drawn by J. Teague)
4:06.0,,,21-16,,J. Teague misses free throw 1 of 2
4:06.0,,,21-16,,Offensive rebound by Team
4:06.0,,,21-16,,T. Hardaway enters the game for K. Korver
4:06.0,,,21-16,,D. Schroder enters the game for P. Millsap
4:06.0,G. Temple enters the game for B. Beal,,21-16,,
4:06.0,,,21-17,1,J. Teague makes free throw 2 of 2
3:49.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,23-17,,
3:29.0,,,23-17,,K. Humphries misses 2-pt shot from 12 ft
3:27.0,Defensive rebound by O. Porter,,23-17,,
3:19.0,O. Porter misses 2-pt shot from 11 ft (block by T. Sefolosha),,23-17,,
3:17.0,,,23-17,,Defensive rebound by J. Teague
3:14.0,,,23-17,,Shooting foul by O. Porter (drawn by J. Teague)
3:14.0,,,23-18,1,J. Teague makes free throw 1 of 2
3:14.0,,,23-19,1,J. Teague makes free throw 2 of 2
3:02.0,J. Wall misses 2-pt shot from 1 ft,,23-19,,
3:00.0,Offensive rebound by O. Porter,,23-19,,
2:58.0,O. Porter misses 2-pt shot at rim,,23-19,,
2:57.0,,,23-19,,Defensive rebound by K. Humphries
2:47.0,,,23-19,,Turnover by D. Schroder (bad pass)
2:47.0,Washington full timeout,,23-19,,
2:47.0,,,23-19,,P. Millsap enters the game for J. Teague
2:33.0,M. Gortat misses 2-pt shot from 11 ft,,23-19,,
2:32.0,,,23-19,,Defensive rebound by T. Sefolosha
2:16.0,,,23-19,,P. Millsap misses 2-pt shot from 18 ft
2:16.0,Defensive rebound by Team,,23-19,,
2:16.0,N. Hilario enters the game for M. Gortat,,23-19,,
2:04.0,J. Wall misses 2-pt shot at rim,,23-19,,
2:03.0,Offensive rebound by Team,,23-19,,
2:03.0,,,23-19,,A. Horford enters the game for K. Humphries
1:48.0,N. Hilario misses 2-pt shot from 19 ft,,23-19,,
1:46.0,,,23-19,,Defensive rebound by T. Sefolosha
1:39.0,,,23-22,3,T. Hardaway makes 3-pt shot from 23 ft
1:33.0,J. Wall makes 2-pt shot from 2 ft,2,25-22,,
1:33.0,Shooting foul by T. Hardaway (drawn by J. Wall),,25-22,,
1:33.0,J. Wall misses free throw 1 of 1,,25-22,,
1:31.0,,,25-22,,Defensive rebound by A. Horford
1:21.0,Personal foul by G. Temple,,25-22,,
1:21.0,,,25-23,1,D. Schroder makes free throw 1 of 2
1:21.0,R. Sessions enters the game for J. Wall,,25-23,,
1:21.0,,,25-23,,M. Scott enters the game for P. Millsap
1:21.0,,,25-24,1,D. Schroder makes free throw 2 of 2
1:03.0,N. Hilario makes 2-pt shot from 13 ft,2,27-24,,
0:55.0,,,27-27,3,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Schroder)
0:40.0,N. Hilario misses 2-pt shot from 1 ft (block by T. Sefolosha),,27-27,,
0:38.0,,,27-27,,Defensive rebound by A. Horford
0:33.0,,,27-27,,T. Hardaway misses 2-pt shot from 2 ft
0:31.0,Defensive rebound by O. Porter,,27-27,,
0:23.0,O. Porter misses 2-pt shot from 12 ft,,27-27,,
0:20.0,,,27-27,,Defensive rebound by D. Schroder
0:02.0,,,27-30,3,D. Schroder makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,27-30,,D. Schroder misses 3-pt shot from 25 ft
11:41.0,,,27-30,,Offensive rebound by M. Scott
11:28.0,,,27-33,3,M. Scott makes 3-pt shot from 24 ft (assist by A. Horford)
11:12.0,B. Beal makes 2-pt shot from 12 ft,2,29-33,,
11:00.0,,,29-33,,D. Schroder misses 2-pt shot from 17 ft
10:58.0,Defensive rebound by G. Temple,,29-33,,
10:49.0,Turnover by G. Temple (lost ball; steal by A. Horford),,29-33,,
10:41.0,,,29-33,,Turnover by T. Hardaway (bad pass)
10:28.0,Shooting foul by A. Horford (drawn by N. Hilario),,29-33,,
10:28.0,N. Hilario misses free throw 1 of 2,,29-33,,
