time,Indiana,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. I. Mahinmi (S. Vujacic gains possession),,,,Jump ball: R. Lopez vs. I. Mahinmi (S. Vujacic gains possession)
11:40.0,Inbound foul by G. Hill,,0-0,,
11:40.0,,,0-1,1,J. Grant makes free throw 1 of 2
11:40.0,,,0-1,,J. Grant misses free throw 2 of 2
11:39.0,Defensive rebound by L. Allen,,0-1,,
11:17.0,Turnover by L. Allen (lost ball; steal by J. Grant),,0-1,,
11:11.0,,,0-1,,S. Vujacic misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by P. George,,0-1,,
11:04.0,Shooting foul by S. Vujacic (drawn by I. Mahinmi),,0-1,,
11:04.0,I. Mahinmi misses free throw 1 of 2,,0-1,,
11:04.0,Offensive rebound by Team,,0-1,,
11:04.0,I. Mahinmi makes free throw 2 of 2,1,1-1,,
10:50.0,,,1-1,,S. Vujacic misses 2-pt shot from 1 ft
10:49.0,Defensive rebound by L. Allen,,1-1,,
10:42.0,L. Allen misses 2-pt shot from 21 ft,,1-1,,
10:41.0,,,1-1,,Defensive rebound by R. Lopez
10:30.0,,,1-3,2,J. Grant makes 2-pt shot from 1 ft
10:17.0,P. George makes 2-pt shot from 13 ft (assist by I. Mahinmi),2,3-3,,
9:54.0,,,3-6,3,D. Williams makes 3-pt shot from 23 ft (assist by J. Grant)
9:43.0,I. Mahinmi misses 2-pt shot from 1 ft (block by R. Lopez),,3-6,,
9:42.0,,,3-6,,Defensive rebound by S. Vujacic
9:37.0,,,3-6,,S. Vujacic misses 2-pt shot from 16 ft
9:36.0,Defensive rebound by I. Mahinmi,,3-6,,
9:28.0,Turnover by G. Hill (lost ball; steal by S. Vujacic),,3-6,,
9:19.0,,,3-6,,R. Lopez misses 2-pt shot from 15 ft
9:18.0,Defensive rebound by M. Ellis,,3-6,,
9:11.0,P. George misses 3-pt shot from 26 ft,,3-6,,
9:10.0,,,3-6,,Defensive rebound by Team
8:55.0,,,3-6,,C. Early misses 2-pt shot from 4 ft (block by P. George)
8:54.0,Defensive rebound by L. Allen,,3-6,,
8:41.0,P. George misses 2-pt shot from 18 ft,,3-6,,
8:40.0,,,3-6,,Defensive rebound by D. Williams
8:24.0,,,3-6,,D. Williams misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by I. Mahinmi,,3-6,,
8:15.0,,,3-6,,Violation by C. Early (kicked ball)
