time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:48.0,K. Love misses 2-pt shot from 21 ft,,0-0,,
12:00.0,Jump ball: A. Horford vs. T. Thompson (L. James gains possession),,,,Jump ball: A. Horford vs. T. Thompson (L. James gains possession)
11:47.0,Offensive rebound by T. Thompson,,0-0,,
11:33.0,Turnover by K. Irving (lost ball; steal by K. Bazemore),,0-0,,
11:22.0,,,0-3,3,J. Teague makes 3-pt shot from 25 ft (assist by T. Sefolosha)
11:06.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,3-3,,
10:50.0,,,3-5,2,P. Millsap makes 2-pt shot from 11 ft
10:31.0,K. Irving makes 3-pt shot from 25 ft,3,6-5,,
10:17.0,,,6-5,,J. Teague misses 2-pt shot from 8 ft
10:14.0,Defensive rebound by K. Love,,6-5,,
10:09.0,L. James makes 2-pt shot from 1 ft,2,8-5,,
9:51.0,,,8-7,2,A. Horford makes 2-pt shot from 6 ft
9:33.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,11-7,,
9:31.0,,,11-7,,Atlanta full timeout
9:20.0,,,11-7,,Turnover by J. Teague (lost ball; steal by J. Smith)
8:57.0,K. Love misses 2-pt shot from 15 ft,,11-7,,
8:56.0,,,11-7,,Defensive rebound by P. Millsap
8:51.0,,,11-7,,Shooting foul by T. Thompson (drawn by P. Millsap)
8:51.0,,,11-7,,P. Millsap misses free throw 1 of 2
8:51.0,,,11-7,,Offensive rebound by Team
8:51.0,,,11-8,1,P. Millsap makes free throw 2 of 2
8:35.0,L. James makes 2-pt shot from 18 ft,2,13-8,,
8:26.0,,,13-8,,A. Horford misses 3-pt shot from 24 ft
8:26.0,,,13-8,,Offensive rebound by Team
8:26.0,Loose ball foul by T. Thompson,,13-8,,
8:26.0,C. Frye enters the game for T. Thompson,,13-8,,
8:15.0,,,13-11,3,T. Sefolosha makes 3-pt shot from 25 ft (assist by P. Millsap)
8:00.0,K. Love misses 2-pt shot from 12 ft,,13-11,,
7:59.0,,,13-11,,Defensive rebound by P. Millsap
7:54.0,,,13-11,,Shooting foul by C. Frye (drawn by P. Millsap)
7:54.0,,,13-12,1,P. Millsap makes free throw 1 of 2
7:54.0,,,13-13,1,P. Millsap makes free throw 2 of 2
7:36.0,Turnover by L. James (lost ball; steal by K. Bazemore),,13-13,,
7:28.0,,,13-15,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
7:13.0,K. Irving makes 2-pt shot from 2 ft,2,15-15,,
6:49.0,,,15-15,,K. Bazemore misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by L. James,,15-15,,
6:42.0,Turnover by L. James (lost ball; steal by T. Sefolosha),,15-15,,
6:35.0,,,15-15,,T. Sefolosha misses 2-pt shot from 17 ft
6:29.0,Defensive rebound by J. Smith,,15-15,,
6:27.0,K. Irving misses 2-pt shot from 20 ft,,15-15,,
6:25.0,,,15-15,,Defensive rebound by P. Millsap
6:11.0,,,15-18,3,K. Bazemore makes 3-pt shot from 23 ft (assist by T. Sefolosha)
6:11.0,Cleveland full timeout,,15-18,,
6:11.0,,,15-18,,K. Humphries enters the game for A. Horford
6:00.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,17-18,,
5:47.0,,,17-20,2,P. Millsap makes 2-pt shot at rim
5:31.0,K. Love misses 2-pt shot from 1 ft (block by K. Humphries),,17-20,,
5:28.0,,,17-20,,Defensive rebound by P. Millsap
5:22.0,,,17-20,,Turnover by P. Millsap (lost ball; steal by L. James)
5:18.0,Shooting foul by K. Humphries (drawn by K. Irving),,17-20,,
5:18.0,K. Irving makes free throw 1 of 2,1,18-20,,
5:18.0,,,18-20,,K. Korver enters the game for K. Bazemore
5:18.0,,,18-20,,D. Schroder enters the game for J. Teague
5:18.0,K. Irving makes free throw 2 of 2,1,19-20,,
5:09.0,,,19-20,,K. Korver misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by Team,,19-20,,
4:58.0,,,19-20,,Personal foul by P. Millsap
4:51.0,Turnover by J. Smith (bad pass),,19-20,,
4:42.0,,,19-20,,P. Millsap misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by K. Irving,,19-20,,
4:32.0,K. Love misses 2-pt shot from 2 ft,,19-20,,
4:30.0,,,19-20,,Defensive rebound by K. Humphries
4:25.0,,,19-20,,D. Schroder misses 2-pt shot from 23 ft
4:23.0,Defensive rebound by L. James,,19-20,,
4:16.0,C. Frye makes 3-pt shot from 23 ft (assist by L. James),3,22-20,,
3:53.0,,,22-23,3,K. Humphries makes 3-pt shot from 23 ft (assist by T. Sefolosha)
3:37.0,L. James misses 2-pt shot from 2 ft (block by P. Millsap),,22-23,,
3:37.0,Offensive rebound by L. James,,22-23,,
3:37.0,Turnover by L. James (bad pass),,22-23,,
3:28.0,R. Jefferson enters the game for K. Love,,22-23,,
3:18.0,,,22-25,2,D. Schroder makes 2-pt shot from 1 ft
3:03.0,R. Jefferson makes 3-pt shot from 24 ft (assist by C. Frye),3,25-25,,
2:43.0,,,25-28,3,K. Humphries makes 3-pt shot from 26 ft (assist by D. Schroder)
2:21.0,K. Irving misses 2-pt shot from 12 ft,,25-28,,
2:19.0,,,25-28,,Defensive rebound by K. Humphries
2:09.0,,,25-28,,D. Schroder misses 3-pt shot from 26 ft
2:07.0,,,25-28,,Offensive rebound by K. Humphries
2:07.0,,,25-28,,K. Humphries misses 2-pt shot at rim
2:06.0,Defensive rebound by C. Frye,,25-28,,
2:04.0,L. James makes 2-pt shot from 2 ft,2,27-28,,
2:04.0,Shooting foul by D. Schroder (drawn by L. James),,27-28,,
2:04.0,M. Dellavedova enters the game for K. Irving,,27-28,,
2:04.0,L. James misses free throw 1 of 1,,27-28,,
2:03.0,,,27-28,,Defensive rebound by K. Humphries
1:51.0,,,27-28,,Shooting foul by R. Jefferson (drawn by P. Millsap)
1:51.0,,,27-28,,P. Millsap misses free throw 1 of 2
1:51.0,,,27-28,,Offensive rebound by Team
1:51.0,,,27-29,1,P. Millsap makes free throw 2 of 2
1:33.0,C. Frye misses 3-pt shot from 25 ft,,27-29,,
1:32.0,,,27-29,,Defensive rebound by K. Korver
1:18.0,,,27-31,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Humphries)
0:58.0,R. Jefferson misses 2-pt shot from 8 ft,,27-31,,
0:54.0,,,27-31,,Defensive rebound by K. Humphries
0:39.0,,,27-33,2,T. Sefolosha makes 2-pt shot at rim (assist by P. Millsap)
0:19.0,R. Jefferson misses 2-pt shot from 1 ft (block by K. Humphries),,27-33,,
0:16.0,,,27-33,,Defensive rebound by P. Millsap
0:01.0,,,27-36,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
0:00.0,J. Smith misses 3-pt shot from 54 ft,,27-36,,
0:00.0,Offensive rebound by Team,,27-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-38,2,K. Bazemore makes 2-pt shot from 21 ft (assist by D. Schroder)
11:25.0,Shooting foul by K. Korver (drawn by K. Irving),,27-38,,
11:25.0,K. Irving misses free throw 1 of 2,,27-38,,
11:25.0,Offensive rebound by Team,,27-38,,
11:25.0,,,27-38,,M. Scott enters the game for P. Millsap
11:25.0,K. Love enters the game for R. Jefferson,,27-38,,
11:25.0,K. Irving makes free throw 2 of 2,1,28-38,,
11:05.0,,,28-38,,Turnover by D. Schroder (back court)
10:45.0,C. Frye misses 2-pt shot from 17 ft,,28-38,,
