time,Phoenix,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Towns,,,,Jump ball: T. Chandler vs. K. Towns
11:39.0,M. Morris makes 2-pt shot from 14 ft (assist by P. Tucker),2,2-0,,
11:25.0,,,2-0,,A. Wiggins misses 2-pt shot from 20 ft
11:24.0,Defensive rebound by T. Chandler,,2-0,,
11:12.0,,,2-0,,Personal foul by K. Garnett (drawn by M. Morris)
11:03.0,M. Morris misses 2-pt shot from 1 ft (block by K. Towns),,2-0,,
11:02.0,,,2-0,,Defensive rebound by K. Garnett
10:43.0,,,2-2,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
10:24.0,M. Morris makes 2-pt shot from 11 ft,2,4-2,,
10:07.0,,,4-2,,R. Rubio misses 2-pt shot from 20 ft
10:05.0,Defensive rebound by P. Tucker,,4-2,,
9:54.0,T. Chandler misses 2-pt shot from 1 ft (block by T. Prince),,4-2,,
9:53.0,Offensive rebound by T. Chandler,,4-2,,
9:52.0,Shooting foul by R. Rubio (drawn by T. Chandler),,4-2,,
9:52.0,T. Chandler makes free throw 1 of 2,1,5-2,,
9:52.0,T. Chandler makes free throw 2 of 2,1,6-2,,
9:40.0,Personal foul by D. Booker (drawn by T. Prince),,6-2,,
9:32.0,,,6-4,2,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio)
9:26.0,,,6-4,,Violation by R. Rubio (kicked ball)
9:16.0,T. Chandler makes 2-pt shot at rim (assist by P. Tucker),2,8-4,,
8:53.0,,,8-4,,R. Rubio misses 3-pt shot from 23 ft
8:52.0,Defensive rebound by P. Tucker,,8-4,,
8:28.0,P. Tucker misses 3-pt shot from 24 ft,,8-4,,
8:27.0,,,8-4,,Defensive rebound by T. Prince
8:23.0,,,8-6,2,R. Rubio makes 2-pt shot from 7 ft
8:23.0,,,8-6,,Shooting foul by B. Knight (drawn by R. Rubio)
8:23.0,,,8-7,1,R. Rubio makes free throw 1 of 1
8:12.0,P. Tucker misses 2-pt shot from 1 ft (block by T. Prince),,8-7,,
8:10.0,,,8-7,,Defensive rebound by K. Towns
8:10.0,Personal foul by M. Morris (drawn by R. Rubio),,8-7,,
8:01.0,,,8-9,2,A. Wiggins makes 2-pt shot from 19 ft
7:35.0,Turnover by T. Chandler (bad pass; steal by R. Rubio),,8-9,,
7:29.0,,,8-11,2,A. Wiggins makes 2-pt shot from 2 ft (assist by T. Prince)
7:09.0,B. Knight misses 2-pt shot from 19 ft,,8-11,,
7:08.0,,,8-11,,Defensive rebound by R. Rubio
7:00.0,,,8-11,,Turnover by K. Towns (offensive goaltending)
6:47.0,D. Booker misses 2-pt shot from 20 ft,,8-11,,
6:46.0,,,8-11,,Defensive rebound by R. Rubio
6:32.0,,,8-11,,Turnover by T. Prince (bad pass)
6:32.0,Phoenix full timeout,,8-11,,
6:32.0,,,8-11,,N. Bjelica enters the game for K. Garnett
6:20.0,D. Booker makes 2-pt shot from 20 ft (assist by M. Morris),2,10-11,,
6:05.0,,,10-11,,Offensive foul by N. Bjelica
6:05.0,,,10-11,,Turnover by N. Bjelica (offensive foul)
5:55.0,D. Booker misses 2-pt shot from 2 ft,,10-11,,
5:54.0,,,10-11,,Defensive rebound by K. Towns
5:45.0,,,10-13,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
5:45.0,,,10-13,,Shooting foul by T. Chandler (drawn by K. Towns)
5:45.0,,,10-13,,S. Muhammad enters the game for T. Prince
5:45.0,T. Warren enters the game for P. Tucker,,10-13,,
5:45.0,,,10-14,1,K. Towns makes free throw 1 of 1
5:28.0,,,10-14,,Violation by K. Towns (def goaltending)
5:28.0,M. Morris makes 2-pt shot from 6 ft,2,12-14,,
5:17.0,,,12-14,,S. Muhammad misses 2-pt shot from 20 ft
5:16.0,Defensive rebound by T. Chandler,,12-14,,
5:09.0,B. Knight makes 2-pt shot from 20 ft,2,14-14,,
4:48.0,,,14-14,,A. Wiggins misses 2-pt shot at rim
4:47.0,,,14-14,,Offensive rebound by A. Wiggins
4:47.0,,,14-16,2,A. Wiggins makes 2-pt shot at rim
4:31.0,T. Warren misses 2-pt shot from 19 ft,,14-16,,
4:30.0,,,14-16,,Defensive rebound by N. Bjelica
4:18.0,,,14-16,,S. Muhammad misses 3-pt shot from 23 ft
4:16.0,,,14-16,,Offensive rebound by A. Wiggins
4:01.0,,,14-16,,Turnover by R. Rubio (bad pass; steal by M. Morris)
3:57.0,Shooting foul by A. Wiggins (drawn by D. Booker),,14-16,,
3:57.0,D. Booker makes free throw 1 of 2,1,15-16,,
3:57.0,,,15-16,,Z. LaVine enters the game for R. Rubio
3:57.0,D. Booker makes free throw 2 of 2,1,16-16,,
3:45.0,,,16-18,2,A. Wiggins makes 2-pt shot from 1 ft
