time,Dallas,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. Z. Pachulia (K. Faried gains possession),,,,Jump ball: N. Jokic vs. Z. Pachulia (K. Faried gains possession)
11:37.0,,,0-0,,K. Faried misses 2-pt shot from 14 ft
11:36.0,Defensive rebound by D. Williams,,0-0,,
11:17.0,Z. Pachulia misses 2-pt shot from 2 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by K. Faried
11:01.0,,,0-0,,E. Mudiay misses 2-pt shot from 18 ft
11:00.0,Defensive rebound by W. Matthews,,0-0,,
10:49.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams),2,2-0,,
10:26.0,,,2-0,,E. Mudiay misses 2-pt shot from 10 ft
10:26.0,Defensive rebound by D. Nowitzki,,2-0,,
10:14.0,D. Williams misses 2-pt shot from 1 ft,,2-0,,
10:13.0,,,2-0,,Defensive rebound by N. Jokic
10:09.0,,,2-2,2,J. Sampson makes 2-pt shot from 1 ft (assist by N. Jokic)
9:49.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams),2,4-2,,
9:32.0,,,4-2,,Turnover by N. Jokic (traveling)
9:24.0,Turnover by D. Williams (bad pass; steal by N. Jokic),,4-2,,
9:18.0,,,4-2,,K. Faried misses 2-pt shot from 1 ft
9:16.0,Defensive rebound by C. Parsons,,4-2,,
9:09.0,D. Nowitzki misses 2-pt shot from 15 ft,,4-2,,
9:08.0,,,4-2,,Defensive rebound by N. Jokic
8:55.0,,,4-2,,N. Jokic misses 2-pt shot from 1 ft
8:52.0,,,4-2,,Offensive rebound by N. Jokic
8:52.0,,,4-4,2,N. Jokic makes 2-pt shot at rim
8:36.0,W. Matthews misses 2-pt shot from 21 ft,,4-4,,
8:34.0,Offensive rebound by D. Nowitzki,,4-4,,
8:34.0,D. Nowitzki makes 2-pt shot from 1 ft,2,6-4,,
8:17.0,,,6-4,,N. Jokic misses 2-pt shot from 4 ft (block by Z. Pachulia)
8:17.0,,,6-4,,Offensive rebound by Team
8:14.0,,,6-4,,E. Mudiay misses 3-pt shot from 25 ft
8:13.0,,,6-4,,Offensive rebound by K. Faried
8:12.0,,,6-4,,Shooting foul by Z. Pachulia (drawn by K. Faried)
8:12.0,,,6-4,,K. Faried misses free throw 1 of 2
8:12.0,,,6-4,,Offensive rebound by Team
8:12.0,,,6-5,1,K. Faried makes free throw 2 of 2
7:54.0,C. Parsons misses 3-pt shot from 24 ft,,6-5,,
7:53.0,,,6-5,,Defensive rebound by N. Jokic
7:31.0,,,6-5,,G. Harris misses 2-pt shot from 5 ft
7:30.0,,,6-5,,Offensive rebound by K. Faried
7:30.0,,,6-7,2,K. Faried makes 2-pt shot at rim
7:16.0,D. Nowitzki misses 2-pt shot from 20 ft,,6-7,,
7:15.0,,,6-7,,Defensive rebound by N. Jokic
7:08.0,,,6-9,2,N. Jokic makes 2-pt shot from 13 ft (assist by E. Mudiay)
7:08.0,Dallas full timeout,,6-9,,
7:08.0,R. Felton enters the game for Z. Pachulia,,6-9,,
7:08.0,D. Lee enters the game for D. Nowitzki,,6-9,,
6:48.0,W. Matthews misses 2-pt shot from 9 ft,,6-9,,
6:47.0,,,6-9,,Defensive rebound by N. Jokic
6:36.0,,,6-9,,Turnover by G. Harris (bad pass; steal by D. Williams)
6:31.0,Turnover by D. Williams (lost ball; steal by G. Harris),,6-9,,
6:24.0,,,6-9,,E. Mudiay misses 3-pt shot from 26 ft
6:21.0,Defensive rebound by D. Lee,,6-9,,
6:07.0,R. Felton misses 3-pt shot from 24 ft,,6-9,,
