time,Phoenix,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. A. Len (J. Leuer gains possession),,,,Jump ball: R. Hollins vs. A. Len (J. Leuer gains possession)
11:49.0,,,0-0,,Personal foul by O. Porter (drawn by P. Tucker)
11:46.0,Turnover by A. Len (bad pass; steal by J. Wall),,0-0,,
11:38.0,,,0-0,,O. Porter misses 2-pt shot from 2 ft (block by A. Len)
11:34.0,,,0-0,,Offensive rebound by J. Wall
11:33.0,,,0-0,,J. Wall misses 2-pt shot from 2 ft
11:22.0,,,0-0,,Offensive rebound by O. Porter
11:18.0,,,0-0,,J. Dudley misses 2-pt shot from 4 ft (block by A. Len)
11:14.0,,,0-0,,Offensive rebound by Team
11:13.0,Personal foul by A. Len (drawn by R. Hollins),,0-0,,
11:09.0,Personal foul by B. Knight (drawn by B. Beal),,0-0,,
11:09.0,,,0-1,1,B. Beal makes free throw 1 of 2
11:09.0,,,0-2,1,B. Beal makes free throw 2 of 2
11:00.0,B. Knight makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,3-2,,
10:52.0,,,3-2,,J. Wall misses 2-pt shot from 15 ft
10:51.0,Defensive rebound by P. Tucker,,3-2,,
10:40.0,A. Len makes 2-pt shot from 9 ft,2,5-2,,
10:25.0,,,5-2,,J. Dudley misses 2-pt shot from 21 ft
10:23.0,Defensive rebound by A. Len,,5-2,,
10:18.0,Turnover by B. Knight (lost ball),,5-2,,
9:57.0,,,5-2,,J. Dudley misses 2-pt shot from 20 ft
9:56.0,,,5-2,,Offensive rebound by O. Porter
9:54.0,,,5-2,,O. Porter misses 2-pt shot from 3 ft
9:52.0,Defensive rebound by E. Bledsoe,,5-2,,
9:45.0,J. Leuer makes 3-pt shot from 24 ft (assist by A. Len),3,8-2,,
9:33.0,,,8-2,,O. Porter misses 2-pt shot from 20 ft
9:32.0,,,8-2,,Offensive rebound by R. Hollins
9:17.0,,,8-2,,J. Wall misses 2-pt shot from 3 ft
9:16.0,Defensive rebound by B. Knight,,8-2,,
8:53.0,A. Len makes 2-pt shot from 10 ft,2,10-2,,
8:48.0,,,10-2,,Washington full timeout
8:29.0,,,10-2,,Turnover by J. Wall (lost ball)
8:14.0,J. Leuer misses 3-pt shot from 25 ft,,10-2,,
8:13.0,,,10-2,,Defensive rebound by R. Hollins
8:06.0,,,10-5,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
7:54.0,Turnover by E. Bledsoe (bad pass; steal by B. Beal),,10-5,,
7:45.0,,,10-5,,J. Dudley misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by B. Knight,,10-5,,
7:38.0,J. Leuer makes 2-pt shot from 1 ft,2,12-5,,
7:24.0,,,12-5,,O. Porter misses 2-pt shot from 14 ft
7:23.0,Defensive rebound by Team,,12-5,,
7:01.0,A. Len misses 3-pt shot from 23 ft,,12-5,,
7:00.0,,,12-5,,Defensive rebound by J. Wall
6:41.0,,,12-5,,B. Beal misses 2-pt shot from 16 ft
6:40.0,Defensive rebound by J. Leuer,,12-5,,
6:33.0,E. Bledsoe misses 2-pt shot from 18 ft,,12-5,,
6:32.0,,,12-5,,Defensive rebound by B. Beal
6:22.0,,,12-7,2,R. Hollins makes 2-pt shot from 10 ft (assist by B. Beal)
6:08.0,B. Knight makes 2-pt shot from 19 ft,2,14-7,,
5:39.0,,,14-10,3,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal)
5:28.0,P. Tucker makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,17-10,,
5:02.0,,,17-10,,J. Dudley misses 2-pt shot from 4 ft
5:01.0,Defensive rebound by J. Leuer,,17-10,,
4:53.0,B. Knight misses 2-pt shot from 3 ft,,17-10,,
4:50.0,Offensive rebound by E. Bledsoe,,17-10,,
4:47.0,E. Bledsoe misses 3-pt shot from 25 ft,,17-10,,
4:46.0,,,17-10,,Defensive rebound by B. Beal
4:39.0,,,17-10,,B. Beal misses 2-pt shot from 4 ft
4:39.0,Defensive rebound by Team,,17-10,,
4:39.0,,,17-10,,Loose ball foul by R. Hollins (drawn by J. Leuer)
4:39.0,,,17-10,,D. Blair enters the game for J. Dudley
4:39.0,,,17-10,,G. Temple enters the game for R. Hollins
4:39.0,D. Booker enters the game for A. Len,,17-10,,
4:39.0,M. Morris enters the game for B. Knight,,17-10,,
4:30.0,M. Morris misses 2-pt shot from 13 ft,,17-10,,
4:29.0,,,17-10,,Defensive rebound by B. Beal
4:20.0,,,17-13,3,J. Wall makes 3-pt shot from 25 ft
3:58.0,E. Bledsoe makes 2-pt shot from 21 ft (assist by P. Tucker),2,19-13,,
3:42.0,,,19-16,3,B. Beal makes 3-pt shot from 25 ft (assist by D. Blair)
3:27.0,Turnover by E. Bledsoe (lost ball),,19-16,,
3:23.0,,,19-16,,Turnover by O. Porter (traveling)
3:10.0,Phoenix full timeout,,19-16,,
3:06.0,M. Morris makes 2-pt shot from 21 ft (assist by E. Bledsoe),2,21-16,,
2:47.0,,,21-16,,B. Beal misses 2-pt shot from 18 ft
2:46.0,Defensive rebound by P. Tucker,,21-16,,
2:40.0,J. Leuer makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,23-16,,
2:40.0,Shooting foul by D. Blair (drawn by J. Leuer),,23-16,,
2:40.0,,,23-16,,G. Neal enters the game for B. Beal
2:40.0,J. Leuer misses free throw 1 of 1,,23-16,,
2:39.0,,,23-16,,Defensive rebound by G. Temple
2:32.0,Personal foul by E. Bledsoe (drawn by J. Wall),,23-16,,
2:28.0,,,23-16,,Turnover by G. Neal (bad pass; steal by E. Bledsoe)
2:09.0,Turnover by M. Morris (bad pass; steal by J. Wall),,23-16,,
2:01.0,,,23-16,,O. Porter misses 3-pt shot from 23 ft
1:59.0,,,23-16,,Offensive rebound by D. Blair
1:58.0,,,23-18,2,O. Porter makes 2-pt shot from 3 ft (assist by D. Blair)
1:42.0,D. Booker makes 2-pt shot from 1 ft,2,25-18,,
1:26.0,,,25-20,2,O. Porter makes 2-pt shot from 9 ft
1:13.0,M. Morris misses 2-pt shot from 3 ft,,25-20,,
1:12.0,Offensive rebound by M. Morris,,25-20,,
1:10.0,M. Morris misses 2-pt shot from 5 ft,,25-20,,
1:09.0,,,25-20,,Defensive rebound by O. Porter
0:52.0,,,25-20,,O. Porter misses 2-pt shot from 6 ft
0:52.0,Defensive rebound by M. Morris,,25-20,,
0:52.0,,,25-20,,Personal foul by D. Blair (drawn by P. Tucker)
0:52.0,,,25-20,,J. Dudley enters the game for J. Wall
0:52.0,,,25-20,,R. Sessions enters the game for D. Blair
0:46.0,J. Leuer makes 2-pt shot at rim (assist by E. Bledsoe),2,27-20,,
0:33.0,,,27-20,,Turnover by R. Sessions (bad pass; steal by P. Tucker)
0:33.0,P. Tucker makes 2-pt shot from 2 ft,2,29-20,,
0:33.0,Violation by Team (delay of game),,29-20,,
0:18.0,,,29-20,,Shooting foul by D. Booker (drawn by G. Neal)
0:18.0,,,29-21,1,G. Neal makes free throw 1 of 2
0:18.0,,,29-21,,K. Oubre enters the game for O. Porter
0:18.0,,,29-22,1,G. Neal makes free throw 2 of 2
0:03.0,E. Bledsoe makes 2-pt shot from 2 ft,2,31-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,31-25,3,G. Neal makes 3-pt shot from 23 ft
11:14.0,R. Price misses 3-pt shot from 22 ft,,31-25,,
11:13.0,,,31-25,,Defensive rebound by G. Neal
11:08.0,,,31-25,,Turnover by G. Neal (lost ball; steal by R. Price)
11:08.0,,,31-25,,Loose ball foul by G. Neal (drawn by R. Price)
10:47.0,Turnover by M. Teletovic (bad pass),,31-25,,
10:28.0,,,31-27,2,R. Sessions makes 2-pt shot from 2 ft (assist by G. Neal)
10:13.0,D. Booker misses 2-pt shot from 11 ft,,31-27,,
10:11.0,,,31-27,,Defensive rebound by R. Sessions
10:07.0,,,31-27,,Offensive charge foul by R. Sessions
10:07.0,,,31-27,,Turnover by R. Sessions (offensive foul)
9:55.0,R. Price misses 2-pt shot from 19 ft,,31-27,,
9:53.0,,,31-27,,Defensive rebound by G. Neal
9:48.0,,,31-29,2,R. Sessions makes 2-pt shot from 2 ft
9:29.0,D. Booker makes 2-pt shot from 1 ft (assist by M. Teletovic),2,33-29,,
9:22.0,,,33-31,2,G. Temple makes 2-pt shot from 1 ft
9:13.0,Shooting foul by K. Oubre (drawn by M. Teletovic),,33-31,,
9:13.0,M. Teletovic misses free throw 1 of 3,,33-31,,
9:13.0,Offensive rebound by Team,,33-31,,
9:13.0,M. Teletovic makes free throw 2 of 3,1,34-31,,
9:13.0,B. Knight enters the game for D. Booker,,34-31,,
9:13.0,,,34-31,,O. Porter enters the game for K. Oubre
9:13.0,M. Teletovic makes free throw 3 of 3,1,35-31,,
9:02.0,,,35-34,3,G. Neal makes 3-pt shot from 24 ft (assist by G. Temple)
8:41.0,M. Teletovic misses 3-pt shot from 24 ft,,35-34,,
8:40.0,,,35-34,,Defensive rebound by G. Neal
8:31.0,,,35-34,,R. Sessions misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by M. Teletovic,,35-34,,
8:09.0,R. Price makes 3-pt shot from 24 ft (assist by B. Knight),3,38-34,,
7:58.0,,,38-36,2,G. Neal makes 2-pt shot from 12 ft
7:45.0,M. Morris makes 2-pt shot from 16 ft (assist by R. Price),2,40-36,,
7:36.0,,,40-36,,J. Dudley misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by B. Knight,,40-36,,
7:26.0,Turnover by B. Knight (lost ball; steal by R. Sessions),,40-36,,
7:20.0,,,40-38,2,R. Sessions makes 2-pt shot at rim
6:57.0,,,40-38,,Personal foul by J. Dudley (drawn by B. Knight)
6:57.0,Official timeout,,40-38,,
6:57.0,,,40-38,,J. Wall enters the game for G. Temple
6:57.0,,,40-38,,B. Beal enters the game for R. Sessions
6:57.0,P. Tucker enters the game for M. Teletovic,,40-38,,
6:43.0,R. Price makes 3-pt shot from 26 ft (assist by B. Knight),3,43-38,,
6:27.0,,,43-38,,Turnover by J. Wall (bad pass; steal by R. Price)
6:10.0,R. Price misses 3-pt shot from 24 ft,,43-38,,
6:08.0,,,43-38,,Defensive rebound by B. Beal
6:00.0,,,43-38,,B. Beal misses 2-pt shot from 1 ft
5:59.0,Defensive rebound by P. Tucker,,43-38,,
5:53.0,T. Warren misses 2-pt shot from 4 ft (block by O. Porter),,43-38,,
5:53.0,,,43-38,,Defensive rebound by Team
5:53.0,Loose ball foul by T. Warren (drawn by J. Dudley),,43-38,,
5:53.0,,,43-38,,Washington full timeout
5:53.0,,,43-38,,G. Temple enters the game for J. Dudley
5:52.0,E. Bledsoe enters the game for R. Price,,43-38,,
5:42.0,,,43-38,,Turnover by O. Porter (lost ball; steal by E. Bledsoe)
5:39.0,Turnover by B. Knight (bad pass),,43-38,,
5:31.0,,,43-38,,Offensive charge foul by B. Beal
5:31.0,,,43-38,,Turnover by B. Beal (offensive foul)
5:07.0,B. Knight makes 3-pt shot from 25 ft (assist by T. Warren),3,46-38,,
5:00.0,Personal foul by E. Bledsoe (drawn by J. Wall),,46-38,,
4:50.0,,,46-40,2,O. Porter makes 2-pt shot from 12 ft (assist by J. Wall)
4:34.0,B. Knight makes 2-pt shot from 18 ft,2,48-40,,
4:16.0,,,48-42,2,G. Neal makes 2-pt shot from 9 ft (assist by J. Wall)
4:07.0,E. Bledsoe makes 2-pt shot from 3 ft,2,50-42,,
3:55.0,,,50-44,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
3:40.0,B. Knight makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,53-44,,
3:13.0,,,53-44,,G. Neal misses 2-pt shot from 21 ft
3:12.0,Defensive rebound by P. Tucker,,53-44,,
3:02.0,Turnover by M. Morris (lost ball; steal by G. Temple),,53-44,,
2:56.0,,,53-46,2,O. Porter makes 2-pt shot from 1 ft
2:54.0,Phoenix full timeout,,53-46,,
2:54.0,,,53-46,,J. Dudley enters the game for O. Porter
2:54.0,J. Leuer enters the game for M. Morris,,53-46,,
2:46.0,Offensive charge foul by P. Tucker,,53-46,,
2:46.0,Turnover by P. Tucker (offensive foul),,53-46,,
2:27.0,,,53-46,,Shooting foul by P. Tucker (drawn by J. Dudley)
2:27.0,,,53-47,1,J. Dudley makes free throw 1 of 2
2:27.0,,,53-48,1,J. Dudley makes free throw 2 of 2
2:13.0,B. Knight misses 3-pt shot from 24 ft,,53-48,,
2:12.0,Offensive rebound by P. Tucker,,53-48,,
2:04.0,J. Leuer makes 2-pt shot from 2 ft (assist by B. Knight),2,55-48,,
1:54.0,,,55-48,,G. Temple misses 2-pt shot from 8 ft
1:53.0,Defensive rebound by P. Tucker,,55-48,,
1:48.0,Turnover by B. Knight (bad pass),,55-48,,
1:42.0,Personal foul by T. Warren (drawn by J. Wall),,55-48,,
1:34.0,,,55-50,2,J. Wall makes 2-pt shot from 2 ft
1:19.0,E. Bledsoe makes 3-pt shot from 24 ft,3,58-50,,
1:01.0,,,58-50,,Shooting foul by T. Warren (drawn by J. Dudley)
1:01.0,,,58-50,,J. Dudley misses free throw 1 of 2
1:01.0,,,58-50,,Offensive rebound by Team
1:01.0,R. Price enters the game for T. Warren,,58-50,,
