time,Denver,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. M. Turner (G. Hill gains possession),,,,Jump ball: N. Jokic vs. M. Turner (G. Hill gains possession)
11:45.0,,,0-3,3,P. George makes 3-pt shot from 23 ft (assist by M. Ellis)
11:24.0,N. Jokic misses 2-pt shot from 7 ft,,0-3,,
11:23.0,,,0-3,,Defensive rebound by G. Hill
11:09.0,,,0-5,2,J. Hill makes 2-pt shot from 14 ft (assist by M. Turner)
10:49.0,K. Faried misses 2-pt shot from 4 ft (block by J. Hill),,0-5,,
10:47.0,,,0-5,,Defensive rebound by M. Ellis
10:39.0,,,0-5,,M. Turner misses 2-pt shot at rim
10:38.0,Defensive rebound by E. Mudiay,,0-5,,
10:33.0,E. Mudiay misses 2-pt shot from 4 ft (block by J. Hill),,0-5,,
10:33.0,Offensive rebound by Team,,0-5,,
10:24.0,D. Gallinari makes 2-pt shot from 11 ft (assist by E. Mudiay),2,2-5,,
10:16.0,,,2-5,,M. Turner misses 2-pt shot from 1 ft
10:16.0,Defensive rebound by N. Jokic,,2-5,,
10:02.0,D. Gallinari misses 2-pt shot from 20 ft,,2-5,,
10:02.0,,,2-5,,Defensive rebound by M. Turner
9:42.0,,,2-7,2,P. George makes 2-pt shot from 20 ft
9:26.0,E. Mudiay makes 2-pt shot from 17 ft,2,4-7,,
9:16.0,,,4-7,,M. Turner misses 2-pt shot from 17 ft
9:15.0,Defensive rebound by K. Faried,,4-7,,
9:07.0,N. Jokic makes 2-pt shot from 3 ft (assist by E. Mudiay),2,6-7,,
8:47.0,,,6-7,,Turnover by J. Hill (lost ball; steal by G. Harris)
8:41.0,G. Harris makes 2-pt shot from 3 ft,2,8-7,,
8:27.0,Personal foul by E. Mudiay (drawn by M. Turner),,8-7,,
8:24.0,,,8-7,,P. George misses 3-pt shot from 24 ft
8:22.0,,,8-7,,Offensive rebound by J. Hill
8:18.0,,,8-7,,Turnover by P. George (lost ball; steal by D. Gallinari)
8:14.0,Shooting foul by M. Ellis (drawn by G. Harris),,8-7,,
8:14.0,G. Harris misses free throw 1 of 2,,8-7,,
8:14.0,Offensive rebound by Team,,8-7,,
8:14.0,G. Harris makes free throw 2 of 2,1,9-7,,
8:01.0,,,9-9,2,J. Hill makes 2-pt shot from 4 ft (assist by P. George)
7:46.0,N. Jokic misses 2-pt shot from 2 ft (block by J. Hill),,9-9,,
7:45.0,,,9-9,,Defensive rebound by M. Turner
7:41.0,,,9-11,2,G. Hill makes 2-pt shot from 2 ft (assist by P. George)
7:22.0,E. Mudiay misses 2-pt shot from 13 ft,,9-11,,
7:21.0,Offensive rebound by N. Jokic,,9-11,,
7:20.0,Turnover by N. Jokic (step out of bounds),,9-11,,
7:05.0,,,9-13,2,M. Turner makes 2-pt shot from 16 ft (assist by G. Hill)
6:45.0,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris),3,12-13,,
6:25.0,,,12-13,,M. Ellis misses 2-pt shot from 5 ft (block by G. Harris)
6:24.0,,,12-13,,Offensive rebound by M. Ellis
6:20.0,,,12-15,2,M. Ellis makes 2-pt shot from 5 ft
6:03.0,Shooting foul by P. George (drawn by K. Faried),,12-15,,
6:03.0,K. Faried makes free throw 1 of 2,1,13-15,,
6:03.0,,,13-15,,Indiana full timeout
6:03.0,K. Faried makes free throw 2 of 2,1,14-15,,
5:54.0,,,14-15,,J. Hill misses 2-pt shot from 2 ft
5:51.0,,,14-15,,Offensive rebound by P. George
5:42.0,,,14-18,3,M. Ellis makes 3-pt shot from 25 ft (assist by P. George)
5:15.0,E. Mudiay misses 2-pt shot from 1 ft (block by M. Turner),,14-18,,
5:14.0,,,14-18,,Defensive rebound by M. Turner
5:08.0,,,14-20,2,G. Hill makes 2-pt shot from 19 ft
4:57.0,Turnover by K. Faried (traveling),,14-20,,
4:40.0,,,14-20,,M. Turner misses 2-pt shot from 9 ft
4:39.0,Defensive rebound by E. Mudiay,,14-20,,
4:31.0,K. Faried makes 2-pt shot from 7 ft (assist by E. Mudiay),2,16-20,,
4:18.0,,,16-20,,J. Hill misses 2-pt shot from 18 ft
4:17.0,Defensive rebound by E. Mudiay,,16-20,,
4:09.0,N. Jokic misses 3-pt shot from 24 ft,,16-20,,
4:08.0,,,16-20,,Defensive rebound by M. Ellis
3:55.0,,,16-20,,Turnover by M. Turner (lost ball; steal by N. Jokic)
3:51.0,Turnover by N. Jokic (bad pass; steal by J. Hill),,16-20,,
3:41.0,,,16-20,,P. George misses 3-pt shot from 23 ft
3:36.0,,,16-20,,Offensive rebound by G. Hill
3:30.0,,,16-20,,P. George misses 3-pt shot from 23 ft
3:30.0,,,16-20,,Offensive rebound by M. Ellis
3:27.0,,,16-22,2,J. Hill makes 2-pt shot from 3 ft (assist by M. Ellis)
3:27.0,Denver full timeout,,16-22,,
3:27.0,D. Arthur enters the game for K. Faried,,16-22,,
3:27.0,W. Barton enters the game for N. Jokic,,16-22,,
3:27.0,J. Nurkic enters the game for G. Harris,,16-22,,
3:27.0,,,16-22,,L. Allen enters the game for M. Turner
3:05.0,J. Nurkic makes 2-pt shot from 6 ft (assist by D. Arthur),2,18-22,,
2:51.0,,,18-25,3,G. Hill makes 3-pt shot from 25 ft (assist by P. George)
2:33.0,Turnover by D. Gallinari (lost ball),,18-25,,
2:33.0,J. Nelson enters the game for E. Mudiay,,18-25,,
2:23.0,,,18-25,,P. George misses 2-pt shot from 17 ft
2:23.0,Defensive rebound by W. Barton,,18-25,,
2:15.0,Shooting foul by J. Hill (drawn by D. Gallinari),,18-25,,
2:15.0,D. Gallinari makes free throw 1 of 2,1,19-25,,
2:15.0,,,19-25,,C. Miles enters the game for P. George
2:15.0,,,19-25,,J. Young enters the game for G. Hill
2:15.0,D. Gallinari makes free throw 2 of 2,1,20-25,,
2:01.0,,,20-27,2,M. Ellis makes 2-pt shot from 17 ft
1:50.0,W. Barton misses 2-pt shot from 5 ft,,20-27,,
1:49.0,,,20-27,,Defensive rebound by J. Young
1:42.0,,,20-30,3,M. Ellis makes 3-pt shot from 26 ft (assist by J. Young)
1:42.0,Denver full timeout,,20-30,,
1:30.0,Shooting foul by L. Allen (drawn by J. Nurkic),,20-30,,
1:30.0,J. Nurkic makes free throw 1 of 2,1,21-30,,
1:30.0,J. Nurkic makes free throw 2 of 2,1,22-30,,
1:14.0,,,22-33,3,M. Ellis makes 3-pt shot from 25 ft (assist by J. Hill)
1:00.0,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Nelson),3,25-33,,
0:48.0,,,25-33,,L. Allen misses 2-pt shot at rim (block by J. Nurkic)
0:46.0,Defensive rebound by D. Arthur,,25-33,,
0:44.0,W. Barton makes 2-pt shot at rim (assist by D. Arthur),2,27-33,,
0:27.0,,,27-35,2,C. Miles makes 2-pt shot from 1 ft
0:05.0,D. Gallinari misses 2-pt shot from 3 ft (block by J. Hill),,27-35,,
0:04.0,,,27-35,,Defensive rebound by C. Miles
0:00.0,,,27-35,,M. Ellis misses 3-pt shot from 26 ft
0:00.0,,,27-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,W. Barton misses 2-pt shot from 2 ft,,27-35,,
11:53.0,Offensive rebound by D. Arthur,,27-35,,
11:53.0,D. Arthur makes 2-pt shot from 2 ft,2,29-35,,
11:36.0,,,29-35,,C. Miles misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by D. Arthur,,29-35,,
11:30.0,,,29-35,,Personal foul by L. Allen (drawn by J. Nurkic)
11:26.0,Turnover by J. Nurkic (bad pass),,29-35,,
11:09.0,,,29-37,2,J. Young makes 2-pt shot from 16 ft (assist by G. Robinson)
10:57.0,J. Nurkic misses 2-pt shot from 5 ft,,29-37,,
10:57.0,,,29-37,,Defensive rebound by L. Allen
10:49.0,,,29-37,,S. Hill misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by J. Nelson,,29-37,,
10:48.0,J. Nelson misses 3-pt shot from 25 ft,,29-37,,
10:48.0,,,29-37,,Defensive rebound by G. Robinson
10:23.0,,,29-37,,S. Hill misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by Team,,29-37,,
10:10.0,,,29-37,,Personal foul by L. Allen (drawn by J. Nurkic)
10:10.0,,,29-37,,M. Turner enters the game for L. Allen
10:05.0,J. Nurkic misses 3-pt shot from 25 ft,,29-37,,
10:05.0,,,29-37,,Defensive rebound by S. Hill
9:47.0,,,29-37,,J. Young misses 3-pt shot from 25 ft
9:46.0,,,29-37,,Offensive rebound by S. Hill
9:42.0,,,29-37,,Turnover by C. Miles (bad pass; steal by J. Nurkic)
9:38.0,W. Barton makes 2-pt shot at rim (assist by D. Arthur),2,31-37,,
9:38.0,,,31-37,,Indiana full timeout
9:20.0,,,31-40,3,J. Young makes 3-pt shot from 25 ft (assist by M. Turner)
9:04.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Arthur),2,33-40,,
8:42.0,,,33-42,2,G. Robinson makes 2-pt shot from 13 ft
8:25.0,J. Nurkic misses 2-pt shot from 3 ft,,33-42,,
8:24.0,,,33-42,,Defensive rebound by S. Hill
8:13.0,,,33-42,,C. Miles misses 2-pt shot from 20 ft
8:12.0,Defensive rebound by D. Arthur,,33-42,,
8:03.0,D. Arthur makes 2-pt shot from 15 ft (assist by W. Barton),2,35-42,,
7:52.0,Personal foul by J. Nurkic (drawn by M. Turner),,35-42,,
7:52.0,N. Jokic enters the game for J. Nurkic,,35-42,,
7:41.0,,,35-42,,G. Robinson misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by Team,,35-42,,
7:28.0,N. Jokic misses 2-pt shot from 3 ft,,35-42,,
7:27.0,,,35-42,,Defensive rebound by J. Young
7:13.0,Personal foul by W. Barton (drawn by S. Hill),,35-42,,
7:13.0,,,35-42,,G. Hill enters the game for J. Young
7:03.0,,,35-42,,C. Miles misses 3-pt shot from 28 ft
7:03.0,,,35-42,,Offensive rebound by S. Hill
6:59.0,,,35-44,2,G. Robinson makes 2-pt shot from 3 ft (assist by S. Hill)
6:41.0,R. Foye misses 3-pt shot from 27 ft,,35-44,,
6:40.0,,,35-44,,Defensive rebound by S. Hill
6:29.0,,,35-44,,G. Robinson misses 2-pt shot from 11 ft
6:29.0,Defensive rebound by R. Foye,,35-44,,
6:22.0,W. Barton misses 3-pt shot from 26 ft,,35-44,,
6:22.0,,,35-44,,Defensive rebound by M. Turner
6:22.0,Personal foul by N. Jokic (drawn by M. Turner),,35-44,,
6:22.0,D. Gallinari enters the game for D. Arthur,,35-44,,
6:22.0,,,35-44,,P. George enters the game for C. Miles
6:10.0,,,35-44,,M. Turner misses 2-pt shot from 18 ft
6:10.0,Defensive rebound by D. Gallinari,,35-44,,
6:00.0,Turnover by W. Barton (bad pass; steal by S. Hill),,35-44,,
5:54.0,,,35-44,,G. Robinson misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by Team,,35-44,,
5:54.0,Official timeout,,35-44,,
5:54.0,E. Mudiay enters the game for W. Barton,,35-44,,
5:54.0,G. Harris enters the game for J. Nelson,,35-44,,
5:54.0,K. Faried enters the game for R. Foye,,35-44,,
