time,Golden State,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Chandler (S. Curry gains possession),,,,Jump ball: A. Bogut vs. T. Chandler (S. Curry gains possession)
11:43.0,A. Bogut misses 2-pt shot from 4 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by M. Morris
11:33.0,,,0-0,,M. Morris misses 2-pt shot from 3 ft (block by D. Green)
11:33.0,Defensive rebound by Team,,0-0,,
11:17.0,A. Bogut makes 2-pt shot from 6 ft (assist by S. Curry),2,2-0,,
10:57.0,,,2-0,,E. Bledsoe misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by A. Bogut,,2-0,,
10:50.0,Turnover by D. Green (bad pass; steal by E. Bledsoe),,2-0,,
10:48.0,Personal take foul by A. Bogut (drawn by E. Bledsoe),,2-0,,
10:41.0,,,2-0,,Turnover by E. Bledsoe (bad pass; steal by H. Barnes)
10:34.0,K. Thompson misses 3-pt shot from 25 ft,,2-0,,
10:31.0,Offensive rebound by D. Green,,2-0,,
10:27.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,5-0,,
10:18.0,,,5-0,,B. Knight misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by D. Green,,5-0,,
10:10.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,8-0,,
9:48.0,,,8-2,2,M. Morris makes 2-pt shot from 9 ft (assist by B. Knight)
9:42.0,Shooting foul by T. Chandler (drawn by A. Bogut),,8-2,,
9:42.0,,,8-2,,Violation by Team (delay of game)
9:42.0,A. Bogut makes free throw 1 of 2,1,9-2,,
9:42.0,A. Bogut misses free throw 2 of 2,,9-2,,
9:41.0,,,9-2,,Defensive rebound by T. Chandler
9:26.0,,,9-2,,Turnover by M. Morris (offensive foul)
9:26.0,,,9-2,,Offensive charge foul by M. Morris
9:15.0,K. Thompson misses 3-pt shot from 24 ft,,9-2,,
9:13.0,,,9-2,,Defensive rebound by T. Chandler
8:48.0,,,9-5,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
8:40.0,,,9-5,,Personal foul by E. Bledsoe (drawn by S. Curry)
8:32.0,K. Thompson makes 2-pt shot from 16 ft (assist by A. Bogut),2,11-5,,
8:06.0,,,11-8,3,E. Bledsoe makes 3-pt shot from 25 ft
7:55.0,A. Bogut makes 2-pt shot from 2 ft (assist by S. Curry),2,13-8,,
7:51.0,,,13-8,,Phoenix full timeout
7:51.0,,,13-8,,A. Len enters the game for T. Chandler
7:36.0,,,13-8,,B. Knight misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by D. Green,,13-8,,
7:24.0,,,13-8,,Personal foul by P. Tucker (drawn by S. Curry)
7:16.0,K. Thompson makes 3-pt shot from 22 ft (assist by S. Curry),3,16-8,,
6:52.0,,,16-8,,A. Len misses 2-pt shot from 15 ft
6:50.0,Defensive rebound by D. Green,,16-8,,
6:46.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,18-8,,
6:32.0,,,18-8,,E. Bledsoe misses 2-pt shot from 21 ft
6:30.0,,,18-8,,Offensive rebound by A. Len
6:26.0,,,18-10,2,E. Bledsoe makes 2-pt shot from 18 ft
6:15.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,21-10,,
5:58.0,,,21-10,,Turnover by M. Morris (traveling)
5:48.0,S. Curry makes 3-pt shot from 25 ft,3,24-10,,
5:38.0,Personal foul by K. Thompson (drawn by B. Knight),,24-10,,
5:38.0,A. Iguodala enters the game for H. Barnes,,24-10,,
5:30.0,Personal foul by A. Bogut (drawn by A. Len),,24-10,,
5:30.0,F. Ezeli enters the game for A. Bogut,,24-10,,
5:30.0,,,24-10,,R. Price enters the game for B. Knight
5:27.0,,,24-10,,M. Morris misses 2-pt shot from 16 ft
5:25.0,Defensive rebound by S. Curry,,24-10,,
5:21.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,26-10,,
5:01.0,,,26-10,,Turnover by M. Morris (bad pass; steal by S. Curry)
4:55.0,Turnover by D. Green (bad pass; steal by A. Len),,26-10,,
4:49.0,,,26-10,,Turnover by E. Bledsoe (bad pass; steal by D. Green)
4:46.0,Shooting foul by R. Price (drawn by S. Curry),,26-10,,
4:46.0,S. Curry misses free throw 1 of 2,,26-10,,
4:46.0,Offensive rebound by Team,,26-10,,
4:46.0,,,26-10,,T. Warren enters the game for M. Morris
4:46.0,,,26-10,,M. Teletovic enters the game for A. Len
4:46.0,S. Curry makes free throw 2 of 2,1,27-10,,
4:33.0,,,27-12,2,E. Bledsoe makes 2-pt shot at rim
4:23.0,,,27-12,,Personal foul by P. Tucker (drawn by S. Curry)
4:23.0,S. Curry makes free throw 1 of 2,1,28-12,,
4:23.0,S. Curry makes free throw 2 of 2,1,29-12,,
4:07.0,,,29-12,,P. Tucker misses 2-pt shot from 1 ft
4:05.0,,,29-12,,Offensive rebound by P. Tucker
4:05.0,,,29-14,2,P. Tucker makes 2-pt shot at rim
3:53.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,32-14,,
3:53.0,Shooting foul by R. Price (drawn by S. Curry),,32-14,,
3:53.0,S. Curry makes free throw 1 of 1,1,33-14,,
