time,Utah,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Gobert (G. Hayward gains possession),,,,Jump ball: T. Chandler vs. R. Gobert (G. Hayward gains possession)
11:41.0,D. Favors misses 2-pt shot from 14 ft (block by M. Morris),,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Goodwin
11:17.0,,,0-0,,M. Morris misses 2-pt shot from 18 ft
11:16.0,Defensive rebound by G. Hayward,,0-0,,
11:00.0,G. Hayward makes 2-pt shot from 10 ft,2,2-0,,
10:36.0,,,2-0,,A. Goodwin misses 3-pt shot from 26 ft
10:36.0,Defensive rebound by D. Favors,,2-0,,
10:17.0,D. Favors misses 2-pt shot from 9 ft (block by M. Morris),,2-0,,
10:16.0,,,2-0,,Defensive rebound by T. Chandler
10:10.0,,,2-0,,M. Morris misses 2-pt shot from 2 ft
10:08.0,Defensive rebound by R. Gobert,,2-0,,
9:47.0,G. Hayward misses 2-pt shot from 20 ft,,2-0,,
9:46.0,Offensive rebound by R. Neto,,2-0,,
9:36.0,,,2-0,,Personal foul by M. Morris (drawn by D. Favors)
9:36.0,,,2-0,,Technical foul by M. Morris (drawn by D. Favors)
9:36.0,G. Hayward makes technical free throw,1,3-0,,
9:25.0,R. Neto makes 2-pt shot from 10 ft,2,5-0,,
9:09.0,,,5-0,,A. Goodwin misses 2-pt shot from 5 ft
9:07.0,,,5-0,,Offensive rebound by T. Chandler
9:07.0,,,5-0,,T. Chandler misses 2-pt shot at rim
9:06.0,Defensive rebound by R. Neto,,5-0,,
8:53.0,,,5-0,,Def 3 sec tech foul by T. Chandler
8:53.0,G. Hayward misses technical free throw,,5-0,,
8:53.0,Offensive rebound by Team,,5-0,,
8:45.0,G. Hayward misses 2-pt shot from 11 ft,,5-0,,
8:43.0,,,5-0,,Defensive rebound by D. Booker
8:31.0,,,5-0,,Turnover by T. Chandler (3 sec)
8:13.0,R. Hood makes 2-pt shot from 9 ft,2,7-0,,
7:58.0,,,7-0,,M. Morris misses 2-pt shot from 17 ft
7:57.0,Defensive rebound by R. Gobert,,7-0,,
7:43.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,10-0,,
7:41.0,,,10-0,,Phoenix full timeout
7:30.0,,,10-2,2,A. Goodwin makes 2-pt shot from 2 ft
7:14.0,R. Neto makes 2-pt shot at rim (assist by D. Favors),2,12-2,,
6:53.0,,,12-2,,Turnover by P. Tucker (bad pass; steal by R. Neto)
6:48.0,R. Neto makes 2-pt shot at rim (assist by G. Hayward),2,14-2,,
6:27.0,,,14-2,,D. Booker misses 2-pt shot from 6 ft
6:25.0,,,14-2,,Offensive rebound by T. Chandler
6:25.0,,,14-4,2,T. Chandler makes 2-pt shot at rim
6:09.0,R. Gobert misses 2-pt shot at rim,,14-4,,
