time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,,,0-0,,J. Jerebko misses 3-pt shot from 25 ft
12:00.0,Jump ball: A. Horford vs. A. Johnson (J. Jerebko gains possession),,,,Jump ball: A. Horford vs. A. Johnson (J. Jerebko gains possession)
11:36.0,,,0-0,,Offensive rebound by A. Johnson
11:31.0,,,0-0,,I. Thomas misses 3-pt shot from 24 ft
11:30.0,,,0-0,,Offensive rebound by J. Jerebko
11:30.0,,,0-2,2,J. Jerebko makes 2-pt shot at rim
11:13.0,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford),2,2-2,,
11:01.0,,,2-2,,Shooting foul by K. Korver (drawn by E. Turner)
11:01.0,,,2-2,,E. Turner misses free throw 1 of 2
11:01.0,,,2-2,,Offensive rebound by Team
11:01.0,,,2-3,1,E. Turner makes free throw 2 of 2
10:51.0,Shooting foul by I. Thomas (drawn by J. Teague),,2-3,,
10:51.0,J. Teague makes free throw 1 of 2,1,3-3,,
10:51.0,J. Teague makes free throw 2 of 2,1,4-3,,
10:31.0,,,4-6,3,I. Thomas makes 3-pt shot from 24 ft (assist by J. Crowder)
10:15.0,K. Bazemore misses 3-pt shot from 25 ft,,4-6,,
10:14.0,,,4-6,,Defensive rebound by J. Jerebko
10:07.0,,,4-6,,Offensive foul by A. Johnson
10:07.0,,,4-6,,Turnover by A. Johnson (offensive foul)
9:52.0,J. Teague misses 3-pt shot from 23 ft,,4-6,,
9:51.0,,,4-6,,Defensive rebound by J. Crowder
9:36.0,,,4-9,3,J. Jerebko makes 3-pt shot from 25 ft (assist by A. Johnson)
9:27.0,Shooting foul by J. Crowder (drawn by P. Millsap),,4-9,,
9:27.0,P. Millsap makes free throw 1 of 2,1,5-9,,
9:27.0,P. Millsap makes free throw 2 of 2,1,6-9,,
9:07.0,,,6-9,,J. Crowder misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by A. Horford,,6-9,,
8:52.0,A. Horford misses 3-pt shot from 25 ft,,6-9,,
8:51.0,,,6-9,,Defensive rebound by A. Johnson
8:40.0,,,6-12,3,E. Turner makes 3-pt shot from 24 ft (assist by J. Jerebko)
8:19.0,Turnover by J. Teague (lost ball; steal by E. Turner),,6-12,,
8:14.0,,,6-15,3,I. Thomas makes 3-pt shot from 23 ft
8:13.0,Atlanta full timeout,,6-15,,
7:51.0,K. Bazemore misses 3-pt shot from 25 ft,,6-15,,
7:50.0,,,6-15,,Defensive rebound by J. Jerebko
7:32.0,,,6-17,2,A. Johnson makes 2-pt shot at rim (assist by J. Crowder)
7:14.0,P. Millsap misses 2-pt shot from 1 ft,,6-17,,
7:14.0,,,6-17,,Defensive rebound by J. Jerebko
7:02.0,,,6-19,2,I. Thomas makes 2-pt shot from 2 ft
6:50.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,8-19,,
6:32.0,,,8-19,,I. Thomas misses 3-pt shot from 24 ft (block by J. Teague)
6:31.0,Defensive rebound by P. Millsap,,8-19,,
6:22.0,K. Bazemore misses 2-pt shot from 8 ft,,8-19,,
6:20.0,Offensive rebound by K. Bazemore,,8-19,,
6:19.0,K. Bazemore misses 2-pt shot from 2 ft,,8-19,,
6:18.0,,,8-19,,Defensive rebound by J. Crowder
6:09.0,,,8-19,,E. Turner misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by A. Horford,,8-19,,
6:02.0,K. Bazemore makes 3-pt shot from 24 ft (assist by A. Horford),3,11-19,,
5:45.0,,,11-19,,Turnover by A. Johnson (lost ball; steal by P. Millsap)
5:39.0,J. Teague makes 2-pt shot from 9 ft,2,13-19,,
5:21.0,,,13-21,2,I. Thomas makes 2-pt shot from 2 ft
5:21.0,Shooting block foul by K. Korver (drawn by I. Thomas),,13-21,,
5:21.0,T. Sefolosha enters the game for A. Horford,,13-21,,
5:21.0,M. Muscala enters the game for K. Korver,,13-21,,
5:21.0,,,13-21,,J. Sullinger enters the game for J. Jerebko
5:21.0,,,13-21,,M. Smart enters the game for A. Johnson
5:21.0,,,13-22,1,I. Thomas makes free throw 1 of 1
5:07.0,Shooting foul by M. Smart (drawn by K. Bazemore),,13-22,,
5:07.0,K. Bazemore misses free throw 1 of 2,,13-22,,
5:07.0,Offensive rebound by Team,,13-22,,
5:07.0,K. Bazemore makes free throw 2 of 2,1,14-22,,
4:56.0,,,14-22,,Turnover by E. Turner (lost ball; steal by K. Bazemore)
4:50.0,K. Bazemore misses 2-pt shot from 2 ft,,14-22,,
4:48.0,,,14-22,,Defensive rebound by J. Sullinger
4:43.0,,,14-22,,J. Crowder misses 2-pt shot from 2 ft (block by T. Sefolosha)
4:42.0,,,14-22,,Offensive rebound by Team
4:42.0,,,14-22,,R. Hunter enters the game for E. Turner
4:41.0,,,14-22,,Turnover by M. Smart (lost ball)
4:34.0,Turnover by J. Teague (lost ball; steal by J. Crowder),,14-22,,
4:30.0,,,14-22,,Shooting foul by J. Teague (drawn by J. Crowder)
4:30.0,,,14-22,,J. Crowder misses free throw 1 of 2
4:30.0,,,14-22,,Offensive rebound by Team
4:30.0,D. Schroder enters the game for J. Teague,,14-22,,
4:30.0,,,14-23,1,J. Crowder makes free throw 2 of 2
4:21.0,Offensive foul by M. Muscala,,14-23,,
4:21.0,Turnover by M. Muscala (offensive foul),,14-23,,
4:21.0,T. Hardaway enters the game for K. Bazemore,,14-23,,
4:02.0,,,14-23,,I. Thomas misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by M. Muscala,,14-23,,
3:50.0,M. Muscala misses 3-pt shot from 23 ft,,14-23,,
3:49.0,,,14-23,,Defensive rebound by R. Hunter
3:41.0,,,14-23,,I. Thomas misses 2-pt shot from 2 ft
3:41.0,Defensive rebound by P. Millsap,,14-23,,
3:19.0,P. Millsap misses 2-pt shot from 2 ft (block by M. Smart),,14-23,,
3:18.0,,,14-23,,Defensive rebound by J. Crowder
3:16.0,,,14-25,2,I. Thomas makes 2-pt shot from 2 ft (assist by J. Crowder)
3:16.0,,,14-25,,Shooting foul by T. Hardaway (drawn by I. Thomas)
3:16.0,,,14-26,1,I. Thomas makes free throw 1 of 1
3:02.0,M. Muscala misses 3-pt shot from 24 ft,,14-26,,
3:02.0,,,14-26,,Defensive rebound by J. Sullinger
2:49.0,,,14-29,3,J. Crowder makes 3-pt shot from 24 ft (assist by J. Sullinger)
2:31.0,,,14-29,,Personal foul by J. Crowder
2:31.0,,,14-29,,Boston full timeout
2:31.0,,,14-29,,J. Jerebko enters the game for J. Crowder
2:31.0,M. Scott enters the game for M. Muscala,,14-29,,
2:18.0,P. Millsap makes 2-pt shot from 3 ft,2,16-29,,
1:57.0,,,16-29,,J. Jerebko misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by M. Scott,,16-29,,
1:44.0,D. Schroder makes 2-pt shot from 2 ft,2,18-29,,
1:27.0,Personal foul by D. Schroder,,18-29,,
1:27.0,,,18-29,,Technical foul by I. Thomas
1:27.0,Technical foul by D. Schroder,,18-29,,
1:27.0,,,18-30,1,I. Thomas makes free throw 1 of 2
1:27.0,A. Horford enters the game for P. Millsap,,18-30,,
1:27.0,,,18-31,1,I. Thomas makes free throw 2 of 2
1:22.0,,,18-31,,Personal block foul by M. Smart
1:22.0,D. Schroder makes free throw 1 of 2,1,19-31,,
1:22.0,,,19-31,,T. Rozier enters the game for I. Thomas
1:22.0,D. Schroder makes free throw 2 of 2,1,20-31,,
1:10.0,,,20-33,2,J. Sullinger makes 2-pt shot from 18 ft (assist by J. Jerebko)
0:55.0,T. Sefolosha misses 3-pt shot from 25 ft,,20-33,,
0:54.0,,,20-33,,Defensive rebound by J. Jerebko
0:48.0,Personal foul by T. Sefolosha,,20-33,,
0:48.0,,,20-34,1,M. Smart makes free throw 1 of 2
0:48.0,,,20-35,1,M. Smart makes free throw 2 of 2
0:35.0,D. Schroder misses 3-pt shot from 26 ft,,20-35,,
0:35.0,,,20-35,,Defensive rebound by J. Sullinger
