time,Milwaukee,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. G. Monroe (K. Middleton gains possession),,,,Jump ball: R. Gobert vs. G. Monroe (K. Middleton gains possession)
11:45.0,J. Parker misses 2-pt shot from 17 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by R. Neto
11:19.0,,,0-2,2,R. Neto makes 2-pt shot from 3 ft
11:03.0,K. Middleton misses 2-pt shot from 12 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by R. Hood
10:46.0,,,0-4,2,R. Gobert makes 2-pt shot from 4 ft
10:35.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,2-4,,
10:28.0,Personal foul by J. Parker (drawn by G. Hayward),,2-4,,
10:25.0,Personal foul by G. Antetokounmpo (drawn by R. Neto),,2-4,,
10:10.0,,,2-4,,R. Neto misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by K. Middleton,,2-4,,
10:00.0,G. Monroe misses 2-pt shot from 4 ft,,2-4,,
9:59.0,Offensive rebound by G. Monroe,,2-4,,
9:55.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by D. Favors),,2-4,,
9:53.0,,,2-4,,Defensive rebound by D. Favors
9:45.0,,,2-4,,D. Favors misses 2-pt shot from 15 ft
9:44.0,Defensive rebound by G. Monroe,,2-4,,
9:33.0,M. Carter-Williams makes 2-pt shot from 12 ft,2,4-4,,
9:13.0,,,4-4,,R. Neto misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by G. Monroe,,4-4,,
9:06.0,K. Middleton makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,6-4,,
8:45.0,,,6-4,,G. Hayward misses 2-pt shot from 11 ft
8:44.0,Defensive rebound by G. Monroe,,6-4,,
8:35.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,8-4,,
8:12.0,,,8-4,,D. Favors misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by G. Monroe,,8-4,,
8:04.0,K. Middleton misses 3-pt shot from 24 ft,,8-4,,
8:03.0,,,8-4,,Defensive rebound by G. Hayward
7:50.0,,,8-4,,R. Hood misses 3-pt shot from 24 ft
7:49.0,,,8-4,,Offensive rebound by D. Favors
7:35.0,,,8-6,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
7:14.0,K. Middleton misses 2-pt shot from 21 ft,,8-6,,
7:13.0,,,8-6,,Defensive rebound by D. Favors
6:50.0,,,8-6,,R. Neto misses 2-pt shot from 3 ft (block by J. Parker)
6:49.0,Defensive rebound by J. Parker,,8-6,,
6:45.0,J. Parker misses 2-pt shot from 1 ft (block by R. Gobert),,8-6,,
6:45.0,Offensive rebound by Team,,8-6,,
6:43.0,Shooting foul by D. Favors (drawn by G. Monroe),,8-6,,
6:43.0,G. Monroe misses free throw 1 of 2,,8-6,,
6:43.0,Offensive rebound by Team,,8-6,,
6:43.0,,,8-6,,Utah full timeout
6:43.0,G. Monroe makes free throw 2 of 2,1,9-6,,
6:28.0,,,9-6,,G. Hayward misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by K. Middleton,,9-6,,
6:18.0,K. Middleton misses 3-pt shot from 24 ft,,9-6,,
6:17.0,,,9-6,,Defensive rebound by G. Hayward
6:00.0,,,9-6,,Turnover by G. Hayward (bad pass)
5:49.0,J. Parker misses 2-pt shot from 16 ft,,9-6,,
5:48.0,,,9-6,,Defensive rebound by R. Hood
5:34.0,,,9-6,,Shooting foul by J. Parker (drawn by D. Favors)
5:34.0,,,9-7,1,D. Favors makes free throw 1 of 2
5:34.0,J. Bayless enters the game for J. Parker,,9-7,,
5:34.0,,,9-7,,D. Favors misses free throw 2 of 2
5:34.0,Defensive rebound by M. Carter-Williams,,9-7,,
5:21.0,Turnover by G. Monroe (lost ball; steal by R. Gobert),,9-7,,
5:16.0,,,9-7,,Shooting foul by G. Antetokounmpo (drawn by R. Gobert)
5:16.0,,,9-8,1,R. Gobert makes free throw 1 of 2
5:16.0,J. O'Bryant enters the game for G. Antetokounmpo,,9-8,,
5:16.0,,,9-9,1,R. Gobert makes free throw 2 of 2
4:55.0,M. Carter-Williams misses 3-pt shot from 23 ft,,9-9,,
4:55.0,,,9-9,,Defensive rebound by D. Favors
4:49.0,,,9-9,,Turnover by G. Hayward (lost ball; steal by J. Bayless)
4:42.0,K. Middleton misses 2-pt shot from 13 ft,,9-9,,
4:42.0,,,9-9,,Defensive rebound by R. Neto
4:33.0,,,9-9,,D. Favors misses 2-pt shot from 1 ft
4:32.0,,,9-9,,Offensive rebound by R. Gobert
4:32.0,,,9-11,2,R. Gobert makes 2-pt shot at rim
4:13.0,G. Monroe misses 2-pt shot from 12 ft,,9-11,,
4:12.0,,,9-11,,Defensive rebound by D. Favors
4:07.0,,,9-11,,Turnover by G. Hayward (lost ball; steal by G. Monroe)
3:58.0,M. Carter-Williams misses 2-pt shot from 3 ft (block by D. Favors),,9-11,,
3:56.0,,,9-11,,Defensive rebound by G. Hayward
3:42.0,,,9-14,3,R. Hood makes 3-pt shot from 22 ft (assist by R. Neto)
3:40.0,Milwaukee full timeout,,9-14,,
3:40.0,M. Plumlee enters the game for G. Monroe,,9-14,,
3:40.0,,,9-14,,T. Booker enters the game for D. Favors
3:40.0,,,9-14,,C. Johnson enters the game for R. Hood
3:19.0,M. Carter-Williams misses 3-pt shot from 25 ft,,9-14,,
3:19.0,,,9-14,,Defensive rebound by C. Johnson
3:05.0,,,9-14,,G. Hayward misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by M. Carter-Williams,,9-14,,
2:52.0,J. Bayless makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,12-14,,
2:27.0,,,12-14,,Turnover by R. Neto (bad pass; steal by K. Middleton)
2:08.0,J. O'Bryant misses 2-pt shot from 3 ft (block by R. Gobert),,12-14,,
2:06.0,Offensive rebound by M. Plumlee,,12-14,,
2:02.0,M. Plumlee makes 2-pt shot at rim,2,14-14,,
1:46.0,Personal foul by M. Carter-Williams (drawn by C. Johnson),,14-14,,
1:46.0,,,14-15,1,C. Johnson makes free throw 1 of 2
1:46.0,T. Ennis enters the game for M. Carter-Williams,,14-15,,
1:46.0,,,14-16,1,C. Johnson makes free throw 2 of 2
1:35.0,J. Bayless misses 2-pt shot from 19 ft,,14-16,,
1:34.0,Offensive rebound by Team,,14-16,,
1:32.0,,,14-16,,T. Burke enters the game for R. Neto
1:24.0,Turnover by K. Middleton (bad pass; steal by T. Booker),,14-16,,
1:20.0,,,14-18,2,G. Hayward makes 2-pt shot at rim (assist by C. Johnson)
1:00.0,Turnover by J. O'Bryant (bad pass; steal by R. Gobert),,14-18,,
0:55.0,,,14-18,,Turnover by T. Booker (bad pass; steal by T. Ennis)
0:51.0,K. Middleton makes 2-pt shot at rim (assist by J. Bayless),2,16-18,,
0:35.0,Violation by T. Ennis (kicked ball),,16-18,,
0:32.0,,,16-18,,Turnover by G. Hayward (bad pass; steal by M. Plumlee)
0:13.0,K. Middleton misses 2-pt shot from 16 ft,,16-18,,
0:12.0,Offensive rebound by M. Plumlee,,16-18,,
0:02.0,J. Bayless makes 3-pt shot from 24 ft,3,19-18,,
0:01.0,,,19-18,,T. Burke misses 3-pt shot from 52 ft
0:00.0,,,19-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,19-20,2,R. Hood makes 2-pt shot from 4 ft
11:18.0,J. Bayless makes 3-pt shot from 24 ft (assist by T. Ennis),3,22-20,,
11:04.0,,,22-22,2,R. Hood makes 2-pt shot from 4 ft (assist by T. Burke)
10:47.0,J. O'Bryant misses 2-pt shot from 20 ft,,22-22,,
10:47.0,,,22-22,,Defensive rebound by T. Burke
10:36.0,,,22-22,,T. Burke misses 3-pt shot from 24 ft
10:34.0,,,22-22,,Offensive rebound by T. Booker
10:31.0,,,22-22,,T. Booker misses 2-pt shot from 1 ft
10:31.0,,,22-22,,Offensive rebound by C. Johnson
10:31.0,,,22-22,,Shooting foul by J. Bayless (drawn by C. Johnson)
10:31.0,,,22-22,,C. Johnson misses free throw 1 of 2
10:31.0,,,22-22,,Offensive rebound by Team
10:31.0,,,22-22,,J. Ingles enters the game for T. Burke
10:31.0,,,22-23,1,C. Johnson makes free throw 2 of 2
10:11.0,J. Bayless makes 3-pt shot from 24 ft,3,25-23,,
9:53.0,,,25-25,2,R. Hood makes 2-pt shot from 19 ft
9:35.0,,,25-25,,Personal foul by C. Johnson (drawn by T. Ennis)
9:35.0,,,25-25,,T. Lyles enters the game for T. Booker
9:27.0,J. Bayless makes 3-pt shot from 24 ft,3,28-25,,
9:10.0,,,28-25,,D. Favors misses 2-pt shot from 14 ft
9:09.0,Defensive rebound by J. Bayless,,28-25,,
8:59.0,J. O'Bryant makes 2-pt shot from 1 ft,2,30-25,,
8:53.0,,,30-25,,Utah full timeout
8:40.0,,,30-25,,D. Favors misses 2-pt shot from 2 ft (block by M. Plumlee)
8:38.0,Defensive rebound by T. Ennis,,30-25,,
8:23.0,,,30-25,,Def 3 sec tech foul by R. Hood
8:23.0,J. Bayless misses technical free throw,,30-25,,
8:23.0,Offensive rebound by Team,,30-25,,
8:23.0,,,30-25,,R. Neto enters the game for C. Johnson
8:09.0,M. Plumlee makes 2-pt shot from 5 ft,2,32-25,,
7:53.0,,,32-25,,T. Lyles misses 2-pt shot from 16 ft
7:53.0,Defensive rebound by J. O'Bryant,,32-25,,
7:34.0,J. O'Bryant misses 2-pt shot from 3 ft (block by D. Favors),,32-25,,
7:33.0,,,32-25,,Defensive rebound by T. Lyles
7:30.0,,,32-25,,Turnover by T. Lyles (bad pass; steal by T. Ennis)
7:28.0,,,32-25,,Personal foul by R. Neto (drawn by T. Ennis)
7:14.0,J. O'Bryant misses 2-pt shot from 19 ft,,32-25,,
7:13.0,,,32-25,,Defensive rebound by D. Favors
6:56.0,,,32-27,2,R. Hood makes 2-pt shot from 9 ft
6:41.0,R. Vaughn misses 2-pt shot from 2 ft (block by D. Favors),,32-27,,
6:39.0,,,32-27,,Defensive rebound by T. Lyles
6:23.0,,,32-27,,T. Lyles misses 2-pt shot at rim (block by M. Plumlee)
6:21.0,Defensive rebound by J. O'Bryant,,32-27,,
6:18.0,Turnover by J. Bayless (traveling),,32-27,,
6:18.0,,,32-27,,G. Hayward enters the game for J. Ingles
6:18.0,,,32-27,,R. Gobert enters the game for D. Favors
6:04.0,,,32-27,,R. Neto misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by Team,,32-27,,
6:04.0,M. Carter-Williams enters the game for T. Ennis,,32-27,,
6:04.0,G. Monroe enters the game for M. Plumlee,,32-27,,
5:50.0,Turnover by M. Carter-Williams (bad pass; steal by R. Neto),,32-27,,
5:39.0,,,32-27,,R. Hood misses 2-pt shot from 4 ft
5:38.0,Defensive rebound by Team,,32-27,,
5:38.0,,,32-27,,Personal foul by R. Gobert (drawn by J. O'Bryant)
5:38.0,Milwaukee full timeout,,32-27,,
5:38.0,,,32-27,,T. Booker enters the game for T. Lyles
5:26.0,Turnover by G. Monroe (lost ball; steal by R. Gobert),,32-27,,
5:15.0,Def 3 sec tech foul by J. O'Bryant,,32-27,,
5:15.0,,,32-28,1,G. Hayward makes technical free throw
5:15.0,G. Antetokounmpo enters the game for J. O'Bryant,,32-28,,
5:15.0,J. Parker enters the game for J. Bayless,,32-28,,
5:15.0,,,32-28,,J. Ingles enters the game for R. Neto
5:03.0,,,32-31,3,R. Hood makes 3-pt shot from 24 ft
4:44.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,34-31,,
4:29.0,Personal foul by M. Carter-Williams (drawn by R. Hood),,34-31,,
4:29.0,K. Middleton enters the game for R. Vaughn,,34-31,,
4:14.0,,,34-31,,R. Hood misses 3-pt shot from 25 ft
4:13.0,,,34-31,,Offensive rebound by T. Booker
4:10.0,,,34-31,,T. Booker misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by M. Carter-Williams,,34-31,,
3:46.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,36-31,,
3:21.0,,,36-31,,G. Hayward misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by J. Parker,,36-31,,
3:12.0,Turnover by M. Carter-Williams (bad pass; steal by J. Ingles),,36-31,,
3:08.0,,,36-31,,Shooting foul by K. Middleton (drawn by G. Hayward)
3:08.0,,,36-32,1,G. Hayward makes free throw 1 of 2
3:08.0,,,36-32,,D. Favors enters the game for T. Booker
3:08.0,,,36-32,,C. Johnson enters the game for R. Hood
3:08.0,,,36-33,1,G. Hayward makes free throw 2 of 2
2:53.0,Shooting foul by C. Johnson (drawn by K. Middleton),,36-33,,
2:53.0,Milwaukee full timeout,,36-33,,
2:53.0,,,36-33,,R. Hood enters the game for C. Johnson
2:53.0,K. Middleton makes free throw 1 of 2,1,37-33,,
2:53.0,K. Middleton makes free throw 2 of 2,1,38-33,,
2:35.0,,,38-33,,D. Favors misses 2-pt shot from 4 ft
2:34.0,Defensive rebound by G. Monroe,,38-33,,
2:27.0,Shooting foul by G. Hayward (drawn by G. Antetokounmpo),,38-33,,
2:27.0,G. Antetokounmpo makes free throw 1 of 2,1,39-33,,
2:27.0,,,39-33,,R. Neto enters the game for J. Ingles
2:27.0,G. Antetokounmpo makes free throw 2 of 2,1,40-33,,
2:02.0,,,40-33,,R. Hood misses 3-pt shot from 23 ft
2:02.0,,,40-33,,Offensive rebound by Team
2:02.0,,,40-33,,Turnover by Team (shot clock)
1:49.0,K. Middleton makes 2-pt shot from 11 ft,2,42-33,,
1:29.0,,,42-36,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Neto)
1:11.0,G. Monroe misses 2-pt shot from 1 ft,,42-36,,
1:10.0,,,42-36,,Defensive rebound by D. Favors
1:01.0,,,42-38,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
0:50.0,Turnover by M. Carter-Williams (bad pass; steal by R. Hood),,42-38,,
0:45.0,,,42-40,2,R. Hood makes 2-pt shot from 2 ft
0:42.0,Milwaukee full timeout,,42-40,,
0:32.0,G. Monroe makes 2-pt shot from 8 ft (assist by M. Carter-Williams),2,44-40,,
0:14.0,,,44-40,,C. Johnson enters the game for R. Neto
0:14.0,Jump ball: M. Carter-Williams vs. R. Hood (R. Gobert gains possession),,,,Jump ball: M. Carter-Williams vs. R. Hood (R. Gobert gains possession)
0:08.0,,,44-40,,R. Hood misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by K. Middleton,,44-40,,
0:03.0,Turnover by K. Middleton (bad pass; steal by R. Gobert),,44-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,44-40,,G. Hayward misses 3-pt shot from 23 ft
11:45.0,,,44-40,,Offensive rebound by D. Favors
11:42.0,,,44-42,2,D. Favors makes 2-pt shot from 4 ft
11:26.0,Turnover by J. Parker (bad pass; steal by D. Favors),,44-42,,
11:13.0,,,44-42,,D. Favors misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by G. Monroe,,44-42,,
11:00.0,Offensive foul by K. Middleton,,44-42,,
11:00.0,Turnover by K. Middleton (offensive foul),,44-42,,
10:40.0,,,44-42,,Turnover by G. Hayward (bad pass; steal by M. Carter-Williams)
10:34.0,J. Parker misses 2-pt shot from 2 ft,,44-42,,
10:33.0,Offensive rebound by G. Antetokounmpo,,44-42,,
10:32.0,Shooting foul by D. Favors (drawn by G. Antetokounmpo),,44-42,,
10:32.0,G. Antetokounmpo makes free throw 1 of 2,1,45-42,,
10:32.0,G. Antetokounmpo makes free throw 2 of 2,1,46-42,,
10:20.0,,,46-42,,Turnover by R. Neto (bad pass; steal by M. Carter-Williams)
10:15.0,Turnover by G. Antetokounmpo (step out of bounds),,46-42,,
9:54.0,,,46-44,2,R. Neto makes 2-pt shot from 3 ft
9:40.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by R. Gobert),,46-44,,
9:38.0,Offensive rebound by G. Monroe,,46-44,,
9:35.0,G. Monroe makes 2-pt shot from 1 ft,2,48-44,,
9:21.0,,,48-44,,Utah full timeout
9:08.0,,,48-44,,G. Hayward misses 2-pt shot from 22 ft
9:07.0,,,48-44,,Offensive rebound by D. Favors
8:53.0,Loose ball foul by M. Carter-Williams (drawn by D. Favors),,48-44,,
8:45.0,,,48-46,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
8:27.0,Shooting foul by G. Hayward (drawn by G. Monroe),,48-46,,
8:27.0,G. Monroe misses free throw 1 of 2,,48-46,,
8:27.0,Offensive rebound by Team,,48-46,,
8:27.0,G. Monroe makes free throw 2 of 2,1,49-46,,
8:13.0,,,49-48,2,D. Favors makes 2-pt shot at rim
7:55.0,G. Monroe makes 2-pt shot from 5 ft (assist by M. Carter-Williams),2,51-48,,
7:41.0,,,51-48,,R. Hood misses 2-pt shot from 21 ft
7:40.0,Defensive rebound by M. Carter-Williams,,51-48,,
7:32.0,M. Carter-Williams misses 2-pt shot from 4 ft,,51-48,,
7:32.0,,,51-48,,Defensive rebound by R. Gobert
7:18.0,,,51-48,,D. Favors misses 2-pt shot from 1 ft
7:17.0,Defensive rebound by G. Antetokounmpo,,51-48,,
7:12.0,G. Antetokounmpo makes 2-pt shot at rim,2,53-48,,
6:50.0,,,53-48,,R. Gobert misses 2-pt shot at rim (block by M. Carter-Williams)
6:48.0,,,53-48,,Offensive rebound by R. Gobert
6:46.0,,,53-50,2,R. Gobert makes 2-pt shot at rim
6:34.0,M. Carter-Williams misses 2-pt shot from 1 ft,,53-50,,
6:34.0,,,53-50,,Defensive rebound by D. Favors
6:23.0,,,53-50,,G. Hayward misses 3-pt shot from 23 ft
6:22.0,Defensive rebound by G. Antetokounmpo,,53-50,,
6:11.0,K. Middleton makes 2-pt shot from 16 ft,2,55-50,,
5:49.0,,,55-52,2,D. Favors makes 2-pt shot at rim (assist by R. Hood)
5:49.0,Milwaukee full timeout,,55-52,,
5:49.0,M. Plumlee enters the game for G. Monroe,,55-52,,
5:49.0,J. Bayless enters the game for M. Carter-Williams,,55-52,,
5:49.0,,,55-52,,T. Lyles enters the game for D. Favors
5:49.0,,,55-52,,J. Ingles enters the game for R. Neto
5:37.0,M. Plumlee misses 2-pt shot from 2 ft,,55-52,,
5:36.0,Offensive rebound by J. Parker,,55-52,,
5:33.0,J. Parker makes 2-pt shot at rim,2,57-52,,
5:18.0,,,57-52,,Turnover by J. Ingles (step out of bounds)
4:59.0,Turnover by G. Antetokounmpo (lost ball; steal by R. Gobert),,57-52,,
4:39.0,,,57-55,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
4:26.0,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton),2,59-55,,
4:10.0,,,59-55,,Turnover by T. Lyles (offensive foul)
4:10.0,,,59-55,,Offensive foul by T. Lyles
4:10.0,,,59-55,,C. Johnson enters the game for R. Hood
4:02.0,K. Middleton misses 2-pt shot from 2 ft,,59-55,,
4:01.0,,,59-55,,Defensive rebound by R. Gobert
3:41.0,,,59-55,,C. Johnson misses 3-pt shot from 24 ft
3:40.0,,,59-55,,Offensive rebound by R. Gobert
3:35.0,,,59-55,,J. Ingles misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by G. Antetokounmpo,,59-55,,
3:18.0,J. Bayless misses 2-pt shot from 17 ft,,59-55,,
3:17.0,,,59-55,,Defensive rebound by J. Ingles
