time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession)
11:40.0,Turnover by P. Gasol (bad pass; steal by L. James),,0-0,,
11:34.0,,,0-2,2,L. James makes 2-pt shot from 1 ft
11:20.0,T. Gibson misses 2-pt shot from 16 ft,,0-2,,
11:18.0,Offensive rebound by J. Butler,,0-2,,
11:18.0,J. Butler misses 2-pt shot from 2 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by K. Love
11:13.0,,,0-2,,Turnover by K. Love (lost ball; steal by P. Gasol)
11:05.0,D. Rose makes 2-pt shot from 15 ft,2,2-2,,
10:45.0,,,2-5,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
10:19.0,P. Gasol misses 3-pt shot from 23 ft,,2-5,,
10:18.0,,,2-5,,Defensive rebound by K. Love
10:07.0,,,2-5,,J. Smith misses 2-pt shot from 17 ft
10:06.0,Defensive rebound by P. Gasol,,2-5,,
9:52.0,D. Rose misses 2-pt shot from 5 ft,,2-5,,
9:51.0,,,2-5,,Defensive rebound by Team
9:34.0,,,2-7,2,K. Irving makes 2-pt shot from 11 ft
9:11.0,T. Snell makes 2-pt shot from 4 ft,2,4-7,,
8:57.0,,,4-7,,J. Smith misses 2-pt shot from 14 ft
8:55.0,Defensive rebound by D. Rose,,4-7,,
8:50.0,D. Rose misses 2-pt shot from 3 ft (block by L. James),,4-7,,
8:49.0,Offensive rebound by J. Butler,,4-7,,
8:44.0,T. Snell misses 3-pt shot from 24 ft,,4-7,,
8:43.0,,,4-7,,Defensive rebound by L. James
8:34.0,,,4-7,,K. Irving misses 2-pt shot from 17 ft (block by D. Rose)
8:34.0,,,4-7,,Offensive rebound by Team
8:27.0,,,4-7,,K. Love misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by T. Snell,,4-7,,
8:19.0,Turnover by P. Gasol (bad pass; steal by K. Irving),,4-7,,
