time,Brooklyn,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Lopez (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. B. Lopez (S. Ibaka gains possession)
11:50.0,Personal foul by J. Johnson (drawn by A. Roberson),,0-0,,
11:44.0,,,0-0,,Turnover by A. Roberson (bad pass)
11:24.0,J. Jack misses 2-pt shot from 8 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by Team
11:07.0,,,0-2,2,K. Durant makes 2-pt shot from 1 ft (assist by S. Ibaka)
10:56.0,Turnover by J. Jack (lost ball; steal by S. Ibaka),,0-2,,
10:35.0,,,0-4,2,S. Ibaka makes 2-pt shot from 18 ft (assist by S. Adams)
10:15.0,J. Johnson misses 2-pt shot from 18 ft,,0-4,,
10:13.0,Offensive rebound by B. Lopez,,0-4,,
10:13.0,B. Lopez makes 2-pt shot from 1 ft,2,2-4,,
9:58.0,,,2-4,,Turnover by A. Roberson (bad pass; steal by T. Young)
9:53.0,T. Young makes 2-pt shot at rim,2,4-4,,
9:38.0,,,4-6,2,R. Westbrook makes 2-pt shot from 14 ft
9:22.0,B. Lopez makes 2-pt shot from 10 ft,2,6-6,,
9:05.0,,,6-6,,S. Ibaka misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by R. Hollis-Jefferson,,6-6,,
8:46.0,B. Lopez misses 2-pt shot from 14 ft,,6-6,,
8:46.0,,,6-6,,Defensive rebound by S. Adams
8:33.0,,,6-6,,R. Westbrook misses 2-pt shot from 7 ft
8:32.0,Defensive rebound by J. Johnson,,6-6,,
8:25.0,T. Young misses 2-pt shot from 2 ft (block by S. Adams),,6-6,,
8:24.0,,,6-6,,Defensive rebound by R. Westbrook
8:23.0,Personal foul by J. Jack (drawn by R. Westbrook),,6-6,,
8:12.0,,,6-6,,S. Adams misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by R. Hollis-Jefferson,,6-6,,
8:05.0,J. Jack makes 2-pt shot from 1 ft,2,8-6,,
7:46.0,,,8-6,,R. Westbrook misses 3-pt shot from 22 ft
7:45.0,Defensive rebound by R. Hollis-Jefferson,,8-6,,
7:40.0,T. Young misses 2-pt shot from 1 ft (block by S. Adams),,8-6,,
7:39.0,Offensive rebound by T. Young,,8-6,,
7:36.0,T. Young misses 2-pt shot from 6 ft,,8-6,,
7:35.0,Offensive rebound by J. Johnson,,8-6,,
7:27.0,B. Lopez makes 2-pt shot from 17 ft (assist by J. Johnson),2,10-6,,
7:13.0,,,10-6,,Shooting foul by J. Johnson (drawn by K. Durant)
7:13.0,,,10-7,1,K. Durant makes free throw 1 of 2
7:13.0,,,10-7,,K. Durant misses free throw 2 of 2
7:12.0,,,10-7,,Offensive rebound by S. Ibaka
7:02.0,,,10-9,2,R. Westbrook makes 2-pt shot from 16 ft (assist by K. Durant)
6:48.0,B. Lopez misses 2-pt shot from 12 ft,,10-9,,
6:47.0,,,10-9,,Defensive rebound by S. Adams
6:42.0,,,10-11,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
6:40.0,Brooklyn full timeout,,10-11,,
6:26.0,T. Young makes 2-pt shot at rim,2,12-11,,
6:14.0,,,12-11,,Turnover by S. Ibaka (lost ball; steal by T. Young)
6:09.0,Shooting foul by S. Ibaka (drawn by R. Hollis-Jefferson),,12-11,,
6:09.0,R. Hollis-Jefferson makes free throw 1 of 2,1,13-11,,
6:09.0,R. Hollis-Jefferson makes free throw 2 of 2,1,14-11,,
5:55.0,,,14-11,,Turnover by K. Durant (bad pass; steal by B. Lopez)
5:41.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,16-11,,
5:41.0,Shooting foul by S. Adams (drawn by R. Hollis-Jefferson),,16-11,,
5:41.0,R. Hollis-Jefferson makes free throw 1 of 1,1,17-11,,
5:30.0,,,17-13,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:06.0,J. Johnson misses 2-pt shot from 13 ft,,17-13,,
5:06.0,,,17-13,,Defensive rebound by S. Ibaka
4:59.0,,,17-13,,Turnover by R. Westbrook (lost ball; steal by J. Jack)
4:53.0,J. Jack misses 3-pt shot from 24 ft,,17-13,,
4:51.0,Offensive rebound by B. Lopez,,17-13,,
4:51.0,B. Lopez misses 2-pt shot at rim,,17-13,,
4:50.0,Offensive rebound by R. Hollis-Jefferson,,17-13,,
4:48.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,19-13,,
4:48.0,,,19-13,,Oklahoma City full timeout
4:37.0,,,19-13,,S. Ibaka misses 3-pt shot from 22 ft
4:36.0,Defensive rebound by R. Hollis-Jefferson,,19-13,,
4:23.0,T. Young misses 2-pt shot from 2 ft (block by S. Ibaka),,19-13,,
4:22.0,,,19-13,,Defensive rebound by S. Adams
4:10.0,,,19-13,,K. Durant misses 2-pt shot from 11 ft
4:09.0,Defensive rebound by B. Lopez,,19-13,,
3:54.0,B. Lopez makes 2-pt shot from 8 ft,2,21-13,,
3:38.0,,,21-13,,K. Durant misses 2-pt shot from 15 ft
3:37.0,Defensive rebound by B. Lopez,,21-13,,
3:22.0,B. Lopez misses 2-pt shot from 13 ft,,21-13,,
3:22.0,,,21-13,,Defensive rebound by S. Ibaka
3:16.0,,,21-15,2,R. Westbrook makes 2-pt shot from 13 ft
2:56.0,B. Lopez makes 2-pt shot from 5 ft (assist by J. Johnson),2,23-15,,
2:36.0,,,23-15,,K. Durant misses 2-pt shot from 23 ft
2:33.0,Defensive rebound by J. Johnson,,23-15,,
2:32.0,Turnover by T. Young (traveling),,23-15,,
2:32.0,B. Bogdanovic enters the game for J. Johnson,,23-15,,
2:32.0,,,23-15,,D. Waiters enters the game for A. Roberson
2:26.0,Personal block foul by T. Young (drawn by R. Westbrook),,23-15,,
2:26.0,,,23-15,,E. Kanter enters the game for S. Adams
2:17.0,,,23-15,,E. Kanter misses 2-pt shot from 1 ft (block by B. Lopez)
2:17.0,,,23-15,,Offensive rebound by R. Westbrook
2:17.0,,,23-15,,Shooting foul by J. Jack (drawn by R. Westbrook)
2:17.0,,,23-16,1,R. Westbrook makes free throw 1 of 2
2:17.0,S. Larkin enters the game for J. Jack,,23-16,,
2:17.0,,,23-17,1,R. Westbrook makes free throw 2 of 2
2:05.0,B. Lopez misses 2-pt shot from 7 ft,,23-17,,
2:05.0,Offensive rebound by R. Hollis-Jefferson,,23-17,,
2:01.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,23-17,,
1:59.0,,,23-17,,Defensive rebound by R. Westbrook
1:52.0,,,23-19,2,S. Ibaka makes 2-pt shot from 18 ft (assist by D. Waiters)
1:28.0,B. Lopez misses 2-pt shot from 9 ft,,23-19,,
1:28.0,,,23-19,,Defensive rebound by E. Kanter
1:22.0,,,23-21,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
1:07.0,S. Larkin misses 2-pt shot from 2 ft,,23-21,,
1:07.0,,,23-21,,Defensive rebound by S. Ibaka
1:00.0,Personal foul by R. Hollis-Jefferson (drawn by K. Durant),,23-21,,
1:00.0,,,23-22,1,K. Durant makes free throw 1 of 2
1:00.0,A. Bargnani enters the game for B. Lopez,,23-22,,
1:00.0,,,23-23,1,K. Durant makes free throw 2 of 2
0:44.0,A. Bargnani misses 2-pt shot from 15 ft,,23-23,,
0:43.0,,,23-23,,Defensive rebound by E. Kanter
0:33.0,,,23-25,2,K. Durant makes 2-pt shot at rim
0:14.0,S. Larkin makes 3-pt shot from 24 ft,3,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,A. Bargnani makes 2-pt shot from 9 ft (assist by S. Larkin),2,28-25,,
11:36.0,,,28-25,,Turnover by E. Kanter (traveling)
11:36.0,W. Ellington enters the game for R. Hollis-Jefferson,,28-25,,
11:20.0,A. Bargnani misses 2-pt shot from 18 ft,,28-25,,
11:20.0,,,28-25,,Defensive rebound by D. Waiters
