time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: F. Ezeli vs. M. Plumlee (C. McCollum gains possession)
11:42.0,M. Harkless makes 2-pt shot from 5 ft (assist by A. Aminu),2,2-0,,
11:21.0,,,2-2,2,D. Green makes 2-pt shot from 1 ft
10:57.0,Shooting foul by S. Curry (drawn by C. McCollum),,2-2,,
10:57.0,C. McCollum misses free throw 1 of 2,,2-2,,
10:57.0,Offensive rebound by Team,,2-2,,
10:57.0,C. McCollum makes free throw 2 of 2,1,3-2,,
10:47.0,,,3-2,,D. Green misses 3-pt shot from 24 ft
10:46.0,,,3-2,,Offensive rebound by F. Ezeli
10:46.0,,,3-2,,F. Ezeli misses 2-pt shot at rim
10:44.0,Defensive rebound by D. Lillard,,3-2,,
10:36.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,5-2,,
10:17.0,,,5-4,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
10:10.0,M. Plumlee misses 2-pt shot from 1 ft,,5-4,,
10:09.0,Offensive rebound by M. Plumlee,,5-4,,
10:03.0,A. Aminu makes 3-pt shot from 26 ft (assist by M. Plumlee),3,8-4,,
9:50.0,,,8-4,,S. Curry misses 2-pt shot from 7 ft
9:50.0,Defensive rebound by D. Lillard,,8-4,,
9:39.0,M. Plumlee makes 2-pt shot from 2 ft,2,10-4,,
9:22.0,,,10-6,2,H. Barnes makes 2-pt shot from 17 ft
8:59.0,Turnover by A. Aminu (lost ball; steal by S. Curry),,10-6,,
8:52.0,,,10-9,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
8:41.0,D. Lillard misses 2-pt shot from 17 ft,,10-9,,
8:40.0,,,10-9,,Defensive rebound by F. Ezeli
8:20.0,,,10-12,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
7:59.0,C. McCollum makes 2-pt shot from 10 ft,2,12-12,,
7:49.0,,,12-12,,S. Curry misses 2-pt shot from 4 ft
7:49.0,,,12-12,,Offensive rebound by S. Curry
7:47.0,,,12-14,2,S. Curry makes 2-pt shot from 2 ft
7:36.0,D. Lillard makes 2-pt shot from 11 ft,2,14-14,,
7:36.0,Shooting foul by D. Green (drawn by D. Lillard),,14-14,,
7:36.0,,,14-14,,A. Varejao enters the game for F. Ezeli
7:36.0,D. Lillard makes free throw 1 of 1,1,15-14,,
7:24.0,,,15-16,2,S. Curry makes 2-pt shot from 1 ft
7:12.0,Offensive foul by M. Plumlee,,15-16,,
7:12.0,Turnover by M. Plumlee (offensive foul),,15-16,,
7:05.0,,,15-16,,Turnover by S. Curry (lost ball; steal by A. Aminu)
6:59.0,M. Harkless makes 2-pt shot at rim (assist by A. Aminu),2,17-16,,
6:46.0,,,17-18,2,K. Thompson makes 2-pt shot from 8 ft
6:40.0,Shooting foul by H. Barnes (drawn by D. Lillard),,17-18,,
6:40.0,D. Lillard makes free throw 1 of 2,1,18-18,,
6:40.0,,,18-18,,Golden State full timeout
6:40.0,D. Lillard misses free throw 2 of 2,,18-18,,
6:40.0,,,18-18,,Defensive rebound by A. Varejao
6:19.0,,,18-18,,H. Barnes misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by M. Harkless,,18-18,,
6:05.0,A. Aminu misses 2-pt shot from 1 ft,,18-18,,
6:05.0,Offensive rebound by M. Plumlee,,18-18,,
6:01.0,Turnover by A. Aminu (traveling),,18-18,,
5:48.0,,,18-18,,K. Thompson misses 2-pt shot from 14 ft
5:47.0,,,18-18,,Offensive rebound by S. Curry
5:44.0,,,18-18,,S. Curry misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by M. Plumlee,,18-18,,
5:30.0,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum),2,20-18,,
5:17.0,,,20-18,,Shooting foul by C. McCollum (drawn by D. Green)
5:17.0,,,20-19,1,D. Green makes free throw 1 of 2
5:17.0,,,20-19,,L. Barbosa enters the game for K. Thompson
5:17.0,,,20-19,,D. Green misses free throw 2 of 2
5:16.0,Defensive rebound by M. Harkless,,20-19,,
4:57.0,D. Lillard makes 2-pt shot from 9 ft (assist by M. Plumlee),2,22-19,,
4:37.0,,,22-19,,D. Green misses 2-pt shot from 1 ft (block by M. Plumlee)
4:36.0,,,22-19,,Offensive rebound by D. Green
4:36.0,,,22-21,2,D. Green makes 2-pt shot from 1 ft
4:21.0,M. Harkless makes 3-pt shot from 27 ft (assist by M. Plumlee),3,25-21,,
4:12.0,,,25-21,,D. Green misses 2-pt shot from 16 ft
4:12.0,Defensive rebound by M. Harkless,,25-21,,
3:55.0,Shooting foul by A. Varejao (drawn by D. Lillard),,25-21,,
3:55.0,D. Lillard makes free throw 1 of 2,1,26-21,,
3:55.0,,,26-21,,S. Livingston enters the game for H. Barnes
3:55.0,G. Henderson enters the game for A. Aminu,,26-21,,
3:55.0,E. Davis enters the game for M. Plumlee,,26-21,,
3:55.0,A. Crabbe enters the game for C. McCollum,,26-21,,
3:55.0,D. Lillard makes free throw 2 of 2,1,27-21,,
3:40.0,,,27-23,2,S. Curry makes 2-pt shot from 20 ft
3:20.0,M. Harkless misses 3-pt shot from 24 ft,,27-23,,
3:19.0,Offensive rebound by D. Lillard,,27-23,,
3:17.0,D. Lillard makes 3-pt shot from 26 ft (assist by E. Davis),3,30-23,,
2:59.0,,,30-23,,Shooting foul by D. Lillard (drawn by A. Varejao)
2:59.0,Portland full timeout,,30-23,,
2:59.0,,,30-24,1,A. Varejao makes free throw 1 of 2
2:59.0,,,30-24,,A. Varejao misses free throw 2 of 2
2:58.0,Defensive rebound by E. Davis,,30-24,,
2:40.0,M. Harkless makes 2-pt shot from 1 ft,2,32-24,,
2:28.0,,,32-26,2,S. Livingston makes 2-pt shot from 2 ft (assist by D. Green)
2:14.0,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard),2,34-26,,
2:00.0,,,34-26,,D. Green misses 2-pt shot from 3 ft
1:57.0,,,34-26,,Offensive rebound by D. Green
1:57.0,,,34-26,,D. Green misses 2-pt shot from 1 ft
1:56.0,,,34-26,,Offensive rebound by D. Green
1:56.0,,,34-26,,D. Green misses 2-pt shot from 1 ft
1:55.0,,,34-26,,Offensive rebound by D. Green
1:55.0,,,34-26,,D. Green misses 2-pt shot from 1 ft (block by E. Davis)
1:54.0,Defensive rebound by E. Davis,,34-26,,
1:47.0,D. Lillard misses 2-pt shot from 5 ft,,34-26,,
1:46.0,Offensive rebound by M. Harkless,,34-26,,
1:46.0,M. Harkless misses 2-pt shot from 1 ft,,34-26,,
1:45.0,Offensive rebound by E. Davis,,34-26,,
1:37.0,D. Lillard makes 3-pt shot from 27 ft (assist by G. Henderson),3,37-26,,
1:29.0,,,37-26,,Shooting foul by D. Lillard (drawn by S. Curry)
1:29.0,,,37-27,1,S. Curry makes free throw 1 of 2
1:29.0,,,37-28,1,S. Curry makes free throw 2 of 2
1:17.0,A. Crabbe misses 3-pt shot from 26 ft,,37-28,,
1:16.0,Offensive rebound by M. Harkless,,37-28,,
1:12.0,M. Harkless misses 2-pt shot from 3 ft (block by D. Green),,37-28,,
1:11.0,,,37-28,,Defensive rebound by L. Barbosa
1:05.0,,,37-28,,Turnover by L. Barbosa (lost ball; steal by G. Henderson)
0:55.0,D. Lillard misses 2-pt shot from 17 ft,,37-28,,
0:55.0,,,37-28,,Defensive rebound by S. Curry
0:46.0,,,37-28,,Turnover by Team (turnover)
