time,Toronto,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. J. Valanciunas (K. Faried gains possession),,,,Jump ball: N. Jokic vs. J. Valanciunas (K. Faried gains possession)
11:40.0,,,0-2,2,N. Jokic makes 2-pt shot from 5 ft (assist by E. Mudiay)
11:23.0,Turnover by J. Johnson (lost ball; steal by D. Gallinari),,0-2,,
11:19.0,,,0-2,,Turnover by K. Faried (bad pass; steal by K. Lowry)
11:03.0,J. Valanciunas makes 2-pt shot from 9 ft,2,2-2,,
10:49.0,,,2-2,,Turnover by K. Faried (lost ball; steal by L. Scola)
10:42.0,L. Scola makes 2-pt shot from 2 ft (assist by D. DeRozan),2,4-2,,
10:28.0,,,4-5,3,N. Jokic makes 3-pt shot from 24 ft (assist by D. Gallinari)
10:06.0,Turnover by J. Valanciunas (bad pass),,4-5,,
9:56.0,Personal foul by J. Valanciunas (drawn by N. Jokic),,4-5,,
9:45.0,Personal foul by J. Johnson (drawn by D. Gallinari),,4-5,,
9:37.0,,,4-5,,E. Mudiay misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by J. Valanciunas,,4-5,,
9:25.0,J. Johnson makes 3-pt shot from 22 ft (assist by D. DeRozan),3,7-5,,
9:02.0,,,7-7,2,N. Jokic makes 2-pt shot from 18 ft (assist by D. Gallinari)
8:46.0,L. Scola misses 2-pt shot from 1 ft,,7-7,,
8:43.0,Offensive rebound by J. Valanciunas,,7-7,,
8:43.0,J. Valanciunas makes 2-pt shot from 1 ft,2,9-7,,
8:32.0,,,9-7,,N. Jokic misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by J. Johnson,,9-7,,
8:23.0,J. Valanciunas makes 2-pt shot from 18 ft (assist by J. Johnson),2,11-7,,
8:02.0,,,11-9,2,N. Jokic makes 2-pt shot from 2 ft (assist by E. Mudiay)
7:44.0,D. DeRozan misses 2-pt shot from 3 ft,,11-9,,
7:44.0,,,11-9,,Defensive rebound by N. Jokic
7:32.0,,,11-11,2,N. Jokic makes 2-pt shot from 1 ft (assist by K. Faried)
7:13.0,J. Valanciunas misses 2-pt shot from 1 ft (block by N. Jokic),,11-11,,
7:10.0,,,11-11,,Defensive rebound by N. Jokic
7:05.0,,,11-13,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
7:00.0,Toronto full timeout,,11-13,,
6:46.0,L. Scola makes 3-pt shot from 23 ft (assist by D. DeRozan),3,14-13,,
6:28.0,,,14-15,2,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay)
6:08.0,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan),3,17-15,,
5:46.0,,,17-15,,G. Harris misses 2-pt shot from 18 ft (block by L. Scola)
5:45.0,Defensive rebound by Team,,17-15,,
5:45.0,,,17-15,,Loose ball foul by G. Harris (drawn by L. Scola)
5:36.0,Turnover by J. Johnson (lost ball),,17-15,,
5:20.0,,,17-18,3,G. Harris makes 3-pt shot from 25 ft (assist by E. Mudiay)
5:03.0,J. Valanciunas misses 2-pt shot from 2 ft,,17-18,,
5:02.0,,,17-18,,Defensive rebound by N. Jokic
4:48.0,,,17-20,2,K. Faried makes 2-pt shot from 9 ft (assist by N. Jokic)
4:38.0,J. Valanciunas misses 2-pt shot from 2 ft,,17-20,,
4:35.0,Offensive rebound by J. Valanciunas,,17-20,,
4:35.0,J. Valanciunas misses 2-pt shot from 1 ft,,17-20,,
4:34.0,,,17-20,,Defensive rebound by N. Jokic
4:21.0,,,17-20,,N. Jokic misses 2-pt shot from 2 ft (block by J. Johnson)
4:19.0,Defensive rebound by K. Lowry,,17-20,,
4:15.0,K. Lowry misses 3-pt shot from 26 ft,,17-20,,
4:15.0,,,17-20,,Defensive rebound by K. Faried
4:06.0,,,17-20,,G. Harris misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by J. Valanciunas,,17-20,,
3:48.0,K. Lowry misses 2-pt shot from 1 ft,,17-20,,
3:47.0,,,17-20,,Defensive rebound by N. Jokic
3:38.0,Personal foul by D. DeRozan (drawn by G. Harris),,17-20,,
3:38.0,B. Biyombo enters the game for K. Lowry,,17-20,,
3:38.0,T. Ross enters the game for J. Johnson,,17-20,,
3:38.0,C. Joseph enters the game for J. Valanciunas,,17-20,,
3:38.0,,,17-20,,J. Nurkic enters the game for N. Jokic
3:23.0,,,17-20,,E. Mudiay misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by B. Biyombo,,17-20,,
3:16.0,,,17-20,,Personal foul by K. Faried (drawn by D. DeRozan)
3:16.0,D. DeRozan makes free throw 1 of 2,1,18-20,,
3:16.0,P. Patterson enters the game for L. Scola,,18-20,,
3:16.0,,,18-20,,D. Arthur enters the game for K. Faried
3:16.0,,,18-20,,W. Barton enters the game for G. Harris
3:16.0,D. DeRozan makes free throw 2 of 2,1,19-20,,
2:59.0,,,19-20,,J. Nurkic misses 2-pt shot from 2 ft
2:58.0,Defensive rebound by T. Ross,,19-20,,
2:49.0,D. DeRozan makes 2-pt shot from 19 ft,2,21-20,,
2:40.0,Violation by B. Biyombo (kicked ball),,21-20,,
2:40.0,,,21-20,,Denver full timeout
2:40.0,,,21-20,,R. Foye enters the game for E. Mudiay
2:25.0,,,21-20,,Turnover by D. Gallinari (bad pass; steal by T. Ross)
2:22.0,Shooting foul by R. Foye (drawn by T. Ross),,21-20,,
2:22.0,T. Ross misses free throw 1 of 2,,21-20,,
2:22.0,Offensive rebound by Team,,21-20,,
2:22.0,T. Ross makes free throw 2 of 2,1,22-20,,
2:14.0,,,22-23,3,R. Foye makes 3-pt shot from 25 ft
1:57.0,D. DeRozan misses 2-pt shot from 19 ft,,22-23,,
1:56.0,,,22-23,,Defensive rebound by J. Nurkic
1:42.0,,,22-23,,W. Barton misses 2-pt shot from 2 ft
1:41.0,,,22-23,,Offensive rebound by J. Nurkic
1:41.0,,,22-23,,J. Nurkic misses 2-pt shot from 2 ft
1:40.0,,,22-23,,Offensive rebound by J. Nurkic
1:40.0,,,22-23,,J. Nurkic misses 2-pt shot from 2 ft
1:38.0,,,22-23,,Offensive rebound by J. Nurkic
1:36.0,,,22-25,2,J. Nurkic makes 2-pt shot from 3 ft
1:15.0,Shooting foul by D. Arthur (drawn by B. Biyombo),,22-25,,
1:15.0,B. Biyombo makes free throw 1 of 2,1,23-25,,
1:15.0,B. Biyombo makes free throw 2 of 2,1,24-25,,
1:03.0,,,24-25,,Shooting foul by T. Ross (drawn by D. Gallinari)
1:03.0,,,24-27,2,D. Gallinari makes 2-pt shot from 7 ft
1:03.0,,,24-28,1,D. Gallinari makes free throw 1 of 1
0:53.0,T. Ross makes 2-pt shot from 14 ft (assist by B. Biyombo),2,26-28,,
0:35.0,,,26-28,,J. Nurkic misses 2-pt shot from 3 ft
0:35.0,Defensive rebound by P. Patterson,,26-28,,
0:24.0,D. DeRozan makes 2-pt shot from 20 ft (assist by P. Patterson),2,28-28,,
0:02.0,,,28-28,,R. Foye misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by D. DeRozan,,28-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,P. Patterson misses 2-pt shot from 4 ft,,28-28,,
11:42.0,,,28-28,,Defensive rebound by D. Arthur
11:33.0,,,28-28,,W. Barton misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by B. Biyombo,,28-28,,
11:13.0,C. Joseph misses 2-pt shot from 2 ft,,28-28,,
11:11.0,,,28-28,,Defensive rebound by J. Nurkic
10:58.0,,,28-28,,Turnover by S. Kilpatrick (lost ball; steal by C. Joseph)
10:50.0,P. Patterson misses 3-pt shot from 24 ft,,28-28,,
10:49.0,,,28-28,,Defensive rebound by J. Nurkic
10:44.0,,,28-28,,W. Barton misses 2-pt shot from 9 ft
10:43.0,Defensive rebound by Team,,28-28,,
10:43.0,,,28-28,,Loose ball foul by J. Nurkic (drawn by C. Joseph)
10:29.0,T. Ross misses 3-pt shot from 26 ft,,28-28,,
10:28.0,,,28-28,,Defensive rebound by S. Kilpatrick
10:12.0,Personal foul by B. Biyombo (drawn by J. Nurkic),,28-28,,
10:12.0,,,28-28,,N. Jokic enters the game for J. Nurkic
10:04.0,,,28-30,2,R. Foye makes 2-pt shot from 1 ft
9:37.0,C. Joseph makes 2-pt shot from 9 ft,2,30-30,,
9:19.0,,,30-30,,W. Barton misses 2-pt shot from 2 ft (block by B. Biyombo)
9:18.0,Defensive rebound by B. Biyombo,,30-30,,
9:09.0,P. Patterson misses 3-pt shot from 24 ft,,30-30,,
9:08.0,Offensive rebound by C. Joseph,,30-30,,
9:07.0,K. Lowry misses 2-pt shot from 1 ft,,30-30,,
9:06.0,Offensive rebound by B. Biyombo,,30-30,,
9:05.0,Shooting foul by N. Jokic (drawn by B. Biyombo),,30-30,,
9:05.0,B. Biyombo misses free throw 1 of 2,,30-30,,
9:05.0,Offensive rebound by Team,,30-30,,
9:05.0,B. Biyombo misses free throw 2 of 2,,30-30,,
9:03.0,,,30-30,,Defensive rebound by N. Jokic
8:59.0,,,30-32,2,N. Jokic makes 2-pt shot from 1 ft
8:30.0,Shooting foul by D. Arthur (drawn by B. Biyombo),,30-32,,
8:30.0,Official timeout,,30-32,,
8:30.0,B. Biyombo misses free throw 1 of 2,,30-32,,
8:30.0,Offensive rebound by Team,,30-32,,
8:30.0,B. Biyombo makes free throw 2 of 2,1,31-32,,
8:15.0,,,31-32,,Turnover by N. Jokic (bad pass; steal by C. Joseph)
8:09.0,P. Patterson misses 3-pt shot from 25 ft,,31-32,,
8:08.0,Offensive rebound by K. Lowry,,31-32,,
8:04.0,Turnover by B. Biyombo (traveling),,31-32,,
8:04.0,L. Scola enters the game for P. Patterson,,31-32,,
7:51.0,,,31-32,,D. Arthur misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by T. Ross,,31-32,,
7:42.0,T. Ross makes 2-pt shot from 11 ft,2,33-32,,
7:24.0,,,33-32,,D. Arthur misses 3-pt shot from 27 ft
7:24.0,Defensive rebound by T. Ross,,33-32,,
7:17.0,Turnover by T. Ross (lost ball; steal by R. Foye),,33-32,,
7:14.0,,,33-32,,Offensive foul by S. Kilpatrick
7:14.0,,,33-32,,Turnover by S. Kilpatrick (offensive foul)
7:14.0,,,33-32,,K. Faried enters the game for D. Arthur
7:14.0,,,33-32,,G. Harris enters the game for S. Kilpatrick
7:06.0,Turnover by B. Biyombo (lost ball; steal by K. Faried),,33-32,,
7:05.0,Personal foul by B. Biyombo (drawn by K. Faried),,33-32,,
7:05.0,J. Valanciunas enters the game for B. Biyombo,,33-32,,
6:50.0,,,33-34,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
6:36.0,C. Joseph misses 2-pt shot from 2 ft,,33-34,,
6:35.0,,,33-34,,Defensive rebound by N. Jokic
6:22.0,,,33-34,,W. Barton misses 2-pt shot from 1 ft (block by J. Valanciunas)
6:21.0,Defensive rebound by L. Scola,,33-34,,
6:15.0,L. Scola misses 2-pt shot from 1 ft,,33-34,,
6:14.0,,,33-34,,Defensive rebound by K. Faried
6:06.0,,,33-36,2,R. Foye makes 2-pt shot from 21 ft
6:02.0,Toronto full timeout,,33-36,,
6:02.0,D. DeRozan enters the game for C. Joseph,,33-36,,
