time,Sacramento,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. R. Gobert (R. Gay gains possession),,,,Jump ball: W. Cauley-Stein vs. R. Gobert (R. Gay gains possession)
11:43.0,B. McLemore makes 2-pt shot from 5 ft,2,2-0,,
11:19.0,,,2-3,3,R. Neto makes 3-pt shot from 23 ft
11:14.0,Shooting foul by R. Hood (drawn by D. Cousins),,2-3,,
11:14.0,D. Cousins makes free throw 1 of 2,1,3-3,,
11:14.0,D. Cousins makes free throw 2 of 2,1,4-3,,
10:56.0,,,4-3,,Turnover by R. Hood (lost ball; steal by B. McLemore)
10:41.0,R. Gay misses 2-pt shot from 5 ft,,4-3,,
10:41.0,,,4-3,,Defensive rebound by R. Neto
10:37.0,Personal foul by R. Gay (drawn by G. Hayward),,4-3,,
10:25.0,,,4-5,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Neto)
10:05.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,6-5,,
9:43.0,,,6-5,,T. Lyles misses 2-pt shot from 14 ft
9:43.0,Defensive rebound by R. Rondo,,6-5,,
9:36.0,R. Rondo misses 2-pt shot from 2 ft,,6-5,,
9:36.0,,,6-5,,Defensive rebound by R. Gobert
9:25.0,,,6-5,,G. Hayward misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by D. Cousins,,6-5,,
9:17.0,Shooting foul by R. Neto (drawn by R. Rondo),,6-5,,
9:17.0,R. Rondo makes free throw 1 of 2,1,7-5,,
9:17.0,R. Rondo makes free throw 2 of 2,1,8-5,,
9:08.0,,,8-5,,Turnover by R. Neto (bad pass; steal by R. Gay)
9:03.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,10-5,,
8:43.0,,,10-5,,R. Hood misses 2-pt shot from 3 ft (block by D. Cousins)
8:43.0,,,10-5,,Offensive rebound by R. Gobert
8:40.0,,,10-7,2,T. Lyles makes 2-pt shot at rim (assist by R. Gobert)
8:29.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by R. Rondo),2,12-7,,
8:16.0,,,12-7,,R. Neto misses 2-pt shot from 13 ft
8:15.0,,,12-7,,Offensive rebound by R. Gobert
8:06.0,,,12-9,2,R. Neto makes 2-pt shot from 3 ft
7:58.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,12-9,,
7:57.0,,,12-9,,Defensive rebound by R. Gobert
7:44.0,Personal foul by B. McLemore (drawn by R. Gobert),,12-9,,
