time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. G. Monroe (D. Rose gains possession),,,,Jump ball: P. Gasol vs. G. Monroe (D. Rose gains possession)
11:36.0,T. Gibson makes 2-pt shot from 10 ft,2,2-0,,
11:22.0,,,2-0,,M. Carter-Williams misses 2-pt shot at rim
11:20.0,,,2-0,,Offensive rebound by J. Parker
11:04.0,,,2-0,,G. Monroe misses 2-pt shot from 5 ft
11:03.0,Defensive rebound by P. Gasol,,2-0,,
10:49.0,N. Mirotic makes 3-pt shot from 26 ft (assist by T. Gibson),3,5-0,,
10:29.0,,,5-0,,G. Antetokounmpo misses 2-pt shot at rim
10:27.0,Defensive rebound by N. Mirotic,,5-0,,
10:17.0,Turnover by D. Rose (bad pass; steal by M. Carter-Williams),,5-0,,
10:14.0,,,5-2,2,M. Carter-Williams makes 2-pt shot from 1 ft
9:58.0,P. Gasol makes 2-pt shot from 15 ft (assist by J. Butler),2,7-2,,
9:42.0,,,7-2,,K. Middleton misses 2-pt shot from 8 ft
9:41.0,,,7-2,,Offensive rebound by G. Monroe
9:41.0,,,7-2,,G. Monroe misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by J. Butler,,7-2,,
9:29.0,Turnover by P. Gasol (bad pass; steal by J. Parker),,7-2,,
9:22.0,,,7-2,,J. Parker misses 2-pt shot from 2 ft (block by P. Gasol)
9:21.0,,,7-2,,Offensive rebound by J. Parker
9:20.0,,,7-4,2,J. Parker makes 2-pt shot from 18 ft
9:03.0,J. Butler makes 3-pt shot from 26 ft (assist by P. Gasol),3,10-4,,
8:55.0,,,10-4,,Milwaukee full timeout
8:36.0,,,10-4,,J. Parker misses 2-pt shot from 14 ft
8:35.0,Defensive rebound by P. Gasol,,10-4,,
8:24.0,D. Rose makes 3-pt shot from 27 ft (assist by J. Butler),3,13-4,,
8:09.0,,,13-6,2,J. Parker makes 2-pt shot from 18 ft (assist by G. Monroe)
7:56.0,N. Mirotic misses 3-pt shot from 22 ft,,13-6,,
7:55.0,,,13-6,,Defensive rebound by G. Monroe
7:46.0,,,13-6,,G. Antetokounmpo misses 2-pt shot from 15 ft
7:45.0,,,13-6,,Offensive rebound by G. Monroe
7:32.0,,,13-6,,M. Carter-Williams misses 2-pt shot from 4 ft (block by N. Mirotic)
7:29.0,Defensive rebound by N. Mirotic,,13-6,,
7:22.0,N. Mirotic misses 3-pt shot from 24 ft,,13-6,,
7:21.0,Offensive rebound by T. Gibson,,13-6,,
7:17.0,J. Butler makes 2-pt shot from 19 ft (assist by D. Rose),2,15-6,,
7:03.0,,,15-6,,J. Parker misses 2-pt shot from 18 ft
7:02.0,Defensive rebound by N. Mirotic,,15-6,,
6:53.0,D. Rose makes 2-pt shot from 3 ft,2,17-6,,
6:51.0,,,17-6,,Milwaukee full timeout
6:51.0,,,17-6,,O. Mayo enters the game for J. Parker
6:51.0,,,17-6,,J. Henson enters the game for G. Monroe
6:40.0,Def 3 sec tech foul by T. Gibson,,17-6,,
6:40.0,,,17-7,1,K. Middleton makes technical free throw
6:40.0,Violation by J. Butler (kicked ball),,17-7,,
6:27.0,,,17-9,2,J. Henson makes 2-pt shot from 5 ft (assist by O. Mayo)
6:15.0,P. Gasol misses 2-pt shot from 17 ft,,17-9,,
6:14.0,,,17-9,,Defensive rebound by M. Carter-Williams
6:04.0,,,17-9,,Shooting foul by D. Rose (drawn by M. Carter-Williams)
6:04.0,,,17-10,1,M. Carter-Williams makes free throw 1 of 2
6:04.0,T. Snell enters the game for N. Mirotic,,17-10,,
6:04.0,,,17-11,1,M. Carter-Williams makes free throw 2 of 2
5:45.0,D. Rose makes 2-pt shot from 7 ft,2,19-11,,
5:32.0,,,19-11,,Shooting foul by T. Gibson (drawn by G. Antetokounmpo)
5:32.0,,,19-11,,G. Antetokounmpo misses free throw 1 of 2
5:32.0,,,19-11,,Offensive rebound by Team
5:32.0,,,19-11,,G. Antetokounmpo misses free throw 2 of 2
5:31.0,Defensive rebound by T. Gibson,,19-11,,
5:18.0,Turnover by T. Snell (lost ball),,19-11,,
5:06.0,,,19-14,3,K. Middleton makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
4:45.0,J. Butler misses 2-pt shot from 1 ft (block by J. Henson),,19-14,,
4:45.0,Offensive rebound by Team,,19-14,,
4:29.0,T. Snell makes 3-pt shot from 25 ft (assist by D. Rose),3,22-14,,
4:15.0,,,22-16,2,J. Henson makes 2-pt shot from 4 ft (assist by M. Carter-Williams)
4:06.0,,,22-16,,Personal foul by J. Henson (drawn by P. Gasol)
4:06.0,K. Hinrich enters the game for D. Rose,,22-16,,
3:54.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler),2,24-16,,
3:40.0,,,24-16,,J. Henson misses 2-pt shot from 2 ft (block by P. Gasol)
3:40.0,,,24-16,,Offensive rebound by Team
3:40.0,J. Noah enters the game for T. Gibson,,24-16,,
3:37.0,,,24-18,2,K. Middleton makes 2-pt shot from 14 ft (assist by O. Mayo)
3:25.0,P. Gasol misses 2-pt shot from 2 ft (block by K. Middleton),,24-18,,
3:24.0,Offensive rebound by J. Noah,,24-18,,
3:24.0,Shooting foul by G. Antetokounmpo (drawn by J. Noah),,24-18,,
3:24.0,J. Noah misses free throw 1 of 2,,24-18,,
3:24.0,Offensive rebound by Team,,24-18,,
3:24.0,,,24-18,,G. Monroe enters the game for G. Antetokounmpo
3:24.0,J. Noah makes free throw 2 of 2,1,25-18,,
3:08.0,,,25-18,,O. Mayo misses 2-pt shot from 12 ft
3:07.0,Defensive rebound by J. Butler,,25-18,,
2:56.0,J. Butler misses 3-pt shot from 25 ft,,25-18,,
2:55.0,,,25-18,,Defensive rebound by O. Mayo
