time,Memphis,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. G. Monroe (L. Stephenson gains possession),,,,Jump ball: R. Hollins vs. G. Monroe (L. Stephenson gains possession)
11:40.0,T. Allen misses 2-pt shot from 6 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by G. Monroe
11:14.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 10 ft
11:13.0,Defensive rebound by L. Stephenson,,0-0,,
11:00.0,J. Green makes 2-pt shot from 7 ft,2,2-0,,
11:00.0,Shooting foul by G. Antetokounmpo (drawn by J. Green),,2-0,,
11:00.0,J. Green makes free throw 1 of 1,1,3-0,,
10:38.0,,,3-0,,K. Middleton misses 2-pt shot from 14 ft
10:37.0,,,3-0,,Offensive rebound by J. Parker
10:30.0,,,3-0,,J. Bayless misses 2-pt shot at rim
10:29.0,Defensive rebound by R. Hollins,,3-0,,
10:13.0,M. Barnes makes 3-pt shot from 25 ft (assist by L. Stephenson),3,6-0,,
9:57.0,,,6-2,2,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton)
9:33.0,T. Allen misses 2-pt shot from 5 ft,,6-2,,
9:32.0,,,6-2,,Defensive rebound by G. Monroe
9:28.0,,,6-2,,Turnover by G. Antetokounmpo (bad pass)
9:18.0,L. Stephenson misses 2-pt shot from 2 ft (block by K. Middleton),,6-2,,
9:15.0,,,6-2,,Defensive rebound by G. Antetokounmpo
9:11.0,,,6-5,3,J. Bayless makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
8:54.0,T. Allen misses 2-pt shot from 5 ft,,6-5,,
8:52.0,,,6-5,,Defensive rebound by J. Parker
8:47.0,,,6-7,2,G. Antetokounmpo makes 2-pt shot at rim
8:36.0,T. Allen makes 2-pt shot from 2 ft,2,8-7,,
8:36.0,Shooting foul by J. Parker (drawn by T. Allen),,8-7,,
8:36.0,T. Allen makes free throw 1 of 1,1,9-7,,
8:24.0,,,9-9,2,J. Parker makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
8:06.0,M. Barnes makes 2-pt shot from 4 ft (assist by J. Green),2,11-9,,
7:56.0,,,11-12,3,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
7:43.0,Turnover by R. Hollins (bad pass),,11-12,,
7:35.0,,,11-12,,Shooting foul by T. Allen (drawn by G. Monroe)
7:35.0,,,11-12,,G. Monroe misses free throw 1 of 2
7:35.0,,,11-12,,Offensive rebound by Team
7:35.0,,,11-13,1,G. Monroe makes free throw 2 of 2
7:23.0,L. Stephenson misses 2-pt shot from 8 ft,,11-13,,
7:22.0,,,11-13,,Defensive rebound by G. Monroe
7:16.0,,,11-13,,Turnover by G. Antetokounmpo (lost ball; steal by M. Barnes)
7:13.0,M. Barnes makes 2-pt shot from 1 ft,2,13-13,,
7:13.0,Shooting foul by J. Bayless (drawn by M. Barnes),,13-13,,
7:13.0,M. Barnes makes free throw 1 of 1,1,14-13,,
6:53.0,,,14-15,2,J. Parker makes 2-pt shot from 21 ft (assist by J. Bayless)
6:37.0,M. Barnes makes 3-pt shot from 26 ft (assist by L. Stephenson),3,17-15,,
6:25.0,,,17-15,,K. Middleton misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by L. Stephenson,,17-15,,
6:08.0,M. Barnes misses 2-pt shot from 21 ft,,17-15,,
6:04.0,Offensive rebound by J. Green,,17-15,,
6:04.0,J. Green makes 2-pt shot from 2 ft,2,19-15,,
5:48.0,,,19-15,,J. Parker misses 2-pt shot from 20 ft
5:46.0,Defensive rebound by L. Stephenson,,19-15,,
5:40.0,J. Green misses 2-pt shot from 18 ft,,19-15,,
5:39.0,,,19-15,,Defensive rebound by G. Monroe
5:31.0,,,19-15,,Turnover by K. Middleton (lost ball; steal by T. Allen)
5:31.0,,,19-15,,Personal foul by K. Middleton
5:31.0,,,19-15,,Milwaukee full timeout
5:31.0,J. Martin enters the game for R. Hollins,,19-15,,
5:16.0,M. Barnes makes 2-pt shot from 5 ft,2,21-15,,
5:01.0,,,21-15,,J. Bayless misses 2-pt shot from 19 ft
5:00.0,Defensive rebound by J. Green,,21-15,,
4:47.0,L. Stephenson misses 3-pt shot from 24 ft,,21-15,,
4:46.0,,,21-15,,Defensive rebound by G. Monroe
4:37.0,,,21-17,2,J. Parker makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
4:14.0,J. Martin makes 2-pt shot from 4 ft,2,23-17,,
3:43.0,,,23-20,3,J. Bayless makes 3-pt shot from 24 ft (assist by K. Middleton)
3:32.0,L. Stephenson makes 2-pt shot from 1 ft,2,25-20,,
3:21.0,,,25-20,,Shooting foul by J. Martin (drawn by G. Monroe)
3:21.0,,,25-21,1,G. Monroe makes free throw 1 of 2
3:21.0,,,25-21,,D. Inglis enters the game for J. Parker
3:21.0,A. Stepheson enters the game for J. Green,,25-21,,
3:21.0,B. Weber enters the game for L. Stephenson,,25-21,,
3:21.0,,,25-21,,T. Ennis enters the game for J. Bayless
3:21.0,,,25-22,1,G. Monroe makes free throw 2 of 2
3:02.0,A. Stepheson makes 2-pt shot from 1 ft (assist by B. Weber),2,27-22,,
2:42.0,,,27-24,2,G. Monroe makes 2-pt shot from 2 ft
2:42.0,,,27-24,,Shooting foul by A. Stepheson (drawn by G. Monroe)
2:42.0,Memphis full timeout,,27-24,,
2:42.0,R. McCallum enters the game for T. Allen,,27-24,,
2:42.0,,,27-24,,R. Vaughn enters the game for K. Middleton
2:42.0,,,27-24,,G. Monroe misses free throw 1 of 1
2:39.0,Defensive rebound by M. Barnes,,27-24,,
2:22.0,M. Barnes makes 3-pt shot from 24 ft (assist by B. Weber),3,30-24,,
2:03.0,,,30-24,,Shooting foul by J. Martin (drawn by D. Inglis)
2:03.0,,,30-25,1,D. Inglis makes free throw 1 of 2
2:03.0,,,30-25,,M. Plumlee enters the game for G. Monroe
2:03.0,,,30-26,1,D. Inglis makes free throw 2 of 2
1:42.0,Turnover by J. Martin (lost ball; steal by G. Antetokounmpo),,30-26,,
1:36.0,,,30-28,2,D. Inglis makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
