time,Denver,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. N. Jokic (D. Russell gains possession),,,,Jump ball: R. Hibbert vs. N. Jokic (D. Russell gains possession)
11:42.0,,,0-0,,K. Bryant misses 2-pt shot from 15 ft
11:38.0,Defensive rebound by E. Mudiay,,0-0,,
11:27.0,E. Mudiay misses 2-pt shot from 19 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Randle
11:15.0,,,0-3,3,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Randle)
11:02.0,Turnover by N. Jokic (lost ball; steal by J. Clarkson),,0-3,,
10:54.0,,,0-5,2,K. Bryant makes 2-pt shot from 1 ft (assist by J. Clarkson)
10:27.0,E. Mudiay makes 2-pt shot from 19 ft,2,2-5,,
10:09.0,,,2-5,,K. Bryant misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by N. Jokic,,2-5,,
10:00.0,J. Sampson makes 2-pt shot from 1 ft (assist by N. Jokic),2,4-5,,
9:42.0,,,4-5,,R. Hibbert misses 2-pt shot from 6 ft
9:38.0,Defensive rebound by N. Jokic,,4-5,,
9:21.0,E. Mudiay misses 2-pt shot from 12 ft,,4-5,,
9:19.0,,,4-5,,Defensive rebound by J. Randle
9:12.0,,,4-5,,D. Russell misses 2-pt shot from 18 ft
9:09.0,Defensive rebound by N. Jokic,,4-5,,
9:03.0,J. Sampson misses 2-pt shot from 19 ft,,4-5,,
9:01.0,,,4-5,,Defensive rebound by J. Randle
8:56.0,,,4-8,3,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Randle)
8:41.0,N. Jokic misses 2-pt shot at rim,,4-8,,
8:38.0,,,4-8,,Defensive rebound by J. Randle
8:33.0,,,4-8,,K. Bryant misses 2-pt shot from 7 ft
8:32.0,,,4-8,,Offensive rebound by R. Hibbert
8:32.0,,,4-8,,Shooting foul by N. Jokic (drawn by R. Hibbert)
8:32.0,,,4-9,1,R. Hibbert makes free throw 1 of 2
8:32.0,,,4-10,1,R. Hibbert makes free throw 2 of 2
8:12.0,N. Jokic misses 3-pt shot from 24 ft,,4-10,,
8:11.0,,,4-10,,Defensive rebound by J. Clarkson
7:57.0,,,4-10,,K. Bryant misses 2-pt shot from 17 ft
7:55.0,Defensive rebound by N. Jokic,,4-10,,
7:47.0,G. Harris misses 2-pt shot from 13 ft,,4-10,,
7:45.0,,,4-10,,Defensive rebound by R. Hibbert
7:36.0,,,4-13,3,J. Clarkson makes 3-pt shot from 25 ft
7:36.0,Denver full timeout,,4-13,,
7:21.0,N. Jokic makes 2-pt shot from 1 ft (assist by D. Arthur),2,6-13,,
7:05.0,,,6-13,,J. Randle misses 2-pt shot from 8 ft (block by D. Arthur)
7:05.0,,,6-13,,Offensive rebound by Team
7:05.0,Personal foul by G. Harris,,6-13,,
6:55.0,,,6-13,,Shooting foul by J. Sampson (drawn by K. Bryant)
6:55.0,,,6-14,1,K. Bryant makes free throw 1 of 2
6:55.0,,,6-15,1,K. Bryant makes free throw 2 of 2
6:50.0,Shooting foul by R. Hibbert (drawn by E. Mudiay),,6-15,,
6:50.0,E. Mudiay makes free throw 1 of 2,1,7-15,,
6:50.0,E. Mudiay misses free throw 2 of 2,,7-15,,
6:49.0,,,7-15,,Defensive rebound by J. Randle
6:32.0,,,7-15,,J. Clarkson misses 2-pt shot from 17 ft
6:30.0,Defensive rebound by D. Arthur,,7-15,,
6:26.0,G. Harris misses 2-pt shot at rim,,7-15,,
6:26.0,,,7-15,,Defensive rebound by Team
6:14.0,,,7-17,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle)
6:03.0,D. Arthur makes 2-pt shot from 1 ft,2,9-17,,
5:55.0,,,9-17,,Turnover by D. Russell (lost ball; steal by G. Harris)
5:50.0,G. Harris makes 2-pt shot at rim (assist by J. Sampson),2,11-17,,
5:31.0,Violation by G. Harris (kicked ball),,11-17,,
5:31.0,,,11-17,,L. Williams enters the game for D. Russell
5:22.0,,,11-19,2,R. Hibbert makes 2-pt shot from 17 ft (assist by J. Randle)
5:08.0,D. Arthur misses 2-pt shot from 13 ft,,11-19,,
