time,Dallas,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: R. Hollins vs. Z. Pachulia (D. Nowitzki gains possession)
11:42.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by W. Matthews),2,2-0,,
11:24.0,,,2-0,,B. Beal misses 2-pt shot from 9 ft
11:22.0,,,2-0,,Offensive rebound by O. Porter
11:20.0,,,2-0,,Turnover by O. Porter (bad pass; steal by W. Matthews)
11:16.0,W. Matthews misses 2-pt shot from 1 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by R. Hollins
11:07.0,,,2-0,,J. Wall misses 2-pt shot from 15 ft
11:04.0,,,2-0,,Offensive rebound by O. Porter
11:00.0,,,2-3,3,B. Beal makes 3-pt shot from 24 ft (assist by O. Porter)
10:35.0,Turnover by Z. Pachulia (traveling),,2-3,,
10:19.0,,,2-3,,R. Hollins misses 2-pt shot from 17 ft
10:16.0,Defensive rebound by Team,,2-3,,
9:56.0,Turnover by R. Felton (bad pass; steal by O. Porter),,2-3,,
9:46.0,,,2-5,2,B. Beal makes 2-pt shot from 11 ft (assist by J. Dudley)
9:33.0,R. Felton makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,5-5,,
9:20.0,,,5-7,2,O. Porter makes 2-pt shot from 21 ft (assist by J. Dudley)
9:05.0,W. Matthews misses 3-pt shot from 24 ft,,5-7,,
9:03.0,,,5-7,,Defensive rebound by O. Porter
8:53.0,,,5-7,,R. Hollins misses 2-pt shot from 2 ft (block by D. Nowitzki)
8:51.0,Defensive rebound by R. Felton,,5-7,,
8:42.0,Turnover by W. Matthews (bad pass; steal by J. Wall),,5-7,,
8:39.0,Personal foul by D. Williams (drawn by J. Wall),,5-7,,
8:32.0,Violation by Z. Pachulia (kicked ball),,5-7,,
8:22.0,,,5-7,,O. Porter misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by Z. Pachulia,,5-7,,
8:11.0,D. Nowitzki makes 2-pt shot from 15 ft,2,7-7,,
7:57.0,,,7-7,,J. Dudley misses 2-pt shot from 19 ft
7:56.0,Defensive rebound by R. Felton,,7-7,,
7:47.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,10-7,,
7:26.0,,,10-9,2,J. Dudley makes 2-pt shot at rim (assist by B. Beal)
7:26.0,,,10-9,,Shooting foul by Z. Pachulia (drawn by J. Dudley)
7:26.0,,,10-9,,D. Blair enters the game for R. Hollins
7:26.0,,,10-10,1,J. Dudley makes free throw 1 of 1
7:17.0,,,10-10,,Personal foul by D. Blair (drawn by Z. Pachulia)
7:10.0,W. Matthews misses 2-pt shot from 9 ft,,10-10,,
7:02.0,,,10-10,,Defensive rebound by B. Beal
6:55.0,,,10-12,2,D. Blair makes 2-pt shot from 1 ft (assist by J. Wall)
6:45.0,D. Williams misses 2-pt shot from 20 ft,,10-12,,
6:43.0,,,10-12,,Defensive rebound by O. Porter
6:36.0,,,10-14,2,J. Wall makes 2-pt shot from 19 ft
6:36.0,W. Matthews misses 2-pt shot at rim,,10-14,,
6:36.0,Offensive rebound by Team,,10-14,,
6:36.0,C. Villanueva enters the game for D. Nowitzki,,10-14,,
6:36.0,D. Harris enters the game for R. Felton,,10-14,,
6:36.0,Dallas full timeout,,10-14,,
6:20.0,W. Matthews misses 3-pt shot from 24 ft,,10-14,,
6:20.0,,,10-14,,Defensive rebound by Team
6:03.0,,,10-14,,B. Beal misses 2-pt shot from 7 ft
6:02.0,Defensive rebound by D. Harris,,10-14,,
5:56.0,D. Harris makes 2-pt shot at rim,2,12-14,,
5:40.0,,,12-14,,O. Porter misses 2-pt shot from 18 ft
5:39.0,Defensive rebound by W. Matthews,,12-14,,
5:28.0,,,12-14,,Personal foul by O. Porter (drawn by D. Harris)
5:22.0,D. Harris makes 2-pt shot from 1 ft,2,14-14,,
5:08.0,,,14-16,2,D. Blair makes 2-pt shot from 10 ft (assist by J. Wall)
4:56.0,D. Harris misses 2-pt shot from 11 ft,,14-16,,
4:54.0,,,14-16,,Defensive rebound by B. Beal
4:49.0,,,14-18,2,D. Blair makes 2-pt shot from 1 ft (assist by O. Porter)
4:49.0,,,14-18,,Shooting foul by W. Matthews (drawn by D. Blair)
4:49.0,,,14-19,1,D. Blair makes free throw 1 of 1
4:35.0,D. Williams makes 2-pt shot from 1 ft,2,16-19,,
4:29.0,,,16-21,2,J. Wall makes 2-pt shot from 18 ft
4:20.0,Shooting foul by J. Wall (drawn by D. Williams),,16-21,,
4:20.0,D. Williams makes free throw 1 of 2,1,17-21,,
4:20.0,,,17-21,,G. Temple enters the game for O. Porter
4:20.0,D. Williams makes free throw 2 of 2,1,18-21,,
4:10.0,,,18-21,,J. Wall misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by Z. Pachulia,,18-21,,
4:08.0,Turnover by Z. Pachulia (traveling),,18-21,,
4:01.0,,,18-21,,B. Beal misses 2-pt shot from 16 ft
4:00.0,Defensive rebound by C. Villanueva,,18-21,,
3:48.0,C. Villanueva makes 2-pt shot from 1 ft (assist by D. Williams),2,20-21,,
3:38.0,,,20-21,,B. Beal misses 3-pt shot from 23 ft
3:37.0,Defensive rebound by C. Villanueva,,20-21,,
3:24.0,Shooting foul by J. Dudley (drawn by C. Villanueva),,20-21,,
3:24.0,C. Villanueva makes free throw 1 of 3,1,21-21,,
3:24.0,C. Villanueva makes free throw 2 of 3,1,22-21,,
3:24.0,,,22-21,,G. Neal enters the game for J. Dudley
3:24.0,C. Villanueva makes free throw 3 of 3,1,23-21,,
3:02.0,,,23-21,,J. Wall misses 2-pt shot from 2 ft (block by C. Villanueva)
2:58.0,Defensive rebound by D. Williams,,23-21,,
2:50.0,C. Villanueva misses 3-pt shot from 22 ft,,23-21,,
2:49.0,,,23-21,,Defensive rebound by B. Beal
2:45.0,,,23-21,,Shooting foul by D. Harris (drawn by D. Blair)
2:45.0,,,23-21,,Washington full timeout
2:45.0,,,23-21,,R. Sessions enters the game for J. Wall
2:45.0,J. Anderson enters the game for W. Matthews,,23-21,,
2:45.0,R. Felton enters the game for Z. Pachulia,,23-21,,
2:45.0,D. Nowitzki enters the game for D. Williams,,23-21,,
2:45.0,,,23-21,,D. Blair misses free throw 1 of 2
2:45.0,,,23-21,,Offensive rebound by Team
2:45.0,,,23-21,,D. Blair misses free throw 2 of 2
2:43.0,Defensive rebound by C. Villanueva,,23-21,,
2:35.0,,,23-21,,Personal foul by D. Blair (drawn by D. Nowitzki)
2:35.0,D. Nowitzki misses free throw 1 of 2,,23-21,,
2:35.0,Offensive rebound by Team,,23-21,,
2:35.0,,,23-21,,O. Porter enters the game for D. Blair
2:35.0,D. Nowitzki makes free throw 2 of 2,1,24-21,,
2:21.0,,,24-23,2,O. Porter makes 2-pt shot from 20 ft (assist by B. Beal)
2:06.0,,,24-23,,Personal foul by G. Temple (drawn by D. Nowitzki)
2:06.0,D. Nowitzki misses free throw 1 of 2,,24-23,,
2:06.0,Offensive rebound by Team,,24-23,,
2:06.0,D. Nowitzki makes free throw 2 of 2,1,25-23,,
1:57.0,Personal foul by R. Felton (drawn by B. Beal),,25-23,,
1:57.0,,,25-24,1,B. Beal makes free throw 1 of 2
1:57.0,,,25-24,,B. Beal misses free throw 2 of 2
1:56.0,Defensive rebound by C. Villanueva,,25-24,,
1:41.0,Offensive charge foul by C. Villanueva,,25-24,,
1:41.0,Turnover by C. Villanueva (offensive foul),,25-24,,
1:27.0,,,25-24,,Shooting foul by C. Villanueva (drawn by B. Beal)
1:27.0,,,25-25,1,B. Beal makes free throw 1 of 2
1:27.0,J. Evans enters the game for C. Villanueva,,25-25,,
1:27.0,,,25-25,,B. Beal misses free throw 2 of 2
