time,Toronto,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Valanciunas (P. Beverley gains possession),,,,Jump ball: D. Howard vs. J. Valanciunas (P. Beverley gains possession)
11:42.0,,,0-3,3,P. Beverley makes 3-pt shot from 22 ft (assist by J. Harden)
11:22.0,N. Powell misses 2-pt shot from 1 ft,,0-3,,
11:21.0,Offensive rebound by J. Valanciunas,,0-3,,
11:21.0,J. Valanciunas misses 2-pt shot from 1 ft,,0-3,,
11:20.0,,,0-3,,Defensive rebound by D. Howard
11:14.0,,,0-5,2,J. Harden makes 2-pt shot from 2 ft (assist by P. Beverley)
10:51.0,J. Valanciunas misses 2-pt shot from 8 ft,,0-5,,
10:50.0,,,0-5,,Defensive rebound by Team
10:38.0,,,0-7,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden)
10:19.0,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,3-7,,
10:04.0,,,3-9,2,D. Motiejunas makes 2-pt shot from 11 ft (assist by J. Harden)
9:47.0,L. Scola misses 3-pt shot from 25 ft,,3-9,,
9:46.0,,,3-9,,Defensive rebound by P. Beverley
9:40.0,Personal foul by D. DeRozan,,3-9,,
9:31.0,,,3-11,2,J. Harden makes 2-pt shot from 12 ft
9:25.0,Toronto full timeout,,3-11,,
9:07.0,N. Powell makes 2-pt shot at rim (assist by D. DeRozan),2,5-11,,
8:48.0,,,5-11,,D. Motiejunas misses 2-pt shot from 5 ft
8:47.0,,,5-11,,Offensive rebound by D. Howard
8:47.0,,,5-11,,D. Howard misses 2-pt shot from 1 ft
8:46.0,,,5-11,,Offensive rebound by D. Howard
8:42.0,,,5-14,3,P. Beverley makes 3-pt shot from 23 ft (assist by D. Motiejunas)
8:19.0,N. Powell makes 3-pt shot from 25 ft (assist by D. DeRozan),3,8-14,,
8:00.0,,,8-17,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
7:45.0,,,8-17,,Personal foul by P. Beverley
7:45.0,B. Biyombo enters the game for J. Valanciunas,,8-17,,
7:32.0,D. DeRozan misses 2-pt shot from 20 ft,,8-17,,
7:32.0,Offensive rebound by Team,,8-17,,
7:32.0,Turnover by Team (shot clock),,8-17,,
7:10.0,,,8-17,,J. Harden misses 2-pt shot from 15 ft
7:09.0,Defensive rebound by D. DeRozan,,8-17,,
6:56.0,K. Lowry misses 3-pt shot from 24 ft,,8-17,,
6:56.0,,,8-17,,Defensive rebound by D. Motiejunas
6:48.0,,,8-17,,P. Beverley misses 3-pt shot from 22 ft
6:47.0,Defensive rebound by B. Biyombo,,8-17,,
6:41.0,K. Lowry misses 2-pt shot from 6 ft,,8-17,,
6:39.0,Offensive rebound by L. Scola,,8-17,,
6:39.0,L. Scola misses 2-pt shot from 2 ft,,8-17,,
6:39.0,Offensive rebound by Team,,8-17,,
6:39.0,,,8-17,,M. Beasley enters the game for P. Beverley
6:39.0,,,8-17,,J. Terry enters the game for D. Motiejunas
6:23.0,N. Powell misses 3-pt shot from 24 ft,,8-17,,
6:22.0,,,8-17,,Defensive rebound by Team
6:22.0,P. Patterson enters the game for L. Scola,,8-17,,
5:57.0,,,8-17,,Turnover by Team (shot clock)
5:52.0,,,8-17,,Personal foul by M. Beasley
5:37.0,K. Lowry misses 3-pt shot from 25 ft,,8-17,,
5:37.0,,,8-17,,Defensive rebound by T. Ariza
5:21.0,,,8-19,2,M. Beasley makes 2-pt shot from 9 ft
5:06.0,B. Biyombo makes 2-pt shot from 7 ft,2,10-19,,
4:47.0,,,10-19,,M. Beasley misses 2-pt shot from 19 ft
4:46.0,Defensive rebound by B. Biyombo,,10-19,,
4:35.0,K. Lowry misses 2-pt shot from 7 ft (block by D. Howard),,10-19,,
4:34.0,,,10-19,,Defensive rebound by M. Beasley
4:29.0,,,10-19,,Turnover by J. Harden (traveling)
4:29.0,,,10-19,,C. Capela enters the game for D. Howard
4:13.0,P. Patterson makes 2-pt shot from 4 ft (assist by B. Biyombo),2,12-19,,
3:56.0,,,12-21,2,M. Beasley makes 2-pt shot from 6 ft
3:34.0,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson),3,15-21,,
3:30.0,Loose ball foul by K. Lowry,,15-21,,
3:30.0,J. Valanciunas enters the game for B. Biyombo,,15-21,,
3:30.0,Technical foul by K. Lowry,,15-21,,
3:30.0,,,15-21,,J. Harden misses technical free throw
3:30.0,,,15-21,,Offensive rebound by Team
3:20.0,,,15-21,,J. Harden misses 2-pt shot from 2 ft
3:19.0,Defensive rebound by J. Valanciunas,,15-21,,
3:11.0,Turnover by N. Powell (lost ball),,15-21,,
3:02.0,,,15-21,,Turnover by M. Beasley (lost ball; steal by D. DeRozan)
