time,Cleveland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. H. Whiteside (K. Love gains possession),,,,Jump ball: T. Mozgov vs. H. Whiteside (K. Love gains possession)
11:38.0,R. Jefferson misses 2-pt shot from 1 ft (block by H. Whiteside),,0-0,,
11:34.0,Jump ball: T. Mozgov vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: T. Mozgov vs. H. Whiteside (G. Dragic gains possession)
11:33.0,,,0-0,,Offensive rebound by Team
11:19.0,,,0-2,2,G. Green makes 2-pt shot at rim
11:19.0,,,0-2,,Shooting foul by J. Smith (drawn by G. Green)
11:19.0,,,0-2,,G. Green misses free throw 1 of 1
11:18.0,Defensive rebound by R. Jefferson,,0-2,,
10:56.0,M. Dellavedova misses 2-pt shot from 8 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by D. Wade
10:44.0,,,0-4,2,H. Whiteside makes 2-pt shot at rim (assist by C. Bosh)
10:16.0,J. Smith makes 2-pt shot from 9 ft,2,2-4,,
9:50.0,,,2-7,3,G. Dragic makes 3-pt shot from 23 ft (assist by D. Wade)
9:33.0,K. Love makes 2-pt shot from 14 ft (assist by M. Dellavedova),2,4-7,,
9:10.0,,,4-7,,D. Wade misses 2-pt shot from 16 ft
9:09.0,Defensive rebound by K. Love,,4-7,,
8:55.0,T. Mozgov makes 2-pt shot from 14 ft (assist by M. Dellavedova),2,6-7,,
8:27.0,,,6-7,,H. Whiteside misses 2-pt shot from 4 ft
8:26.0,Defensive rebound by K. Love,,6-7,,
8:15.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,8-7,,
7:54.0,,,8-9,2,G. Dragic makes 2-pt shot from 5 ft
7:41.0,K. Love misses 2-pt shot from 20 ft,,8-9,,
7:40.0,,,8-9,,Defensive rebound by G. Green
7:32.0,,,8-12,3,C. Bosh makes 3-pt shot from 23 ft (assist by G. Dragic)
7:27.0,Shooting foul by H. Whiteside (drawn by R. Jefferson),,8-12,,
7:27.0,R. Jefferson makes free throw 1 of 2,1,9-12,,
7:27.0,R. Jefferson makes free throw 2 of 2,1,10-12,,
7:15.0,,,10-12,,D. Wade misses 2-pt shot from 4 ft
7:14.0,Defensive rebound by Team,,10-12,,
7:14.0,,,10-12,,Loose ball foul by H. Whiteside (drawn by T. Mozgov)
7:14.0,,,10-12,,J. McRoberts enters the game for H. Whiteside
7:05.0,Turnover by M. Dellavedova (bad pass; steal by J. McRoberts),,10-12,,
7:04.0,Personal foul by M. Dellavedova (drawn by J. McRoberts),,10-12,,
6:52.0,,,10-14,2,C. Bosh makes 2-pt shot from 16 ft (assist by G. Dragic)
6:34.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,12-14,,
6:09.0,,,12-16,2,G. Dragic makes 2-pt shot from 11 ft
5:51.0,J. Smith misses 2-pt shot from 12 ft,,12-16,,
5:50.0,Offensive rebound by K. Love,,12-16,,
5:49.0,K. Love misses 2-pt shot from 1 ft,,12-16,,
5:48.0,,,12-16,,Defensive rebound by C. Bosh
5:33.0,,,12-16,,G. Green misses 2-pt shot from 11 ft
5:32.0,Defensive rebound by T. Mozgov,,12-16,,
5:29.0,Cleveland full timeout,,12-16,,
5:21.0,Turnover by K. Love (3 sec),,12-16,,
5:03.0,,,12-18,2,D. Wade makes 2-pt shot from 8 ft
4:39.0,M. Dellavedova misses 2-pt shot from 10 ft,,12-18,,
4:38.0,,,12-18,,Defensive rebound by C. Bosh
4:27.0,,,12-20,2,C. Bosh makes 2-pt shot at rim (assist by D. Wade)
4:17.0,K. Love misses 2-pt shot from 10 ft,,12-20,,
4:16.0,,,12-20,,Defensive rebound by J. McRoberts
4:13.0,,,12-20,,Turnover by D. Wade (lost ball)
4:13.0,,,12-20,,T. Johnson enters the game for D. Wade
4:13.0,M. Williams enters the game for M. Dellavedova,,12-20,,
3:51.0,R. Jefferson makes 2-pt shot from 7 ft,2,14-20,,
3:47.0,Personal foul by M. Williams (drawn by G. Dragic),,14-20,,
3:47.0,T. Thompson enters the game for K. Love,,14-20,,
3:47.0,J. Cunningham enters the game for R. Jefferson,,14-20,,
3:37.0,,,14-22,2,J. McRoberts makes 2-pt shot from 3 ft (assist by G. Dragic)
3:27.0,,,14-22,,Personal foul by G. Green (drawn by T. Mozgov)
3:27.0,,,14-22,,U. Haslem enters the game for C. Bosh
3:16.0,T. Mozgov misses 2-pt shot from 4 ft,,14-22,,
3:15.0,,,14-22,,Defensive rebound by Team
2:57.0,,,14-25,3,G. Dragic makes 3-pt shot from 24 ft
2:46.0,M. Williams misses 2-pt shot from 19 ft,,14-25,,
2:45.0,,,14-25,,Defensive rebound by T. Johnson
2:30.0,,,14-28,3,T. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
2:02.0,T. Thompson misses 2-pt shot from 9 ft,,14-28,,
2:01.0,,,14-28,,Defensive rebound by U. Haslem
1:44.0,,,14-30,2,G. Green makes 2-pt shot from 21 ft (assist by T. Johnson)
1:38.0,Cleveland full timeout,,14-30,,
1:38.0,,,14-30,,Miami full timeout
1:38.0,,,14-30,,J. Winslow enters the game for G. Dragic
1:38.0,A. Varejao enters the game for T. Mozgov,,14-30,,
1:27.0,M. Williams makes 2-pt shot from 18 ft (assist by J. Smith),2,16-30,,
1:14.0,R. Jefferson enters the game for J. Smith,,16-30,,
1:06.0,,,16-30,,Shooting foul by M. Williams (drawn by T. Johnson)
1:06.0,,,16-31,1,T. Johnson makes free throw 1 of 2
1:06.0,M. Dellavedova enters the game for M. Williams,,16-31,,
1:06.0,,,16-32,1,T. Johnson makes free throw 2 of 2
0:46.0,R. Jefferson makes 2-pt shot from 2 ft,2,18-32,,
0:32.0,,,18-34,2,J. McRoberts makes 2-pt shot from 1 ft (assist by T. Johnson)
0:18.0,Shooting foul by T. Johnson (drawn by M. Dellavedova),,18-34,,
0:18.0,M. Dellavedova makes free throw 1 of 2,1,19-34,,
0:18.0,M. Dellavedova makes free throw 2 of 2,1,20-34,,
0:07.0,,,20-34,,Offensive foul by U. Haslem
0:07.0,,,20-34,,Turnover by U. Haslem (offensive foul)
0:01.0,M. Dellavedova makes 2-pt shot from 1 ft,2,22-34,,
0:01.0,,,22-34,,T. Johnson misses 3-pt shot from 69 ft
0:00.0,,,22-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,22-34,,Offensive charge foul by J. Winslow
11:54.0,,,22-34,,Turnover by J. Winslow (offensive foul)
11:40.0,Turnover by R. Jefferson (lost ball),,22-34,,
11:16.0,,,22-34,,U. Haslem misses 2-pt shot from 6 ft
11:15.0,Defensive rebound by A. Varejao,,22-34,,
11:08.0,A. Varejao misses 2-pt shot from 18 ft,,22-34,,
11:07.0,Offensive rebound by T. Thompson,,22-34,,
11:06.0,T. Thompson makes 2-pt shot from 2 ft,2,24-34,,
11:06.0,Shooting foul by J. Winslow (drawn by T. Thompson),,24-34,,
11:06.0,T. Thompson misses free throw 1 of 1,,24-34,,
11:06.0,,,24-34,,Defensive rebound by J. McRoberts
11:06.0,Personal foul by A. Varejao (drawn by J. McRoberts),,24-34,,
10:49.0,,,24-36,2,D. Wade makes 2-pt shot from 17 ft
10:38.0,M. Williams misses 2-pt shot from 16 ft,,24-36,,
10:37.0,,,24-36,,Defensive rebound by J. McRoberts
10:24.0,,,24-36,,U. Haslem misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by R. Jefferson,,24-36,,
10:11.0,R. Jefferson misses 3-pt shot from 24 ft,,24-36,,
10:10.0,,,24-36,,Defensive rebound by J. McRoberts
10:09.0,,,24-36,,Turnover by J. McRoberts (bad pass)
9:46.0,R. Jefferson makes 2-pt shot at rim (assist by M. Williams),2,26-36,,
9:25.0,,,26-38,2,D. Wade makes 2-pt shot from 20 ft
9:13.0,J. Cunningham makes 2-pt shot from 2 ft,2,28-38,,
8:58.0,Official timeout,,28-38,,
8:58.0,K. Love enters the game for A. Varejao,,28-38,,
8:58.0,,,28-38,,C. Bosh enters the game for J. McRoberts
8:49.0,,,28-40,2,T. Johnson makes 2-pt shot from 20 ft (assist by C. Bosh)
8:34.0,R. Jefferson misses 3-pt shot from 23 ft,,28-40,,
8:33.0,,,28-40,,Defensive rebound by T. Johnson
8:30.0,Personal foul by M. Williams (drawn by T. Johnson),,28-40,,
8:30.0,M. Dellavedova enters the game for M. Williams,,28-40,,
8:20.0,,,28-40,,T. Johnson misses 2-pt shot from 18 ft
8:19.0,Defensive rebound by K. Love,,28-40,,
8:03.0,,,28-40,,Violation by D. Wade (kicked ball)
