time,Milwaukee,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: G. Monroe vs. H. Whiteside (C. Bosh gains possession)
11:40.0,,,0-0,,C. Bosh misses 2-pt shot from 19 ft
11:39.0,Defensive rebound by K. Middleton,,0-0,,
11:25.0,,,0-0,,Violation by H. Whiteside (def goaltending)
11:25.0,G. Monroe makes 2-pt shot from 8 ft (assist by J. Parker),2,2-0,,
11:25.0,Shooting foul by T. Johnson (drawn by G. Monroe),,2-0,,
11:25.0,G. Monroe makes free throw 1 of 1,1,3-0,,
11:04.0,,,3-0,,C. Bosh misses 2-pt shot from 18 ft
11:03.0,,,3-0,,Offensive rebound by H. Whiteside
11:01.0,,,3-0,,H. Whiteside misses 2-pt shot from 1 ft
11:00.0,Defensive rebound by G. Antetokounmpo,,3-0,,
10:44.0,K. Middleton makes 3-pt shot from 24 ft,3,6-0,,
10:23.0,,,6-2,2,L. Deng makes 2-pt shot from 2 ft (assist by D. Wade)
10:07.0,K. Middleton misses 2-pt shot from 10 ft,,6-2,,
10:06.0,,,6-2,,Defensive rebound by L. Deng
9:54.0,,,6-2,,Turnover by D. Wade (bad pass; steal by J. Parker)
9:50.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,8-2,,
9:23.0,,,8-2,,T. Johnson misses 3-pt shot from 24 ft
9:22.0,,,8-2,,Offensive rebound by L. Deng
9:21.0,,,8-2,,L. Deng misses 2-pt shot at rim
9:20.0,,,8-2,,Offensive rebound by H. Whiteside
9:19.0,,,8-4,2,H. Whiteside makes 2-pt shot at rim
9:01.0,K. Middleton makes 3-pt shot from 22 ft (assist by G. Monroe),3,11-4,,
9:00.0,,,11-4,,Miami full timeout
8:47.0,,,11-4,,L. Deng misses 2-pt shot from 8 ft
8:46.0,Defensive rebound by G. Monroe,,11-4,,
8:35.0,,,11-4,,Personal foul by T. Johnson (drawn by G. Antetokounmpo)
8:35.0,,,11-4,,J. Richardson enters the game for T. Johnson
8:25.0,G. Monroe misses 2-pt shot from 18 ft,,11-4,,
8:24.0,,,11-4,,Defensive rebound by C. Bosh
7:59.0,,,11-4,,L. Deng misses 2-pt shot from 6 ft
7:58.0,Defensive rebound by K. Middleton,,11-4,,
7:47.0,M. Carter-Williams misses 2-pt shot from 10 ft,,11-4,,
7:46.0,,,11-4,,Defensive rebound by H. Whiteside
7:34.0,,,11-7,3,C. Bosh makes 3-pt shot from 25 ft (assist by D. Wade)
7:20.0,K. Middleton misses 2-pt shot from 16 ft,,11-7,,
7:19.0,Offensive rebound by G. Antetokounmpo,,11-7,,
7:18.0,,,11-7,,Personal foul by J. Richardson (drawn by G. Antetokounmpo)
7:14.0,G. Monroe misses 2-pt shot from 5 ft,,11-7,,
7:13.0,,,11-7,,Defensive rebound by L. Deng
7:06.0,,,11-7,,Turnover by D. Wade (bad pass)
6:52.0,G. Monroe makes 2-pt shot from 7 ft,2,13-7,,
6:37.0,,,13-9,2,J. Richardson makes 2-pt shot at rim
6:18.0,Turnover by G. Antetokounmpo (3 sec),,13-9,,
6:18.0,,,13-9,,G. Green enters the game for C. Bosh
6:04.0,,,13-9,,G. Green misses 2-pt shot from 18 ft
6:03.0,Defensive rebound by G. Monroe,,13-9,,
5:46.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,13-9,,
5:45.0,,,13-9,,Defensive rebound by L. Deng
5:36.0,,,13-12,3,G. Green makes 3-pt shot from 24 ft (assist by J. Richardson)
5:36.0,Milwaukee full timeout,,13-12,,
5:36.0,J. Bayless enters the game for G. Antetokounmpo,,13-12,,
5:36.0,J. Henson enters the game for G. Monroe,,13-12,,
5:22.0,K. Middleton misses 2-pt shot from 8 ft,,13-12,,
5:21.0,,,13-12,,Defensive rebound by Team
5:08.0,,,13-12,,D. Wade misses 2-pt shot from 2 ft
5:07.0,Defensive rebound by J. Parker,,13-12,,
