time,Brooklyn,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. B. Lopez (M. Conley gains possession),,,,Jump ball: M. Gasol vs. B. Lopez (M. Conley gains possession)
11:47.0,,,0-0,,T. Allen misses 2-pt shot at rim
11:45.0,Defensive rebound by J. Johnson,,0-0,,
11:32.0,J. Johnson makes 2-pt shot from 1 ft (assist by M. Brown),2,2-0,,
11:18.0,,,2-0,,M. Gasol misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by T. Young,,2-0,,
10:57.0,Turnover by J. Johnson (bad pass; steal by T. Allen),,2-0,,
10:53.0,,,2-0,,Shooting foul by J. Jack (drawn by M. Conley)
10:53.0,,,2-1,1,M. Conley makes free throw 1 of 2
10:53.0,,,2-2,1,M. Conley makes free throw 2 of 2
10:33.0,Turnover by M. Brown (lost ball; steal by C. Lee),,2-2,,
10:15.0,,,2-4,2,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley)
10:01.0,J. Jack makes 2-pt shot from 11 ft,2,4-4,,
9:43.0,,,4-6,2,Z. Randolph makes 2-pt shot from 14 ft (assist by M. Conley)
9:29.0,T. Young makes 2-pt shot from 6 ft (assist by M. Brown),2,6-6,,
9:06.0,,,6-8,2,C. Lee makes 2-pt shot from 1 ft (assist by M. Gasol)
8:57.0,J. Jack makes 2-pt shot from 16 ft,2,8-8,,
8:42.0,,,8-8,,M. Conley misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by Team,,8-8,,
8:30.0,,,8-8,,Personal foul by T. Allen (drawn by B. Lopez)
8:30.0,B. Lopez misses free throw 1 of 2,,8-8,,
8:30.0,Offensive rebound by Team,,8-8,,
8:30.0,B. Lopez misses free throw 2 of 2,,8-8,,
8:29.0,,,8-8,,Defensive rebound by T. Allen
8:19.0,,,8-10,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
8:06.0,Turnover by T. Young (lost ball; steal by M. Conley),,8-10,,
7:51.0,,,8-10,,Turnover by M. Gasol (bad pass; steal by T. Young)
7:37.0,J. Jack misses 3-pt shot from 23 ft,,8-10,,
7:36.0,,,8-10,,Defensive rebound by T. Allen
7:26.0,Def 3 sec tech foul by B. Lopez,,8-10,,
7:26.0,,,8-11,1,C. Lee makes technical free throw
7:15.0,,,8-13,2,M. Conley makes 2-pt shot at rim
7:01.0,B. Lopez makes 2-pt shot from 6 ft (assist by J. Johnson),2,10-13,,
6:40.0,,,10-15,2,T. Allen makes 2-pt shot from 14 ft (assist by M. Gasol)
6:27.0,Turnover by M. Brown (bad pass),,10-15,,
6:11.0,,,10-15,,C. Lee misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by B. Lopez,,10-15,,
6:02.0,T. Young makes 2-pt shot from 1 ft (assist by J. Jack),2,12-15,,
5:49.0,Personal foul by B. Lopez (drawn by M. Gasol),,12-15,,
5:49.0,,,12-15,,Memphis full timeout
5:49.0,,,12-15,,J. Green enters the game for T. Allen
