time,Portland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. M. Plumlee,,,,Jump ball: A. Horford vs. M. Plumlee
11:35.0,,,0-0,,K. Bazemore misses 3-pt shot from 23 ft
11:33.0,Defensive rebound by M. Plumlee,,0-0,,
11:21.0,Turnover by A. Aminu (lost ball; steal by J. Teague),,0-0,,
11:15.0,,,0-0,,K. Korver misses 3-pt shot from 25 ft
11:13.0,,,0-0,,Offensive rebound by K. Bazemore
10:54.0,,,0-0,,A. Horford misses 3-pt shot from 23 ft
10:53.0,Defensive rebound by T. Frazier,,0-0,,
10:34.0,A. Crabbe misses 2-pt shot from 19 ft,,0-0,,
10:33.0,,,0-0,,Defensive rebound by P. Millsap
10:26.0,,,0-0,,J. Teague misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by M. Plumlee,,0-0,,
10:08.0,T. Frazier makes 2-pt shot from 1 ft (assist by M. Plumlee),2,2-0,,
9:49.0,,,2-0,,A. Horford misses 2-pt shot from 5 ft
9:46.0,Defensive rebound by N. Vonleh,,2-0,,
9:30.0,N. Vonleh makes 2-pt shot at rim (assist by A. Crabbe),2,4-0,,
9:30.0,Shooting foul by A. Horford (drawn by N. Vonleh),,4-0,,
9:30.0,N. Vonleh makes free throw 1 of 1,1,5-0,,
9:24.0,Personal foul by N. Vonleh (drawn by P. Millsap),,5-0,,
9:08.0,,,5-2,2,A. Horford makes 2-pt shot from 3 ft (assist by K. Bazemore)
9:08.0,Violation by M. Plumlee (def goaltending),,5-2,,
8:56.0,T. Frazier misses 3-pt shot from 25 ft,,5-2,,
8:52.0,,,5-2,,Defensive rebound by K. Korver
8:51.0,,,5-2,,Turnover by K. Korver (bad pass; steal by N. Vonleh)
8:47.0,A. Aminu misses 2-pt shot from 4 ft,,5-2,,
8:46.0,Offensive rebound by M. Plumlee,,5-2,,
8:35.0,Turnover by T. Frazier (lost ball),,5-2,,
8:18.0,,,5-2,,Shooting foul by A. Aminu (drawn by P. Millsap)
8:18.0,,,5-3,1,P. Millsap makes free throw 1 of 2
8:18.0,,,5-4,1,P. Millsap makes free throw 2 of 2
7:54.0,T. Frazier misses 2-pt shot from 19 ft,,5-4,,
7:53.0,Offensive rebound by A. Aminu,,5-4,,
7:50.0,A. Aminu makes 2-pt shot at rim,2,7-4,,
7:42.0,,,7-6,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
7:22.0,A. Aminu misses 3-pt shot from 25 ft,,7-6,,
7:20.0,,,7-6,,Defensive rebound by J. Teague
7:07.0,,,7-9,3,K. Bazemore makes 3-pt shot from 24 ft (assist by A. Horford)
6:51.0,,,7-9,,Personal block foul by A. Horford (drawn by T. Frazier)
6:51.0,,,7-9,,T. Splitter enters the game for A. Horford
6:51.0,,,7-9,,T. Sefolosha enters the game for K. Korver
6:44.0,Turnover by A. Aminu (lost ball),,7-9,,
6:32.0,,,7-11,2,P. Millsap makes 2-pt shot from 18 ft (assist by J. Teague)
