time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (H. Barnes gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (H. Barnes gains possession)
11:45.0,,,0-0,,Shooting foul by A. Aminu (drawn by D. Green)
11:45.0,,,0-1,1,D. Green makes free throw 1 of 2
11:45.0,,,0-2,1,D. Green makes free throw 2 of 2
11:26.0,A. Aminu makes 2-pt shot from 6 ft,2,2-2,,
11:09.0,,,2-4,2,K. Thompson makes 2-pt shot from 17 ft (assist by A. Bogut)
10:43.0,A. Aminu misses 2-pt shot from 20 ft,,2-4,,
10:42.0,Offensive rebound by M. Plumlee,,2-4,,
10:33.0,C. McCollum makes 3-pt shot from 26 ft (assist by A. Aminu),3,5-4,,
10:17.0,,,5-4,,S. Curry misses 3-pt shot from 23 ft
10:15.0,Defensive rebound by C. McCollum,,5-4,,
10:13.0,,,5-4,,Personal foul by K. Thompson
10:00.0,Turnover by D. Lillard (lost ball; steal by D. Green),,5-4,,
9:52.0,,,5-4,,H. Barnes misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by M. Plumlee,,5-4,,
9:41.0,C. McCollum misses 2-pt shot from 17 ft,,5-4,,
9:41.0,,,5-4,,Defensive rebound by A. Bogut
9:32.0,,,5-6,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
9:18.0,M. Harkless makes 3-pt shot from 23 ft (assist by M. Plumlee),3,8-6,,
8:56.0,,,8-8,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
8:38.0,,,8-8,,Def 3 sec tech foul by A. Bogut
8:38.0,D. Lillard makes technical free throw,1,9-8,,
8:30.0,D. Lillard misses 2-pt shot from 2 ft,,9-8,,
8:30.0,Offensive rebound by Team,,9-8,,
8:30.0,,,9-8,,Personal foul by K. Thompson
8:25.0,C. McCollum misses 3-pt shot from 26 ft,,9-8,,
8:24.0,Offensive rebound by D. Lillard,,9-8,,
8:11.0,M. Harkless makes 3-pt shot from 26 ft (assist by M. Plumlee),3,12-8,,
8:08.0,,,12-8,,Golden State full timeout
8:08.0,,,12-8,,L. Barbosa enters the game for K. Thompson
7:50.0,,,12-8,,S. Curry misses 2-pt shot from 5 ft
7:49.0,,,12-8,,Offensive rebound by A. Bogut
7:49.0,,,12-8,,A. Bogut misses 2-pt shot from 1 ft
7:47.0,Defensive rebound by D. Lillard,,12-8,,
7:39.0,D. Lillard makes 3-pt shot from 27 ft,3,15-8,,
7:20.0,,,15-8,,A. Bogut misses 2-pt shot from 9 ft
7:20.0,,,15-8,,Offensive rebound by H. Barnes
7:20.0,,,15-8,,H. Barnes misses 2-pt shot from 2 ft
7:18.0,,,15-8,,Offensive rebound by A. Bogut
7:17.0,,,15-8,,A. Bogut misses 2-pt shot from 4 ft
7:15.0,Defensive rebound by M. Plumlee,,15-8,,
7:10.0,D. Lillard makes 2-pt shot from 6 ft,2,17-8,,
7:10.0,Shooting foul by A. Bogut (drawn by D. Lillard),,17-8,,
7:10.0,D. Lillard makes free throw 1 of 1,1,18-8,,
6:57.0,,,18-8,,Shooting foul by C. McCollum (drawn by D. Green)
6:57.0,,,18-9,1,D. Green makes free throw 1 of 2
6:57.0,,,18-10,1,D. Green makes free throw 2 of 2
6:42.0,M. Harkless makes 2-pt shot from 7 ft,2,20-10,,
6:16.0,,,20-10,,H. Barnes misses 2-pt shot from 11 ft
6:15.0,Defensive rebound by D. Lillard,,20-10,,
