time,Milwaukee,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. G. Monroe (T. Young gains possession),,,,Jump ball: B. Lopez vs. G. Monroe (T. Young gains possession)
11:48.0,,,0-2,2,B. Lopez makes 2-pt shot from 1 ft (assist by T. Young)
11:24.0,G. Monroe makes 2-pt shot from 9 ft,2,2-2,,
11:11.0,,,2-2,,Turnover by B. Lopez (3 sec)
10:54.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,4-2,,
10:32.0,,,4-2,,M. Brown misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by G. Antetokounmpo,,4-2,,
10:13.0,J. Bayless makes 3-pt shot from 26 ft (assist by G. Monroe),3,7-2,,
10:00.0,Personal foul by K. Middleton (drawn by J. Johnson),,7-2,,
9:49.0,,,7-2,,J. Jack misses 2-pt shot from 10 ft
9:48.0,,,7-2,,Offensive rebound by B. Lopez
9:47.0,,,7-2,,B. Lopez misses 2-pt shot from 1 ft
9:46.0,,,7-2,,Offensive rebound by Team
9:36.0,Personal foul by G. Antetokounmpo (drawn by J. Jack),,7-2,,
9:30.0,,,7-2,,Turnover by J. Jack (bad pass; steal by M. Carter-Williams)
9:27.0,,,7-2,,Violation by M. Brown (def goaltending)
9:27.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,9-2,,
9:27.0,Shooting foul by J. Jack (drawn by G. Antetokounmpo),,9-2,,
9:27.0,G. Antetokounmpo misses free throw 1 of 1,,9-2,,
9:26.0,,,9-2,,Defensive rebound by T. Young
9:12.0,,,9-5,3,M. Brown makes 3-pt shot from 25 ft (assist by T. Young)
8:53.0,Shooting foul by M. Brown (drawn by M. Carter-Williams),,9-5,,
8:53.0,M. Carter-Williams misses free throw 1 of 2,,9-5,,
8:53.0,Offensive rebound by Team,,9-5,,
8:53.0,M. Carter-Williams makes free throw 2 of 2,1,10-5,,
8:31.0,,,10-7,2,B. Lopez makes 2-pt shot from 20 ft (assist by T. Young)
8:10.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,12-7,,
7:57.0,,,12-7,,J. Jack misses 2-pt shot from 19 ft
