time,Cleveland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. T. Mozgov (P. Hairston gains possession),,,,Jump ball: A. Jefferson vs. T. Mozgov (P. Hairston gains possession)
11:48.0,,,0-3,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
11:32.0,Shooting foul by P. Hairston (drawn by T. Mozgov),,0-3,,
11:32.0,T. Mozgov makes free throw 1 of 2,1,1-3,,
11:32.0,T. Mozgov makes free throw 2 of 2,1,2-3,,
11:21.0,,,2-3,,K. Walker misses 2-pt shot from 6 ft
11:19.0,Defensive rebound by L. James,,2-3,,
11:13.0,L. James misses 2-pt shot from 4 ft,,2-3,,
11:12.0,Offensive rebound by Team,,2-3,,
11:02.0,T. Mozgov makes 2-pt shot from 10 ft,2,4-3,,
10:49.0,,,4-3,,Turnover by N. Batum (step out of bounds)
10:25.0,T. Mozgov misses 2-pt shot from 6 ft,,4-3,,
10:23.0,Offensive rebound by K. Love,,4-3,,
10:19.0,,,4-3,,Personal foul by P. Hairston (drawn by T. Mozgov)
10:03.0,K. Love misses 2-pt shot from 6 ft,,4-3,,
10:02.0,,,4-3,,Defensive rebound by M. Williams
9:50.0,,,4-3,,P. Hairston misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by K. Love,,4-3,,
9:29.0,K. Love misses 2-pt shot from 10 ft,,4-3,,
9:25.0,,,4-3,,Defensive rebound by A. Jefferson
9:19.0,,,4-3,,A. Jefferson misses 2-pt shot from 12 ft
9:18.0,Defensive rebound by J. Smith,,4-3,,
9:02.0,T. Mozgov misses 2-pt shot from 5 ft,,4-3,,
9:01.0,,,4-3,,Defensive rebound by N. Batum
8:50.0,,,4-3,,A. Jefferson misses 2-pt shot from 12 ft
8:49.0,Defensive rebound by K. Love,,4-3,,
8:45.0,Turnover by T. Mozgov (bad pass; steal by P. Hairston),,4-3,,
8:39.0,,,4-3,,P. Hairston misses 3-pt shot from 27 ft
8:38.0,Defensive rebound by T. Mozgov,,4-3,,
8:28.0,T. Mozgov makes 2-pt shot at rim (assist by M. Williams),2,6-3,,
8:05.0,,,6-5,2,N. Batum makes 2-pt shot from 8 ft (assist by M. Williams)
7:53.0,M. Williams makes 2-pt shot from 7 ft,2,8-5,,
7:36.0,,,8-7,2,M. Williams makes 2-pt shot from 6 ft (assist by N. Batum)
7:10.0,K. Love makes 2-pt shot from 7 ft,2,10-7,,
6:59.0,,,10-9,2,P. Hairston makes 2-pt shot at rim (assist by N. Batum)
6:38.0,M. Williams makes 2-pt shot from 12 ft,2,12-9,,
6:20.0,,,12-9,,N. Batum misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by K. Love,,12-9,,
6:10.0,L. James misses 2-pt shot from 2 ft (block by M. Williams),,12-9,,
6:08.0,,,12-9,,Defensive rebound by P. Hairston
6:04.0,,,12-9,,K. Walker misses 2-pt shot from 2 ft
6:01.0,,,12-9,,Offensive rebound by N. Batum
6:01.0,,,12-11,2,N. Batum makes 2-pt shot from 1 ft
5:37.0,K. Love misses 2-pt shot from 17 ft,,12-11,,
5:35.0,,,12-11,,Defensive rebound by N. Batum
5:28.0,,,12-11,,N. Batum misses 2-pt shot at rim
5:27.0,Defensive rebound by L. James,,12-11,,
5:20.0,J. Smith misses 3-pt shot from 24 ft,,12-11,,
5:18.0,,,12-11,,Defensive rebound by K. Walker
5:12.0,,,12-11,,M. Williams misses 3-pt shot from 25 ft
5:10.0,,,12-11,,Offensive rebound by N. Batum
5:10.0,,,12-13,2,N. Batum makes 2-pt shot at rim
5:10.0,Cleveland full timeout,,12-13,,
5:10.0,T. Thompson enters the game for K. Love,,12-13,,
5:10.0,R. Jefferson enters the game for T. Mozgov,,12-13,,
5:10.0,K. Love enters the game for L. James,,12-13,,
5:10.0,,,12-13,,C. Zeller enters the game for M. Williams
4:55.0,Turnover by M. Williams (bad pass),,12-13,,
4:42.0,,,12-15,2,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker)
4:25.0,M. Williams makes 2-pt shot from 17 ft,2,14-15,,
4:10.0,,,14-15,,K. Walker misses 3-pt shot from 27 ft
4:09.0,Defensive rebound by T. Thompson,,14-15,,
4:03.0,Turnover by M. Williams (bad pass; steal by C. Zeller),,14-15,,
3:59.0,,,14-15,,Shooting foul by M. Williams (drawn by C. Zeller)
3:59.0,,,14-15,,C. Zeller misses free throw 1 of 2
3:59.0,,,14-15,,Offensive rebound by Team
3:59.0,,,14-15,,J. Lamb enters the game for P. Hairston
3:59.0,M. Dellavedova enters the game for M. Williams,,14-15,,
3:59.0,,,14-16,1,C. Zeller makes free throw 2 of 2
3:42.0,Cleveland full timeout,,14-16,,
3:42.0,,,14-16,,F. Kaminsky enters the game for A. Jefferson
3:38.0,Shooting foul by F. Kaminsky (drawn by K. Love),,14-16,,
3:38.0,K. Love makes free throw 1 of 2,1,15-16,,
3:38.0,K. Love makes free throw 2 of 2,1,16-16,,
3:22.0,,,16-16,,F. Kaminsky misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by K. Love,,16-16,,
3:09.0,T. Thompson misses 2-pt shot from 1 ft,,16-16,,
3:08.0,,,16-16,,Defensive rebound by J. Lamb
3:08.0,,,16-16,,Shooting foul by R. Jefferson (drawn by J. Lamb)
3:08.0,,,16-16,,J. Lamb misses free throw 1 of 3
3:08.0,,,16-16,,Offensive rebound by Team
3:08.0,,,16-17,1,J. Lamb makes free throw 2 of 3
3:08.0,J. Jones enters the game for K. Love,,16-17,,
3:08.0,L. James enters the game for J. Smith,,16-17,,
3:08.0,,,16-17,,J. Lamb misses free throw 3 of 3
3:00.0,Defensive rebound by L. James,,16-17,,
2:53.0,L. James misses 2-pt shot from 22 ft,,16-17,,
2:52.0,,,16-17,,Defensive rebound by J. Lamb
2:50.0,,,16-17,,Turnover by J. Lamb (bad pass)
