time,Philadelphia,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. Z. Pachulia (J. Okafor gains possession),,,,Jump ball: N. Noel vs. Z. Pachulia (J. Okafor gains possession)
11:51.0,R. Covington makes 3-pt shot from 25 ft (assist by J. Okafor),3,3-0,,
11:35.0,,,3-0,,D. Nowitzki misses 2-pt shot from 4 ft
11:34.0,,,3-0,,Offensive rebound by Z. Pachulia
11:34.0,,,3-2,2,Z. Pachulia makes 2-pt shot at rim
11:24.0,J. Okafor makes 2-pt shot from 9 ft (assist by I. Smith),2,5-2,,
11:00.0,,,5-2,,D. Williams misses 2-pt shot from 21 ft
10:59.0,Defensive rebound by J. Okafor,,5-2,,
10:38.0,J. Okafor misses 2-pt shot from 18 ft,,5-2,,
10:37.0,,,5-2,,Defensive rebound by D. Williams
10:29.0,,,5-2,,D. Nowitzki misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by R. Covington,,5-2,,
10:10.0,J. Okafor makes 2-pt shot from 8 ft,2,7-2,,
9:50.0,,,7-2,,Turnover by C. Parsons (lost ball; steal by R. Covington)
9:44.0,R. Covington misses 3-pt shot from 25 ft,,7-2,,
9:42.0,,,7-2,,Defensive rebound by W. Matthews
9:36.0,Personal foul by N. Noel (drawn by Z. Pachulia),,7-2,,
9:25.0,,,7-2,,C. Parsons misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by N. Noel,,7-2,,
9:19.0,Turnover by I. Smith (lost ball; steal by Z. Pachulia),,7-2,,
9:11.0,,,7-5,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by W. Matthews)
8:57.0,J. Okafor makes 2-pt shot from 7 ft,2,9-5,,
8:42.0,,,9-8,3,D. Williams makes 3-pt shot from 25 ft (assist by W. Matthews)
8:31.0,N. Stauskas misses 3-pt shot from 25 ft,,9-8,,
8:29.0,,,9-8,,Defensive rebound by D. Williams
8:26.0,,,9-8,,Turnover by D. Williams (lost ball; steal by N. Noel)
8:22.0,J. Okafor makes 2-pt shot from 2 ft,2,11-8,,
8:22.0,Shooting foul by Z. Pachulia (drawn by J. Okafor),,11-8,,
8:22.0,J. Okafor makes free throw 1 of 1,1,12-8,,
8:09.0,,,12-10,2,W. Matthews makes 2-pt shot from 15 ft (assist by D. Williams)
7:54.0,N. Noel misses 2-pt shot from 14 ft,,12-10,,
7:53.0,,,12-10,,Defensive rebound by Z. Pachulia
7:43.0,,,12-13,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by C. Parsons)
7:28.0,N. Noel misses 2-pt shot from 7 ft,,12-13,,
7:27.0,,,12-13,,Defensive rebound by D. Nowitzki
7:07.0,,,12-15,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams)
7:07.0,,,12-15,,Shooting foul by N. Noel (drawn by Z. Pachulia)
7:07.0,,,12-15,,R. Felton enters the game for D. Nowitzki
7:07.0,,,12-16,1,Z. Pachulia makes free throw 1 of 1
6:51.0,I. Smith makes 2-pt shot from 5 ft,2,14-16,,
6:28.0,,,14-16,,D. Williams misses 3-pt shot from 26 ft
6:27.0,,,14-16,,Offensive rebound by Z. Pachulia
6:23.0,,,14-16,,C. Parsons misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by R. Covington,,14-16,,
6:12.0,J. Okafor makes 2-pt shot at rim (assist by N. Stauskas),2,16-16,,
6:11.0,,,16-16,,Dallas full timeout
6:11.0,J. Grant enters the game for N. Noel,,16-16,,
5:52.0,,,16-18,2,C. Parsons makes 2-pt shot from 2 ft (assist by D. Williams)
5:36.0,J. Okafor makes 2-pt shot from 5 ft,2,18-18,,
5:23.0,Personal foul by I. Smith (drawn by D. Williams),,18-18,,
5:23.0,H. Thompson enters the game for N. Stauskas,,18-18,,
5:23.0,,,18-18,,S. Mejri enters the game for Z. Pachulia
5:10.0,,,18-18,,R. Felton misses 2-pt shot from 8 ft
5:08.0,Defensive rebound by J. Okafor,,18-18,,
4:57.0,J. Okafor makes 2-pt shot from 2 ft,2,20-18,,
4:57.0,Shooting foul by S. Mejri (drawn by J. Okafor),,20-18,,
4:57.0,I. Canaan enters the game for R. Covington,,20-18,,
4:57.0,J. Okafor misses free throw 1 of 1,,20-18,,
4:55.0,,,20-18,,Defensive rebound by W. Matthews
4:45.0,,,20-20,2,S. Mejri makes 2-pt shot at rim (assist by D. Williams)
4:30.0,Shooting foul by S. Mejri (drawn by J. Okafor),,20-20,,
4:30.0,J. Okafor misses free throw 1 of 2,,20-20,,
4:30.0,Offensive rebound by Team,,20-20,,
4:30.0,J. Okafor makes free throw 2 of 2,1,21-20,,
4:07.0,,,21-20,,C. Parsons misses 2-pt shot from 10 ft
4:06.0,,,21-20,,Offensive rebound by Team
4:01.0,Personal foul by H. Thompson (drawn by W. Matthews),,21-20,,
3:54.0,,,21-22,2,R. Felton makes 2-pt shot from 20 ft
3:40.0,Turnover by J. Okafor (lost ball; steal by C. Parsons),,21-22,,
3:28.0,,,21-24,2,D. Williams makes 2-pt shot from 1 ft
3:27.0,Philadelphia full timeout,,21-24,,
3:09.0,Turnover by J. Okafor (lost ball; steal by S. Mejri),,21-24,,
2:55.0,,,21-26,2,W. Matthews makes 2-pt shot from 17 ft
2:43.0,H. Thompson misses 3-pt shot from 23 ft,,21-26,,
2:41.0,Offensive rebound by J. Okafor,,21-26,,
2:41.0,J. Okafor makes 2-pt shot at rim,2,23-26,,
2:20.0,,,23-26,,S. Mejri misses 2-pt shot from 3 ft (block by J. Grant)
2:19.0,Defensive rebound by I. Canaan,,23-26,,
2:13.0,Shooting foul by S. Mejri (drawn by J. Grant),,23-26,,
2:13.0,J. Grant misses free throw 1 of 2,,23-26,,
2:13.0,Offensive rebound by Team,,23-26,,
2:13.0,,,23-26,,D. Harris enters the game for C. Parsons
2:13.0,,,23-26,,Z. Pachulia enters the game for W. Matthews
2:13.0,,,23-26,,D. Nowitzki enters the game for D. Williams
2:13.0,,,23-26,,J. Barea enters the game for S. Mejri
2:13.0,T. McConnell enters the game for J. Okafor,,23-26,,
2:13.0,R. Holmes enters the game for I. Smith,,23-26,,
2:13.0,J. Grant makes free throw 2 of 2,1,24-26,,
1:55.0,,,24-26,,Turnover by Z. Pachulia (3 sec)
1:42.0,T. McConnell makes 2-pt shot from 15 ft (assist by I. Canaan),2,26-26,,
1:31.0,Personal foul by H. Thompson (drawn by D. Harris),,26-26,,
1:31.0,,,26-27,1,D. Harris makes free throw 1 of 2
1:31.0,,,26-28,1,D. Harris makes free throw 2 of 2
1:25.0,I. Canaan misses 3-pt shot from 24 ft,,26-28,,
1:24.0,,,26-28,,Defensive rebound by Z. Pachulia
1:17.0,,,26-28,,R. Felton misses 3-pt shot from 23 ft
1:15.0,,,26-28,,Offensive rebound by Z. Pachulia
1:15.0,,,26-28,,Z. Pachulia misses 2-pt shot from 2 ft
1:13.0,Defensive rebound by R. Holmes,,26-28,,
1:06.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,28-28,,
0:50.0,,,28-28,,D. Harris misses 2-pt shot from 19 ft
0:50.0,Defensive rebound by T. McConnell,,28-28,,
0:42.0,Shooting foul by D. Harris (drawn by J. Grant),,28-28,,
0:42.0,J. Grant makes free throw 1 of 2,1,29-28,,
0:42.0,J. Grant makes free throw 2 of 2,1,30-28,,
0:26.0,,,30-28,,D. Nowitzki misses 2-pt shot from 18 ft
0:26.0,Defensive rebound by H. Thompson,,30-28,,
0:07.0,Offensive foul by R. Holmes,,30-28,,
0:07.0,Turnover by R. Holmes (offensive foul),,30-28,,
0:01.0,,,30-28,,J. Barea misses 2-pt shot from 17 ft
0:00.0,,,30-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by H. Thompson (drawn by D. Harris),,30-28,,
11:51.0,R. Covington enters the game for H. Thompson,,30-28,,
11:39.0,,,30-28,,D. Nowitzki misses 2-pt shot from 20 ft
11:38.0,Defensive rebound by R. Covington,,30-28,,
11:24.0,R. Covington makes 3-pt shot from 28 ft (assist by N. Noel),3,33-28,,
11:07.0,Personal foul by N. Noel (drawn by D. Powell),,33-28,,
11:07.0,R. Holmes enters the game for N. Noel,,33-28,,
11:02.0,,,33-28,,Turnover by R. Felton (bad pass; steal by T. McConnell)
10:58.0,,,33-28,,Violation by D. Powell (def goaltending)
10:58.0,I. Canaan makes 2-pt shot from 1 ft (assist by T. McConnell),2,35-28,,
10:42.0,,,35-28,,Turnover by D. Powell (bad pass; steal by J. Grant)
10:35.0,I. Canaan misses 3-pt shot from 24 ft,,35-28,,
10:35.0,,,35-28,,Defensive rebound by D. Nowitzki
10:30.0,Shooting block foul by T. McConnell (drawn by D. Harris),,35-28,,
10:30.0,,,35-28,,D. Harris misses free throw 1 of 2
10:30.0,,,35-28,,Offensive rebound by Team
10:30.0,,,35-29,1,D. Harris makes free throw 2 of 2
10:11.0,R. Covington makes 3-pt shot from 25 ft (assist by J. Grant),3,38-29,,
10:00.0,,,38-32,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
9:59.0,Philadelphia full timeout,,38-32,,
9:41.0,Turnover by J. Grant (bad pass; steal by D. Nowitzki),,38-32,,
9:30.0,,,38-32,,Turnover by R. Felton (bad pass; steal by T. McConnell)
9:26.0,I. Canaan makes 2-pt shot from 1 ft (assist by T. McConnell),2,40-32,,
9:06.0,,,40-32,,R. Felton misses 2-pt shot from 4 ft
9:05.0,Defensive rebound by R. Covington,,40-32,,
8:51.0,I. Canaan misses 3-pt shot from 25 ft,,40-32,,
8:51.0,,,40-32,,Defensive rebound by D. Nowitzki
8:34.0,,,40-35,3,J. Barea makes 3-pt shot from 25 ft (assist by R. Felton)
8:20.0,,,40-35,,Personal foul by R. Felton (drawn by R. Holmes)
8:20.0,,,40-35,,D. Williams enters the game for D. Harris
8:08.0,Shooting foul by D. Nowitzki (drawn by J. Grant),,40-35,,
8:08.0,J. Grant makes free throw 1 of 2,1,41-35,,
8:08.0,N. Stauskas enters the game for I. Canaan,,41-35,,
8:08.0,,,41-35,,C. Parsons enters the game for D. Nowitzki
8:08.0,,,41-35,,W. Matthews enters the game for R. Felton
8:08.0,J. Grant misses free throw 2 of 2,,41-35,,
8:06.0,Offensive rebound by R. Holmes,,41-35,,
8:04.0,R. Holmes makes 2-pt shot at rim,2,43-35,,
8:04.0,,,43-35,,Dallas full timeout
8:04.0,,,43-35,,Z. Pachulia enters the game for D. Powell
7:47.0,,,43-35,,Shooting foul by R. Holmes (drawn by Z. Pachulia)
7:47.0,,,43-36,1,Z. Pachulia makes free throw 1 of 2
7:47.0,,,43-37,1,Z. Pachulia makes free throw 2 of 2
7:25.0,R. Holmes misses 3-pt shot from 22 ft,,43-37,,
7:24.0,,,43-37,,Defensive rebound by Z. Pachulia
7:18.0,Shooting block foul by J. Grant (drawn by C. Parsons),,43-37,,
7:18.0,Violation by Team (jump ball),,43-37,,
7:18.0,,,43-38,1,C. Parsons makes free throw 1 of 2
7:18.0,J. Okafor enters the game for R. Holmes,,43-38,,
7:18.0,,,43-39,1,C. Parsons makes free throw 2 of 2
7:06.0,Shooting foul by J. Barea (drawn by T. McConnell),,43-39,,
7:06.0,T. McConnell misses free throw 1 of 2,,43-39,,
7:06.0,Offensive rebound by Team,,43-39,,
7:06.0,T. McConnell misses free throw 2 of 2,,43-39,,
7:06.0,,,43-39,,Defensive rebound by C. Parsons
6:57.0,,,43-41,2,C. Parsons makes 2-pt shot from 2 ft
6:44.0,R. Covington misses 3-pt shot from 27 ft,,43-41,,
6:43.0,,,43-41,,Defensive rebound by D. Williams
6:32.0,,,43-44,3,W. Matthews makes 3-pt shot from 23 ft (assist by C. Parsons)
6:24.0,Philadelphia full timeout,,43-44,,
6:24.0,I. Smith enters the game for J. Grant,,43-44,,
6:24.0,I. Canaan enters the game for T. McConnell,,43-44,,
6:14.0,,,43-44,,Personal block foul by D. Williams (drawn by R. Covington)
6:02.0,J. Okafor misses 2-pt shot from 8 ft,,43-44,,
6:00.0,,,43-44,,Defensive rebound by C. Parsons
5:41.0,,,43-46,2,D. Williams makes 2-pt shot from 11 ft
5:31.0,I. Canaan makes 3-pt shot from 22 ft (assist by N. Stauskas),3,46-46,,
5:21.0,Personal foul by I. Canaan (drawn by D. Williams),,46-46,,
5:21.0,,,46-47,1,D. Williams makes free throw 1 of 2
5:21.0,,,46-48,1,D. Williams makes free throw 2 of 2
5:10.0,Offensive foul by J. Okafor,,46-48,,
5:10.0,Turnover by J. Okafor (offensive foul),,46-48,,
4:54.0,,,46-48,,D. Williams misses 2-pt shot from 17 ft
4:52.0,Defensive rebound by J. Okafor,,46-48,,
4:41.0,J. Okafor makes 2-pt shot at rim,2,48-48,,
4:31.0,Personal foul by I. Canaan (drawn by W. Matthews),,48-48,,
4:31.0,,,48-49,1,W. Matthews makes free throw 1 of 2
4:31.0,,,48-49,,R. Felton enters the game for J. Barea
4:31.0,,,48-49,,D. Nowitzki enters the game for Z. Pachulia
4:31.0,J. Grant enters the game for R. Covington,,48-49,,
4:31.0,,,48-50,1,W. Matthews makes free throw 2 of 2
4:05.0,J. Okafor misses 3-pt shot from 23 ft,,48-50,,
4:05.0,,,48-50,,Defensive rebound by C. Parsons
3:56.0,,,48-52,2,R. Felton makes 2-pt shot from 1 ft
3:40.0,Turnover by J. Okafor (lost ball),,48-52,,
3:33.0,,,48-54,2,R. Felton makes 2-pt shot from 2 ft (assist by D. Williams)
3:14.0,I. Smith misses 2-pt shot from 18 ft,,48-54,,
3:12.0,,,48-54,,Defensive rebound by D. Nowitzki
3:06.0,Personal foul by J. Okafor (drawn by C. Parsons),,48-54,,
3:06.0,,,48-55,1,C. Parsons makes free throw 1 of 2
3:06.0,,,48-56,1,C. Parsons makes free throw 2 of 2
2:53.0,I. Canaan misses 3-pt shot from 26 ft,,48-56,,
2:52.0,,,48-56,,Defensive rebound by D. Nowitzki
2:43.0,,,48-56,,C. Parsons misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by N. Stauskas,,48-56,,
2:25.0,N. Stauskas makes 3-pt shot from 25 ft (assist by I. Smith),3,51-56,,
2:19.0,Shooting block foul by J. Grant (drawn by D. Williams),,51-56,,
2:19.0,,,51-57,1,D. Williams makes free throw 1 of 2
2:19.0,R. Covington enters the game for N. Stauskas,,51-57,,
2:19.0,,,51-58,1,D. Williams makes free throw 2 of 2
2:00.0,Turnover by I. Canaan (bad pass; steal by R. Felton),,51-58,,
1:46.0,,,51-61,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
1:21.0,J. Grant misses 2-pt shot from 4 ft,,51-61,,
1:21.0,Offensive rebound by J. Okafor,,51-61,,
1:21.0,,,51-61,,Personal foul by C. Parsons (drawn by J. Okafor)
1:21.0,J. Okafor misses free throw 1 of 2,,51-61,,
1:21.0,Offensive rebound by Team,,51-61,,
1:21.0,J. Okafor makes free throw 2 of 2,1,52-61,,
1:03.0,,,52-61,,Shooting foul by I. Canaan (drawn by C. Parsons)
1:03.0,,,52-63,2,C. Parsons makes 2-pt shot from 6 ft (assist by D. Williams)
1:03.0,,,52-64,1,C. Parsons makes free throw 1 of 1
0:51.0,I. Smith misses 2-pt shot from 20 ft,,52-64,,
0:50.0,,,52-64,,Defensive rebound by D. Nowitzki
0:32.0,,,52-64,,D. Williams misses 3-pt shot from 26 ft
0:32.0,,,52-64,,Offensive rebound by R. Felton
0:27.0,Personal foul by R. Covington (drawn by R. Felton),,52-64,,
0:27.0,,,52-65,1,R. Felton makes free throw 1 of 2
0:27.0,,,52-66,1,R. Felton makes free throw 2 of 2
0:24.0,Philadelphia full timeout,,52-66,,
0:24.0,N. Stauskas enters the game for J. Grant,,52-66,,
0:10.0,R. Covington misses 2-pt shot from 4 ft,,52-66,,
0:09.0,Offensive rebound by J. Okafor,,52-66,,
0:09.0,J. Okafor makes 2-pt shot at rim,2,54-66,,
0:01.0,,,54-66,,D. Nowitzki misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by N. Stauskas,,54-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-66,,W. Matthews misses 3-pt shot from 24 ft
11:48.0,Defensive rebound by I. Smith,,54-66,,
11:44.0,,,54-66,,Shooting block foul by D. Williams (drawn by I. Smith)
11:44.0,I. Smith makes free throw 1 of 2,1,55-66,,
11:44.0,I. Smith misses free throw 2 of 2,,55-66,,
11:42.0,,,55-66,,Defensive rebound by Z. Pachulia
11:34.0,,,55-66,,Turnover by C. Parsons (lost ball; steal by J. Okafor)
11:27.0,J. Okafor makes 2-pt shot at rim,2,57-66,,
11:11.0,,,57-68,2,D. Williams makes 2-pt shot from 1 ft
10:48.0,I. Smith misses 2-pt shot from 9 ft,,57-68,,
10:47.0,Offensive rebound by N. Noel,,57-68,,
10:47.0,,,57-68,,Personal foul by W. Matthews (drawn by N. Noel)
10:33.0,R. Covington makes 2-pt shot from 2 ft,2,59-68,,
10:22.0,,,59-71,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by Z. Pachulia)
10:21.0,Philadelphia full timeout,,59-71,,
10:03.0,I. Smith misses 2-pt shot from 17 ft,,59-71,,
10:01.0,,,59-71,,Defensive rebound by W. Matthews
9:45.0,,,59-71,,W. Matthews misses 3-pt shot from 23 ft
9:45.0,Defensive rebound by N. Noel,,59-71,,
9:34.0,Shooting foul by D. Nowitzki (drawn by N. Stauskas),,59-71,,
