time,Sacramento,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,R. Gay misses 3-pt shot from 23 ft,,0-0,,
12:00.0,Jump ball: W. Cauley-Stein vs. B. Lopez (D. Cousins gains possession),,,,Jump ball: W. Cauley-Stein vs. B. Lopez (D. Cousins gains possession)
11:44.0,,,0-0,,Defensive rebound by D. Sloan
11:31.0,,,0-0,,B. Lopez misses 2-pt shot from 3 ft
11:30.0,,,0-0,,Offensive rebound by B. Lopez
11:29.0,,,0-0,,B. Lopez misses 2-pt shot at rim
11:28.0,,,0-0,,Offensive rebound by B. Lopez
11:27.0,,,0-0,,Shooting foul by D. Cousins (drawn by B. Lopez)
11:27.0,,,0-1,1,B. Lopez makes free throw 1 of 2
11:27.0,,,0-2,1,B. Lopez makes free throw 2 of 2
11:16.0,R. Rondo makes 2-pt shot from 9 ft,2,2-2,,
10:58.0,,,2-2,,Turnover by B. Lopez (traveling)
10:44.0,D. Cousins misses 2-pt shot from 19 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by B. Lopez
10:25.0,,,2-2,,B. Lopez misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by W. Cauley-Stein,,2-2,,
10:17.0,R. Rondo makes 3-pt shot from 24 ft (assist by R. Gay),3,5-2,,
10:00.0,,,5-2,,Turnover by T. Young (lost ball; steal by R. Rondo)
9:55.0,D. Cousins misses 2-pt shot from 3 ft,,5-2,,
9:54.0,,,5-2,,Defensive rebound by T. Young
9:50.0,,,5-4,2,W. Ellington makes 2-pt shot at rim (assist by T. Young)
9:33.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,7-4,,
9:18.0,Personal foul by R. Gay (drawn by D. Sloan),,7-4,,
9:18.0,Sacramento full timeout,,7-4,,
9:18.0,O. Casspi enters the game for R. Gay,,7-4,,
9:03.0,,,7-4,,W. Ellington misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by O. Casspi,,7-4,,
8:55.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by R. Rondo),2,9-4,,
8:42.0,,,9-4,,B. Lopez misses 2-pt shot from 17 ft
8:41.0,Defensive rebound by O. Casspi,,9-4,,
8:36.0,M. Belinelli misses 3-pt shot from 25 ft,,9-4,,
8:35.0,,,9-4,,Defensive rebound by B. Lopez
8:25.0,,,9-4,,Turnover by B. Lopez (lost ball; steal by R. Rondo)
8:18.0,R. Rondo makes 2-pt shot from 3 ft,2,11-4,,
8:17.0,,,11-4,,Brooklyn full timeout
8:17.0,,,11-4,,B. Bogdanovic enters the game for W. Ellington
8:17.0,,,11-4,,S. Larkin enters the game for D. Sloan
8:01.0,,,11-6,2,T. Young makes 2-pt shot from 2 ft (assist by S. Larkin)
7:41.0,,,11-6,,Personal foul by S. Larkin (drawn by D. Cousins)
7:36.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Cousins),2,13-6,,
7:16.0,,,13-8,2,T. Young makes 2-pt shot from 6 ft
6:55.0,M. Belinelli misses 2-pt shot from 9 ft,,13-8,,
6:54.0,Offensive rebound by W. Cauley-Stein,,13-8,,
6:48.0,O. Casspi misses 3-pt shot from 24 ft,,13-8,,
6:47.0,,,13-8,,Defensive rebound by T. Young
6:32.0,,,13-11,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young)
6:09.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins),2,15-11,,
5:56.0,,,15-11,,B. Lopez misses 2-pt shot at rim
5:55.0,Defensive rebound by D. Cousins,,15-11,,
5:48.0,R. Rondo makes 2-pt shot from 19 ft (assist by D. Cousins),2,17-11,,
5:27.0,Personal block foul by R. Rondo (drawn by T. Young),,17-11,,
5:27.0,K. Koufos enters the game for W. Cauley-Stein,,17-11,,
5:18.0,,,17-13,2,J. Johnson makes 2-pt shot from 14 ft
5:05.0,D. Cousins misses 2-pt shot from 4 ft,,17-13,,
5:04.0,,,17-13,,Defensive rebound by T. Young
4:57.0,,,17-16,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Johnson)
4:53.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,19-16,,
4:35.0,,,19-16,,J. Johnson misses 2-pt shot from 12 ft
4:34.0,,,19-16,,Offensive rebound by B. Lopez
4:30.0,,,19-16,,T. Young misses 2-pt shot from 5 ft
4:29.0,Defensive rebound by D. Cousins,,19-16,,
4:23.0,M. Belinelli misses 3-pt shot from 22 ft,,19-16,,
4:22.0,,,19-16,,Defensive rebound by J. Johnson
4:12.0,,,19-19,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Johnson)
3:46.0,K. Koufos makes 2-pt shot from 6 ft (assist by R. Rondo),2,21-19,,
3:27.0,,,21-21,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
3:10.0,M. Belinelli makes 2-pt shot from 18 ft (assist by R. Rondo),2,23-21,,
2:56.0,,,23-24,3,J. Johnson makes 3-pt shot from 24 ft (assist by S. Larkin)
2:41.0,O. Casspi misses 3-pt shot from 24 ft,,23-24,,
2:40.0,,,23-24,,Defensive rebound by B. Bogdanovic
2:32.0,,,23-27,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young)
2:30.0,Sacramento full timeout,,23-27,,
2:30.0,B. McLemore enters the game for M. Belinelli,,23-27,,
2:30.0,D. Collison enters the game for R. Rondo,,23-27,,
2:30.0,Q. Acy enters the game for D. Cousins,,23-27,,
2:30.0,,,23-27,,A. Bargnani enters the game for B. Lopez
2:17.0,O. Casspi misses 2-pt shot from 6 ft,,23-27,,
2:16.0,,,23-27,,Defensive rebound by T. Young
1:52.0,,,23-29,2,J. Johnson makes 2-pt shot from 22 ft
1:42.0,Offensive foul by D. Collison,,23-29,,
1:42.0,Turnover by D. Collison (offensive foul),,23-29,,
1:42.0,,,23-29,,T. Robinson enters the game for T. Young
1:34.0,Personal foul by B. McLemore (drawn by J. Johnson),,23-29,,
1:19.0,,,23-32,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
1:05.0,B. McLemore misses 2-pt shot from 2 ft,,23-32,,
1:04.0,,,23-32,,Defensive rebound by T. Robinson
0:52.0,,,23-32,,Turnover by J. Johnson (bad pass; steal by K. Koufos)
0:48.0,Turnover by D. Collison (lost ball),,23-32,,
0:48.0,,,23-32,,M. Brown enters the game for J. Johnson
0:43.0,,,23-32,,Offensive foul by B. Bogdanovic
0:43.0,,,23-32,,Turnover by B. Bogdanovic (offensive foul)
0:35.0,D. Collison makes 2-pt shot from 22 ft,2,25-32,,
0:18.0,Personal block foul by K. Koufos (drawn by T. Robinson),,25-32,,
0:18.0,,,25-33,1,T. Robinson makes free throw 1 of 2
0:18.0,R. Gay enters the game for K. Koufos,,25-33,,
0:18.0,,,25-33,,T. Robinson misses free throw 2 of 2
0:17.0,Defensive rebound by R. Gay,,25-33,,
0:08.0,,,25-33,,Personal foul by M. Brown (drawn by D. Collison)
0:08.0,,,25-33,,D. Sloan enters the game for A. Bargnani
0:01.0,O. Casspi misses 3-pt shot from 23 ft,,25-33,,
0:00.0,Offensive rebound by Team,,25-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,25-33,,A. Bargnani misses 2-pt shot from 11 ft
11:43.0,,,25-33,,Offensive rebound by A. Bargnani
11:41.0,,,25-33,,A. Bargnani misses 2-pt shot from 2 ft (block by Q. Acy)
11:40.0,,,25-33,,Offensive rebound by B. Bogdanovic
11:28.0,,,25-35,2,A. Bargnani makes 2-pt shot at rim (assist by B. Bogdanovic)
11:09.0,Turnover by R. Gay (lost ball; steal by S. Larkin),,25-35,,
11:06.0,,,25-37,2,M. Brown makes 2-pt shot from 1 ft
11:06.0,,,25-37,,Shooting foul by R. Gay (drawn by M. Brown)
11:06.0,,,25-37,,W. Ellington enters the game for B. Bogdanovic
